Start Date & Time,End Date & Time,Meeting Title,"Agency, Board, Commission, Branch",Short Description,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
07/29/2022 09:00:00 AM,07/29/2022 12:00:00 PM,Citizen Involvement Advisory Committee Meeting,Land Conservation & Development Department,,https://us02web.zoom.us/j/84293401249?pwd=TkYvNVRyQ3UzNVNReVlZOU16b0ZMQT09,Zoom meeting,OR,"Adding new members, Sofia and Michael. Welcome!
Hi there,
Ingrid Caudel is inviting you to a scheduled Zoom meeting. 
Join Zoom Meeting 
One tap mobile: 
US: +16699006833,,84293401249#,,,,*297264# or +12532158782,,84293401249#,,,,*297264# 
Meeting URL: 
https://us02web.zoom.us/j/84293401249?pwd=TkYvNVRyQ3UzNVNReVlZOU16b0ZMQT09 
Meeting ID: 
842 9340 1249
Passcode:
297264
Join by Telephone 
For higher quality, dial a number based on your current location. 
Dial: 

US: +1 669 900 6833 or +1 253 215 8782 or +1 346 248 7799 or +1 646 876 9923 or +1 301 715 8592 or +1 312 626 6799 or 888 683 5191 (Toll Free) or 855 880 1246 (Toll Free) or 877 853 5257 (Toll Free) 
Meeting ID: 
842 9340 1249
Passcode: 
297264
",,Ingrid Caudel,(971) 701-1133,Ingrid.CAUDEL@dlcd.oregon.gov,,,,,,,,,,,,,,,,,,,
07/21/2022 08:30:00 AM,07/22/2022 05:00:00 PM,Land Conservation and Development Commission (LCDC) meeting,Land Conservation & Development Department,,"Hybrid Meeting (Salem and Virtual) Basement Hearing Room, Department of Agriculture Building. 635 Capitol St NE, Salem, OR 97301​",Salem,OR,"Reminder: Climate Friendly and Equitable Communities Rulemaking: written comments will be accepted through 11:59 p.m. July 1, 2022. Email: esther.johnson@dlcd.oregon.gov​. Oral testimony will not be accepted at the meeting.​​

More information/links:
https://www.oregon.gov/lcd/Commission/Pages/Meetings.aspx",,Esther Johnson,,esther.johnson@dlcd.oregon.gov,,,,,,,,,,,,,,,,2022-07-LCDC-Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/d73179df-364e-4211-b4c0-492563375e26?download=true&filename=2022-07-LCDC-Agenda.pdf),,,
11/04/2021 09:00:00 AM,11/04/2021 03:00:00 PM,Oregon Ocean Policy Advisory Council,Land Conservation & Development Department,OPAC is Oregon's legislatively established stakeholder advisory committee. ,Online,Salem,OR,,Yes,Andy Lanier,5032062291,Andy.lanier@dlcd.oregon.gov,,,,,,,true,https://us02web.zoom.us/webinar/register/WN_4vWWQPGyQsO9XwjYvzJQLQ,,,https://www.oregonocean.info/index.php/ocean-documents/opac/meetings-1/2021-11-4/2614-opac-draft-meeting-agenda-nov-4-2021/file,,,,http://oregonocean.info/,,,,
05/17/2021 09:00:00 AM,05/17/2021 03:00:00 PM,Oregon Ocean Policy Advisory Council,Land Conservation & Development Department,OPAC is Oregon's legislatively established stakeholder advisory committee. ,Online,Salem,OR,"The next meeting of the Ocean Policy Advisory Council will be held on May 17, 2021. 

Please register to get your Zoom remote connection Information:

When: May 17, 2021 09:00 AM Pacific Time (US and Canada)

Topic: Oregon Ocean Policy Advisory Council
Register in advance for this webinar:

https://us02web.zoom.us/webinar/register/WN_E7njFiCdQVyGNW70My0UFw

After registering, you will receive a confirmation email containing information about joining the webinar.",Yes,Andy Lanier,5032062291,Andy.lanier@state.or.us,,,,,,,true,https://us02web.zoom.us/webinar/register/WN_E7njFiCdQVyGNW70My0UFw,,,https://www.oregonocean.info/index.php/opac-documents/meetings-1/2554-opac-draft-meeting-agenda-may-17-2021-1/file,,,,http://oregonocean.info/,,,,
04/02/2021 02:00:00 PM,04/02/2021 04:00:00 PM,OAH Council Meeting - April 2021,Land Conservation & Development Department,OAH Council Meeting,Zoom Meeting,Salem,OR,"Topic: OAH Council Meeting - April 2021
Time: Apr 2, 2021 02:00 PM Pacific Time (US and Canada)

Join ZoomGov Meeting
https://www.zoomgov.com/j/16075743485

Meeting ID: 160 7574 3485
One tap mobile
+16692545252,,16075743485# US (San Jose)
+16692161590,,16075743485# US (San Jose)

Dial by your location
        +1 669 254 5252 US (San Jose)
        +1 669 216 1590 US (San Jose)
",,"Liz Perotti, PhD",541-961-3984,Elizabeth.A.Perotti@state.or.us,,,,,,,,,,,,,,,,Oregon OAH Council_OAH Multiagency Report_02.2021 Submission.pdf (https://data.oregon.gov/views/gs36-7t8m/files/8f795a9f-0891-411d-a39c-eeb678373626?download=true&filename=Oregon%20OAH%20Council_OAH%20Multiagency%20Report_02.2021%20Submission.pdf),,,
12/18/2020 08:30:00 AM,12/18/2020 01:00:00 PM,Ocean Policy Advisory Council,Land Conservation & Development Department,OPAC,Zoom Webinar,Salem,OR,"Register in advance for this webinar:
https://us02web.zoom.us/webinar/register/WN_Ho_kQa8WScGBsyx5h09bWg


After registering, you will receive a confirmation email containing information about joining the webinar.

",,Andy Lanier,,andy.lanier@state.or.us,,,,,,,,,,,,,,,http://oregonocean.info/,,,,
11/09/2020 01:00:00 PM,11/09/2020 05:00:00 PM,TSP Rocky Habitat Working Group,Land Conservation & Development Department,An OPAC subcommittee meeting to discuss amendments to the Rocky Habitat Management Strategy. ,Online,Salem,OR,"Rocky Habitat Working Group Meeting
 
The Rocky Habitat Working Group will be meeting to discuss the Initial Proposal Period and next steps for Phase III of the Rocky Habitat Management Strategy update.
 
Meeting Information
                                                                                                                                                                                                                                 
Date – Monday, November 9, 2020
 
Time – 1:00 PM – 5:00 PM
 
Location – Remotely via web ONLY (connection details)",Yes,Andy Lanier,5032062291,Andy.lanier@state.or.us,,,https://www.oregonocean.info/index.php/component/jevents/eventdetail/117/24%7C32%7C25%7C26%7C27%7C34/rocky-habitat-working-group-meeting?Itemid=1,Andy Lanier,5032062291,Andy.lanier@state.or.us,true,https://us02web.zoom.us/j/81624814177?pwd=MnN3V0Zsdi9ZYnY2eUltWHp1VnpWUT09,,,,,,,http://oregonocean.info/,,,,
08/18/2020 11:00:00 AM,08/18/2020 03:00:00 PM,Housing Rulemaking Advisory Committee Meeting,Land Conservation & Development Department,Rulemaking regarding HB 2001 and HB 2003,Basement Hearing Room: 635 Capitol St., Salem,OR,,yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,
07/14/2020 11:00:00 AM,07/14/2020 03:00:00 PM,Housing Rulemaking Advisory Committee Meeting,Land Conservation & Development Department,Rulemaking regarding HB 2001 and HB 2003,Basement Hearing Room: 635 Capitol St., Salem,OR,,yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,
06/09/2020 11:00:00 AM,06/09/2020 03:00:00 PM,Housing Rulemaking Advisory Committee Meeting,Land Conservation & Development Department,Rulemaking regarding HB 2001 and HB 2003,Basement Hearing Room: 635 Capitol St., Salem,OR,,yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,https://www.oregon.gov/lcd/LAR/Pages/Housing.aspx,,,,
