"full_library_name","address","county","type_of_library","mailing_address","phone_number","fax_number","email_address","website","library_system_membership","geo_address","full_address"
"Yamhill County Law Library","536 NE 5th St., McMinnville, OR 97128","Yamhill","Special","535 NE 5th St., McMinnville, OR 97128","(503) 434-7444",,"library@co.yamhill.or.us",,,"POINT (-123.193522 45.211433)","POINT (-123.193522 45.211433)"
"Multnomah County Library - Woodstock Library","6008 SE 49th Ave, Portland, OR 97206","Multnomah","Public",,"(503)988-5123","(503)988-5173",,,"NONE","POINT (-122.612413 45.478859)","POINT (-122.612413 45.478859)"
"Baker County Public Library - Haines Branch Library","818 Cole St., Haines, OR 97833","Baker","Public",,"(541) 856-3309",,"haines@bakerlib.org",,"NONE","POINT (-117.937906 44.912858)","POINT (-117.937906 44.912858)"
"Winston Library","440 SE Grape Ave, Winston, OR 97496","Douglas","Public","PO Box 638, Winston, OR 97496","(541) 679-5501",,,"https://winslibrary.com/","NONE","POINT (-123.407187 43.116061)","POINT (-123.407187 43.116061)"
"George Fox University - Murdock Learning Resource Center","416 N Meridian St., Newberg, OR 97132-2698",,"Academic",,"503-554-2410","503-554-3599",,"http://library.georgefox.edu/",,"POINT (-122.970549 45.303586)","POINT (-122.970549 45.303586)"
"Josephine Community Library District - Illinois Valley Branch Library","209 West Palmer, Cave Junction, OR 97523","Josephine","Public","200 NW C Street, Grants Pass, OR 97526","541-592-4778",,,"http://www.josephinelibrary.org","NONE","POINT (-123.647687 42.168361)","POINT (-123.647687 42.168361)"
"Jackson County Library Services Business Office","205 South Central Ave., Medford, OR 97501","Jackson","Public",,"(541) 774-8679","(541) 774-6748","info.@jcls.org","http://www.jcls.org",,"POINT (-122.870122 42.324345)","POINT (-122.870122 42.324345)"
"Benton County Law Library","559 NW Monroe Avenue, Corvallis, OR 97330","Benton","Special","Sunset Building, 4077 SW Research Way, Corvallis, OR 97333","(541) 766-6673",,"martha.a.jenkins@co.benton.or.us","http://www.co.benton.or.us/boc/law_library.php",,"POINT (-123.263818 44.565082)","POINT (-123.263818 44.565082)"
"Jefferson County Library District","241 SE 7TH St, Madras, OR 97741-1610","Jefferson","Public","241 SE 7th St, Madras, OR 97741","(541) 475-3351","(541) 475-7434","library@jcld.org","http://www.jcld.org","NONE",,
"Klamath County Library - Bonanza Branch Library","31703 HIGHWAY 70, Bonanza, OR 97623","Klamath","Public","PO Box 218, Bonanza, OR 97623","(541) 545-6944","(541) 545-6944","bonanzastaff@klamathlibrary.org","http://www.klamathlibrary.org","NONE",,
"Banks Public Library","42461 NW Market St, Banks, OR 97106","Washington","Public","42461 NW Market St, Banks, OR 97106","(503) 324-1382","(503) 324-7017",,"http://www.wccls.org","WCCLS","POINT (-123.113802 45.619679)","POINT (-123.113802 45.619679)"
"Multnomah County Library - Sellwood-Moreland Library","7860 SE 13th Ave, Portland, OR 97202","Multnomah","Public",,"(502) 988-5123",,,"https://multcolib.org/","NONE","POINT (-122.652993 45.467789)","POINT (-122.652993 45.467789)"
"Warrenton Community Library","160 S. Main Ave, Warrenton, OR 97146","Clatsop","Public","PO Box 250, Warrenton, OR 97146","(503) 861-8156",,"warrentoncl@gmail.com","http://www.warrentonlibrary.org","NONE","POINT (-123.924954 46.16421)","POINT (-123.924954 46.16421)"
"Oregon Historical Society Research Library","1200 SW Park Avenue, Portland, OR 97205","Multnomah","Special","1200 SW Park Avenue, Portland, OR 97205","(503) 306-5240",,"libreference@ohs.org","http://ohs.org",,"POINT (-122.68247 45.516149)","POINT (-122.68247 45.516149)"
"Klamath County Library - Chemult Branch Library","120 Damon Street, Chemult, OR 97731","Klamath","Public","PO Box 155, Chemult, OR 97731","(541) 365-2412","(541) 365-2412","chemultstaff@klamathlibrary.org","http://www.klamathlibrary.org","NONE","POINT (-121.783663 43.214986)","POINT (-121.783663 43.214986)"
"Pendleton Public Library","502 SW Dorion Ave, Pendleton, OR 97801","Umatilla","Public","502 SW Dorion Ave, Pendleton, OR 97801","(541) 966-0380","(541) 966-0382","jennifer.costley@ci.pendleton.or.us","https://pendleton.or.us/library","UCSLD","POINT (-118.791573 45.670235)","POINT (-118.791573 45.670235)"
"Oregon Trail Library District","200 S Main St, Boardman, OR 97818","Morrow","Public","PO Box 849, Boardman, OR 97818","(541) 481-2665","(541) 481-2668","kstreet@otld.org","https://www.otld.org/","NONE","POINT (-119.700766 45.835036)","POINT (-119.700766 45.835036)"
"Linn-Benton Community College","6500 SW Pacific Blvd., Albany, OR 97321-3774","Linn","Academic",,"541-917-4638","541-917-4692","libref@linnbenton.edu","http://library.linnbenton.edu",,"POINT (-123.109852 44.588423)","POINT (-123.109852 44.588423)"
"Baker County Public Library - Sumpter Branch Library","245 S Mill St, Sumpter, OR 97877","Baker","Public","PO Box 67, Sumpter, OR 97877","(541) 894-2253",,"sumpter@bakerlib.org",,"NONE","POINT (-118.201849 44.744206)","POINT (-118.201849 44.744206)"
"Bushnell University - E P Kellenberger Library","1188 Kincaid, Eugene, OR 97401-3727","Lane","Academic","828 East 11th Ave., Eugene, OR 97401","541-684-7235","541-684-7333","librarian@bushnell.edu","https://www.bushnell.edu/academics/library/",,"POINT (-123.078634 44.046761)","POINT (-123.078634 44.046761)"
"Klamath County Library - Chiloquin Branch Library","140 S 1st Ave, Chiloquin, OR 97624","Klamath","Public","PO Box 666, Chiloquin, OR 97624","(541) 783-3315","(541) 783-3315","chiloquinstaff@klamathlibrary.org","http://www.klamathlibrary.org","NONE","POINT (-121.863551 42.575566)","POINT (-121.863551 42.575566)"
"Oakland Public Library","637 NE Locust St, Oakland, OR 97462","Douglas","Public",,"(541) 459-9784",,"libraryclerk.oaklandcitylibrary@gmail.com","https://oaklandor.biblionix.com/catalog/","NONE","POINT (-123.294031 43.423767)","POINT (-123.294031 43.423767)"
"Molalla Public Library","201 E Fifth St, Molalla, OR 97038","Clackamas","Public","PO Box 1289, Molalla, OR 97038","(503) 829-2593","(503) 759-3486","moref@lincc.lib.or.us","http://www.cityofmolalla.com/library","LINCC","POINT (-122.57745 45.143719)","POINT (-122.57745 45.143719)"
"Albany Public Library","2450 14th Avenue SE, Albany, OR 97322","Linn","Public","2450 14th Avenue SE, Albany, OR 97322","(541) 917-7580","(541) 917-7586","AskAlbany@cityofalbany.net","http://library.cityofalbany.net","NONE","POINT (-123.075018 44.628636)","POINT (-123.075018 44.628636)"
"Gutenberg College","1883 University Street, Eugene, OR 97403","Lane","Academic",,"541-683-5141","541-683-6997",,"http://www.gutenberg.edu/student_life/library_services.php",,"POINT (-123.074674 44.039165)","POINT (-123.074674 44.039165)"
