"county","project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Lane","Corey Commons","2000 S 8th St","Cottage Grove","St Vincent de Paul of Lane County","541-687-5820","21",,,,,,
"Lane","Cottage Grove Housing","900 N Douglas St","Cottage Grove","Lovelace Properties","541-942-3643","40",,,"40",,,
"Lane","Gateway Apts","125 Gateway Blvd","Cottage Grove","DMP Investments","541-942-7642","37",,,"1","26","10",
"Lane","Jefferson Park Apts","325 S 5th St","Cottage Grove","Umpqua Community Property Management","541-942-4808","53",,,"48","5",,
"Lane","Omer Apts","534 E Main St","Cottage Grove","St Vincent de Paul of Lane County","541-687-5820","12",,,,,,
"Lane","Riverview Terrace","925 W Main St","Cottage Grove","Housing & Community Services Agency (HACSA)","541-682-3755","60",,,"60",,,
"Lane","South Lane Transitional","1345 Birch Ave","Cottage Grove","South Lane MH","503-942-2850","1",,,,,,"1"
"Lane","Witherspoon Court Apts","1390 Pennoyer Ave","Cottage Grove","Cascade Management Inc.","541-767-0732","20",,,"20",,,
"Lane","Camas Apts","420 S 2nd St","Creswell","Cascade Management Inc.","541-895-3990","36",,,"4","32",,
"Lane","Cresview Villa","350 S 2nd St","Creswell","Housing & Community Services Agency (HACSA)","541-682-3755","34",,,"34",,,
"Lane","15th St Duplex & 4 Plex","447 E 15th Ave","Eugene","Jennings Group, Inc.","541-683-2271","6",,,"6",,,
"Lane","Abbie Lane","1011 Abbie Ln","Eugene","Housing & Community Services Agency (HACSA)","541-682-3755","25",,,,"13","12",
"Lane","Apple Orchard","2670 Edgewood Dr","Eugene","Cambridge Real Estate Services","541-461-3060","40",,"20","20",,,
"Lane","Arthur Street Duplexes","1533 Arthur St","Eugene","Shangri-La","503-581-1732","2",,,,,,
"Lane","Aurora Building","100 E 11th Ave","Eugene","St Vincent de Paul of Lane County","541-687-5820","54",,"11","35","8",,
"Lane","Bascom Village","3077 Matt Dr","Eugene","Cascade Management Inc.","541-525-8228","48",,,"16","21","11",
"Lane","Cabana Apts","2525 Portland St","Eugene","ColumbiaCare Services Inc.","541-858-8170","21",,,"17","4",,
"Lane","Capital Manor","2420 Willakenzie Rd","Eugene","Income Property Management","541-344-1452","36",,,,"31","5",
"Lane","Cedars Apts","25 W 30th Ave","Eugene","Jennings Group, Inc.","541-485-1718","3",,,"3",,,
"Lane","Coburg Road Apts","1121 Coburg Rd","Eugene","Bennett Management","541-342-3457","35",,,"2","21","12",
"Lane","Delta Court","850 Hunsaker Ln","Eugene","Cambridge Real Estate Services","541-461-3060",,,,,,,
"Lane","Firwood Apts","2111 W 12th","Eugene","Housing & Community Services Agency (HACSA)","541-682-3755","90",,,,,,
"Lane","Firwood Manor","1877 Brewer Ave","Eugene","Guardian Real Estate Services","541-687-0946","79",,,"42","28","9",
"Lane","Fourteen Pines","2784 Willakenzie Rd","Eugene","Housing & Community Services Agency (HACSA)","541-485-2299","65",,,"20","32","13",
"Lane","Garfield Apts","120 N Garfield St","Eugene","St Vincent de Paul of Lane County","541-687-5820","9",,,,,,
"Lane","Green Leaf Village","2755 W Lone Oak Lp","Eugene","Cambridge Real Estate Services","541-461-3060","34",,"6","4","22","2",
"Lane","Hawthorn Apts","2988 Oak St","Eugene","Cascade Management Inc.","541-683-6734","35",,,"35",,,
"Lane","Hawthorne Park","3400 Hawthorne Ave","Eugene","Umbrella Properties, Inc.","541-688-1128","30",,,"8","14","8",
"Lane","Hope Circle","342 Hope Lp","Eugene","St Vincent de Paul of Lane County","541-687-5820","12",,,,"12",,
"Lane","Jacobs Lane","3450 Jacobs Ln","Eugene","Cascade Management Inc.","541-461-2279","63",,"11","22","20","10",
"Lane","Kingsley Court","1755 Kingsley Rd","Eugene","Pacific Retirement","541-338-4300","68",,,"68",,,
"Lane","Lamb Building","1135 Hayes St","Eugene","St Vincent de Paul of Lane County","541-687-5820","35",,,,,,
"Lane","Lamplighter Apts","190 E 24th Ave","Eugene","St Vincent de Paul of Lane County","541-687-5820","15",,,"5","10",,
"Lane","Laurel Court Apts","3420 Jacobs Ln","Eugene","Laurel Hill Center","541-689-3967","17",,,"16","1",,
"Lane","Laurel Gardens","1775 W 12th Ave","Eugene","Cascade Management Inc.","541-302-3353","41",,,"41",,,
"Lane","Laurel Grove Apts","1880 Cleveland St","Eugene","Laurel Hill Center","541-689-3967","16",,,"15","1",,
"Lane","Lawrence Court","377 W 8th Ave","Eugene","Sterling Management","541-343-0433","51",,,"51",,,
"Lane","Mac MacDonald","1055 Bennett Ln","Eugene","St Vincent de Paul of Lane County","541-687-5820","24",,,"16","8",,
"Lane","Mainstream Apts","433 W 8th Ave","Eugene","Mainstream Housing, Inc.","541-484-4868","9",,"1","5","3",,
"Lane","Maplewood Meadows","2855 Matt Dr","Eugene","Housing & Community Services Agency (HACSA)","541-682-3755","38",,,,,"35","3"
"Lane","Mary Skinner Apts","335 W 2nd Ave","Eugene","St Vincent de Paul of Lane County","541-687-5820","40",,"40",,,,
"Lane","Oak Leaf Village","205 Green Ln","Eugene","Cambridge Real Estate Services","541-461-3060","14",,,,,,
"Lane","Oakwood Manor","1665 Oakpatch Rd","Eugene","St Vincent de Paul of Lane County","541-687-5820","72",,,"25","23","24",
"Lane","Olive Plaza","1133 Olive St","Eugene","Viridian Management","541-683-3247","150",,,"140",,,"10"
"Lane","Orchards Willakenzie","Willakenzie Dr & Kings Dr","Eugene","Housing & Community Services Agency (HACSA)","541-682-3755","20",,,"18","2",,
"Lane","Parkview Terrace","255 High St","Eugene","Housing & Community Services Agency (HACSA)","541-682-3755","36",,,,"12","24",
"Lane","Prairie View","584 N Danebo Ave","Eugene","Cambridge Real Estate Services","541-683-0934","65",,"13","13","13","26",
"Lane","Redwood Park","4103 W 18th Ave","Eugene","Riverstone Residential Group","541-484-5775","232",,"6","180","46",,
"Lane","Richardson Bridge Apts","1210 Acorn Park Dr","Eugene","Cascade Management Inc.","541-484-7368","31",,,,"8","23",
"Lane","River Kourt Apartments","50 Kourt Dr","Eugene","Viridian Management","541-461-8135","20",,,"20",,,
"Lane","Ross Lane","2640 Ross Ln; 500 Helen","Eugene","St Vincent de Paul of Lane County","541-687-5820","36",,,,"20","14","2"
"Lane","Santa Clara Place","120 Santa Clara Ave","Eugene","St Vincent de Paul of Lane County","541-687-5820","60",,,"19","22","19",
"Lane","Sheldon Village","2475 Sheldon Village Lp","Eugene","Cascade Management Inc.","541-461-0341","78",,"10","18","42","8",
"Lane","Shepard Apts","938 Jefferson St","Eugene","Halfway House Services","541-343-5831","9",,,"7","2",,
"Lane","Sorgenfri","3400 Hawthorne Ave","Eugene","Sorgenfri LLC","541-688-1128","94",,"46","44","4",,
"Lane","South Hilyard Terrace","535 Betty Niven Dr","Eugene","St Vincent de Paul of Lane County","541-687-5820","22",,,"2","14","6",
"Lane","Stellar Apts","1541 City View","Eugene","St Vincent de Paul of Lane County","541-687-5820","11",,,,,,
"Lane","Turtle Creek Apts","975 Hatton Ave","Eugene","Cascade Management Inc.","541-689-3977","27",,,,"25","2",
"Lane","VetLIFT","951 W 7th Ave","Eugene","St Vincent de Paul of Lane County","541-687-5820","25",,"13","12",,,
"Lane","Village Oaks","3608 W 18th Ave","Eugene","Housing & Community Services Agency (HACSA)","541-682-2567","67",,,"17","43","7",
"Lane","Walnut Park Townhouses","925 Hatton Ave","Eugene","Housing & Community Services Agency (HACSA)","541-689-3977","38",,,,"21","17",
"Lane","West Hills Village Apts","1459 City View St","Eugene","Umbrella Properties","541-344-3311","10",,,"5","5",,
"Lane","West Town on 8th","265 W 8th Ave","Eugene","Cambridge Real Estate Services","541-485-3273","102",,,,,,
"Lane","Willakenzie Crossing","3057 Willakenzie Rd","Eugene","Cambridge Real Estate Services","541-636-4677","56",,,,,,
"Lane","Willakenzie Townhomes","3202 Willakenzie Rd","Eugene","Cascade Management Inc.","541-686-1706","25",,,,"13","12",
"Lane","Willamette Gardens","3545 Kinsrow Ave","Eugene","Public Private Partnerships Inc.","541-342-7368","240",,,"48","96","96",
"Lane","Willamette Street","2966 Willamette St","Eugene","Jennings Group, Inc.","541-683-2271","12",,"12",,,,
"Lane","Woodleaf Village","745 Woodleaf Ln","Eugene","Cambridge Real Estate Services","541-345-5671","60",,,,"48","12",
"Lane","Ya Po Ah Terrace","350 Pearl St","Eugene","Manor Management","541-342-5329","222",,,"182","40",,
"Lane","Laurelwood Homes","1137 Maple St","Florence","Housing & Community Services Agency (HACSA)","541-902-0691","30",,,"30",,,
"Lane","Munsel Park Apts","2021 12th St","Florence","Cascade Management Inc.","541-997-2661","44",,,"36","8",,
"Lane","New Winds Apts","750 Laurel St","Florence","Cascade Management Inc.","541-902-2265","18",,,"17","1",,
"Lane","Oak Terrace Apts","2350 Oak St","Florence","St Vincent de Paul of Lane County","541-687-5820","48",,,,"24","24",
"Lane","Pines Apts","1550 Airport Rd","Florence","Northwest Real Estate Capital Corp.","541-997-2022","25",,,,"11","14",
"Lane","Siuslaw Dunes","1750 W 43rd St","Florence","Cascade Management Inc.","541-997-6036","45",,,"6","31","8",
"Lane","Tanglewood","1919 15th St","Florence","Lovelace Properties","541-997-8817","40",,,"36","4",,
"Lane","Windsong Apts","1365 Spruce St","Florence","Lovelace Properties","541-997-5398","31",,,"29","2",,
"Lane","Alona Place","1st Ave & Oak St","Junction City","St Vincent de Paul of Lane County","541-687-5820","40",,,,,,
"Lane","Eric Park Apts","292 Oak St","Junction City","Viridian Management","541-998-3935","20",,,"18","2",,
"Lane","Lindeborg Place","840 Holly St","Junction City","Housing & Community Services Agency (HACSA)","541-998-2142","40",,,"40",,,
"Lane","Norseman Village","920 W 1st Ave","Junction City","Cascade Management Inc.","541-998-2236","44",,,"40","4",,
"Lane","Northtowne Apts","475 E 9th Ave","Junction City","Mountain Home Management.","541-998-2303","34",,,"34",,,
"Lane","Covered Bridge Estates","501 N Moss St","Lowell","Viridian Management","541-937-2621","16",,,"2","13","1",
"Lane","Ironwood Village Apts","47537 Teller Rd","Oakridge","Preferred Northwest Property Management","541-782-3714","24",,,"10","10","4",
"Lane","Mountain View Manor","76365 Fern St","Oakridge","Northwest Real Estate Capital Corp.","208-375-9407","24",,,"23","1",,
"Lane","Afiya Apts","1082 Main St","Springfield","ShelterCare, Inc.","541-686-1262","16",,,,,,
"Lane","Aquarius Apts","1490 N 5th St","Springfield","Mainstream Housing, Inc.","541-484-4868","26",,,,,,
"Lane","Ash Meadows","6903 A St","Springfield","St Vincent de Paul of Lane County","541-687-5820","18",,,,"8","10",
"Lane","Aster Apts","1955 3rd St","Springfield","St Vincent de Paul of Lane County","541-687-5820","54",,,,,,
"Lane","Bluebelle I","249 S 41st Pl","Springfield","St Vincent de Paul of Lane County","541-687-5820","10",,,,"5","5",
"Lane","Bluebelle II","1061 S St","Springfield","St Vincent de Paul of Lane County","541-687-5820","3",,,,,"3",
"Lane","Cinza Addition","5th & M St","Springfield","St Vincent de Paul of Lane County","541-687-5820","6",,,"6",,,
"Lane","Island Park Apts","131 C St","Springfield","Paladin Real Estate & Property Management, LLC","541-741-3914","17",,,"17",,,
"Lane","Lindale Apts","363 Lindale Dr","Springfield","Al Angelo Company","541-747-1234","28",,,"9","19",,
"Lane","McKenzie Meadow Apts","715 Oakdale Ave","Springfield","Umbrella Properties","541-726-6361","100",,"21","69","10",,
"Lane","McKenzie Village","300 W Fairview Dr","Springfield","Housing & Community Services Agency (HACSA)","541-682-3755","38",,,"12","16","10",
"Lane","Mill Street Apts","465 Mill St","Springfield","St Vincent de Paul of Lane County","541-687-5820","10",,,,,,"10"
"Lane","The Myrtlewood","1072 Main St","Springfield","St Vincent de Paul of Lane County","541-687-5820","35",,,,,,
"Lane","Park at Emerald Village","1950 2nd St","Springfield","Housing & Community Services Agency (HACSA)","541-988-0575","96",,,"8","40","48",
"Lane","Pengra Court","1290 R St","Springfield","Housing & Community Services Agency (HACSA)","541-682-3755","25",,,,"11","14",
"Lane","Rainbow Village","1250 Rainbow Dr","Springfield","Guardian Real Estate Services","541-746-8958","74",,,"20","40","14",
"Lane","Royal Building","509 Main St","Springfield","St Vincent de Paul of Lane County","541-687-5820","33",,,"33",,,
"Lane","Thurston Apts","5495 A St","Springfield","ColumbiaCare Services Inc.","541-858-8170","12",,,"12",,,
"Lane","Village East Apts","6330 Main St","Springfield","Guardian Real Estate Services","541-747-8171","42",,,"2","36","4",
"Lane","Heather Glen","87962 Territorial Rd","Veneta","St Vincent de Paul of Lane County","541-687-5820","27",,,"6","14","7",
"Lane","Pioneer Park Apts","88059 5th St","Veneta","Grand Management Services, Inc.","541-269-5561","20",,,"18","2",,
"Lane","Sunburst Manor","88078 6th St","Veneta","Grand Management Services, Inc.","541-935-0913","9",,,,"9",,
"Lane","Veneta Villa","25115 E Broadway","Veneta","Housing & Community Services Agency (HACSA)","541-682-3755","30",,,,,,
