"institution","course","activitycode","title","programs","programcount","totalhours","lecturehours","labhours","lecturelabhours","credits","noncreditcontacthours","alternatelabel","cip","description"
"Rogue",".600","360","Spanish I",,"0","15","0","0","0","0","15",,,"Students will learn basic communication skills for use when traveling. Covers ordering food, arranging transportation, getting directions, and bartering at markets. Also covers common vocabulary and phrases, basic grammar, as well as past, present and future tenses."
"Rogue",".601","360","Spanish II",,"0","15","0","0","0","0","15",,,"Covers regular and irregular verbs (present, present progressive, formal future, informal future and past tenses), the use of demonstrative adjectives, pronouns, as well as possessive adjectives and pronouns."
"Rogue",".602","360","Spanish III",,"0","15","0","0","0","0","15",,,"Reviews grammar, vocabulary, verb tenses, reading, writing and conversation. Covers verbs in present, present progressive, future (formal and informal), conditional and past tenses. Also includes the use of POR/PARA prepositions and reflexive object pronouns (reflexive verbs). All of them will be integrated through simple and complex sentence constructions, dialogues, text translations, role playing and reading."
"Rogue",".603","360","Spanish IV",,"0","15","0","0","0","0","15",,,"Continues from intermediate Spanish covering verb tenses of imperfect, present, past perfect and subjunctive forms, also direct and indirect object pronouns. Subjects will be integrated and articulated with each other through simple and complex sentence constructions, dialogues, text translations, reading, answering questions and several activities in the classroom that develop the four skills for foreign language acquisition – reading, writing, communicative abilities and linguistic performance skills."
"Rogue",".615","360","Italian Conversation for Travelers I",,"0","12","0","0","0","0","12",,,"Develop basic conversation skills in Italian that will help you communicate and better understand your surroundings when you travel. Class will cover pronunciation, greetings, common phrases, travel tips, as well as cultural and geographical information."
"Rogue",".616","360","Italian Conversation for Travelers II",,"0","12","0","0","0","0","12",,,"Develop intermediate conversation skills in Italian. Class is designed to review and increase speaking skills and cultural understanding. Class will include exercises in grammar, reading and composition."
"Rogue",".620","360","American Sign Language I",,"0","15","0","0","0","0","15",,,"Learn to speak with your hands. Develop the skills and knowledge needed to communicate in ASL. You will be introduced to basic sign language vocabulary, fingerspelling and various aspects of Deaf culture."
"Rogue",".621","360","American Sign Language II",,"0","15","0","0","0","0","15",,,"Build on the skills you have already gained from ASL I and continue to improve your signing. Class covers vocabulary, language structure, grammar and culture."
"Rogue",".622","360","American Sign Language III",,"0","15","0","0","0","0","15",,,"This class will go beyond the basics of ASL-1 and ASL-2. Typical conversational situations will incorporate more advanced techniques such as the use of signing spaces, specific time indicators, multi-directional, uni-directional, and non-directional verb signs. Increased use of “classifiers” along with body movement and facial expressions will also be integrated into the classroom experience."
"Rogue",".655","360","Learn & Earn Crypto",,"0","10","0","0","0","0","10",,,"Bitcoin. Ethereum. Solana. Cardano. In this fully online course, not only will you learn to explain, use, examine, and evaluate crypto—you also will earn it. Part of the tuition you pay to take this course contributes directly to a fund. Each week we engage in learning opportunities to earn coins out of this fund. The more you contribute to the course, and the higher the quality of your contribution each week, the more you can get paid.   
Since the crypto in this fund comes from the tuition that you and your classmates pay in, you are, in essence, paying each other to do well in the class. After each activity, you also will vote on the best contributors, who will enter raffles to earn even more crypto. In this way, cryptocurrency is creating an entirely new social grading experience. Come learn & earn in one of the fastest growing financial sectors today!"
