Hospital Name,Patient Days,Observed Infections,Predicted Infections,2016 SIR,SIR 95% CI,SIR Interpretation (2015 US Baseline),2020 HHS Targets,County,HPP Region,Location 1,SIR Icon,Benchmark Icon
 1. All Oregon,1485707,56,87.57,    0.639,"0.488, 0.824",Statistically fewer infections,Target Not Met,,,,https://data.oregon.gov/views/24mx-gb9u/files/111eb59d-a064-481e-8abc-0be985e0339d,
Kaiser Permanente Westside Medical Center,25951,1,0.69,*,*,#s too small to calculate,,WASHINGTON,Region1,"2875 NW STUCKI AVE
HILLSBORO 97124
(45.539113, -122.877205)",,
Asante Rogue Regional Medical Center,76241,3,4.17,    0.720,"0.183, 1.959",Fewer infections,Target Not Met,JACKSON,Region5,"2825 EAST BARNETT ROAD
MEDFORD 97504
(42.3174104, -122.8302961)",https://data.oregon.gov/views/24mx-gb9u/files/9cef4108-3f0a-4591-9178-a5a2a3d028c2,
Bay Area Hospital,28724,1,1.15,    0.870,"0.044, 4.293",Fewer infections,Target Not Met,COOS,Region3,"1775 THOMPSON ROAD
COOS BAY 97420
(43.3835349, -124.2329741)",https://data.oregon.gov/views/24mx-gb9u/files/aad4ad3a-012b-47e9-a52d-4d9f24311ea4,
Providence Medford Medical Center,30231,2,1.03,    1.948,"0.327, 6.436",More infections,Target Not Met,JACKSON,Region5,"1111 CRATER LAKE AVENUE
MEDFORD 97504
(42.3396452, -122.8628254)",https://data.oregon.gov/views/24mx-gb9u/files/3977805a-c2d0-4630-9223-dc14ff102ecd,
Good Samaritan Regional Medical Center,40064,1,1.91,    0.522,"0.026, 2.576",Fewer infections,Target Not Met,BENTON,Region2,"3600 NORTHWEST SAMARITAN DRIVE
CORVALLIS 97330
(44.6034337, -123.2523328)",https://data.oregon.gov/views/24mx-gb9u/files/e4255440-7466-4e68-9911-337d122dd345,
Sky Lakes Medical Center,19880,1,1.2,    0.834,"0.042, 4.114",Fewer infections,Target Not Met,KLAMATH,Region7,"2865 DAGGETT AVENUE
KLAMATH FALLS 97601
(42.2529597, -121.7846535)",https://data.oregon.gov/views/24mx-gb9u/files/1fac33e4-4a8e-43b6-a01e-a7a5a25dd6c9,
Legacy Good Samaritan Medical Center,42046,1,2.6,    0.385,"0.019, 1.898",Fewer infections,SIR Target (<0.50) Met,MULTNOMAH,Region1,"1015 NORTHWEST 22ND AVENUE
PORTLAND 97210
(45.5302217, -122.6973884)",https://data.oregon.gov/views/24mx-gb9u/files/4c0b9649-a873-43c6-892d-901a716a3193,https://data.oregon.gov/views/24mx-gb9u/files/10a3bbc7-2ed4-4f0d-9502-2c9941e7a431
Southern Coos Hospital and Health Center,465,0,0.01,*,*,#s too small to calculate,ZERO Infections,COOS,Region3,"900 11TH STREET SOUTHEAST
BANDON 97411
(43.1129603, -124.4018818)",,https://data.oregon.gov/views/24mx-gb9u/files/825edc34-69e7-45f9-a5d3-11c9967c3693
Mid-Columbia Medical Center,7660,0,0.2,*,*,#s too small to calculate,ZERO Infections,WASCO,Region6,"1700 EAST 19TH STREET
THE DALLES 97058
(45.5873161, -121.1644619)",,https://data.oregon.gov/views/24mx-gb9u/files/5e49f8e8-b54f-404d-9567-1bbd32ef9fcb
