"trdtype","usastate","depe","disagmot","mexstate","canprov","country","value","shipwt","freight_charges","df","contcode","month","year"
"1","GA","2304","6","MO",,"2010","574504","0","0","1","0","1","2022"
"1","MA","2303","5","CO",,"2010","29048","0","0","1","0","1","2022"
"1","CA","2507","6","CH",,"2010","1734311","0","0","2","0","1","2022"
"1","GA","2304","6","JA",,"2010","258155","0","0","1","1","1","2022"
"1","IN","2303","6","DF",,"2010","189998","0","0","1","0","1","2022"
"1","MA","2301","8","TM",,"2010","3308","0","0","1","X","1","2022"
"1","AZ","0901","5",,"XO","1220","1384025","0","33988","2","X","1","2022"
"1","CA","2507","6","CH",,"2010","4355669","0","0","1","0","1","2022"
"1","DE","2507","5","BC",,"2010","1315620","0","0","1","0","1","2022"
"1","GA","2304","6","JA",,"2010","33164","0","0","1","0","1","2022"
"1","ID","3803","5",,"XO","1220","4197","0","82","2","X","1","2022"
"1","IN","2303","6","CO",,"2010","185503","0","0","1","0","1","2022"
"1","KY","2506","5","BC",,"2010","1798058","0","0","2","0","1","2022"
"1","MA","2301","6","TM",,"2010","161400","0","0","1","1","1","2022"
"1","AL","2304","6","MX",,"2010","586247","0","0","1","0","1","2022"
"1","AZ","0901","5",,"XO","1220","7034022","0","40068","1","X","1","2022"
"1","CA","0101","5",,"XB","1220","13288","0","259","2","X","1","2022"
"1","CA","2507","6","BC",,"2010","981217","0","0","1","0","1","2022"
"1","CO","2408","5","CH",,"2010","413285","0","0","1","0","1","2022"
"1","DE","2506","5","BC",,"2010","125967","0","0","2","0","1","2022"
"1","FL","2507","5","SO",,"2010","32233","0","0","2","0","1","2022"
"1","GA","2304","6","GT",,"2010","7159","0","0","1","0","1","2022"
"1","IA","2303","6","VE",,"2010","307763","0","0","1","0","1","2022"
"1","ID","3803","5",,"XO","1220","14743546","0","135523","1","X","1","2022"
"1","IL","2604","6","SO",,"2010","4106687","0","0","1","0","1","2022"
"1","IN","2303","5","MX",,"2010","65703","0","0","1","0","1","2022"
"1","KS","2304","5","AG",,"2010","17982","0","0","2","0","1","2022"
"1","KY","2506","5","BC",,"2010","491013","0","0","1","1","1","2022"
"1","KY","3403","6",,"XC","1220","326946","0","13596","1","X","1","2022"
"1","MA","2301","6","TM",,"2010","493238","0","0","1","0","1","2022"
"1","AL","2304","5","HG",,"2010","15265087","0","0","1","0","1","2022"
"1","AL","2304","6","GT",,"2010","171116","0","0","1","1","1","2022"
"1","AR","41XX","3","XX",,"2010","8474","51","0","2","0","1","2022"
"1","AZ","0901","5",,"XM","1220","204972","0","3565","1","X","1","2022"
"1","AZ","4102","3",,"XA","1220","6706","12","142","1","X","1","2022"
"1","AZ","70XX","8",,"XQ","1220","68583","0","2398","2","X","1","2022"
"1","CA","2507","5","AG",,"2010","262797","0","0","1","0","1","2022"
"1","CA","2507","5","YU",,"2010","116496","0","0","1","0","1","2022"
"1","CO","2304","8","DF",,"2010","24973","0","0","1","X","1","2022"
"1","CO","2404","8","SI",,"2010","16349","0","0","1","X","1","2022"
"1","DE","2304","5","CM",,"2010","37140","0","0","2","0","1","2022"
"1","DE","2506","5","BC",,"2010","650624","0","0","1","0","1","2022"
"1","FL","2402","5","OT",,"2010","36552","0","0","2","0","1","2022"
"1","FL","2507","5","SO",,"2010","4650","0","0","1","0","1","2022"
"1","FL","3003","5",,"XQ","1220","4259","0","83","1","X","1","2022"
"1","GA","2304","6","DF",,"2010","20560","0","0","1","1","1","2022"
"1","GA","2305","5","NL",,"2010","125295","0","0","1","0","1","2022"
"1","IA","2303","6","QT",,"2010","81772","0","0","1","0","1","2022"
"1","IA","2304","5","QT",,"2010","1929818","0","0","1","0","1","2022"
"1","ID","3802","6",,"XQ","1220","63832","0","1251","1","X","1","2022"
