"the_geom","placeid","yearplaceid","city","state","citystate","year","month","docksuspended","dockclosed","docklesssuspended","docklessclosed","scootersuspended","scooterclosed","dockid","stationct","stationct_pct","stationct_bin","dockct","docknm","docknmsuspended","docklessct","docklessct_bin","docklessnm","docklessnmsuspended","scooterct","scooterct_bin","scooternm","scooternmsuspended","lat","lon","type","suspscooterct","closedscooterct","suspdocklessct","closeddocklessct","closeddockct","suspdockct","docknotes","docklessnotes","scooternotes","docksuspendednotes","docklesssuspendednotes","scootersuspendednotes","dockclosednotes","docklessclosednotes","scooterclosednotes"
"POINT (-67.1391124 18.2011161)","PR00256","2020PR00256","Mayaguez","PR","Mayaguez, PR","2020","5",,,,,,,,"0",,"0","0",,,"0","0",,,"1","1","Skootel",,"18.2011161","-67.1391124","E-scooters only","0","0","0","0","0","0",,,,,,,,,
"POINT (-77.0074765 38.9778882)","MD00123","2020MD00123","Takoma Park","MD","Takoma Park, MD","2020","3",,,"3/2020",,"3/2020",,,"0",,"0","0",,,"1","1","Lime","Lime","3","3","Bird, Lime, Lyft","Lime","38.9778882","-77.0074765","Dockless and e-scooters","1","0","0","1","0","0",,,,,,,,,
"POINT (-97.1413417 33.1838787)","TX00243","2020TX00243","Denton","TX","Denton, TX","2020","11",,,,"11/2020",,,,"0",,"0","0",,,"0","0",,"Veoride","0","0",,,"33.1838787","-97.1413417",,"0","0","1","0","0","0",,,,,,,,,
"POINT (-117.0991967 32.6781085)","CA0022","2020CA0022","National City","CA","National City, CA","2020","12",,,,"12/2020",,,,"0",,"0","0",,,"0","0",,"Lime","0","0",,,"32.6781085","-117.0991967",,"0","0","1","0","0","0",,,,,,,,,
"POINT (-76.1474244 43.0481221)","NY00254","2020NY00254","Syracuse","NY","Syracuse, NY","2020","11",,,,"11/2020",,,,"0",,"0","0",,,"0","0",,"Gotcha","0","0",,,"43.0481221","-76.1474244",,"0","0","1","0","0","0",,,,,,,,,
"POINT (-76.1474244 43.0481221)","NY00254","2020NY00254","Syracuse","NY","Syracuse, NY","2020","7",,,,,,,,"0",,"0","0",,,"1","1","Gotcha",,"0","0",,,"43.0481221","-76.1474244","Dockless only","0","0","0","0","0","0",,,,,,,,,
"POINT (-95.9528877 36.7421089)","OK00214","2020OK00214","Bartlesville","OK","Bartlesville, OK","2020","3",,,,,,,,"0",,"0","0",,,"0","0",,,"0","0",,,"36.7421089","-95.9528877",,"0","0","0","0","0","0",,,,,,,,,
"POINT (-112.074141 33.4484367)","AZ006","2020AZ006","Phoenix","AZ","Phoenix, AZ","2020","5",,,,,"5/2020","5/2020",,"112","1.760729445055809","4","1","Grid",,"0","0",,,"2","2","Spin, Razor","Spin","33.4484367","-112.074141","Docked and e-scooters","1","1","0","0","0","0",,,,,,,,,
"POINT (-122.330062 47.6038321)","WA00225","2020WA00225","Seattle","WA","Seattle, WA","2020","1",,,,,,,,"0",,"0","0",,,"1","1","Jump",,"0","0",,,"47.6038321","-122.330062","Dockless only","0","0","0","0","0","0",,"Jump acquired by Lime. Operated as Lime starting 05/2020",,,,,,,
"POINT (-95.9528877 36.7421089)","OK00214","2020OK00214","Bartlesville","OK","Bartlesville, OK","2020","12",,,,,,,,"0",,"0","0",,,"0","0",,,"1","1","Lime",,"36.7421089","-95.9528877","E-scooters only","0","0","0","0","0","0",,,,,,,,,
"POINT (-66.1116969 18.3581491)","PR00259","2020PR00259","Guaynabo","PR","Guaynabo, PR","2020","5",,,,,,,,"0",,"0","0",,,"0","0",,,"0","0",,,"18.3581491","-66.1116969",,"0","0","0","0","0","0",,,,,,,,,
