"yearstart","yearend","locationabbr","locationdesc","datasource","class","topic","question","data_value_unit","data_value_type","data_value","data_value_alt","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","sample_size","total","gender","grade","race_ethnicity","geolocation","classid","topicid","questionid","datavaluetypeid","locationid","stratificationcategory1","stratification1","stratificationcategoryid1","stratificationid1"
"2019","2019","AK","Alaska","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily",,"Value","9.6","9.6",,,"5.5","16.5","130",,,,"Asian","
,  
(64.845079957001, -147.722059036)","PA","PA1","Q048","VALUE","02","Race/Ethnicity","Asian","RACE","RACEASN"
"2019","2019","AZ","Arizona","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",,"Value","13.3","13.3",,,"10.7","16.5","1739","Total",,,,"
,  
(34.86597028, -111.763811277)","OWS","OWS1","Q038","VALUE","04","Total","Total","OVR","OVERALL"
"2019","2019","DC","District of Columbia","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",,"Value","17.1","17.1",,,"16.2","17.9","8978","Total",,,,"
,  
(38.890371385, -77.031961127)","OWS","OWS1","Q038","VALUE","11","Total","Total","OVR","OVERALL"
"2019","2019","IL","Illinois","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who participate in daily physical education",,"Value","65.9","65.9",,,"49.8","79.1","876",,,"10th",,"
,  
(40.485010283, -88.997710178)","PA","PA1","Q049","VALUE","17","Grade","10th","GRADE","GRADE10"
"2019","2019","MD","Maryland","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",,"Value","16.7","16.7",,,"14.5","19.2","2573",,,,"2 or more races","
,  
(39.290580964, -76.609260111)","OWS","OWS1","Q039","VALUE","24","Race/Ethnicity","2 or more races","RACE","RACE2PLUS"
"2011","2011","RI","Rhode Island","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",,"Value","11.5","11.5",,,"8.9","14.8","1199",,,"9th",,"
,  
(41.708280193, -71.522470314)","OWS","OWS1","Q038","VALUE","44","Grade","9th","GRADE","GRADE09"
"2019","2019","MT","Montana","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",,"Value","12.2","12.2",,,"10","14.9","1045",,,"10th",,"
,  
(47.066528972, -109.424420645)","OWS","OWS1","Q038","VALUE","30","Grade","10th","GRADE","GRADE10"
"2019","2019","NE","Nebraska","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",,"Value","10.3","10.3",,,"7.7","13.6","649",,"Female",,,"
,  
(41.641040988001, -99.365720623)","OWS","OWS1","Q038","VALUE","31","Gender","Female","GEN","FEMALE"
"2019","2019","NM","New Mexico","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",,"Value","16.7","16.7",,,"15.5","18","4723",,,,"Hispanic","
,  
(34.520880952, -106.240580985)","OWS","OWS1","Q039","VALUE","35","Race/Ethnicity","Hispanic","RACE","RACEHIS"
"2019","2019","NY","New York","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who participate in daily physical education",,"Value","17.4","17.4",,,"14","21.5","8985","Total",,,,"
,  
(42.827001032, -75.543970427)","PA","PA1","Q049","VALUE","36","Total","Total","OVR","OVERALL"
"2019","2019","NC","North Carolina","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",,"Value","17.3","17.3",,,"12","24.3","883",,,"9th",,"
,  
(35.466220975, -79.159250463)","OWS","OWS1","Q038","VALUE","37","Grade","9th","GRADE","GRADE09"
"2019","2019","NC","North Carolina","Youth Risk Behavior Surveillance System","Sugar Drinks","Sugar Drinks - Behavior","Percent of students in grades 9-12 who drank regular soda/pop at least one time per day",,"Value","19.8","19.8",,,"14.9","25.8","698",,,"10th",,"
,  
(35.466220975, -79.159250463)","SD","SD1","Q058","VALUE","37","Grade","10th","GRADE","GRADE10"
"2019","2019","SD","South Dakota","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",,"Value","17","17",,,"13.6","21.2","351",,,"10th",,"
,  
(44.353130053, -100.373530637)","OWS","OWS1","Q038","VALUE","46","Grade","10th","GRADE","GRADE10"
"2019","2019","TX","Texas","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily",,"Value","22.9","22.9",,,"20.7","25.2","1907","Total",,,,"
,  
(31.827240407, -99.426770206)","PA","PA1","Q048","VALUE","48","Total","Total","OVR","OVERALL"
"2019","2019","UT","Utah","Youth Risk Behavior Surveillance System","Sugar Drinks","Sugar Drinks - Behavior","Percent of students in grades 9-12 who drank regular soda/pop at least one time per day",,"Value","11","11",,,"8.5","14","262",,,"11th",,"
,  
(39.360700171, -111.587130635)","SD","SD1","Q058","VALUE","49","Grade","11th","GRADE","GRADE11"
"2017","2017","VT","Vermont","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",,"Value","14.1","14.1",,,"13.6","14.6","18504","Total",,,,"
,  
(43.625381239, -72.517640791)","OWS","OWS1","Q039","VALUE","50","Total","Total","OVR","OVERALL"
"2019","2019","VA","Virginia","Youth Risk Behavior Surveillance System","Sugar Drinks","Sugar Drinks - Behavior","Percent of students in grades 9-12 who drank regular soda/pop at least one time per day",,"Value","19.4","19.4",,,"16.8","22.3","995",,,"12th",,"
,  
(37.542680674, -78.457890463)","SD","SD1","Q058","VALUE","51","Grade","12th","GRADE","GRADE12"
"2019","2019","WV","West Virginia","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",,"Value","16.2","16.2",,,"13.7","19","1066",,,,"Non-Hispanic White","
,  
(38.665510202, -80.712640135)","OWS","OWS1","Q039","VALUE","54","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT"
