"yearstart","yearend","locationabbr","locationdesc","datasource","topic","category","question","response","age","gender","raceethnicity","riskfactor","riskfactorresponse","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","numerator","sample_size","locationid","topicid","categoryid","questionid","responseid","datavaluetypeid","ageid","genderid","raceethnicityid","riskfactorid","riskfactorresponseid","geolocation"
"2013","2013","US","National","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","Female","All races","Diabetes","No","%","Crude Prevalence","4.59",,,"4.41","4.78",,"5117000","59","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GF","ALLRACE","RFDM","RFNO",
"2016","2016","US","National","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","Female","All races","Smoking","No","%","Age-adjusted Prevalence","4.23",,,"4.05","4.42",,"4815000","59","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GF","ALLRACE","RFSM","RFNO",
"2017","2017","US","National","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","Female","All races","Smoking","Yes","%","Age-adjusted Prevalence","9.42",,,"8.78","10.1",,"1669000","59","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GF","ALLRACE","RFSM","RFYES",
"2018","2018","US","National","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","Other","Diabetes","Yes","%","Age-adjusted Prevalence","11.7",,,"9.09","15",,"87000","59","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","OTH","RFDM","RFYES",
"2018","2018","US","National","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","Asian","Smoking","Yes","%","Age-adjusted Prevalence",,"#","Value suppressed",,,,,"59","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","ASN","RFSM","RFYES",
"2016","2016","US","National","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","Other","Smoking","Yes","%","Age-adjusted Prevalence","8.92",,,"7.03","11.3",,"94000","59","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","OTH","RFSM","RFYES",
"2018","2018","NM","New Mexico","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","All races","Diabetes","No","%","Age-adjusted Prevalence","6.08",,,"5.14","7.18",,"81000","35","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","ALLRACE","RFDM","RFNO","POINT (-106 34.5999756)"
"2015","2015","HI","Hawaii","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","40-64 years","All genders","All races","All participants","All participants","%","Crude Prevalence","4.53",,,"3.58","5.71",,"20000","15","TVFUNC","CBLIND","BRVPGL","RYES",,"AGE4064","GALL","ALLRACE","RFAPAR","RFALLPAR2","POINT (-157 21)"
"2016","2016","AK","Alaska","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","Male","All races","All participants","All participants","%","Age-adjusted Prevalence","2.69",,,"1.86","3.89",,"7000","2","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GM","ALLRACE","RFAPAR","RFALLPAR2","POINT (-152 65)"
"2013","2013","ND","North Dakota","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","18-39 years","All genders","All races","All participants","All participants","%","Crude Prevalence","1.74",,,"1.05","2.89",,"4000","38","TVFUNC","CBLIND","BRVPGL","RYES",,"AGE1839","GALL","ALLRACE","RFAPAR","RFALLPAR2","POINT (-100.5 47.5)"
"2013","2013","WI","Wisconsin","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","Other","All participants","All participants","%","Crude Prevalence",,"#","Value suppressed",,,,,"55","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","OTH","RFAPAR","RFALLPAR2","POINT (-89.6999512 44.75)"
"2013","2013","US","National","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","Male","All races","Diabetes","Yes","%","Crude Prevalence","10.1",,,"9.38","10.9",,"1245000","59","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GM","ALLRACE","RFDM","RFYES",
"2018","2018","MI","Michigan","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","Black, non-Hispanic","All participants","All participants","%","Age-adjusted Prevalence","9.37",,,"7.44","11.7",,"89000","26","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","BLK","RFAPAR","RFALLPAR2","POINT (-84.8999634 43)"
"2018","2018","OK","Oklahoma","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","All races","Diabetes","No","%","Crude Prevalence","5.65",,,"4.86","6.55",,"144000","40","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","ALLRACE","RFDM","RFNO","POINT (-97.3999634 35.5999756)"
"2013","2013","AR","Arkansas","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","Other","All participants","All participants","%","Age-adjusted Prevalence",,"#","Value suppressed",,,,,"5","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","OTH","RFAPAR","RFALLPAR2","POINT (-92.5 35)"
"2014","2014","TN","Tennessee","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","North American Native","All participants","All participants","%","Age-adjusted Prevalence",,"#","Value suppressed",,,,,"47","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","AIAN","RFAPAR","RFALLPAR2","POINT (-86 35.7999878)"
"2013","2013","US","National","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","18-39 years","All genders","All races","All participants","All participants","%","Age-adjusted Prevalence","2.81",,,"2.63","3.01",,"2564000","59","TVFUNC","CBLIND","BRVPGL","RYES",,"AGE1839","GALL","ALLRACE","RFAPAR","RFALLPAR2",
"2017","2017","MO","Missouri","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","North American Native","All participants","All participants","%","Age-adjusted Prevalence",,"#","Value suppressed",,,,,"29","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","AIAN","RFAPAR","RFALLPAR2","POINT (-92.5 38.5)"
"2015","2015","IL","Illinois","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","North American Native","All participants","All participants","%","Crude Prevalence",,"#","Value suppressed",,,,,"17","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","AIAN","RFAPAR","RFALLPAR2","POINT (-89.1999512 40)"
"2015","2015","MT","Montana","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","Asian","All participants","All participants","%","Age-adjusted Prevalence",,"#","Value suppressed",,,,,"30","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","ASN","RFAPAR","RFALLPAR2","POINT (-110 47)"
"2016","2016","CT","Connecticut","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","All races","Diabetes","No","%","Crude Prevalence","3.56",,,"3.02","4.18",,"89000","9","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","ALLRACE","RFDM","RFNO","POINT (-72.75 41.5999756)"
"2018","2018","RI","Rhode Island","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","40-64 years","All genders","All races","All participants","All participants","%","Crude Prevalence","4.96",,,"3.88","6.32",,"17000","44","TVFUNC","CBLIND","BRVPGL","RYES",,"AGE4064","GALL","ALLRACE","RFAPAR","RFALLPAR2","POINT (-71.5 41.6999817)"
"2014","2014","KY","Kentucky","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","Asian","All participants","All participants","%","Crude Prevalence",,"#","Value suppressed",,,,,"21","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","ASN","RFAPAR","RFALLPAR2","POINT (-84.2999878 37.5999756)"
"2014","2014","RI","Rhode Island","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","All races","Diabetes","No","%","Crude Prevalence","3.29",,,"2.62","4.13",,"24000","44","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","ALLRACE","RFDM","RFNO","POINT (-71.5 41.6999817)"
"2018","2018","TX","Texas","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","Male","All races","All participants","All participants","%","Crude Prevalence","5.27",,,"4.12","6.74",,"543000","48","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GM","ALLRACE","RFAPAR","RFALLPAR2","POINT (-99 31.5)"
"2013","2013","US","National","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","Black, non-Hispanic","Smoking","No","%","Age-adjusted Prevalence","6.57",,,"6.06","7.12",,"1414000","59","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","BLK","RFSM","RFNO",
"2014","2014","US","National","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","Female","Asian","All participants","All participants","%","Crude Prevalence","3.33",,,"2.17","5.06",,"191000","59","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GF","ASN","RFAPAR","RFALLPAR2",
"2017","2017","NV","Nevada","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","Female","All races","All participants","All participants","%","Age-adjusted Prevalence","7.44",,,"5.79","9.53",,"87000","32","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GF","ALLRACE","RFAPAR","RFALLPAR2","POINT (-116.699951 39.5)"
"2015","2015","PR","Puerto Rico","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","Asian","All participants","All participants","%","Crude Prevalence",,"#","Value suppressed",,,,,"72","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","ASN","RFAPAR","RFALLPAR2","POINT (-66.56581 18.23)"
"2014","2014","PA","Pennsylvania","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","All races","Smoking","Yes","%","Age-adjusted Prevalence","7.19",,,"5.83","8.82",,"136000","42","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","ALLRACE","RFSM","RFYES","POINT (-77.6999512 40.6999817)"
"2017","2017","NJ","New Jersey","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","White, non-Hispanic","All participants","All participants","%","Age-adjusted Prevalence","3.38",,,"2.81","4.06",,"147000","34","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","WHT","RFAPAR","RFALLPAR2","POINT (-74.3999634 40.1999817)"
"2016","2016","ND","North Dakota","BRFSS","Visual Function","Blind or Difficulty Seeing","Percentage of people who are blind or have serious difficulty seeing even when wearing glasses","Yes","All ages","All genders","North American Native","All participants","All participants","%","Age-adjusted Prevalence",,"#","Value suppressed",,,,,"38","TVFUNC","CBLIND","BRVPGL","RYES",,"AGEALL","GALL","AIAN","RFAPAR","RFALLPAR2","POINT (-100.5 47.5)"
