"year","quarter","locationabbr","locationdesc","topicdesc","measuredesc","datasource","provisiongroupdesc","provisiondesc","provisionvalue","citation","provisionaltvalue","datatype","comments","enacted_date","effective_date","geolocation","displayorder","topictypeid","topicid","measureid","provisiongroupid","provisionid"
"2027","3","CO","Colorado","Legislation - Tax Combustible Tobacco","Little Cigar","OSH","Restrictions","Percent Value","62","COLO. REV. STAT. §§ 39-28.5-102 and 39-28.5-102.5","62","Number","Modified Risk Tobacco Products are taxed at the rate of 21% of the Manufacturer's List Price.","11/2/2020","7/1/2027","
,  
(38.843840757000464, -106.13361092099967)","3","LEG","1010LEG","672LCG","10GRP","418"
"2027","3","CO","Colorado","Legislation - Tax Combustible Tobacco","Roll-Your-Own Tobacco","OSH","Restrictions","Percent Value","62","COLO. REV. STAT. §§ 39-28.5-102 and 39-28.5-102.5","62","Number","Modified Risk Tobacco Products are taxed at the rate of 21% of the Manufacturer's List Price.","11/2/2020","7/1/2027","
,  
(38.843840757000464, -106.13361092099967)","3","LEG","1010LEG","674ERO","10GRP","382"
"2027","3","CO","Colorado","Legislation - Tax Combustible Tobacco","Cigar","OSH","Restrictions","Percent Value","62","COLO. REV. STAT. §§ 39-28.5-102 and 39-28.5-102.5","62","Number","Modified Risk Tobacco Products are taxed at the rate of 21% of the Manufacturer's List Price.","11/2/2020","7/1/2027","
,  
(38.843840757000464, -106.13361092099967)","3","LEG","1010LEG","671CIG","10GRP","414"
"2027","3","CO","Colorado","Legislation - Tax Combustible Tobacco","Cigarette","OSH","Restrictions","Cigarette Tax ($ per pack)","2.640","COLO. REV. STAT. §§ 39-28-103.5 AND 39-28-103","2.640","Money","Modified Risk Tobacco Products are taxed at the rate of $1.000 per pack.","11/2/2020","7/1/2027","
,  
(38.843840757000464, -106.13361092099967)","5","LEG","1010LEG","670CGR","10GRP","411"
"2027","3","CO","Colorado","Legislation - Tax Combustible Tobacco","Pipe Tobacco","OSH","Restrictions","Percent Value","62","COLO. REV. STAT. §§ 39-28.5-102 and 39-28.5-102.5","62","Number","Modified Risk Tobacco Products are taxed at the rate of 21% of the Manufacturer's List Price.","11/2/2020","7/1/2027","
,  
(38.843840757000464, -106.13361092099967)","3","LEG","1010LEG","673EPT","10GRP","378"
"2024","3","CO","Colorado","Legislation - Tax Combustible Tobacco","Cigarette","OSH","Restrictions","Cigarette Tax ($ per pack)","2.240","COLO. REV. STAT. §§ 39-28-103.5 AND 39-28-103","2.240","Money","Modified Risk Tobacco Products are taxed at the rate of $0.800 per pack.","11/2/2020","7/1/2024","
,  
(38.843840757000464, -106.13361092099967)","5","LEG","1010LEG","670CGR","10GRP","411"
"2024","3","CO","Colorado","Legislation - Tax Combustible Tobacco","Pipe Tobacco","OSH","Restrictions","Percent Value","56","COLO. REV. STAT. §§ 39-28.5-102 and 39-28.5-102.5","56","Number","Modified Risk Tobacco Products are taxed at the rate of 18% of the Manufacturer's List Price.","11/2/2020","7/1/2024","
,  
(38.843840757000464, -106.13361092099967)","3","LEG","1010LEG","673EPT","10GRP","378"
"2024","3","CO","Colorado","Legislation - Tax Combustible Tobacco","Little Cigar","OSH","Restrictions","Percent Value","56","COLO. REV. STAT. §§ 39-28.5-102 and 39-28.5-102.5","56","Number","Modified Risk Tobacco Products are taxed at the rate of 18% of the Manufacturer's List Price.","11/2/2020","7/1/2024","
,  
(38.843840757000464, -106.13361092099967)","3","LEG","1010LEG","672LCG","10GRP","418"
"2024","3","CO","Colorado","Legislation - Tax Combustible Tobacco","Roll-Your-Own Tobacco","OSH","Restrictions","Percent Value","56","COLO. REV. STAT. §§ 39-28.5-102 and 39-28.5-102.5","56","Number","Modified Risk Tobacco Products are taxed at the rate of 18% of the Manufacturer's List Price.","11/2/2020","7/1/2024","
,  
(38.843840757000464, -106.13361092099967)","3","LEG","1010LEG","674ERO","10GRP","382"
"2024","3","CO","Colorado","Legislation - Tax Combustible Tobacco","Cigar","OSH","Restrictions","Percent Value","56","COLO. REV. STAT. §§ 39-28.5-102 and 39-28.5-102.5","56","Number","Modified Risk Tobacco Products are taxed at the rate of 18% of the Manufacturer's List Price.","11/2/2020","7/1/2024","
,  
(38.843840757000464, -106.13361092099967)","3","LEG","1010LEG","671CIG","10GRP","414"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Moist Snuff Tobacco","OSH","Restrictions","Moist Snuff Tobacco Tax","Yes","ALA. CODE § 40-25-2","2","Yes/No",,"1/1/1995","1/1/1995","
,  
(32.84057112200048, -86.63186076199969)","1","LEG","1020LEG","681EMS","10GRP","388"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Chewing Tobacco","OSH","Restrictions","Percent Value","No Provision",,"0","Number",,,,"
,  
(32.84057112200048, -86.63186076199969)","3","LEG","1020LEG","680CHW","10GRP","409"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Dissolvable Tobacco","OSH","Restrictions","Type of Tax","No Provision",,"0",,,,,"
,  
(32.84057112200048, -86.63186076199969)","5","LEG","1020LEG","684EDT","10GRP","404"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Chewing Tobacco","OSH","Restrictions","Chewing Tobacco Tax","Yes","ALA. CODE § 40-25-2(a)(10) & (11)","2","Yes/No",,"5/16/1984","5/16/1984","
,  
(32.84057112200048, -86.63186076199969)","1","LEG","1020LEG","680CHW","10GRP","407"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Little Cigar","OSH","Restrictions","Percent Value","No Provision",,"0","Number",,,,"
,  
(32.84057112200048, -86.63186076199969)","3","LEG","1010LEG","672LCG","10GRP","418"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Roll-Your-Own Tobacco","OSH","Restrictions","Type of Tax","Per Ounce","ALA. CODE § 40-25-2","0",,,"1/1/1995","1/1/1995","
,  
(32.84057112200048, -86.63186076199969)","4","LEG","1010LEG","674ERO","10GRP","383"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Roll-Your-Own Tobacco","OSH","Restrictions","Percent Value","No Provision",,"0","Number",,,,"
,  
(32.84057112200048, -86.63186076199969)","3","LEG","1010LEG","674ERO","10GRP","382"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Dissolvable Tobacco","OSH","Restrictions","Dissolvable Tobacco Tax ($ per ounce)","No Provision",,"0","Money",,,,"
,  
(32.84057112200048, -86.63186076199969)","2","LEG","1020LEG","684EDT","10GRP","401"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Pipe Tobacco","OSH","Restrictions","Type of Tax","Per Ounce","ALA. CODE § 40-25-2","0",,,"1/1/1995","1/1/1995","
,  
(32.84057112200048, -86.63186076199969)","4","LEG","1010LEG","673EPT","10GRP","379"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Little Cigar","OSH","Restrictions","Little Cigar Tax","Yes",,"2","Yes/No",,,,"
,  
(32.84057112200048, -86.63186076199969)","1","LEG","1010LEG","672LCG","10GRP","416"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Snus Tobacco","OSH","Restrictions","Snus Tobacco Tax","No Provision",,"0","Yes/No",,,,"
,  
(32.84057112200048, -86.63186076199969)","1","LEG","1020LEG","683EST","10GRP","396"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Cigarette","OSH","Restrictions","Cigarette Tax ($ per pack)","0.675","ALA. CODE § 40-25-2","0.675","Money",,"9/17/2015","10/1/2015","
,  
(32.84057112200048, -86.63186076199969)","5","LEG","1010LEG","670CGR","10GRP","411"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Moist Snuff Tobacco","OSH","Restrictions","Percent Value","No Provision",,"0","Number",,,,"
,  
(32.84057112200048, -86.63186076199969)","3","LEG","1020LEG","681EMS","10GRP","390"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Pipe Tobacco","OSH","Restrictions","Percent Value","No Provision",,"0","Number",,,,"
,  
(32.84057112200048, -86.63186076199969)","3","LEG","1010LEG","673EPT","10GRP","378"
"2022","3","AL","Alabama","Legislation - Tax Stamp","Tax Stamp","OSH","Requirements","Encrypted Image/Hologram Required","No Provision",,"0","Ranking",,,,"
,  
(32.84057112200048, -86.63186076199969)","3","LEG","1030LEG","690CET","12GRP","351"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Dissolvable Tobacco","OSH","Restrictions","Percent Value","No Provision",,"0","Number",,,,"
,  
(32.84057112200048, -86.63186076199969)","4","LEG","1020LEG","684EDT","10GRP","403"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Dissolvable Tobacco","OSH","Restrictions","Dissolvable Tobacco Tax","No Provision",,"0","Yes/No",,,,"
,  
(32.84057112200048, -86.63186076199969)","1","LEG","1020LEG","684EDT","10GRP","400"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Cigar","OSH","Restrictions","Percent Value","No Provision",,"0","Number",,,,"
,  
(32.84057112200048, -86.63186076199969)","3","LEG","1010LEG","671CIG","10GRP","414"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Dry Snuff Tobacco","OSH","Restrictions","Dry Snuff Tobacco Tax ($ per ounce)","0.01","ALA. CODE § 40-25-2","0.01","Money","For snuff weighing not more than five-eighths ounces, $0.01; over five-eighths but not more than one and five-eighths ounces, $0.02; over one and five-eighths but not more than two and one-half ounces, $0.04; over two and one-half but not more than five o","5/18/2004","5/18/2004","
,  
(32.84057112200048, -86.63186076199969)","2","LEG","1020LEG","682EDS","10GRP","393"
"2022","3","AL","Alabama","Legislation - Tax Stamp","Tax Stamp","OSH","Requirements","Tax Stamp Required","Yes","ALA. CODE § 40-25-2","2","Ranking",,,,"
,  
(32.84057112200048, -86.63186076199969)","1","LEG","1030LEG","690CET","12GRP","349"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Pipe Tobacco","OSH","Restrictions","Pipe Tobacco Tax","Yes","ALA. CODE § 40-25-2","2","Yes/No",,"1/1/1995","1/1/1995","
,  
(32.84057112200048, -86.63186076199969)","1","LEG","1010LEG","673EPT","10GRP","376"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Snus Tobacco","OSH","Restrictions","Type of Tax","No Provision",,"0",,,,,"
,  
(32.84057112200048, -86.63186076199969)","4","LEG","1020LEG","683EST","10GRP","399"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Cigar","OSH","Restrictions","Cigar Tax","Yes",,"2","Yes/No",,,,"
,  
(32.84057112200048, -86.63186076199969)","1","LEG","1010LEG","671CIG","10GRP","412"
"2022","3","AL","Alabama","Legislation - Tax Stamp","Tax Stamp","OSH","Requirements","Barcode/Scannable Code Required","No Provision",,"0","Ranking",,,,"
,  
(32.84057112200048, -86.63186076199969)","2","LEG","1030LEG","690CET","12GRP","350"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Snus Tobacco","OSH","Restrictions","Snus Tobacco Tax ($ per ounce)","No Provision",,"0","Money",,,,"
,  
(32.84057112200048, -86.63186076199969)","2","LEG","1020LEG","683EST","10GRP","397"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Chewing Tobacco","OSH","Restrictions","Chewing Tobacco Tax ($ per ounce)","0.015","Ala. Code § 40-25-2","0.015","Money",,"5/18/2004","5/18/2004","
,  
(32.84057112200048, -86.63186076199969)","2","LEG","1020LEG","680CHW","10GRP","408"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Dry Snuff Tobacco","OSH","Restrictions","Percent Value","No Provision",,"0","Number",,,,"
,  
(32.84057112200048, -86.63186076199969)","3","LEG","1020LEG","682EDS","10GRP","394"
"2022","3","AL","Alabama","Legislation - Tax Stamp","Tax Stamp","OSH","Requirements","Other Requirements","No Provision",,"0","Ranking",,,,"
,  
(32.84057112200048, -86.63186076199969)","4","LEG","1030LEG","690CET","12GRP","352"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Roll-Your-Own Tobacco","OSH","Restrictions","Roll-Your-Own Tobacco Tax ($ per ounce)","0.0356","ALA. CODE § 40-25-2","0.0356","Money",,"5/18/2004","5/18/2004","
,  
(32.84057112200048, -86.63186076199969)","2","LEG","1010LEG","674ERO","10GRP","381"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Snus Tobacco","OSH","Restrictions","Percent Value","No Provision",,"0","Number",,,,"
,  
(32.84057112200048, -86.63186076199969)","3","LEG","1020LEG","683EST","10GRP","398"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Pipe Tobacco","OSH","Restrictions","Pipe Tobacco Tax ($ per ounce)","0.0356","ALA. CODE § 40-25-2","0.0356","Money",,"5/18/2004","5/18/2004","
,  
(32.84057112200048, -86.63186076199969)","2","LEG","1010LEG","673EPT","10GRP","377"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Moist Snuff Tobacco","OSH","Restrictions","Moist Snuff Tobacco Tax ($ per ounce)","0.01","ALA. CODE § 40-25-2","0.01","Money","For snuff weighing not more than five-eighths ounces, $0.01; over five-eighths but not more than one and five-eighths ounces, $0.02; over one and five-eighths but not more than two and one-half ounces, $0.04; over two and one-half but not more than five o","5/18/2004","5/18/2004","
,  
(32.84057112200048, -86.63186076199969)","2","LEG","1020LEG","681EMS","10GRP","389"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Dry Snuff Tobacco","OSH","Restrictions","Dry Snuff Tobacco Tax","Yes","ALA. CODE § 40-25-2","2","Yes/No",,"1/1/1995","1/1/1995","
,  
(32.84057112200048, -86.63186076199969)","1","LEG","1020LEG","682EDS","10GRP","392"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Little Cigar","OSH","Restrictions","Little Cigar Tax ($ per pack of 20)","0.0800","ALA. CODE § 40-25-2","0.08","Money",,"5/18/2004","5/18/2004","
,  
(32.84057112200048, -86.63186076199969)","2","LEG","1010LEG","672LCG","10GRP","417"
"2022","3","AL","Alabama","Legislation - Tax Combustible Tobacco","Little Cigar","OSH","Restrictions","Type of Tax","No Provision",,"0",,,,,"
,  
(32.84057112200048, -86.63186076199969)","4","LEG","1010LEG","672LCG","10GRP","419"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Dry Snuff Tobacco","OSH","Restrictions","Type of Tax","Per Ounce","ALA. CODE § 40-25-2","0",,,"1/1/1995","1/1/1995","
,  
(32.84057112200048, -86.63186076199969)","4","LEG","1020LEG","682EDS","10GRP","395"
"2022","3","AL","Alabama","Legislation - Tax Non-Combustible Tobacco","Chewing Tobacco","OSH","Restrictions","Type of Tax","Per Ounce","ALA. CODE § 40-25-2(a)(10) & (11)","0",,,"5/16/1984","5/16/1984","
,  
(32.84057112200048, -86.63186076199969)","4","LEG","1020LEG","680CHW","10GRP","410"
