"year","locationabbr","locationdesc","datasource","topictype","topicdesc","measuredesc","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","gender","geolocation","topictypeid","topicid","measureid","submeasureid","displayorder"
"2005-2009","PA","Pennsylvania","SAMMEC","Health Consequences and Costs","Smoking-Attributable Mortality (SAM)","Average Annual SAM",,,"9600",,,"Female","
, PA 
(40.793730152, -77.860700294)","HLT","500HLT","501SAM","3GEN","03"
"2005-2009","CT","Connecticut","SAMMEC","Health Consequences and Costs","Smoking-Attributable Mortality (SAM)","Average Annual Deaths",,,"7532",,,"Male","
, CT 
(41.56266102, -72.649840952)","HLT","500HLT","500SAM","2GEN","02"
"2005-2009","FL","Florida","SAMMEC","Health Consequences and Costs","Smoking-Attributable Mortality (SAM)","Average Annual Deaths",,,"43948",,,"Female","
, FL 
(28.932040377, -81.928960539)","HLT","500HLT","500SAM","3GEN","03"
"2005-2009","WA","Washington","SAMMEC","Health Consequences and Costs","Smoking-Attributable Mortality (SAM)","Average Annual SAM",,,"3690",,,"Female","
, WA 
(47.522278629, -120.47001079)","HLT","500HLT","501SAM","3GEN","03"
"2005-2009","SD","South Dakota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Mortality (SAM)","Average Annual Deaths",,,"3954",,,"Overall","
, SD 
(44.353130053, -100.373530637)","HLT","500HLT","500SAM","1GEN","01"
"2005-2009","MI","Michigan","SAMMEC","Health Consequences and Costs","Smoking-Attributable Mortality (SAM)","Average Annual Deaths",,,"49756",,,"Overall","
, MI 
(44.661319543001, -84.71439027)","HLT","500HLT","500SAM","1GEN","01"
"2005-2009","KS","Kansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Mortality (SAM)","Average Annual SAM",,,"1850",,,"Female","
, KS 
(38.3477403, -98.200781227)","HLT","500HLT","501SAM","3GEN","03"
"2005-2009","RI","Rhode Island","SAMMEC","Health Consequences and Costs","Smoking-Attributable Mortality (SAM)","Average Annual SAM",,,"1780",,,"Overall","
, RI 
(41.708280193, -71.522470314)","HLT","500HLT","501SAM","1GEN","01"
"2005-2009","MA","Massachusetts","SAMMEC","Health Consequences and Costs","Smoking-Attributable Mortality (SAM)","Average Annual Deaths",,,"14991",,,"Female","
, MA 
(42.27687047, -72.082690675)","HLT","500HLT","500SAM","3GEN","03"
"2005-2009","WY","Wyoming","SAMMEC","Health Consequences and Costs","Smoking-Attributable Mortality (SAM)","Average Annual Deaths",,,"2272",,,"Overall","
, WY 
(43.235541343, -108.109830353)","HLT","500HLT","500SAM","1GEN","01"
