"year","who_region","datasource","country","surveysite","topic","mpower","indicator","data_value_type","data_value_unit","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","sample_size","discipline","gender","geolocation","regionabbr","countryabbr","surveysiteabbr","locationid","topicid","mpowerid","indicatorid","stratificationid1","stratificationid2","datavaluetypeid"
"2011","European Region","GHPSS","Albania","Albania - National","Factors Influencing Tobacco Use",,"Percentage of health professions students who were taught about the dangers of smoking in a class as part of their health profession training","Percentage","%","79.8",,,"74.400000000000006","84.2","35","Pharmacy","Male","(41.153332, 20.168331)","EUR","al","al100","314","T02","M99","Q118","D04","G01","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Role Model and Cessation Training","Offer","Percentage of health professions students who think health professionals should receive formal training on cessation techniques","Percentage","%","100",,,,,"35","Pharmacy","Male","(41.153332, 20.168331)","EUR","al","al100","314","T04","M02","Q113","D04","G01","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Factors Influencing Tobacco Use","Protect","Percentage of health professions students who reported being exposed to SHS in public during the 7 days preceding the survey","Percentage","%",,"—","No Data Available. Indicator was not included in survey.",,,,"Nursing","Female","(41.153332, 20.168331)","EUR","al","al100","314","T02","M03","Q106","D03","G02","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Cessation","Offer","Percentage of current smokers who reported they wanted to stop smoking now","Percentage","%","17",,,"11.6","24.4","18","Pharmacy","Male","(41.153332, 20.168331)","EUR","al","al100","314","T01","M02","Q101","D04","G01","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Factors Influencing Tobacco Use","Protect","Percentage of health professions students who reported being exposed to SHS at home during the 7 days preceding the survey","Percentage","%","51.2",,,"45.7","56.7","39","Medical","Male","(41.153332, 20.168331)","EUR","al","al100","314","T02","M03","Q105","D02","G01","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Factors Influencing Tobacco Use","Protect","Percentage of health professions students who reported that their school has a policy on tobacco use in buildings and clinics, those who reported that such policy was enforced","Percentage","%","75.8",,,"70.099999999999994","80.7","34","Pharmacy","Male","(41.153332, 20.168331)","EUR","al","al100","314","T02","M03","Q109","D04","G01","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Prevalence","Monitor","Percentage of health professions students who have ever smoked cigarettes, even one or two puffs","Percentage","%","85.2",,,"80.3","89.1","35","Pharmacy","Male","(41.153332, 20.168331)","EUR","al","al100","314","T03","M01","Q104","D04","G01","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Prevalence","Monitor","Percentage of health professions students who used tobacco products other than cigarettes on at least 1 day during the month","Percentage","%","0",,,,,"174","Medical","Female","(41.153332, 20.168331)","EUR","al","al100","314","T03","M01","Q117","D02","G02","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Factors Influencing Tobacco Use","Protect","Percentage of health professions students who reported that their school has a ban on smoking in school buildings and clinics","Percentage","%","97.8",,,"96.9","98.4","219","Pharmacy","Total","(41.153332, 20.168331)","EUR","al","al100","314","T02","M03","Q108","D04","G9901","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Factors Influencing Tobacco Use",,"Percentage of health professions students who think smoking should be banned in all enclosed public places","Percentage","%","88.7",,,"86","91","99","Dental","Male","(41.153332, 20.168331)","EUR","al","al100","314","T02","M99","Q114","D01","G01","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Factors Influencing Tobacco Use","Protect","Percentage of health professions students who reported being exposed to SHS in public during the 7 days preceding the survey","Percentage","%",,"—","No Data Available. Indicator was not included in survey.",,,,"Pharmacy","Total","(41.153332, 20.168331)","EUR","al","al100","314","T02","M03","Q106","D04","G9901","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Factors Influencing Tobacco Use","Protect","Percentage of health professions students who reported being exposed to SHS at home during the 7 days preceding the survey","Percentage","%","53.2",,,"50.6","55.8","173","Medical","Female","(41.153332, 20.168331)","EUR","al","al100","314","T02","M03","Q105","D02","G02","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Factors Influencing Tobacco Use","Protect","Percentage of health professions students who reported being exposed to SHS in public during the 7 days preceding the survey","Percentage","%",,"—","No Data Available. Indicator was not included in survey.",,,,"Medical","Male","(41.153332, 20.168331)","EUR","al","al100","314","T02","M03","Q106","D02","G01","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Role Model and Cessation Training","Offer","Percentage of health professions students who reported receiving formal training during their health profession school training on cessation approaches to use with patients","Percentage","%","44.5",,,"43.3","45.8","1024","Nursing","Total","(41.153332, 20.168331)","EUR","al","al100","314","T04","M02","Q107","D03","G9901","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Factors Influencing Tobacco Use","Protect","Percentage of health professions students who reported that their school has a policy on tobacco use in buildings and clinics, those who reported that such policy was enforced","Percentage","%","85.6",,,"82.5","88.2","99","Dental","Male","(41.153332, 20.168331)","EUR","al","al100","314","T02","M03","Q109","D01","G01","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Role Model and Cessation Training","Offer","Percentage of health professions students who think health professionals should receive formal training on cessation techniques","Percentage","%","97.2",,,"96.3","97.9","213","Medical","Total","(41.153332, 20.168331)","EUR","al","al100","314","T04","M02","Q113","D02","G9901","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Role Model and Cessation Training","Offer","Percentage of health professions students who reported receiving formal training during their health profession school training on cessation approaches to use with patients","Percentage","%","19.5",,,"17.5","21.7","174","Medical","Female","(41.153332, 20.168331)","EUR","al","al100","314","T04","M02","Q107","D02","G02","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Prevalence","Monitor","Percentage of health professions students who used tobacco products other than cigarettes on at least 1 day during the month","Percentage","%","31.4",,,"26.1","37.299999999999997","35","Pharmacy","Male","(41.153332, 20.168331)","EUR","al","al100","314","T03","M01","Q117","D04","G01","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Prevalence","Monitor","Percentage of ever smokers who smoked on school premises/property within the year preceding the survey","Percentage","%","53.5",,,"50.2","56.6","152","Nursing","Male","(41.153332, 20.168331)","EUR","al","al100","314","T03","M01","Q103","D03","G01","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Factors Influencing Tobacco Use",,"Percentage of health professions students who think smoking should be banned in all enclosed public places","Percentage","%","91.4",,,"87.4","94.3","35","Pharmacy","Male","(41.153332, 20.168331)","EUR","al","al100","314","T02","M99","Q114","D04","G01","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Cessation","Offer","Percentage of current smokers who reported they wanted to stop smoking now","Percentage","%","46.6",,,"40.700000000000003","52.6","41","Dental","Male","(41.153332, 20.168331)","EUR","al","al100","314","T01","M02","Q101","D01","G01","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Prevalence","Monitor","Percentage of ever smokers who smoked in school buildings within the year preceding the survey","Percentage","%","9.1",,,"8","10.3","396","Nursing","Female","(41.153332, 20.168331)","EUR","al","al100","314","T03","M01","Q102","D03","G02","Prctg"
"2011","European Region","GHPSS","Albania","Albania - National","Role Model and Cessation Training","Offer","Percentage of health professions students who think health professionals have a role in giving advice or information about smoking cessation to patients","Percentage","%","84.6",,,"80.2","88.2","39","Medical","Male","(41.153332, 20.168331)","EUR","al","al100","314","T04","M02","Q111","D02","G01","Prctg"
