"year","who_region","datasource","country","surveysite","topic","mpower","indicator","indicator_level","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","sample_size","age","gender","residence","geolocation","regionabbr","countryabbr","surveysiteabbr","locationid","topicid","mpowerid","indicatorid","responseid","stratificationcategoryid1","stratificationid1","datavaluetypeid"
"2009","South-East Asia Region","GATS","India","India - Goa","Tobacco Use","Monitor","Percentage of adults who currently smoke tobacco",,"%","Percentage","4.8",,,"3.9","6.1","1766",,"Total",,"POINT (78.96288 20.593684)","SEAR","in","in033","169","T06","M01","Q150",,"GENDER","G9901","Prctg"
"2009","South-East Asia Region","GATS","India","India - Meghalaya","Tobacco Use","Monitor","Percentage of adults who currently smoke tobacco",,"%","Percentage","3.6",,,"1.9","6.7","761",,"Female",,"POINT (78.96288 20.593684)","SEAR","in","in018","286","T06","M01","Q150",,"GENDER","G02","Prctg"
"2009","South-East Asia Region","GATS","India","India - Goa","Tobacco Use","Monitor","Percentage of adults who currently do not smoke tobacco",,"%","Percentage","91.7",,,"88.3","94.1","497","45-64",,,"POINT (78.96288 20.593684)","SEAR","in","in033","169","T06","M01","Q153",,"AGE","A04","Prctg"
"2015","Region of the Americas","GATS","Costa Rica","Costa Rica - National","Tobacco Use","Monitor","Percentage of adults who currently do not use smokeless tobacco",,"%","Percentage","99.9",,,"99.8","100","8526","Total",,,"POINT (-83.753428 9.748917)","AMR","cs","cs100","349","T06","M01","Q168",,"AGE","A9901","Prctg"
"2008","European Region","GATS","Turkey","Turkey - National","Tobacco Use","Monitor","Percentage of adults who currently smoke tobacco on a daily basis",,"%","Percentage","21.7",,,"18.9","24.8","1232","15-24",,,"POINT (35.243322 38.963745)","EUR","tu","tu100","480","T06","M01","Q151",,"AGE","A02","Prctg"
"2009","South-East Asia Region","GATS","India","India - Punjab","Tobacco Use","Monitor","Percentage of adults who currently do not smoke tobacco",,"%","Percentage","96.4",,,"94.5","97.7","493","15-24",,,"POINT (78.96288 20.593684)","SEAR","in","in023","548","T06","M01","Q153",,"AGE","A02","Prctg"
"2009","South-East Asia Region","GATS","India","India - Karnataka","Tobacco Use","Monitor","Percentage of adults who currently do not use smokeless tobacco",,"%","Percentage","81.5",,,"76.8","85.4","919","25-44",,,"POINT (78.96288 20.593684)","SEAR","in","in019","221","T06","M01","Q168",,"AGE","A03","Prctg"
"2017","European Region","GATS","Ukraine","Ukraine - National","Tobacco Use","Monitor","Percentage of adults who currently use smokeless tobacco on a daily basis",,"%","Percentage","0",,,,,"4082",,,"Rural","POINT (31.16558 48.379433)","EUR","up","up100","486","T06","M01","Q166",,"RESIDENCE","R03","Prctg"
"2013","African Region","GATS","Cameroon","Cameroon - National","Tobacco Use","Monitor","Percentage of adults who currently smoke tobacco on a daily basis",,"%","Percentage","1.7",,,"1.1","2.6","1541","15-24",,,"POINT (12.354722 7.369722)","AFR","cm","cm100","346","T06","M01","Q151",,"AGE","A02","Prctg"
"2011","South-East Asia Region","GATS","Indonesia","Indonesia - National","Tobacco Use","Monitor","Percentage of adults who currently smoke tobacco",,"%","Percentage","26.1",,,"23.4","28.9","1408","15-24",,,"POINT (113.921327 -0.789275)","SEAR","id","id100","385","T06","M01","Q150",,"AGE","A02","Prctg"
"2009","South-East Asia Region","GATS","India","India - Jharkhand","Economics","Raise","Percentage of bidi smokers whose last bidi purchase was from various sources","Vending machine","%","Percentage","0",,,,,"35","25-44",,,"POINT (78.96288 20.593684)","SEAR","in","in038","1482","T08","M06","Q205","ILVL104","AGE","A03","Prctg"
"2013","European Region","GATS","Greece","Greece - National","Economics","Raise","Average expenditure on manufactured cigarettes per month (reported in local currency)",,"†","Mean","129.1",,,"110.7","147.6","1155","Total",,,"POINT (21.824312 39.074208)","EUR","gr","gr100","376","T08","M06","Q183",,"AGE","A9901","Mean"
"2009","South-East Asia Region","GATS","India","India - Tripura","Tobacco Use","Monitor","Percentage of adults who currently smoke tobacco",,"%","Percentage","45.9",,,"32.1","60.4","85","65+",,,"POINT (78.96288 20.593684)","SEAR","in","in026","638","T06","M01","Q150",,"AGE","A05","Prctg"
"2011","South-East Asia Region","GATS","Thailand","Thailand - National","Tobacco Use","Monitor","Percentage of adults who currently smoke tobacco",,"%","Percentage","21.7",,,"19","24.6","2213","15-24",,,"POINT (100.992541 15.870032)","SEAR","th","th100","472","T06","M01","Q150",,"AGE","A02","Prctg"
"2009","Region of the Americas","GATS","Mexico","Mexico - National","Tobacco Use","Monitor","Percentage of adults who currently do not use smokeless tobacco",,"%","Percentage","99.7",,,"99.5","99.8","13616","Total",,,"POINT (-102.552784 23.634501)","AMR","mx","mx100","427","T06","M01","Q168",,"AGE","A9901","Prctg"
"2009","South-East Asia Region","GATS","India","India - Gujarat","Tobacco Use","Monitor","Percentage of adults who currently use smokeless tobacco",,"%","Percentage","21.6",,,"19.3","24.1","2670","Total",,,"POINT (78.96288 20.593684)","SEAR","in","in009","181","T06","M01","Q165",,"AGE","A9901","Prctg"
"2009","Eastern Mediterranean Region","GATS","Egypt","Egypt - National","Tobacco Use","Monitor","Percentage of adults who currently use smokeless tobacco",,"%","Percentage","2",,,"1.6","2.4","12367",,,"Urban","POINT (30.802498 26.820553)","EMR","eg","eg100","358","T06","M01","Q165",,"RESIDENCE","R02","Prctg"
"2013","Region of the Americas","GATS","Panama","Panama - National","Tobacco Use","Monitor","Percentage of adults who currently smoke tobacco on a daily basis",,"%","Percentage","4.4",,,"3.2","6.1","4570","45-64",,,"POINT (-80.782127 8.537981)","AMR","pm","pm100","443","T06","M01","Q151",,"AGE","A04","Prctg"
