"yearstart","yearend","locationabbr","locationdesc","datasource","class","topic","question","data_value_unit","data_value_type","data_value","data_value_alt","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","sample_size","total","povertylevel","age_years","birthorder","education","gender","maritalstatus","metropolitan","race_ethnicity","wicparticipation","geolocation","classid","topicid","questionid","datavaluetypeid","locationid","stratificationcategory1","stratification1","stratificationcategoryid1","stratificationid1"
"2019","2019","NY","New York","National Immunization Survey","Breastfeeding","Breastfeeding - Behavior","Percent of breastfed infants who were supplemented with infant formula before 3 months",,"Value","38.0","38.0",,,"32.8","43.4","681.0","Total",,,,,,,,,,"
,  
(42.82700103200045, -75.54397042699964)","BF","BF1","Q001","VALUE","36","Total","Total","OVR","OVERALL"
"2019","2019","IL","Illinois","National Immunization Survey","Breastfeeding","Breastfeeding - Behavior","Percent of breastfed infants who were supplemented with infant formula within 2 days of life",,"Value","18.4","18.4",,,"14.8","22.8","573.0","Total",,,,,,,,,,"
,  
(40.48501028300046, -88.99771017799969)","BF","BF1","Q003","VALUE","17","Total","Total","OVR","OVERALL"
"2019","2019","US","National","National Immunization Survey","Breastfeeding","Breastfeeding - Behavior","Percent of infants who were breastfed at 12 months",,"Value","35.7","35.7",,,"34.0","37.4","10238.0",,,,,,"Female",,,,,,"BF","BF1","Q004","VALUE","59","Gender","Female","GEN","FEMALE"
"2019","2019","AZ","Arizona","National Immunization Survey","Breastfeeding","Breastfeeding - Behavior","Percent of infants who were ever breastfed",,"Value","85.4","85.4",,,"78.8","90.2","261.0","Total",,,,,,,,,,"
,  
(34.865970280000454, -111.76381127699972)","BF","BF1","Q006","VALUE","04","Total","Total","OVR","OVERALL"
"2019","2019","MA","Massachusetts","National Immunization Survey","Breastfeeding","Breastfeeding - Behavior","Percent of infants who were ever breastfed",,"Value","80.0","80.0",,,"72.7","85.7","354.0","Total",,,,,,,,,,"
,  
(42.27687047000046, -72.08269067499964)","BF","BF1","Q006","VALUE","25","Total","Total","OVR","OVERALL"
"2019","2019","KY","Kentucky","National Immunization Survey","Breastfeeding","Breastfeeding - Behavior","Percent of infants who were breastfed at 6 months",,"Value","49.3","49.3",,,"43.1","55.6","336.0","Total",,,,,,,,,,"
,  
(37.645970271000465, -84.77497104799966)","BF","BF1","Q005","VALUE","21","Total","Total","OVR","OVERALL"
"2019","2019","US","National","National Immunization Survey","Breastfeeding","Breastfeeding - Behavior","Percent of infants who were exclusively breastfed through 6 months",,"Value","26.8","26.8",,,"25.4","28.3","12367.0",,,,"Not first born",,,,,,,,"BF","BF1","Q008","VALUE","59","Birth Order","Not first born","BO","BONOT1"
"2019","2019","CO","Colorado","National Immunization Survey","Breastfeeding","Breastfeeding - Behavior","Percent of infants who were ever breastfed",,"Value","94.0","94.0",,,"87.2","97.3","285.0","Total",,,,,,,,,,"
,  
(38.843840757000464, -106.13361092099967)","BF","BF1","Q006","VALUE","08","Total","Total","OVR","OVERALL"
"2019","2019","HI","Hawaii","National Immunization Survey","Breastfeeding","Breastfeeding - Behavior","Percent of breastfed infants who were supplemented with infant formula within 2 days of life",,"Value","16.2","16.2",,,"11.8","21.9","300.0","Total",,,,,,,,,,"
,  
(21.304850435000446, -157.85774940299973)","BF","BF1","Q003","VALUE","15","Total","Total","OVR","OVERALL"
"2019","2019","KY","Kentucky","National Immunization Survey","Breastfeeding","Breastfeeding - Behavior","Percent of infants who were exclusively breastfed through 3 months",,"Value","35.4","35.4",,,"29.8","41.5","328.0","Total",,,,,,,,,,"
,  
(37.645970271000465, -84.77497104799966)","BF","BF1","Q007","VALUE","21","Total","Total","OVR","OVERALL"
