YEAR,LocationAbbr,LocationDesc,DataSource,Topic,Subtopic,ShortQuestionText,Greater_Risk_Question,Description,Data_Value_Symbol,Data_Value_Type,Greater_Risk_Data_Value,Greater_Risk_Data_Value_Footnote_Symbol,Greater_Risk_Data_Value_Footnote,Greater_Risk_Low_Confidence_Limit,Greater_Risk_High_Confidence_Limit,Lesser_Risk_Question,Lesser_Risk_Data_Value,Lesser_Risk_Data_Value_Footnote_Symbol,Lesser_Risk_Data_Value_Footnote,Lesser_Risk_Low_Confidence_Limit,Lesser_Risk_High_Confidence_Limit,Sample_Size,Sex,Race,Grade,GeoLocation,TopicId,SubTopicID,QuestionCode,LocationId,StratID1,StratID2,StratID3,StratificationType,States,Counties
2017,DE,Delaware,YRBSS,Physical Activity,Physical Activity,Physical activity,Were not physically active for a total of at least 60 minutes on at least 1 day,"doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time, during the 7 days before the survey",%,Percentage,11.4,,,10.02,12.98,Were physically active for a total of at least 60 minutes on at least 1 day,88.6,,,87.02,89.98,2881,Total,Total,Total,"(39.008830667000495, -75.57774116799965)",C06,C25,QNPA0DAY,10,S1,R1,G1,State,43,1046
2017,FL,Florida,YRBSS,Physical Activity,Physical Activity,Physical activity,Were not physically active for a total of at least 60 minutes on at least 1 day,"doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time, during the 7 days before the survey",%,Percentage,13.7,,,12.35,15.16,Were physically active for a total of at least 60 minutes on at least 1 day,86.3,,,84.84,87.65,5882,Total,Total,Total,"(28.932040377000476, -81.92896053899966)",C06,C25,QNPA0DAY,12,S1,R1,G1,State,30,1112
2017,HI,Hawaii,YRBSS,Physical Activity,Physical Activity,Physical activity,Were not physically active for a total of at least 60 minutes on at least 1 day,"doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time, during the 7 days before the survey",%,Percentage,13.6,,,11.51,16.04,Were physically active for a total of at least 60 minutes on at least 1 day,86.4,,,83.96,88.49,6074,Total,Total,Total,"(21.304850435000446, -157.85774940299973)",C06,C25,QNPA0DAY,15,S1,R1,G1,State,4,1657
2017,KY,Kentucky,YRBSS,Physical Activity,Physical Activity,Physical activity,Were not physically active for a total of at least 60 minutes on at least 1 day,"doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time, during the 7 days before the survey",%,Percentage,12.4,,,10.35,14.73,Were physically active for a total of at least 60 minutes on at least 1 day,87.6,,,85.27,89.65,1380,Total,Total,Total,"(37.645970271000465, -84.77497104799966)",C06,C25,QNPA0DAY,21,S1,R1,G1,State,36,235
2017,ME,Maine,YRBSS,Physical Activity,Physical Activity,Physical activity,Were not physically active for a total of at least 60 minutes on at least 1 day,"doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time, during the 7 days before the survey",%,Percentage,8.6,,,7.47,9.90,Were physically active for a total of at least 60 minutes on at least 1 day,91.4,,,90.10,92.53,4538,Total,Total,Total,"(45.254228894000505, -68.98503133599962)",C06,C25,QNPA0DAY,23,S1,R1,G1,State,49,1725
2017,MD,Maryland,YRBSS,Physical Activity,Physical Activity,Physical activity,Were not physically active for a total of at least 60 minutes on at least 1 day,"doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time, during the 7 days before the survey",%,Percentage,13.9,,,13.01,14.76,Were physically active for a total of at least 60 minutes on at least 1 day,86.1,,,85.24,86.99,21793,Total,Total,Total,"(39.29058096400047, -76.60926011099963)",C06,C25,QNPA0DAY,24,S1,R1,G1,State,45,1857
2017,NV,Nevada,YRBSS,Physical Activity,Physical Activity,Physical activity,Were not physically active for a total of at least 60 minutes on at least 1 day,"doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time, during the 7 days before the survey",%,Percentage,14.1,,,11.47,17.29,Were physically active for a total of at least 60 minutes on at least 1 day,85.9,,,82.71,88.53,1514,Total,Total,Total,"(39.493240390000494, -117.07184056399967)",C06,C25,QNPA0DAY,32,S1,R1,G1,State,10,481
2017,NM,New Mexico,YRBSS,Physical Activity,Physical Activity,Physical activity,Were not physically active for a total of at least 60 minutes on at least 1 day,"doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time, during the 7 days before the survey",%,Percentage,13.2,,,11.78,14.78,Were physically active for a total of at least 60 minutes on at least 1 day,86.8,,,85.22,88.22,6629,Total,Total,Total,"(34.52088095200048, -106.24058098499967)",C06,C25,QNPA0DAY,35,S1,R1,G1,State,11,616
2017,NC,North Carolina,YRBSS,Physical Activity,Physical Activity,Physical activity,Were not physically active for a total of at least 60 minutes on at least 1 day,"doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time, during the 7 days before the survey",%,Percentage,11.0,,,9.20,13.10,Were physically active for a total of at least 60 minutes on at least 1 day,89.0,,,86.90,90.80,2416,Total,Total,Total,"(35.466220975000454, -79.15925046299964)",C06,C25,QNPA0DAY,37,S1,R1,G1,State,37,2390
2017,ND,North Dakota,YRBSS,Physical Activity,Physical Activity,Physical activity,Were not physically active for a total of at least 60 minutes on at least 1 day,"doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time, during the 7 days before the survey",%,Percentage,5.8,,,4.79,6.99,Were physically active for a total of at least 60 minutes on at least 1 day,94.2,,,93.01,95.21,2352,Total,Total,Total,"(47.47531977900047, -100.11842104899966)",C06,C25,QNPA0DAY,38,S1,R1,G1,State,3,568
