"yearstart","yearend","locationabbr","locationdesc","geographiclevel","datasource","topic","category","question","response","age","gender","raceethnicity","riskfactor","riskfactorresponse","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","numerator","sample_size","locationid","topicid","categoryid","questionid","responseid","datavaluetypeid","ageid","genderid","raceethnicityid","riskfactorid","riskfactorresponseid","geolocation"
"2014","2014","HI","Hawaii","State","Medicare","Eye Health Conditions","Injury, Burns and Surgical Complications of the Eye","Annual prevalence of diagnosed injury, burns and surgical complications of the eye","Surgical complication of the eye","All ages","All genders","All races","Hypertension","Yes","%","Crude Prevalence","0.4",,,"0.4","0.5","230","53400","15","TCOND","CDXC10","QDXDC10","R10_3","CRDPREV","AGEALL","GALL","ALLRACE","RFHT","RFYES","POINT (-157.8577494029 21.304850435)"
"2014","2014","US","National","National","Medicare","Eye Health Conditions","Injury, Burns and Surgical Complications of the Eye","Annual prevalence of diagnosed injury, burns and surgical complications of the eye","All Injury, burns and surgical complications of the eye","65 years and older","Male","Hispanic, any race","Hypertension","Yes","%","Crude Prevalence","1.6",,,"1.6","1.7","5200","314600","59","TCOND","CDXC10","QDXDC10","R10_ALL","CRDPREV","AGE65PLUS","GM","HISP","RFHT","RFYES",
"2014","2014","CT","Connecticut","State","Medicare","Eye Health Conditions","Injury, Burns and Surgical Complications of the Eye","Annual prevalence of diagnosed injury, burns and surgical complications of the eye","Surgical complication of the eye","All ages","Female","Other","Hypertension","Yes","%","Crude Prevalence","0.4",,,"0.1","1.1",,"820","9","TCOND","CDXC10","QDXDC10","R10_3","CRDPREV","AGEALL","GF","OTH","RFHT","RFYES","POINT (-72.64984095199 41.56266102)"
"2014","2014","ND","North Dakota","State","Medicare","Eye Health Conditions","Injury, Burns and Surgical Complications of the Eye","Annual prevalence of diagnosed injury, burns and surgical complications of the eye","Surgical complication of the eye","All ages","Male","All races","Hypertension","Yes","%","Crude Prevalence","0.3",,,"0.2","0.4","50","17500","38","TCOND","CDXC10","QDXDC10","R10_3","CRDPREV","AGEALL","GM","ALLRACE","RFHT","RFYES","POINT (-100.1184210489 47.475319779)"
"2014","2014","CA","California","State","Medicare","Eye Health Conditions","Injury, Burns and Surgical Complications of the Eye","Annual prevalence of diagnosed injury, burns and surgical complications of the eye","Surgical complication of the eye","0-17 years","Male","Hispanic, any race","Hypertension","Yes","%","Crude Prevalence",,"§","Some estimates are not shown due to small sample size",,,,,"6","TCOND","CDXC10","QDXDC10","R10_3","CRDPREV","AGE017","GM","HISP","RFHT","RFYES","POINT (-120.9999995379 37.638640123)"
"2014","2014","RI","Rhode Island","State","Medicare","Eye Health Conditions","Injury, Burns and Surgical Complications of the Eye","Annual prevalence of diagnosed injury, burns and surgical complications of the eye","Surgical complication of the eye","40-64 years","Female","White, non-Hispanic","Hypertension","Yes","%","Crude Prevalence","0.4",,,"0.2","0.7",,"2800","44","TCOND","CDXC10","QDXDC10","R10_3","CRDPREV","AGE4064","GF","WHT","RFHT","RFYES","POINT (-71.52247031399 41.708280193)"
"2014","2014","AL","Alabama","State","Medicare","Eye Health Conditions","Injury, Burns and Surgical Complications of the Eye","Annual prevalence of diagnosed injury, burns and surgical complications of the eye","All Injury, burns and surgical complications of the eye","65 years and older","Female","White, non-Hispanic","Hypertension","Yes","%","Crude Prevalence","1.4",,,"1.3","1.5","2200","154400","1","TCOND","CDXC10","QDXDC10","R10_ALL","CRDPREV","AGE65PLUS","GF","WHT","RFHT","RFYES","POINT (-86.63186076199 32.840571122)"
"2014","2014","AR","Arkansas","State","Medicare","Eye Health Conditions","Injury, Burns and Surgical Complications of the Eye","Annual prevalence of diagnosed injury, burns and surgical complications of the eye","All Injury, burns and surgical complications of the eye","All ages","All genders","All races","Hypertension","Yes","%","Crude Prevalence","1.5",,,"1.4","1.5","3400","230000","5","TCOND","CDXC10","QDXDC10","R10_ALL","CRDPREV","AGEALL","GALL","ALLRACE","RFHT","RFYES","POINT (-92.27449074299 34.748650124)"
"2014","2014","SD","South Dakota","State","Medicare","Eye Health Conditions","Injury, Burns and Surgical Complications of the Eye","Annual prevalence of diagnosed injury, burns and surgical complications of the eye","Surgical complication of the eye","85 years and older","Female","White, non-Hispanic","Hypertension","Yes","%","Crude Prevalence","0.3",,,"0.2","0.4","20","7100","46","TCOND","CDXC10","QDXDC10","R10_3","CRDPREV","AGE85PLUS","GF","WHT","RFHT","RFYES","POINT (-100.3735306369 44.353130053)"
"2014","2014","UT","Utah","State","Medicare","Eye Health Conditions","Injury, Burns and Surgical Complications of the Eye","Annual prevalence of diagnosed injury, burns and surgical complications of the eye","Surgical complication of the eye","65 years and older","All genders","North American Native","Hypertension","Yes","%","Crude Prevalence","1",,,"0.3","2.7",,"380","49","TCOND","CDXC10","QDXDC10","R10_3","CRDPREV","AGE65PLUS","GALL","AIAN","RFHT","RFYES","POINT (-111.5871306349 39.360700171)"
