"year","locationabbr","locationdesc","topictype","topicdesc","measuredesc","datasource","response","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","data_value_std_err","low_confidence_limit","high_confidence_limit","sample_size","gender","race","age","education","geolocation","topictypeid","topicid","measureid","stratificationid1","stratificationid2","stratificationid3","stratificationid4","submeasureid","displayorder"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Frequency","TUS-CPS","Every Day","%","Percentage","84.6",,,"2.3","80","89.1","323","Male","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","167SSP","2GEN","8AGE","6RAC","6EDU","TUS25","25"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","TUS-CPS",">25 Cigarettes","%","Percentage","9.6",,,"9.6","5.1","14","209","Female","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","102BEH","131DCF","3GEN","8AGE","6RAC","6EDU","TUS19","19"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Pipe Use (Adults)","Smoking Status","TUS-CPS","Former","%","Percentage","1.2",,,"0.3","0.6","1.8","2017","Female","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","104BEH","172SSA","3GEN","8AGE","6RAC","6EDU","TUS31","31"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Cigar Use (Adults)","Smoking Status","TUS-CPS","Never","%","Percentage","93.5",,,"0.7","92.1","94.8","2018","Female","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","103BEH","170SSA","3GEN","8AGE","6RAC","6EDU","TUS13","13"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Average","TUS-CPS",,,"Mean","15.7",,,"0.6","14.5","17","209","Female","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","102BEH","131DCA","3GEN","8AGE","6RAC","6EDU","TUS16","16"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Cigar Use (Adults)","Smoking Status","TUS-CPS","Current","%","Percentage","2.9",,,"0.4","2.2","3.7","3684","Overall","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","103BEH","170SSA","1GEN","8AGE","6RAC","6EDU","TUS11","11"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Pipe Use (Adults)","Smoking Status","TUS-CPS","Current","%","Percentage","0.8",,,"0.3","0.2","1.4","1666","Male","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","104BEH","172SSA","2GEN","8AGE","6RAC","6EDU","TUS30","30"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","TUS-CPS",,"%","Percentage","16.8",,,"1.3","14.3","19.3","2031","Female","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","111CSA","3GEN","8AGE","6RAC","6EDU","TUS21","21"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","TUS-CPS","<15 Cigarettes","%","Percentage","44.8",,,"44.8","38.2","51.5","209","Female","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","102BEH","131DCF","3GEN","8AGE","6RAC","6EDU","TUS17","17"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Status","TUS-CPS","Never","%","Percentage","59.8",,,"1.7","56.5","63.1","1696","Male","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","173SSA","2GEN","8AGE","6RAC","6EDU","TUS29","29"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Smoking Status","TUS-CPS","Never","%","Percentage","97.7",,,"0.4","97","98.4","2015","Female","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","150BEH","171SSA","3GEN","8AGE","6RAC","6EDU","TUS35","35"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Pipe Use (Adults)","Smoking Status","TUS-CPS","Never","%","Percentage","94.4",,,"0.6","93.2","95.6","3683","Overall","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","104BEH","172SSA","1GEN","8AGE","6RAC","6EDU","TUS32","32"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Pipe Use (Adults)","Smoking Status","TUS-CPS","Former","%","Percentage","5.2",,,"0.7","3.9","6.5","3683","Overall","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","104BEH","172SSA","1GEN","8AGE","6RAC","6EDU","TUS31","31"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Cessation (Adults)","Percent of Former Smokers Among Ever Smokers","TUS-CPS",,"%","Percentage","51",,,"2.2","46.7","55.2","503","Male","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","101BEH","168QUP","2GEN","8AGE","6RAC","6EDU","TUS06","06"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","TUS-CPS",,"%","Percentage","12.8",,,"1","11","14.7","1758","Overall","All Races","Age 25 and Older",">12th Grade","(32.840571122, -86.631860762)","BEH","100BEH","111CSA","1GEN","7AGE","6RAC","5EDU","TUS24","24"
"2014-2015","AL","Alabama","Smokefree Rules/Policies – Survey Data","Smokefree Rules in Homes (Adults)","Smokefree Rules in Homes","TUS-CPS",,"%","Percentage","80.2",,,"1","78.2","82.1","2046","Overall","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","ENV","351ENV","152SRL","1GEN","8AGE","6RAC","6EDU","TUS04","04"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Cigar Use (Adults)","Smoking Status","TUS-CPS","Current","%","Percentage","5.3",,,"0.8","3.7","6.9","1666","Male","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","103BEH","170SSA","2GEN","8AGE","6RAC","6EDU","TUS11","11"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","TUS-CPS",,"%","Percentage","18.6",,,"1.2","16.3","20.9","2727","Overall","White","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","111CSA","1GEN","8AGE","5RAC","6EDU","TUS22","22"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","TUS-CPS",,"%","Percentage",,"*","Data in these cells have been suppressed because of a small sample size",,,,,"Overall","American Indian/Alaska Native","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","111CSA","1GEN","8AGE","2RAC","6EDU","TUS22","22"
"2014-2015","AL","Alabama","Tobacco Use – Survey Data","Cigar Use (Adults)","Smoking Status","TUS-CPS","Never","%","Percentage","84.7",,,"0.8","83","86.3","3684","Overall","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","103BEH","170SSA","1GEN","8AGE","6RAC","6EDU","TUS13","13"
"2014-2015","AL","Alabama","Smokefree Rules/Policies – Survey Data","Smokefree Policies in Indoor Worksites (Adults)","Smokefree Policies in Indoor Worksites","TUS-CPS",,"%","Percentage","75.7",,,"1.6","72.5","78.9","1088","Overall","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","ENV","350ENV","151SPL","1GEN","8AGE","6RAC","6EDU","TUS01","01"
