"year","locationabbr","locationdesc","topictype","topicdesc","measuredesc","datasource","response","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","data_value_std_err","low_confidence_limit","high_confidence_limit","sample_size","gender","race","age","education","geolocation","topictypeid","topicid","measureid","stratificationid1","stratificationid2","stratificationid3","stratificationid4","submeasureid"
"2013-2014","US","National (States and DC)","Tobacco Use – Survey Data","Any Tobacco Use (Adults)","User Status","NATS","Current","%","Percentage","21.3",,,"0.3","20.8","21.8","8914","Overall","White","All Ages","All Grades",,"BEH","160BEH","181USS","1GEN","8AGE","5RAC","3EDU","NAT01"
"2013-2014","US","National (States and DC)","Tobacco Use – Survey Data","Any Tobacco Use (Adults)","User Status","NATS","Current","%","Percentage","10.2",,,"0.3","9.5","10.8","1604","Overall","All Races","All Ages","Undergraduate degree",,"BEH","160BEH","181USS","1GEN","8AGE","6RAC","15EDU","NAT01"
"2013-2014","US","National (States and DC)","Tobacco Use – Survey Data","Any Tobacco Use (Adults)","User Status","NATS","Current","%","Percentage","24.5",,,"0.8","23.0","26.1","1184","Overall","All Races","18 to 24 Years","All Grades",,"BEH","160BEH","181USS","1GEN","1AGE","6RAC","3EDU","NAT01"
"2013-2014","US","National (States and DC)","Tobacco Use – Survey Data","Any Tobacco Use (Adults)","User Status","NATS","Current","%","Percentage","26.1",,,"0.5","25.2","27.0","3834","Overall","All Races","25 to 44 Years","All Grades",,"BEH","160BEH","181USS","1GEN","2AGE","6RAC","3EDU","NAT01"
"2013-2014","US","National (States and DC)","Tobacco Use – Survey Data","Any Tobacco Use (Adults)","User Status","NATS","Current","%","Percentage","21.5",,,"0.3","20.9","22.2","5031","Overall","All Races","45 to 64 Years","All Grades",,"BEH","160BEH","181USS","1GEN","3AGE","6RAC","3EDU","NAT01"
"2013-2014","US","National (States and DC)","Tobacco Use – Survey Data","Any Tobacco Use (Adults)","User Status","NATS","Current","%","Percentage","10.3",,,"0.3","9.8","10.8","2277","Overall","All Races","65 Years and Older","All Grades",,"BEH","160BEH","181USS","1GEN","4AGE","6RAC","3EDU","NAT01"
"2013-2014","US","National (States and DC)","Tobacco Use – Survey Data","Any Tobacco Use (Adults)","User Status","NATS","Current","%","Percentage","31.9",,,"0.9","30.1","33.6","1602","Overall","All Races","All Ages","0-12 Years, no diploma",,"BEH","160BEH","181USS","1GEN","8AGE","6RAC","10EDU","NAT01"
"2013-2014","US","National (States and DC)","Tobacco Use – Survey Data","Any Tobacco Use (Adults)","User Status","NATS","Current","%","Percentage","50.0",,,"1.8","46.4","53.6","592","Overall","All Races","All Ages","GED",,"BEH","160BEH","181USS","1GEN","8AGE","6RAC","11EDU","NAT01"
"2013-2014","US","National (States and DC)","Tobacco Use – Survey Data","Any Tobacco Use (Adults)","User Status","NATS","Current","%","Percentage","25.4",,,"0.5","24.4","26.4","3401","Overall","All Races","All Ages","High school diploma",,"BEH","160BEH","181USS","1GEN","8AGE","6RAC","12EDU","NAT01"
"2013-2014","US","National (States and DC)","Tobacco Use – Survey Data","Any Tobacco Use (Adults)","User Status","NATS","Current","%","Percentage","23.6",,,"0.6","22.5","24.7","2232","Overall","All Races","All Ages","Some college, no degree",,"BEH","160BEH","181USS","1GEN","8AGE","6RAC","13EDU","NAT01"
