"year","locationabbr","locationdesc","topictype","topicdesc","measuredesc","datasource","response","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","data_value_std_err","low_confidence_limit","high_confidence_limit","sample_size","gender","race","age","education","geolocation","topictypeid","topicid","measureid","stratificationid1","stratificationid2","stratificationid3","stratificationid4"
"2007","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking – (2 yrs – Race/Ethnicity)","BRFSS",,"%","Percentage",,"*","Data in these cells have been suppressed because of a small sample size",,,,,"Overall","Asian/Pacific Islander","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","112CS2","1GEN","8AGE","3RAC","6EDU"
"2001","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking – (2 yrs – Race/Ethnicity)","BRFSS",,"%","Percentage","39.1",,,"8.9","21.6","56.6","100","Overall","Hispanic","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","112CS2","1GEN","8AGE","4RAC","6EDU"
"2000","AL","Alabama","Tobacco Use – Survey Data","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Average","BRFSS",,,"Mean","19.8",,,"0.6","18.6","21","413","Overall","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","130DCA","1GEN","8AGE","6RAC","6EDU"
"2000","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking – (2 yrs – Race/Ethnicity)","BRFSS",,"%","Percentage","18",,,"1.5","15.1","20.9","954","Overall","African American","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","112CS2","1GEN","8AGE","1RAC","6EDU"
"2007","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking – (2 yrs – Race/Ethnicity)","BRFSS",,"%","Percentage","26.1",,,"5.3","15.8","36.4","167","Overall","Hispanic","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","112CS2","1GEN","8AGE","4RAC","6EDU"
"1996","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","BRFSS",,"%","Percentage","29.2",,,"2.4","24.4","34","401","Overall","All Races","Age 20 and Older","< 12th Grade","(32.840571122, -86.631860762)","BEH","100BEH","110CSA","1GEN","6AGE","6RAC","3EDU"
"2004","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","BRFSS",,"%","Percentage","22.5",,,"1.8","18.9","26.1","869","Overall","African American","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","110CSA","1GEN","8AGE","1RAC","6EDU"
"2008","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Status","BRFSS","Current","%","Percentage","19.3",,,"1","17.3","21.3","4387","Female","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","165SSA","3GEN","8AGE","6RAC","6EDU"
"2000","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Frequency","BRFSS","Every Day","%","Percentage","76.9",,,"3.1","70.9","82.9","239","Male","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","166SSP","2GEN","8AGE","6RAC","6EDU"
"2005","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","BRFSS",,"%","Percentage","26.2",,,"1.2","23.8","28.6","2325","Overall","White","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","110CSA","1GEN","8AGE","5RAC","6EDU"
"2008","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","BRFSS",,"%","Percentage","19.3",,,"1","17.3","21.3","4387","Female","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","110CSA","3GEN","8AGE","6RAC","6EDU"
"2000","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","BRFSS",,"%","Percentage","33.9",,,"2.8","28.4","39.4","378","Overall","All Races","Age 20 and Older","< 12th Grade","(32.840571122, -86.631860762)","BEH","100BEH","110CSA","1GEN","6AGE","6RAC","3EDU"
"2000","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","BRFSS",,"%","Percentage","11.1",,,"1.7","7.7","14.5","431","Overall","All Races","65 Years and Older","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","110CSA","1GEN","4AGE","6RAC","6EDU"
"2009","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","BRFSS",,"%","Percentage","25.7",,,"1.4","22.9","28.5","2095","Male","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","110CSA","2GEN","8AGE","6RAC","6EDU"
"1997","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Status","BRFSS","Never","%","Percentage","63.5",,,"1.4","60.7","66.3","1359","Female","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","165SSA","3GEN","8AGE","6RAC","6EDU"
"1996","AL","Alabama","Tobacco Use – Survey Data","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","BRFSS","> 25 Cigarettes","%","Percentage","12.1",,,"2.2","7.8","16.4","237","Female","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","130DCA","3GEN","8AGE","6RAC","6EDU"
"1996","AL","Alabama","Tobacco Use – Survey Data","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","BRFSS","15 to 25 Cigarettes","%","Percentage","52.6",,,"4.4","44","61.2","158","Male","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","130DCA","2GEN","8AGE","6RAC","6EDU"
"1998","AL","Alabama","Tobacco Use – Survey Data","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","BRFSS","> 25 Cigarettes","%","Percentage","25.6",,,"3.7","18.4","32.8","177","Male","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","130DCA","2GEN","8AGE","6RAC","6EDU"
"2010","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","BRFSS",,"%","Percentage","22.8",,,"1.7","19.5","26.1","1856","Overall","African American","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","110CSA","1GEN","8AGE","1RAC","6EDU"
"2001","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","BRFSS",,"%","Percentage","19.7",,,"1.9","16","23.4","602","Overall","African American","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","110CSA","1GEN","8AGE","1RAC","6EDU"
"2009","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","BRFSS",,"%","Percentage","17.6",,,"1","15.6","19.6","3305","Overall","All Races","Age 25 and Older","> 12th Grade","(32.840571122, -86.631860762)","BEH","100BEH","110CSA","1GEN","7AGE","6RAC","5EDU"
"1996","AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Frequency","BRFSS","Every Day","%","Percentage","82.2",,,"2.4","77.4","87","293","Female","All Races","All Ages","All Grades","(32.840571122, -86.631860762)","BEH","100BEH","166SSP","3GEN","8AGE","6RAC","6EDU"
