"year","who_region","datasource","country","surveysite","topic","mpower","indicator","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","sample_size","gender","geolocation","regionabbr","countryabbr","surveysiteabbr","locationid","topicid","mpowerid","indicatorid","stratificationid","datavaluetypeid"
"2010","Western Pacific Region","GYTS","Tonga","Tonga - National","Cessation","Offer","Percentage of current smokers who reported they wanted to stop smoking now","%","Percentage","78.8",,,"58.5","90.8","90","Girl","(-21.178986, -175.198242)","WPR","tn","tn100","475","T01","M02","Q08","G04","Prctg"
"2008","African Region","GYTS","Guinea","Guinea - National","Cessation","Offer","Percentage of current smokers who reported they wanted to stop smoking now","%","Percentage",,"~","Insufficient Sample Size.",,,,"Girl","(9.945587, -9.696645)","AFR","gv","gv100","378","T01","M02","Q08","G04","Prctg"
"2003","European Region","GYTS","Slovakia","Slovakia - National","Cessation","Offer","Percentage of current smokers who reported they wanted to stop smoking now","%","Percentage","61.1",,,"55.7","66.3","334","Boy","(48.669026, 19.699024)","EUR","lo","lo100","408","T01","M02","Q08","G03","Prctg"
"2003","Eastern Mediterranean Region","GYTS","Yemen","Yemen - National","Cessation","Offer","Percentage of current smokers who reported they wanted to stop smoking now","%","Percentage","83.2",,,"72.8","90.2","195","Boy","(15.552727, 48.516388)","EMR","ym","ym100","505","T01","M02","Q08","G03","Prctg"
"2002","African Region","GYTS","Zambia","Zambia - Kafue","Cessation","Offer","Percentage of current smokers who reported they wanted to stop smoking now","%","Percentage",,"~","Insufficient Sample Size.",,,,"Total","(-13.133897, 27.849332)","AFR","za","za103","217","T01","M02","Q08","G9901","Prctg"
"2011","European Region","GYTS","Latvia","Latvia - National","Cessation","Offer","Percentage of current smokers who reported they wanted to stop smoking now","%","Percentage","68.5",,,"61.5","74.8","253","Boy","(56.879635, 24.603189)","EUR","lg","lg100","405","T01","M02","Q08","G03","Prctg"
"2005","Eastern Mediterranean Region","GYTS","Lebanon","Lebanon - National","Access/Availability",,"Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","%","Percentage","22.5",,,"16.2","30.3","191","Total","(33.854721, 35.862285)","EMR","le","le100","404","T05","M99","Q09","G9901","Prctg"
"2005","Eastern Mediterranean Region","GYTS","Lebanon","Lebanon - National","Access/Availability",,"Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store and that they were not refused purchase of cigarettes because of their age during the month preceding the survey","%","Percentage",,"~","Insufficient Sample Size.",,,,"Girl","(33.854721, 35.862285)","EMR","le","le100","404","T05","M99","Q10","G04","Prctg"
"2005","Eastern Mediterranean Region","GYTS","Lebanon","Lebanon - National","Access/Availability",,"Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store and that they were not refused purchase of cigarettes because of their age during the month preceding the survey","%","Percentage","88.7",,,"72","96","41","Total","(33.854721, 35.862285)","EMR","le","le100","404","T05","M99","Q10","G9901","Prctg"
"2005","Eastern Mediterranean Region","GYTS","Lebanon","Lebanon - National","Exposure to indirect pro-tobacco advertising","Enforce","Percentage of students who reported having an object with a tobacco company logo on it","%","Percentage","24",,,"20.2","28.2","999","Boy","(33.854721, 35.862285)","EMR","le","le100","404","T07","M04","Q06","G03","Prctg"
