"year","locationabbr","locationdesc","topictype","topicdesc","measuredesc","submeasure","datasource","response","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","data_value_std_err","low_confidence_limit","high_confidence_limit","sample_size","gender","age","race","education","geolocation","topictypeid","topicid","measureid","stratificationid1","stratificationid2","stratificationid3","stratificationid4","submeasureid","displayorder"
"2017","AK","Alaska","Tobacco Use - Survey Data","Cigar Use (Youth)","Smoking Status","Frequent Cigar Smoker","YRBSS","Frequent","%","Percentage","2.6",,,"1.2","1.1","6.4","150","Overall","All Ages","Hispanic","High School","(64.845079957001, -147.722059036)","BEH","153BEH","181CIG","1GEN","8AGE","4RAC","2EDU","YRB10","2"
"2017","AK","Alaska","Tobacco Use - Survey Data","Smokeless Tobacco Use (Youth)","User Status","Frequent Smokeless Tobacco User","YRBSS","Frequent","%","Percentage","9.5",,,"4.9","3.3","24.5","205","Overall","All Ages","American Indian/Alaska Native","High School","(64.845079957001, -147.722059036)","BEH","151BEH","168SSP","1GEN","8AGE","2RAC","2EDU","YRB05","2"
"2017","AK","Alaska","Tobacco Use - Survey Data","Cigarette Use (Youth)","Smoking Status","Current Cigarette Smoker","YRBSS","Current","%","Percentage",,"*","Data in these cells have been suppressed because of a small sample size",,,,,"Overall","All Ages","Asian","High School","(64.845079957001, -147.722059036)","BEH","106BEH","169SSA","1GEN","8AGE","8RAC","2EDU","YRB01","1"
"2017","AK","Alaska","Tobacco Use - Survey Data","Cigar Use (Youth)","Smoking Status","Frequent Cigar Smoker","YRBSS","Frequent","%","Percentage",,"*","Data in these cells have been suppressed because of a small sample size",,,,,"Overall","All Ages","African American","High School","(64.845079957001, -147.722059036)","BEH","153BEH","181CIG","1GEN","8AGE","1RAC","2EDU","YRB10","2"
"2017","AK","Alaska","Tobacco Use - Survey Data","Cigarette Use (Youth)","Smoking Status","Ever Cigarette Smoker","YRBSS","Ever","%","Percentage",,"*","Data in these cells have been suppressed because of a small sample size",,,,,"Overall","All Ages","Asian","High School","(64.845079957001, -147.722059036)","BEH","106BEH","169SSA","1GEN","8AGE","8RAC","2EDU","YRB03","3"
"2017","AK","Alaska","Tobacco Use - Survey Data","E-Cigarette Use (Youth)","User Status","Current E-Cigarette User","YRBSS","Current","%","Percentage","16.4",,,"1.5","13.5","19.7","613","Female","All Ages","All Races","High School","(64.845079957001, -147.722059036)","BEH","152BEH","180EVP","3GEN","8AGE","6RAC","2EDU","YRB06","1"
"2017","AK","Alaska","Tobacco Use - Survey Data","Cigarette Use (Youth)","Smoking Status","Current Cigarette Smoker","YRBSS","Current","%","Percentage","7",,,"2.4","3.4","13.6","167","Overall","All Ages","Multiple Race","High School","(64.845079957001, -147.722059036)","BEH","106BEH","169SSA","1GEN","8AGE","7RAC","2EDU","YRB01","1"
"2017","AK","Alaska","Tobacco Use - Survey Data","Any Tobacco Use (Youth)","User Status","Current Tobacco User","YRBSS","Current","%","Percentage","40.8",,,"3.7","33.6","48.4","186","Overall","All Ages","American Indian/Alaska Native","High School","(64.845079957001, -147.722059036)","BEH","154BEH","182TUS","1GEN","8AGE","2RAC","2EDU","YRB12","1"
"2017","AK","Alaska","Tobacco Use - Survey Data","Smokeless Tobacco Use (Youth)","User Status","Current Smokeless Tobacco User","YRBSS","Current","%","Percentage",,"*","Data in these cells have been suppressed because of a small sample size",,,,,"Overall","All Ages","Asian","High School","(64.845079957001, -147.722059036)","BEH","151BEH","168SSP","1GEN","8AGE","8RAC","2EDU","YRB04","1"
"2017","AK","Alaska","Tobacco Use - Survey Data","E-Cigarette Use (Youth)","User Status","Frequent E-Cigarette User","YRBSS","Frequent","%","Percentage",,"*","Data in these cells have been suppressed because of a small sample size",,,,,"Overall","All Ages","Pacific Islander","High School","(64.845079957001, -147.722059036)","BEH","152BEH","180EVP","1GEN","8AGE","9RAC","2EDU","YRB07","2"
