"id","address","geocoded_column","latitude","longitude","application_status","submit_date","issue_date","owner_occupied","condo_association","building_use","number_of_dwelling_units","building_construction_type","height","stories_above_grade","firm_name","work_description","demolition_description","demolition_type","method_of_removal","temporary_dumpster_count","solar_water_tank","debris_removal_date","debris_removal_location","solar_energy_type","solar_system_size","watt_capacity","heat_exchanger","photovoltaic_panel_count","panel_dimensions","thermal_panel_count","inverter_count","collector_panels","inverter_type","inverter_make_and_model","solar_water_tank_make_and","mount_type","backup_power","solar_collector_type","integrative_solar_tank","building_cost","plumbing_cost","electrical_cost","total_cost","insurance_company"
"189018","9 Corporal Mcternan St, Cambridge, MA 02139","9 Corporal Mcternan St
Cambridge, MA 02139
(42.360803, -71.107508)","42.361","-71.1073","Active","2022-08-09T00:00:00.000","2022-09-06T00:00:00.000",,"false","One or Two Family Dwelling",,"Steel/Concrete, Non-Combustible (Type I/II)",,,"Momentum Solar LLC","Installing roof top rail less solar PV of 4.4 KW and 11 modules.","","No demolition required","None",,,"2022-09-09T00:00:00.000","E&L harvey and sons","Photovoltaic","4.4","400","","11","",,"11","","Micro-Inverter","Enphase IQ 7 and IQ 7+ microinverters","","Roof-Mount","","","","4950","0","11550","16500","American Zurich Ins Co"
"191203","170 Sherman St, Cambridge, MA 02140","170 Sherman St
Cambridge, MA 02140
(42.391858, -71.132782)","42.392","-71.1327","Active","2022-08-22T00:00:00.000","2022-08-29T00:00:00.000",,"false","One or Two Family Dwelling",,"Wood (Type (IV/V)",,,"Momentum Solar LLC","Installing roof top rail less solar PV of 10.8 kw and 27 modules.","","No demolition required","None",,,"2022-09-22T00:00:00.000","E&L Harvey and Sons","Photovoltaic","10.8","400","","27","",,"27","","Micro-Inverter","Enphase IQ 7 and IQ 7+ microinverters","","Roof-Mount","","","","10044","0","23436","33480","American Zurich"
"189245","150 Larch Rd, Cambridge, MA 02138","150 Larch Rd
Cambridge, MA 02138
(42.379886, -71.143374)","42.3799","-71.1435","Active","2022-08-10T00:00:00.000","2022-08-29T00:00:00.000",,"false","One or Two Family Dwelling",,"Steel/Concrete, Non-Combustible (Type I/II)",,,"SUNRUN Installation services","Install roof-mounted solar panels: 16(365W) panels, total 5.84kwdc. No structural upgrades needed per PE. No battery.","","No demolition required","Daily Removal",,,"2022-10-16T00:00:00.000","TRUCK/ miller waste industries- 210 north main st middleton ma","Photovoltaic","5.84","365","","16","",,"1","","String Inverter","SOLAREDGE TECHNOLOGIES: SE6000H-USSN","","Roof-Mount","","","","3416","0","7972","11388","American Zurich Insurance Company"
"176202","1 Gerrys Landing Rd, Cambridge, MA 02138","1 Gerrys Landing Rd
Cambridge, MA 02138
(42.374217, -71.136581)","42.3738","-71.1368","Complete","2022-05-19T00:00:00.000","2022-08-15T00:00:00.000",,"false","One or Two Family Dwelling",,"Wood (Type (IV/V)",,,"Vision Solar, LLC","Installation of 19 roof mount solar panels-6.84KWDC Photovoltaic System","","No demolition required","None",,,"2022-07-07T00:00:00.000","Self Haul","Photovoltaic","6.84","360","","19","",,"10","","String Inverter","SE6000H-USRGM","","Roof-Mount","","","","8000","0","11000","19000","RSC"
"186316","46 Sargent St, Unit 1, Cambridge, MA 02140","46 Sargent St
Cambridge, MA 02140
(42.391273, -71.131906)","42.3913","-71.1318","Active","2022-07-22T00:00:00.000","2022-08-10T00:00:00.000",,"false","Multi Family (3 or more dwelling units)","3","Steel/Concrete, Non-Combustible (Type I/II)","24","2","Momentum Solar LLC","Installing roof top rail less solar PV of 11.2 KW and 28 modules.","","No demolition required","None",,,"2022-08-23T00:00:00.000","E&L Harvey & Sons","Photovoltaic","11.2","400","","28","",,"28","","Micro-Inverter","Enphase IQ 7 and IQ 7+ microinverters","","Roof-Mount","","","","12398","0","28929","41327","Colony"
"186711","5 Healey St, Cambridge, MA 02138","5 Healey St
Cambridge, MA 02138
(42.38003, -71.128559)","42.3801","-71.1284","Active","2022-07-25T00:00:00.000","2022-08-08T00:00:00.000",,"false","One or Two Family Dwelling",,"Wood (Type (IV/V)",,,"The Boston Solar Company, LLC","INSTALL 9.135KW (21 PANEL) ROOFTOP SOLAR ARRAY - NO ENERGY STORAGE","","No demolition required","Daily Removal",,,"2022-08-06T00:00:00.000","Boston Solar 55 Sixth Road Woburn, MA 01801","Photovoltaic","9.135","435","","21","",,"21","","Micro-Inverter","Enphase IQ8A","","Roof-Mount","","","","12275.7","0","24551.39","36827.09","Atlantic Charter Insurance Company"
"185190","112 Henry St, Unit 110, Cambridge, MA 02139","112 Henry St
Cambridge, MA 02139
(42.356543, -71.110741)","42.3565","-71.1108","Active","2022-07-15T00:00:00.000","2022-08-04T00:00:00.000",,"false","One or Two Family Dwelling",,"Masonry / Wood (Type III)",,,"Sunlight Solar Energy","Install 14 rooftop solar panels with monitoring equipment","","No demolition required","Minimal",,,"2022-08-30T00:00:00.000","Sunlight Solar Energy 419 Lincoln St Marlboro MA 01752","Photovoltaic","5.6","400","","14","",,"14","","Micro-Inverter","Enpahse IQ8A","","Roof-Mount","","","","7425","0","17325","24750","Zurich American"
"181538","168 River St, Cambridge, MA 02139","168 River St
Cambridge, MA 02139
(42.363492, -71.109867)","42.3634","-71.1098","Active","2022-06-21T00:00:00.000","2022-08-01T00:00:00.000",,"false","One or Two Family Dwelling",,"Masonry / Wood (Type III)",,,"Vision Solar,LLC","Installation of 17 roof mount solar panels-5.69KWDC Photovoltaic System","","No demolition required","Daily Removal",,,"2022-07-12T00:00:00.000","Self Haul","Photovoltaic","5.69","335","","17","",,"17","","String Inverter","Trina Solar TSM 335-DD06M.05","","Roof-Mount","","","","6000","0","11000","17000","RSC"
"177899","289 Brookline St, Cambridge, MA 02139","289 Brookline St
Cambridge, MA 02139
(42.356936, -71.108476)","42.3571","-71.1086","Active","2022-05-27T00:00:00.000","2022-08-01T00:00:00.000",,"false","One or Two Family Dwelling",,"Steel/Concrete, Non-Combustible (Type I/II)",,,"David","Install 10.62kWdc (25panels) Rooftop Solar array with 20.16 kwh of energy storage (two enphase encharge 10 batteries)","","No demolition required","Daily Removal",,,"2022-06-27T00:00:00.000","Boston Solar ","Photovoltaic","10.62","425","","25","",,"25","","Micro-Inverter","Enphase IQ7A","","Roof-Mount","","","","13699.13","0","27398.27","41097.4","Gotham Insurance Compny"
"184347","155 Lexington Ave, Cambridge, MA 02138","155 Lexington Ave
Cambridge, MA 02138
(42.379801, -71.140948)","42.3799","-71.1408","Active","2022-07-11T00:00:00.000","2022-07-29T00:00:00.000",,"false","One or Two Family Dwelling",,"Masonry / Wood (Type III)",,,"Northeast Solar Services dba Revolusun","Install Solar array and connect with existing utility. Type: Rooftop; Qty. Panels: 28; Total kW: 11.2. Install Tesla PowerWall storage system.","","No demolition required","Daily Removal",,,"2022-07-25T00:00:00.000","Casella Waste Systems, Inc. 24 Bunker Hill Industrial Park, Boston, MA 02129","Photovoltaic","11.2","400","","28","",,"1","","String Inverter","Solaria PoweerXT-400R","","Roof-Mount","","","","13987.27","0","27151.75","41139.02","American Zurich Insurance Company"
"184835","15 Haskell St, Cambridge, MA 02140","15 Haskell St
Cambridge, MA 02140
(42.393194, -71.126958)","42.3933","-71.127","Active","2022-07-13T00:00:00.000","2022-07-21T00:00:00.000",,"false","One or Two Family Dwelling",,"Wood (Type (IV/V)",,,"BRIGHT PLANET SOLAR ","ROOF MOUNTED SOLAR ARRAY- 17 PANELS @ 6.8KW DC","","No demolition required","None",,,"2022-07-13T00:00:00.000","BRIGHT PLANET SOLAR 5 A ST AUBURN MA 01501","Photovoltaic","6.8","400","","17","",,"1","","String Inverter","SOLAREDGE SE5000H-URSGM","","Roof-Mount","","","","11621","0","23242","34863","BERKSHIRE HATHAWAY GUARD"
"183106","49 Granite St, Cambridge, MA 02139","49 Granite St
Cambridge, MA 02139
(42.356503, -71.112915)","42.3566","-71.1128","Active","2022-07-01T00:00:00.000","2022-07-15T00:00:00.000",,"false","One or Two Family Dwelling",,"Wood (Type (IV/V)",,,"SunBug Solar ","Installation of 19 REC roof mounted solar modules.","","No demolition required","Daily Removal",,,"2022-08-01T00:00:00.000","Debris will be taken daily from the site and put in our shop dumpster.","Photovoltaic","7.22","380","","19","",,"19","","Micro-Inverter","Enphase IQ8PLUS-72-2-US","","Roof-Mount","","","","29253.6","0","5162.4","34416","New York Marine and General Insurance"
"181681","21 Rice St, Cambridge, MA 02140","21 Rice St
Cambridge, MA 02140
(42.394889, -71.128627)","42.395","-71.1288","Active","2022-06-22T00:00:00.000","2022-07-12T00:00:00.000",,"false","One or Two Family Dwelling",,"Wood (Type (IV/V)",,,"ReVision Energy","Installation of (24) 400w Solar Modules and associated electrical work","","No demolition required","Minimal",,,"2022-10-04T00:00:00.000","ReVision Energy, 1980 Turnpike St, North Andover, MA 01845","Photovoltaic","9.6","400","","24","",,"1","","String Inverter","SolarEdge SE7600H-US ","","Roof-Mount","","","","8026","0","32102","40128","Zurich American Insurance of Illinois"
"183972","182 Elm St N, Cambridge, MA 02140","182 Elm St N
Cambridge, MA 02140
(42.392841, -71.120282)","42.3928","-71.1204","Active","2022-07-08T00:00:00.000","2022-07-12T00:00:00.000",,"false","One or Two Family Dwelling",,"Wood (Type (IV/V)",,,"Tesla Energy Operations","Install 19 solar panel system (rated at 7.6kW) to the roof of house","","No demolition required","None",,,"2022-08-09T00:00:00.000","240 Ballardvale St Wilmington MA","Photovoltaic","7.6","400","","19","",,"1","","String Inverter","7.6 kW Tesla Inc 15380000-00F","","Roof-Mount","","","","5796","0","11000","16796","Zurich American Insurance Company"
"177355","383 Windsor St, Cambridge, MA 02141","383 Windsor St
Cambridge, MA 02141
(42.3705, -71.09414)","42.3705","-71.0943","Active","2022-05-25T00:00:00.000","2022-07-08T00:00:00.000",,"false","One or Two Family Dwelling",,"Wood (Type (IV/V)",,,"Great Sky Solar","install rooftop solar system, 41 panels, 14.965kW DC&nbsp;","","No demolition required","Daily Removal",,,"2022-08-01T00:00:00.000","Save That Stuff Inc 17c Everberg Rd Woburn MA, 01801","Photovoltaic","14.965","365","","41","",,"41","","Micro-Inverter","Enphase IQ7","","Roof-Mount","","","","11186.3375","0","33559.0125","44745.35","Ace American Insurance Co"
"180486","4 Wyman Rd, Cambridge, MA 02138","4 Wyman Rd
Cambridge, MA 02138
(42.381075, -71.132457)","42.3812","-71.1325","Active","2022-06-13T00:00:00.000","2022-07-07T00:00:00.000",,"false","One or Two Family Dwelling",,"Wood (Type (IV/V)",,,"Northeast Solar Services dba Revolusun","Install Solar array and connect with existing utility. Type: Rooftop; Qty. Panels: 27; Total kW: 10.8. Install Tesla PowerWall storage system.","","No demolition required","Daily Removal",,,"2022-06-27T00:00:00.000","Casella Waste Systems, Inc. 24 Bunker Hill Industrial Park, Boston, MA 02129","Photovoltaic","10.8","400","","27","",,"1","","String Inverter","Solaredge SE10000H-US","","Roof-Mount","","","","15873.92","0","30814.08","46688","American Zurich Insurance Company"
"176011","40 Grozier Rd, Unit 2, Cambridge, MA 02138","40 Grozier Rd
Cambridge, MA 02138
(42.378635, -71.141656)","42.3786","-71.1418","Complete","2022-05-18T00:00:00.000","2022-07-06T00:00:00.000",,"false","One or Two Family Dwelling",,"Masonry / Wood (Type III)",,,"Second Generation Energy LLC","Rooftop Solar Array Install","","No demolition required","Daily Removal",,,"2022-07-31T00:00:00.000","85 S Bow St, Milford, MA 01757","Photovoltaic","9.7","405","","24","",,"24","","Micro-Inverter","Enphase IQ7A","","Roof-Mount","","","","25800","0","6200","32000","Travelers Indemnity Co of Amer"
"175041","33 Bristol St, Cambridge, MA 02141","33 Bristol St
Cambridge, MA 02141
(42.368065, -71.091983)","42.3681","-71.092","Active","2022-05-13T00:00:00.000","2022-07-06T00:00:00.000",,"false","One or Two Family Dwelling",,"Wood (Type (IV/V)",,,"Great Sky Solar","install rooftop solar system, 41 panels, 15.58 kW DC","","No demolition required","Daily Removal",,,"2022-07-01T00:00:00.000","Save That Stuff Inc 17c Everberg Rd Woburn, MA 01801","Photovoltaic","15.58","380","","41","",,"41","","String Inverter","Enphase IQ7","","Roof-Mount","","","","10633.35","0","31900.005","42533.355","Ace American Insurance Co"
"172843","68 Spring St, Unit 1, Cambridge, MA 02141","68 Spring St
Cambridge, MA 02141
(42.369061, -71.081091)","42.369","-71.0812","Complete","2022-04-29T00:00:00.000","2022-07-06T00:00:00.000",,"false","One or Two Family Dwelling",,"Wood (Type (IV/V)",,,"Great Sky Solar","install rooftop solar system, 26 panels, 10.4 kW DC&nbsp;","","No demolition required","Daily Removal",,,"2022-07-12T00:00:00.000","Save That Stuff Inc 17c Everberg Rd Woburn, MA 01801","Photovoltaic","10.4","400","","26","",,"26","","Micro-Inverter","Enphase IQ7 Plus","","Roof-Mount","","","","8346","0","25038","33384","Ace American Insurance Co"
"173480","323 Allston St, Cambridge, MA 02139","323 Allston St
Cambridge, MA 02139
(42.36087, -71.112166)","42.361","-71.1122","Complete","2022-05-04T00:00:00.000","2022-06-30T00:00:00.000",,"false","One or Two Family Dwelling",,"Wood (Type (IV/V)",,,"Vision Solar, LLC ","Installation of 20 roof mount solar panels-7.2KWDC Photovoltaic System","","No demolition required","Daily Removal",,,"2022-06-03T00:00:00.000","Self Haul","Photovoltaic","7.2","360","","20","",,"25","","String Inverter","SE6000H-USRGM","","Roof-Mount","","","","18000","0","20000","38000","RSC "
"172043","16 Haskell St, Cambridge, MA 02140","16 Haskell St
Cambridge, MA 02140
(42.393215, -71.126922)","42.3931","-71.1269","Complete","2022-04-25T00:00:00.000","2022-06-17T00:00:00.000",,"false","One or Two Family Dwelling",,"Wood (Type (IV/V)",,,"Great Sky Solar","install rooftop solar system, 31 panels, 12.4 kW DC&nbsp;","","No demolition required","Daily Removal",,,"2022-07-01T00:00:00.000","Save That Stuff Inc 17C Everberg Rd, Woburn MA 01801","Photovoltaic","12.4","400","","31","",,"31","","Micro-Inverter","Enphase IQ7 Plus","","Roof-Mount","","","","9796","0","29388","39184","Ace American Insurance Co"
