"projectid","address","project_name","prior_site_name","street_number","street_name","neighborhood","developer","status","year_complete","project_type","permit_type","zoning","pb_special_permit","building_permit","total_gfa","lot_area","far","use_type","total_of_units","of_affordable_units","hotelrooms","parking_spaces","note","latlong","latitude","longitude"
"675","290-292 Main Street","Building 4/45 Hayward St.","","290-292","Main Street","MIT / Area 2","MIT","Complete","2020","New Construction","Planning Board Special Permit","C-3B MXD/PUD 5","PB303","BLDC-065869-2017","426146","89129","4.48","Institutional","454","0",,"See note","Site incorporates existing building at 290-292 Main St.  454 graduate student housing units at 45 Hayward St.  Parking at 25 Hayward Street garage.  FAR for entire MIT Kendall Square SoMa project area including retained buildings.","(42.3622354995998, -71.0854249939999)","42.3622","-71.0854"
"648","300 Putnam Avenue",,"","300","Putnam Avenue","Cambridgeport","Biotech Realty Investors","Complete","2020","New Construction","As of Right","BA-3/C-1","N/A","33213","8415","23851","0.975","Residential","6","None",,"7","Includes demolition of existing building.  Also known as 357-363 Allston Street.","(42.361989, -71.1132779999999)","42.362","-71.1133"
"401","100 Putnam Avenue","Martin Luther King, Jr. School","","100","Putnam Avenue","Riverside","City of Cambridge","Complete","2015","New Construction","Planning Board Special Permit","C-1","PB277","BLDC-012909-2014","169221","147534","1.15","Government","0","None",,"75","34 spaces by zoning but 75 spaces available using tandem parking.","(42.367030192, -71.113316458)","42.367","-71.1133"
"383","10 Acorn Park Drive","600 Discovery Park/AC Hotel by Marriott","","10","Acorn Park Drive","North Cambridge","Bulfinch Company","Complete","2016","New Construction","Planning Board Special Permit","SD-4","PB198","BLDC-025041-2015","82340","1154420","0.61","Hotel","0","None","150","See note","FAR for entire Discovery Park development. Parking includes 8 surface spaces dedicated to hotel use. Additional parking allocated from Discovery Park inventory.","(42.3987162287, -71.147070799)","42.3987","-71.1471"
"410","300 Massachusetts Avenue","University Park Addition","","300","Massachusetts Avenue","Cambridgeport","Forest City Development","Complete","2016","New Construction","Planning Board Special Permit","CRDD","PB283","BLDC-010858-2014","218501","50634","4.3","Office/R&D","0","None",,"227","Parking will be provided at existing University Park garage located at 55 Franklin Street.","(42.3622847493, -71.098858148)","42.3623","-71.0989"
"692","169 Vassar Street","MIT Undergraduate Dormitory","","169","Vassar Street","MIT / Area 2","MIT","Complete","2021","New Construction","Planning Board Special Permit","SD-6","PB332","BLDC-076869-2018","169529","765106","1.53","Institutional","16","None",,"See note","FAR based on larger parcel. 450 undergraduate dorm beds, 301 rooms. 16 student/staff apartments. 372 space garage & 38 surface spaces removed. Some replaced in MIT pool. No parking for this building.","(42.359082, -71.097566)","42.3591","-71.0976"
"380","90 Acorn Park Drive","Discovery Park Garage A","","90","Acorn Park Drive","North Cambridge","Bulfinch Company","Complete","2011","New Construction","Planning Board Special Permit","SD-4","PB198",,"238314","1154420",,"Parking Garage","0","None",,"664","Garage not counted toward Discovery Park FAR. Includes severn surface parking spaces.","(42.3974596159999, -71.148088727)","42.3975","-71.1481"
"712","450 Water Street","Building H","","450","Water Street","East Cambridge","DivcoWest","Complete","2021","New Construction","Planning Board Special Permit","NP/PUD-6","PB179","26076","365110","56805","2.66","Office/R&D","0","None",,"328","FAR for overall Cambridge Crossing development. Portion of structure in Boston to be determined. 16 spaces located at Bldg. G garage. Site also includes 128 residential parking spaces for Sierra and Tango condominium buildings","(42.372221, -71.071404)","42.3722","-71.0714"
"374","225 Binney Street",,"","225","Binney Street","East Cambridge","Alexandria Real Estate","Complete","2013","New Construction","Planning Board Special Permit",,"PB243","1111093-012212","301048","79999","3.79","Office/R&D","0","None",,"271",,"(42.366282445, -71.085620519)","42.3663","-71.0856"
"392","131 Harvard Street",,"","131","Harvard Street","The Port/Area IV","Capstone Communities/Sean Hope RE","Complete","2016","New Construction","Board of Zoning Appeals","C-2B","N/A","BLDM-027706-2015","23342","10000","2.33","Residential","20","20",,"16","GFA includes underground structured parking. Also BZA #10455.","(42.3654741102999, -71.093738071)","42.3655","-71.0937"
"400","35 Cottage Park Avenue","Tyler Green Court Phase 2","","35","Cottage Park Avenue","North Cambridge","Tyler Court Limited Partnership","Complete","2016","New Construction","Planning Board Special Permit","SD-2","PB276","BLDM-020171-2014","12200","130079","0.639","Residential","10","1",,"10","Affordable units included in Phase 1. FAR for entire development. This phase consists of five two-family structures.","(42.3984010982999, -71.1335109329999)","42.3984","-71.1335"
"619","140 Cambridgepark Drive",,"","140","Cambridgepark Drive","North Cambridge","The Hanover Company","Complete","2015","New Construction","Planning Board Special Permit","O-2A/AOD-6","PB279","BLDC-022767-2015","0","125089",,"Parking Garage","0","None",,"427","456 pkg spaces, 360 replacements at 150 Cambridgepark Dr, 29 for 130 Cambridgepark Dr, 67 shared between bldgs. Bldg has no habitable space & no GFA.","(42.3938775462998, -71.1462408999999)","42.3939","-71.1462"
"726","201-203 Concord Turnpike","Tempo at Alewife Station Phase 2","","201-203","Concord Turnpike","North Cambridge","Criterion Development Partners","Complete","2020","New Construction","Planning Board Special Permit","SP-4A","PB326","BLDM-070311-2018","96431","166468","1.95","Residential","65","10",,"159","Includes demolition of existing motel and bowling alley. Phase 1 and 2 complete and include 139 units. Total project 324,440 SF and 239 parking spaces.","(42.399565, -71.1490979999999)","42.3996","-71.1491"
"327","160-180 Cambridgepark Drive","Windsor at Cambridge Park","","160-180","Cambridgepark Drive","North Cambridge","BRE/CPD","Complete","2014","New Construction","Planning Board Special Permit","O-2A/AOD-6","PB270","BLDM-000826-2013","445000","183604","2.4","Residential","398","46",,"398","Garage also includes 150 spaces shared with adjacent office buildings.","(42.3950042, -71.147528166)","42.395","-71.1475"
"317","355 Fresh Pond Parkway",,"","355","Fresh Pond Parkway","West Cambridge","Roberta Sidney","Complete","2014","New Construction","Planning Board Special Permit","BA/Res B/Parkway Overlay","PB234","BLDC-001755-2013","11450","41854","0.41","Retail","0","None",,"45","FAR based on approved plan including a second floor yet to be built.","(42.386107635, -71.140917568)","42.3861","-71.1409"
"357","61-69 Bolton Street",,"","61-69","Bolton Street","Neighborhood 9","DG/R.E. Development","Complete","2013","New Construction","Planning Board Special Permit","C-1A","PB251","611008","26436","9783","1.35","Residential","20","2",,"20",,"(42.3904014749998, -71.132354581)","42.3904","-71.1324"
"716","20 Sidney Street","Star Market Office Conversion","","20","Sidney Street","Cambridgeport","Forest City","Complete","2019","Change of Use","As of Right",,"N/A","21341/32399","31365","89697","2.51","Office/R&D","0","None",,"See note","Converstion of Star Market location of office/R&D for Takeda Pharmaceuticals. Permit 21341 removed existing retail fit out. Permit 32399 for conversion to office/R&D. Parking handled through existing pool.","(42.362101, -71.100251)","42.3621","-71.1003"
"342","45-47 Yerxa Road","Phase 1A","former St. John's Church","45-47","Yerxa Road","North Cambridge","120 Realty Trust","Complete","2012","Alteration/Change of Use","Planning Board Special Permit","B","PB203","105157-047114","15372","100068","0.76","Residential","19","3",,"97","FAR based on Phases 1A, 1B, and 2. Project incldues 97 parking spaces for 63 units across all project phases.","(42.3916984900001, -71.1293296099999)","42.3917","-71.1293"
"375","17 Cambridge Center","300 Binney Street/Biogen","","17","Cambridge Center","MIT / Area 2","Boston Properties","Complete","2013","New Construction","As of Right","MXD","N/A","112008-012228","188000","49544","3.79","Office/R&D","0","None",,"See note","Parking provided in existing Cambridge Center North Garage.","(42.3660086155, -71.0879647109999)","42.366","-71.088"
"408","6-10 Essex Street","Ten Essex","","6-10","Essex Street","The Port/Area IV","3 MJ Associates LLC","Complete","2019","New Construction","Planning Board Special Permit","BB/CSOD","PB285","BLDC-054470-2017","52333","34744","3.27","Residential","46","5",,"24","FAR includes existing building on parcel.","(42.3654694824, -71.1025378479999)","42.3655","-71.1025"
"326","114 Mount Auburn Street","Conductor's Building","","114","Mount Auburn Street","West Cambridge","Carpenter Company","Complete","2015","New Construction","Planning Board Special Permit","BB/HSOD","PB235","BLDC-011354-2014","83200","20800","4","Office/R&D","0","None",,"See note","Includes retail component with size TBD. Parking reduced to zero because of commercial parking available in Charles Hotel garage.","(42.3730377011998, -71.122361061)","42.373","-71.1224"
"354","259 Harvard Street","Jackson Gardens Renovation","","259","Harvard Street","Mid-Cambridge","Cambridge Housing Authority","Complete","2011","Alteration","Comprehensive Permit","C-1","N/A","810276-022718","55668","43565","1.28","Residential","45","45",,"24",,"(42.3684685050001, -71.1018896089999)","42.3685","-71.1019"
"300","1585 Massachusetts Avenue","Harvard Law School Expansion","","1585","Massachusetts Avenue","Agassiz","Harvard University","Complete","2011","New Construction","Planning Board Special Permit","C-3","PB221","707078-030893","234000","1343528","1.71","Institutional","0","None",,"695","Parking spaces servemultiple buildings throughout Harvard campus.","(42.37912156, -71.1197401329998)","42.3791","-71.1197"
"640","88 Cambridgepark Drive","Parking Garage","","88","Cambridgepark Drive","North Cambridge","McKinnon Company","Complete","2017","New Construction","Planning Board Special Permit","O-2A/AOD-6","PB292","BLDC-041235-2016","26800","174496","1.7","Parking Garage","0","None",,"541","541 parking spaces for 100, 125, & 150 Cambridgepark Drive, including 94 spaces shared with  on-site residences. Residences in separate phase.","(42.393208, -71.143285)","42.3932","-71.1433"
"251","120 Rindge Avenue","St. John's Resident Phase 1B/The Wyeth","","120","Rindge Avenue","North Cambridge","120 Realty Trust","Complete","2013","Alteration/Change of Use","Planning Board Special Permit","B","PB203","1212049-039660","35154","100068","0.76","Residential","28","4",,"See note","FAR based on Phases 1A, 1B, and 2. Project incldues 97 parking spaces for 63 units across all project phases. Parking in Phase 1A.","(42.392653559, -71.1298671349999)","42.3927","-71.1299"
"617","305 Webster Avenue","Inman Crossing","former Columbia Auto Parts","305","Webster Avenue","Wellington Harrington","M & H Realty Trust","Complete","2021","New Construction","Planning Board Special Permit","BA","PB316","BLDC-064166-2017","37510","18140","2.1","Residential","35","4",,"35","Includes replacement of auto parts supply building.","(42.3735365447, -71.094400792)","42.3735","-71.0944"
"329","1924 Massachusetts Avenue","Kaya Hotel","","1924","Massachusetts Avenue","North Cambridge","Kaya-Ka","Complete","2016","New Construction","Planning Board Special Permit","BC/B/NMAOD","PB237","BLDC-010552-2013","24162","14880","1.6","Hotel","0","None","65","40","Includes restaurant, component GFA unknown. Parking for hotel and restaurant.","(42.3893555901998, -71.1202461059999)","42.3894","-71.1202"
"627","1-6 Jefferson Park","Jefferson Park Replacement","","1-6","Jefferson Park","North Cambridge","Cambridge Housing Authority","Complete","2018","Alteration","Comprehensive Permit","B","N/A","	BLDM-034930-2015","69388","457992","0.32","Residential","104","104",,"74","Demolition and replacement of state-assisted public housing units at Jefferson Park, a Cambridge Housing Authority development.","(42.3930969, -71.1362478799999)","42.3931","-71.1362"
"727","425 Massachusetts Avenue","Phase 2/Market Central","","425","Massachusetts Avenue","The Port/Area IV","Watermark Central Venture","Complete","2020","New Construction","Planning Board Special Permit","BB/BA/C-1","PB321","BLDC-071299-2018","63625","38773","6.5","Residential","81","16",,"See note","14,479 GFA retail exempt from FAR. 5 Columbia St. has separate permit. Total project includes 259 units, 45 affordable, and 179,255 SF residential. All parking in Phase 1.","(42.3637459999999, -71.100256)","42.3637","-71.1003"
"624","60 Vassar Street","MIT Nano Building","","60","Vassar Street","MIT / Area 2","MIT","Complete","2018","New Construction","As of Right","C-3B","N/A","BLDC-027113-2015","216500",,,"Institutional","0","None",,"See note","Parking allocated from MIT pool. Infill project located on site of MIT main building complex.","(42.3609935327, -71.0928134429999)","42.361","-71.0928"
"382","20 Acorn Park Drive","500 Discovery Park","","20","Acorn Park Drive","North Cambridge","Bulfinch Company","Complete","2020","New Construction","Planning Board Special Permit","SD-4","PB198","BLDC-057679-2017","132000","1154420","0.61","Office/R&D","0","None",,"See note","FAR is for entire Discovery Park development. Parking allocated from Discovery Park inventory.","(42.3983003999, -71.1471004929999)","42.3983","-71.1471"
"633","907 Main Street",,"","907","Main Street","The Port/Area IV","Patrick Barrett","Complete","2020","Alteration/Change of Use","Planning Board Special Permit","BB","PB324","BLDC-053436-2017","29860","9436","3.14","Hotel","0","None","67","0","Conversion/rehab of existing building. Retail and Hotel floor area split estimated. Central Square Advisory Committee provided Large Project Review. Received parking waiver from Planning Board.","(42.363657, -71.099619)","42.3637","-71.0996"
