"fiscal_year","department","project_id","project_name","fund","city_location","latitude","longitude","map_location","approved_amount"
"2023","Human Services","HS23530","Human Services: Human Services Buildings Repairs","Capital Projects Funds","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","30000"
"2023","Human Services","HS23509","Human Services: Fresh Pond Golf Course Improvements","Capital Projects Funds","250 Fresh Pond Parkway","42.383036","-71.144134","(42.383036,-71.144134)","30000"
"2023","Human Services","PW23598","Human Services: Disability Commission ADA Accessibility Improvements","Capital Projects Funds","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","50000"
"2023","Human Services","HS23522","Human Services: Danehy Park Maintenance","Parks & Recreation Fund","99 Sherman Street","42.388985","-71.132827","(42.388985,-71.132827)","50000"
"2023","Finance","PB23500","Finance: Participatory Budgeting","Equipment Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","1140000"
"2023","Community Development","CD23712","CDD: Economic Development - Biomedical Career Training Program","Non Capital Public Invest Appr","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","99000"
"2023","Community Development","CD23729","CDD: Economic Development - Microenterprise Workshops","Non Capital Public Invest Appr","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","82000"
"2023","Community Development","CD23699","CDD: Economic Development - Small Business Enhancement & Interior Access Programs","Non Capital Public Invest Appr","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","147500"
"2023","Community Development","CD23687","CDD: Economic Development - Storefront Improvements Program","Non Capital Public Invest Appr","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","200000"
"2023","Community Development","CD23963","CDD: Housing - Affordable Housing Preservation & Development","Public Ways Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","22945750"
"2023","Community Development","CD23674","CDD: Housing - Affordable Housing Project Development","Public Ways Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","213735"
"2023","Community Development","CD23735","CDD: Housing - Home Improvement Program","Non Capital Public Invest Appr","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","464895"
"2023","Community Development","CD23835","CDD: Housing - Housing Mediation Program","Non Capital Public Invest Appr","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","130000"
"2023","Community Development","CD23614","CDD: Housing - Housing Rehabilitation Assistance Program","Non Capital Public Invest Appr","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","337250"
"2023","Community Development","CD23801","CDD: Housing - Tenant Organizing Services","Non Capital Public Invest Appr","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","75000"
"2023","Community Development","PW23510","Public Works: Multi-Use Paths-Danehy/New Street Path, Linear Park and Grand Junction Path","Public Ways Fund","99 Sherman Street, Alewife, Galileo Galilei Way and Main Street","42.388985","-71.132827","(42.388985,-71.132827)","15000000"
"2023","Community Development","CD23868","CDD: Transportation -  Electric Vehicle Charging Infrastructure","Equipment Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","50000"
"2023","Community Development","CD23953","CDD: Transportation - Bicycle Parking Program and Bus Stop Amenities","Non Capital Public Invest Appr","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","125000"
"2023","Community Development","CD23592","CDD: Transportation - Traffic Calming","Public Ways Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","250000"
"2023","Finance","FN23660","Finance: E-Gov Projects","Equipment Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","1100000"
"2023","Water","WA23543","Water: Water Works Construction","Water Projects Fund","250 Fresh Pond Parkway","42.383036","-71.144134","(42.383036,-71.144134)","2000000"
"2023","Water","WA23589","Water: Supervisory Control and Data Acquisition (SCADA) Upgrade","Water Projects Fund","250 Fresh Pond Parkway","42.383036","-71.144134","(42.383036,-71.144134)","3510000"
"2023","Water","WA23581","Water: Reservoir Gaging Weather Station Maintenance","Water Projects Fund","250 Fresh Pond Parkway","42.383036","-71.144134","(42.383036,-71.144134)","237000"
"2023","Water","WA23534","Water: Fresh Pond Master Plan Implementation","Water Projects Fund","250 Fresh Pond Parkway","42.383036","-71.144134","(42.383036,-71.144134)","250000"
"2023","Traffic, Parking, & Transportation","TR23524","Traffic: Vision Zero Safety Improvements Fund","Public Ways Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","300000"
"2023","Traffic, Parking, & Transportation","TR23512","Traffic: Traffic Signal Program","Equipment Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","350000"
"2023","Traffic, Parking, & Transportation","TR23518","Traffic: Parking Garage Restoration and Improvements","Public Buildings Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","500000"
"2023","School","SC23934","School: Building Repairs and Replacement","Public Buildings Fund","135 Berkshire Street","42.3715585","-71.0903353","(42.3715585,-71.0903353)","1800000"
"2023","Public Works Planning & Administration","PW23619","Public Works: Trees - Park and Cemetery Tree Pruning","Parks & Recreation Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","105000"
"2023","Public Works Planning & Administration","PW23804","Public Works: Trees - Emerald Ash Borer Treatment","Parks & Recreation Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","175000"
"2023","Public Works Planning & Administration","PW23595","Public Works: Streets - Complete Streets Reconstruction","Public Ways Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","13048105"
"2023","Public Works Planning & Administration","PW23542","Public Works: Streets - Central Square","Public Ways Fund","300 to 1000 Mass. Ave.","42.365589","-71.1041772","(42.365589,-71.1041772)","5000000"
"2023","Public Works Planning & Administration","PW23812","Public Works: Sewer/Stormwater - The Port","Sewer Projects Fund","Cherry St. and Mass. Ave","42.371336","-71.097567","(42.371336,-71.097567)","60000000"
"2023","Public Works Planning & Administration","PW23599","Public Works: Sewer/Stormwater - Remedial Construction","Sewer Projects Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","2500000"
"2023","Public Works Planning & Administration","PW23831","Public Works: Sewer/Stormwater - Climate Change","Sewer Projects Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","500000"
"2023","Public Works Planning & Administration","PW23793","Public Works: Sewer/Stormwater - Capital Repairs Program","Sewer Projects Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","6000000"
"2023","Public Works Planning & Administration","PW23810","Public Works: Sewer/Stormwater - Alewife","Sewer Projects Fund","Danehy Park, Brattle St. and Appleton St.","42.388985","-71.132827","(42.388985,-71.132827)","10000000"
"2023","Public Works Planning & Administration","PW23849","Public Works: Parks - Recreational Hard Surface Restoration","Parks & Recreation Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","200000"
"2023","Public Works Planning & Administration","PW23830","Public Works: Parks - Park Surfacing Restoration Program","Parks & Recreation Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","100000"
"2023","Public Works Planning & Administration","PW23828","Public Works: Cemetery - Cemetery Space Optimization and Beautification Project","Public Ways Fund","89 Coolidge Avenue","42.3695691","-71.1407842","(42.3695691,-71.1407842)","250000"
"2023","Public Works Planning & Administration","PW23625","Public Works: Buildings - Municipal Facilities Improvement Plan (MFIP)","Public Buildings Fund","Citywide","42.367102","-71.105699","(42.367102,-71.105699)","14600000"
"2023","Library","LB23518","Library: Main Library Building Repairs","Public Buildings Fund","459 Broadway","42.373802","-71.110383","(42.373802,-71.110383)","30000"
"2023","Human Services","HS23521","Human Services: War Memorial Recreation Center and Gold Star Pool Maintenance","Capital Projects Funds","1640 Cambridge Street","42.37499","-71.11067","(42.37499, -71.11067)","28000"
"2023","Human Services","HS23534","Human Services: Phase IV Bench and Table Replacement","Parks & Recreation Fund","99 Sherman Street","42.388985","-71.132827","(42.388985,-71.132827)","60000"
"2022","Water","WA22589","Water: Supervisory Control and Data Acquisition (SCADA) Upgrade","Water Projects Fund","250 Fresh Pond Parkway","42.383036","-71.144134","(42.383036,-71.144134)","1800000"
"2022","Finance","FN22660","Finance: E-Gov Projects","Equipment Fund","Citywide","42.37012","-71.103359","(42.37012,-71.103359)","1100000"
"2022","Water","WA22555","Water: Water Treatment Plant Equipment & Systems Upgrades","Water Projects Fund","250 Fresh Pond Parkway","42.383036","-71.144134","(42.383036,-71.144134)","645000"
"2022","Water","WA22543","Water: Water Works Construction","Water Projects Fund","250 Fresh Pond Parkway","42.383036","-71.144134","(42.383036,-71.144134)","1772000"
"2022","Water","WA22531","Water: Watershed Consulting Services","Water Projects Fund","250 Fresh Pond Parkway","42.383036","-71.144134","(42.383036,-71.144134)","68000"
"2022","Community Development","CD22712","CDD: Economic Development - Biomedical Career Training Program",,"Citywide","42.37012","-71.103359","(42.37012,-71.103359)","99000"
"2022","Community Development","CD22729","CDD: Economic Development - Microenterprise Workshops",,"Citywide","42.37012","-71.103359","(42.37012,-71.103359)","82000"
"2022","Community Development","CD22699","CDD: Economic Development - Small Business Enhancement & Interior Access Programs",,"Citywide","42.37012","-71.103359","(42.37012,-71.103359)","147500"
"2022","Community Development","CD22687","CDD: Economic Development - Storefront Improvements Program","Non Capital Public Invest Appr","Citywide","42.37012","-71.103359","(42.37012,-71.103359)","200000"
"2022","Community Development","CD22963","CDD: Housing - Affordable Housing Preservation & Development",,"Citywide","42.37012","-71.103359","(42.37012,-71.103359)","18354155"
"2022","Community Development","CD22674","CDD: HOUSING - AFFORDABLE HOUSING PROJECT DEVELOPMENT",,"Citywide","42.37012","-71.103359","(42.37012,-71.103359)","213735"
"2022","Community Development","CD22735","CDD: Housing - Home Improvement Program",,"Citywide","42.37012","-71.103359","(42.37012,-71.103359)","464895"
"2022","Community Development","CD22835","CDD: Housing - Housing Mediation Program",,"Citywide","42.37012","-71.103359","(42.37012,-71.103359)","130000"
"2022","Community Development","CD22614","CDD: Housing - Housing Rehabilitation Assistance Program",,"Citywide","42.37012","-71.103359","(42.37012,-71.103359)","337250"
"2022","Community Development","CD22801","CDD: Housing - Tenant Organizing Services",,"Citywide","42.37012","-71.103359","(42.37012,-71.103359)","75000"
"2022","Community Development","CD22592","CDD: Transportation - Traffic Calming","Public Ways Fund","Citywide","42.37012","-71.103359","(42.37012,-71.103359)","250000"
"2022","Finance","PB22500","Finance: Participatory Budgeting",,"Citywide","42.37012","-71.103359","(42.37012,-71.103359)","525000"
"2022","Fire","FI22541","Fire: 2021 Ford F150 4X4 Command Vehicle","Equipment Fund","491 Broadway","42.375324","-71.114671","(42.375324,-71.114671)","75000"
"2022","Fire","FI22542","Fire: Miscellaneous Fire Station Repairs","Capital Projects Funds","491 Broadway","42.375324","-71.114671","(42.375324,-71.114671)","104000"
"2022","Human Services","HS22522","Human Services: Danehy Park Maintenance","Parks & Recreation Fund","99 Sherman St.","42.388985","-71.132827","(42.388985,-71.132827)","50000"
"2022","Human Services","PW22598","Human Services: Disability Commission ADA Accessibility Improvements","Capital Projects Funds","Citywide","42.37012","-71.103359","(42.37012,-71.103359)","50000"
"2022","Human Services","HS22509","Human Services: Fresh Pond Golf Course Improvements","Capital Projects Funds","250 Fresh Pond Parkway","42.383036","-71.144134","(42.383036,-71.144134)","30000"
"2022","Human Services","HS22530","Human Services: Human Services Buildings Repairs","Capital Projects Funds","Citywide","42.37012","-71.103359","(42.37012,-71.103359)","15000"
"2022","Human Services","HS22521","Human Services: War Memorial Recreation Center Maintenance","Capital Projects Funds","1640 Cambridge St.","42.37499","-71.11067","(42.37499, -71.11067)","28000"
"2022","Library","LB22518","Library: Main Library Building Repairs","Public Buildings Fund","459 Broadway","42.373802","-71.110383","(42.373802,-71.110383)","30000"
"2022","Police","PL22517","Police: Body Armor Replacement","Equipment Fund","125 6th Street","42.3672156","-71.0859656","(42.3672156,-71.0859656)","216000"
"2022","Public Celebrations","PC22507","Public Celebrations: Public Art Conservation Program","Equipment Fund","Citywide","42.37012","-71.103359","(42.37012,-71.103359)","35000"
"2022","Public Works Planning & Administration","PW22625","Public Works: Buildings - Municipal Facilities Improvement Plan (MFIP)","Public Buildings Fund","Citywide","42.37012","-71.103359","(42.37012,-71.103359)","10000000"
"2022","Public Works Planning & Administration","PW22830","Public Works: Parks - Park Surfacing Restoration Program","Parks & Recreation Fund","Citywide","42.37012","-71.103359","(42.37012,-71.103359)","100000"
