Last Name ,First Name,Title,Year,Location (Name of Site),Location,Interior/ Exterior ,Category,Police Neighborhood Regions,Police Response Districts,cambridge_neighborhoods,cambridge_cdd_zoning,Census Blocks 2010,cambridge_zipcodes
Bell,Roberley,"""Here and There"" (gate)",2008,Costa Lopez Taylor Park and Community Garden,,Exterior ,Sculpture ,,,,,,
Schelling,Robert,"""Gore Field"" (circle with square and triangle)",2006,Gold Star Mothers Park,,Exterior ,Sculpture ,,,,,,
Zeigler,Mel,"""Taking Note"" (Food Cycle)",2013,School/ CRLS,,Interior,Sculture,,,,,,
Slosberg-Ackerman,Jill,"""Rei""",2004,Squirrel Brand Park,,Exterior ,Sculpture ,,,,,,
O'Neil,Nancy,"Untitled (level 1-2 left, Maria Baldwin portrait and elm tree leaves)",1996,School/ Baldwin,,Interior ?,Sculpture ,,,,,,
Rosenberg,Lilli Ann,"""Turtles"" (middle smallest turtle)",1989,"Alden Play Area, Baldwin Park, Oxford Street",,Exterior ,Sculpture ,,,,,,
Boyajian,Gail,"""Otter Fence""",2001,Larch Road Park,,Exterior ,Sculpture ,,,,,,
Zeigler,Mel,"""Taking Note"" (Sun/Photic Zone)",2013,School/ CRLS,,Exterior,Sculture,,,,,,
Oatman,Michael,"""The Cantabrigians""",2009,West Cambridge Youth & Community Center,,Interior ,Electronic Media ,,,,,,
O'Neil,Nancy,"Untitled (level sub-1 left, celestial map and rose of Sharon)",1996,School/ Baldwin,,Interior ?,Sculpture ,,,,,,
Coogan,Jay,Untitled (running white dog),2005,"Donnelly Field, Frisoli Youth Center",,Exterior ,Sculpture,,,,,,
Wodiczko,Krzysztof,Illumination Project for the Robert W. Healy Public Saftey Facility,2009,"Robert W. Healy Public Saftey Facility, 125 Sixth Street",,Exterior ,Electronic media ,,,,,,
Cauthen,Gene,"""Workers""",1986,Sennott Park,,Exterior ,Sculpture ,,,,,,
Judelson,David,"""Flag Fragments""",1987,East Cambridge Parking Facility,,Exterior ,Sculpture,,,,,,
Von Huene,Andreas,“Salmones Salari” (The Great Leaper),2004,Lowell Street Park,,Exterior ,Sculpture ,,,,,,
Basa,Lynn,"""A Long Story""",2013,5 Western Avenue (3 floors),,Interior,Sculpture,,,,,,
Dewart,Murray,“The Late Flower Alphabet” (The Eye of Buddha),2003,Franklin Street Park,,Exterior ,Sculpture,,,,,,
Coogan,Jay,Untitled (upright black dog),2005,"Donnelly Field, Frisoli Youth Center",,Exterior ,Sculpture,,,,,,
McKie,Todd,"""C'mon In The Water's Fine!""",2006,Gold Star Mothers Pool ,,Exterior,Mural,,,,,,
Rosenberg,Lilli Ann,"""Turtles"" (back turtle)",1989,"Alden Play Area, Baldwin Park, Oxford Street",,Exterior ,Sculpture ,,,,,,
Rosenberg,Lilli Ann,"""Tribute to Martin Luther King, Jr.""",1985,Library/ Central Square,,Exterior ,Sculpture ,,,,,,
Schelling,Robert,"""Gore Field"" (triangle with dots)",2006,Gold Star Mothers Park,,Exterior ,Sculpture ,,,,,,
Shores,Robin,Untitled (bollard with sports balls),1981,School/ Longfellow Building,,Exterior ,Sculpture ,,,,,,
O'Neil,Nancy,"Untitled (level 2-3 right, Pangea globe and Moroccan tile patterns)",1996,School/ Baldwin,,Interior ?,Sculpture ,,,,,,
Dewart,Murray,“The Late Flower Alphabet” (Gate),2003,Franklin Street Park,,Exterior ,Sculpture,,,,,,
Zeigler,Mel,"""Taking Note"" (Circle in Motion)",2013,School/ CRLS,,Interior,Sculture,,,,,,
Evans,Laura,"""Altered Benches"" (faucet)",2007,"Greene-Rose Heritage Park, Harvard and Moore Sts.",,Exterior ,Sculpture ,,,,,,
Tagiuri,John,"""Chairs and Endless Lamps"" (proper left lamp)",2002,Area 4 Youth Center ,,Exterior ,Sculpture ,,,,,,
Gerakaris,Dimitri,"""Centanni Way Garden Sculpture"" (A)",1989,Centanni Way Park,,Exterior ,Sculpture ,,,,,,
O'Neil,Nancy,"Untitled (level 1-2 right, robin bird and road maps from 1700)",1996,School/ Baldwin,,Interior ?,Sculpture ,,,,,,
Lyman ,Mela,"""Anxiety of Beauty: Revisiting the Fountian of Youth Mural""",2009,Paine Park ,,Exterior ,Mural ,,,,,,
Harries/Heder ,"Mags, Lajos",“Drawn Water” (valve plate at King Open School),2002,School/ King Open School (Harrington Community School),,Exterior,Sculpture ,,,,,,
Schelling,Robert,"""Gore Field"" (tall oval)",2006,Gold Star Mothers Park,,Exterior ,Sculpture ,,,,,,
Schelling,Robert,"""Gore Field"" (diamond)",2006,Gold Star Mothers Park,,Exterior ,Sculpture ,,,,,,
Beer,Vivian,"""Thunderhead""",2012,Old Morse/Nunes Park,,Exterior,Sculpture,,,,,,
Hamrol,Lloyd,"""Gate House"" (red)",1986,"Front Park, between Land Blvd and Cambridge Pkwy",,Exterior ,Sculpture ,,,,,,
McKie,Judy ,“Alley Cats” (middle),2005,Library/ Valente Garden,,Exterior ,Sculpture ,,,,,,
Houck,Lisa,"""The Bluefish is good tonight""",1987,Inman Square,,Interior ,Mural,,,,,,
Phillips,David,"""Beach Fragments"" (footprints in stones)",1986,Lechmere Canal Park,,Exterior ,Sculpture ,,,,,,
Reimann,William,Untitled (ground paver with water lillies),1998,Corporal Burns park,,Exterior ,Sculpture ,,,,,,
Ukeles,Mierle,“Turnaround/Surround” (Thrones),2004,Danehy Park,,Exterior ,Sculpture ,,,,,,
Webb,Nancy,Untitled (Insects) (large medallion with flower imagery),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Harries/Heder ,"Mags, Lajos",“Drawn Water” (valve plate at Kennedy-Longfellow School),2002,School/ Kennedy-Longfellow Elementary School,,Exterior,Sculpture ,,,,,,
Inglese,Judith,"""I'd Hammer Out Love""",1984,School/ The Amigos School,,Exterior ,Sculpture,,,,,,
Thurston,Randal,"""Yerxa Road Underpass"" (North facing trellis)",2006,Yerxa Road Underpass (under Fitchburg commuter rail line),,Exterior ,Sculpture ,,,,,,
Powell,John,"""Dana Park Quotes"" (Fuller)",2007,Dana Park,,Exterior ,Sculpture ,,,,,,
Baring-Gould,Laura,"""Water For All"" (pathway)",2013,Fresh Pond Reservation pathway,,Exterior,Sculpture,,,,,,
