"ward_precinct","race","candidate","count"
"Ward 2, Precinct 3","Question 3 (Farm Animals)","NO","157"
"Ward 4, Precinct 3","Sheriff (Middlesex District)","Write-in","10"
"Ward 10, Precinct 1","Question 2 (Charter Schools)","Blank","70"
"Ward 1, Precinct 1","President & Vice President","CLINTON & KAINE","1404"
"Ward 1, Precinct 1","President & Vice President","JOHNSON & WELD","64"
"Ward 1, Precinct 1","President & Vice President","STEIN & BARAKA","24"
"Ward 11, Precinct 3","Sheriff (Middlesex District)","Blank","396"
"Ward 1, Precinct 1","President & Vice President","TRUMP & PENCE","224"
"Ward 1, Precinct 1","President & Vice President","WI - Kotlikoff & Leamer","0"
"Ward 1, Precinct 1","President & Vice President","WI - McMullin & Johnson","3"
"Ward 1, Precinct 1","President & Vice President","All Others","22"
"Ward 1, Precinct 1","President & Vice President","Blank","17"
"Ward 1, Precinct 1","Rep in Congress (5th District)","KATHERINE M CLARK",
"Ward 1, Precinct 1","Rep in Congress (5th District)","Write-in",
"Ward 1, Precinct 1","Rep in Congress (5th District)","Blank",
"Ward 1, Precinct 1","Rep in Congress (7th District)","MICHAEL E CAPUANO","1474"
"Ward 1, Precinct 1","Rep in Congress (7th District)","WI - Timothy J. Toomey, Jr","1"
"Ward 1, Precinct 1","Rep in Congress (7th District)","All Others","22"
"Ward 1, Precinct 1","Rep in Congress (7th District)","Blank","261"
"Ward 1, Precinct 1","Councillor (6th District)","TERRENCE W KENNEDY","1407"
"Ward 1, Precinct 1","Councillor (6th District)","Write-in","25"
"Ward 1, Precinct 1","Councillor (6th District)","Blank","326"
"Ward 1, Precinct 1","Sen in General Court (Middlesex & Suffolk)","SAL N DiDOMENICO","1394"
"Ward 1, Precinct 1","Sen in General Court (Middlesex & Suffolk)","Write-in","21"
"Ward 1, Precinct 1","Sen in General Court (Middlesex & Suffolk)","Blank","343"
"Ward 1, Precinct 1","Sen in General Court (1st Suff & Middlesex)","JOSEPH A BONCORE ",
"Ward 1, Precinct 1","Sen in General Court (1st Suff & Middlesex)","Write-in",
"Ward 1, Precinct 1","Sen in General Court (1st Suff & Middlesex)","Blank",
"Ward 1, Precinct 1","Sen in General Court (2nd Middlesex)","PATRICIA D JEHLEN",
"Ward 1, Precinct 1","Sen in General Court (2nd Middlesex)","WI - Leland Cheung",
"Ward 1, Precinct 1","Sen in General Court (2nd Middlesex)","All Others",
"Ward 1, Precinct 1","Sen in General Court (2nd Middlesex)","Blank",
"Ward 1, Precinct 1","Rep in General Court (26th Middlesex)","MIKE CONNOLLY ","1426"
"Ward 1, Precinct 1","Rep in General Court (26th Middlesex)","WI - Timothy J. Toomey, Jr","12"
"Ward 1, Precinct 1","Rep in General Court (26th Middlesex)","All Others","17"
"Ward 1, Precinct 1","Rep in General Court (26th Middlesex)","Blank","303"
"Ward 1, Precinct 1","Rep in General Court (8th Suffolk)","JAY D LIVINGSTONE",
"Ward 1, Precinct 1","Rep in General Court (8th Suffolk)","Write-in",
"Ward 1, Precinct 1","Rep in General Court (8th Suffolk)","Blank",
"Ward 1, Precinct 1","Rep in General Court (25th Middlesex)","MARJORIE C DECKER",
"Ward 1, Precinct 1","Rep in General Court (25th Middlesex)","Write-in",
"Ward 1, Precinct 1","Rep in General Court (25th Middlesex)","Blank",
"Ward 1, Precinct 1","Rep in General Court (29th Middlesex)","JONATHAN HECHT",
"Ward 1, Precinct 1","Rep in General Court (29th Middlesex)","Write-in",
"Ward 1, Precinct 3","President & Vice President","JOHNSON & WELD","54"
"Ward 1, Precinct 1","Rep in General Court (29th Middlesex)","Blank",
"Ward 1, Precinct 1","Rep in General Court (24th Middlesex)","DAVID M ROGERS",
"Ward 1, Precinct 1","Rep in General Court (24th Middlesex)","Write-in 50",
"Ward 1, Precinct 1","Rep in General Court (24th Middlesex)","Blank",
"Ward 1, Precinct 1","Sheriff (Middlesex District)","PETER J KOUTOUJIAN ","1390"
"Ward 1, Precinct 1","Sheriff (Middlesex District)","Write-in","18"
"Ward 1, Precinct 1","Sheriff (Middlesex District)","Blank","350"
"Ward 1, Precinct 1","Question 1 (Slot Machines)","YES","509"
"Ward 1, Precinct 1","Question 1 (Slot Machines)","NO","1149"
"Ward 1, Precinct 1","Question 1 (Slot Machines)","Blank","100"
"Ward 1, Precinct 1","Question 2 (Charter Schools)","YES","711"
"Ward 1, Precinct 1","Question 2 (Charter Schools)","NO","958"
"Ward 1, Precinct 1","Question 2 (Charter Schools)","Blank","89"
"Ward 1, Precinct 1","Question 3 (Farm Animals)","YES","1397"
"Ward 1, Precinct 1","Question 3 (Farm Animals)","NO","290"
"Ward 1, Precinct 1","Question 3 (Farm Animals)","Blank","71"
"Ward 1, Precinct 1","Question 4 (Marijuana)","YES","1122"
"Ward 1, Precinct 1","Question 4 (Marijuana)","NO","580"
"Ward 1, Precinct 1","Question 4 (Marijuana)","Blank","56"
"Ward 1, Precinct 2","President & Vice President","CLINTON & KAINE","1267"
"Ward 1, Precinct 2","President & Vice President","JOHNSON & WELD","42"
"Ward 1, Precinct 2","President & Vice President","STEIN & BARAKA","35"
"Ward 1, Precinct 2","President & Vice President","TRUMP & PENCE","179"
"Ward 1, Precinct 2","President & Vice President","WI - Kotlikoff & Leamer","0"
"Ward 1, Precinct 2","President & Vice President","WI - McMullin & Johnson","9"
"Ward 1, Precinct 2","President & Vice President","All Others","23"
"Ward 1, Precinct 2","President & Vice President","Blank","6"
"Ward 1, Precinct 2","Rep in Congress (5th District)","KATHERINE M CLARK",
"Ward 1, Precinct 2","Rep in Congress (5th District)","Write-in",
"Ward 1, Precinct 2","Rep in Congress (5th District)","Blank",
"Ward 1, Precinct 2","Rep in Congress (7th District)","MICHAEL E CAPUANO","1305"
"Ward 1, Precinct 2","Rep in Congress (7th District)","WI - Timothy J. Toomey, Jr","2"
"Ward 1, Precinct 2","Rep in Congress (7th District)","All Others","17"
"Ward 1, Precinct 2","Rep in Congress (7th District)","Blank","237"
"Ward 1, Precinct 2","Councillor (6th District)","TERRENCE W KENNEDY","1249"
"Ward 1, Precinct 2","Councillor (6th District)","Write-in","17"
"Ward 1, Precinct 2","Councillor (6th District)","Blank","295"
"Ward 1, Precinct 2","Sen in General Court (Middlesex & Suffolk)","SAL N DiDOMENICO","1231"
"Ward 1, Precinct 2","Sen in General Court (Middlesex & Suffolk)","Write-in","17"
"Ward 1, Precinct 2","Sen in General Court (Middlesex & Suffolk)","Blank","313"
"Ward 1, Precinct 2","Sen in General Court (1st Suff & Middlesex)","JOSEPH A BONCORE ",
"Ward 1, Precinct 2","Sen in General Court (1st Suff & Middlesex)","Write-in",
