"accession_number","last_name","first_name","artist_gender","title","year","location_name_of_site","location_1","location_description","interior_exterior","category_sculpture_work_on_paper_paintings_mural_electronic_media_temporary_programmatic","object_type","material","detail_material","size","additional_description","about_the_work"
"CAC95.03","Houck","Lisa","Female","""This is Where We Saw the Eclipse""","1995","Cambridge Senior Center ",,"Dining Room ","Interior ","Mural ","Painting ","Oil enamel on plywood ","Oil enamel on plywood","H 27” L 81” x D ¾”",,"A landscape of Fall colors "
"CAC95.01d","Houck","Lisa","Female","""One Seasonal Cycle in a Temperate Zone"" (winter)","1995","Cambridge Senior Center ",,"Vestibule ","Interior ","Mural ","Painting ","Oil enamel on plywood ","Oil enamel on plywood","1 of 4 panels: each 3 1/2'",,"A Playful and vibrant depiction of a field in summer, winter, fall, and spring"
"CAC95.01c","Houck","Lisa","Female","""One Seasonal Cycle in a Temperate Zone"" (autumn)","1995","Cambridge Senior Center ",,"Vestibule ","Interior ","Mural ","Painting ","Oil enamel on plywood ","Oil enamel on plywood","1 of 4 panels: each 3 1/2'",,"A Playful and vibrant depiction of a field in summer, winter, fall, and spring"
"CAC95.01a","Houck","Lisa","Female","""One Seasonal Cycle in a Temperate Zone"" (spring)","1995","Cambridge Senior Center ",,"Vestibule ","Interior ","Mural ","Painting ","Oil enamel on plywood ","Oil enamel on plywood","1 of 4 panels: each 3 1/2'",,"A Playful and vibrant depiction of a field in summer, winter, fall, and spring"
"CAC95.01b","Houck","Lisa","Female","""One Seasonal Cycle in a Temperate Zone"" (summer)","1995","Cambridge Senior Center ",,"Vestibule ","Interior ","Mural ","Painting ","Oil enamel on plywood ","Oil enamel on plywood","1 of 4 panels: each 3 1/2'",,"A Playful and vibrant depiction of a field in summer, winter, fall, and spring"
"CAC97.01n","Coogan","Jay","Male ","""Stop-Action-Frieze"" (blue figure playing football)","1997","Frisoli Youth Center, interior",,"61 Willow St., Frisoli Youth Center, around the interior of the youth center's two-story lobby","Interior ","Sculpture ","Metal-Painted Aluminum","Aluminum","Aluminum, powder-coated","22 figures each 3' high, with 5 additional separate ball shapes.","Series of figures mounted on walls near ceiling around foyer","Appropriately entitled ""Stop-Action-Frieze,"" Jay Coogan's sculptural frieze consists of a series of three-foot tall aluminum figures 'frozen' in mid-action. Arranged in a continuous band around the interior of the youth center's two-story lobby, the figures connect the space visually while they also suggest identity and unification for the diverse groups that participate in the center's programs.
Coogan received his M.F.A. in Sculpture from Hunter College in New York and his B.A. in Art from Brown University. His work has been in numerous shows both domestically and internationally and is the recipient of several New England based awards. He is currently the Associate Provost at the Rhode Island School of Design.

"
"CAC97.01o","Coogan","Jay","Male ","""Stop-Action-Frieze"" (green figure playing football w/ blue football)","1997","Frisoli Youth Center, interior",,"61 Willow St., Frisoli Youth Center, around the interior of the youth center's two-story lobby","Interior ","Sculpture ","Metal-Painted Aluminum","Aluminum","Aluminum, powder-coated","22 figures each 3' high, with 5 additional separate ball shapes.","Series of figures mounted on walls near ceiling around foyer","Appropriately entitled ""Stop-Action-Frieze,"" Jay Coogan's sculptural frieze consists of a series of three-foot tall aluminum figures 'frozen' in mid-action. Arranged in a continuous band around the interior of the youth center's two-story lobby, the figures connect the space visually while they also suggest identity and unification for the diverse groups that participate in the center's programs.
Coogan received his M.F.A. in Sculpture from Hunter College in New York and his B.A. in Art from Brown University. His work has been in numerous shows both domestically and internationally and is the recipient of several New England based awards. He is currently the Associate Provost at the Rhode Island School of Design.

"
"CAC97.01f","Coogan","Jay","Male ","""Stop-Action-Frieze"" (green figure with ponytail)","1997","Frisoli Youth Center, interior",,"61 Willow St., Frisoli Youth Center, around the interior of the youth center's two-story lobby","Interior ","Sculpture ","Metal-Painted Aluminum","Aluminum","Aluminum, powder-coated","22 figures each 3' high, with 5 additional separate ball shapes.","Series of figures mounted on walls near ceiling around foyer","Appropriately entitled ""Stop-Action-Frieze,"" Jay Coogan's sculptural frieze consists of a series of three-foot tall aluminum figures 'frozen' in mid-action. Arranged in a continuous band around the interior of the youth center's two-story lobby, the figures connect the space visually while they also suggest identity and unification for the diverse groups that participate in the center's programs.
Coogan received his M.F.A. in Sculpture from Hunter College in New York and his B.A. in Art from Brown University. His work has been in numerous shows both domestically and internationally and is the recipient of several New England based awards. He is currently the Associate Provost at the Rhode Island School of Design.

"
"CAC97.01d","Coogan","Jay","Male ","""Stop-Action-Frieze"" (yellow figure w/ green computer)","1997","Frisoli Youth Center, interior",,"61 Willow St., Frisoli Youth Center, around the interior of the youth center's two-story lobby","Interior ","Sculpture ","Metal-Painted Aluminum","Aluminum","Aluminum, powder-coated","22 figures each 3' high, with 5 additional separate ball shapes.","Series of figures mounted on walls near ceiling around foyer","Appropriately entitled ""Stop-Action-Frieze,"" Jay Coogan's sculptural frieze consists of a series of three-foot tall aluminum figures 'frozen' in mid-action. Arranged in a continuous band around the interior of the youth center's two-story lobby, the figures connect the space visually while they also suggest identity and unification for the diverse groups that participate in the center's programs.
Coogan received his M.F.A. in Sculpture from Hunter College in New York and his B.A. in Art from Brown University. His work has been in numerous shows both domestically and internationally and is the recipient of several New England based awards. He is currently the Associate Provost at the Rhode Island School of Design.

"
"CAC97.01j","Coogan","Jay","Male ","""Stop-Action-Frieze"" (yellow figure on blue skateboard)","1997","Frisoli Youth Center, interior",,"61 Willow St., Frisoli Youth Center, around the interior of the youth center's two-story lobby","Interior ","Sculpture ","Metal-Painted Aluminum","Aluminum","Aluminum, powder-coated","22 figures each 3' high, with 5 additional separate ball shapes.","Series of figures mounted on walls near ceiling around foyer","Appropriately entitled ""Stop-Action-Frieze,"" Jay Coogan's sculptural frieze consists of a series of three-foot tall aluminum figures 'frozen' in mid-action. Arranged in a continuous band around the interior of the youth center's two-story lobby, the figures connect the space visually while they also suggest identity and unification for the diverse groups that participate in the center's programs.
Coogan received his M.F.A. in Sculpture from Hunter College in New York and his B.A. in Art from Brown University. His work has been in numerous shows both domestically and internationally and is the recipient of several New England based awards. He is currently the Associate Provost at the Rhode Island School of Design.

"
"CAC97.01v","Coogan","Jay","Male ","""Stop-Action-Frieze"" (red figure on desk)","1997","Frisoli Youth Center, interior",,"61 Willow St., Frisoli Youth Center, around the interior of the youth center's two-story lobby","Interior ","Sculpture ","Metal-Painted Aluminum","Aluminum","Aluminum, powder-coated","22 figures each 3' high, with 5 additional separate ball shapes.","Series of figures mounted on walls near ceiling around foyer","Appropriately entitled ""Stop-Action-Frieze,"" Jay Coogan's sculptural frieze consists of a series of three-foot tall aluminum figures 'frozen' in mid-action. Arranged in a continuous band around the interior of the youth center's two-story lobby, the figures connect the space visually while they also suggest identity and unification for the diverse groups that participate in the center's programs.
Coogan received his M.F.A. in Sculpture from Hunter College in New York and his B.A. in Art from Brown University. His work has been in numerous shows both domestically and internationally and is the recipient of several New England based awards. He is currently the Associate Provost at the Rhode Island School of Design.

"
