"language","students","school_year"
"English","4808","2014-15"
"Spanish","397","2014-15"
"Other Languages","300","2014-15"
"Haitian (Creole)","264","2014-15"
"Amharic","186","2014-15"
"Arabic","145","2014-15"
"Bengali","142","2014-15"
"Chinese Languages","104","2014-15"
"Portuguese","94","2014-15"
"Somali","43","2014-15"
"Korean","39","2014-15"
"Gujarati","36","2014-15"
"Japanese","36","2014-15"
"Tigrinya","29","2014-15"
"French","28","2014-15"
"Nepali","27","2014-15"
"English","4892","2015-16"
"Spanish","389","2015-16"
"Other Languages","291","2015-16"
"Haitian (Creole)","223","2015-16"
"Amharic","168","2015-16"
"Arabic","157","2015-16"
"Bengali","143","2015-16"
"Canton","124","2015-16"
"Portuguese","95","2015-16"
"Somali","46","2015-16"
"Korean","43","2015-16"
"Gujarati","41","2015-16"
"Japanese","38","2015-16"
"French","37","2015-16"
"Tigrinya","31","2015-16"
"Nepali","28","2015-16"
"German","25","2015-16"
"English","5048","2016-17"
"Spanish","362","2016-17"
"Other Languages","286","2016-17"
"Haitian (Creole)","204","2016-17"
"Amharic","179","2016-17"
"Bengali","162","2016-17"
"Arabic","154","2016-17"
"Canton","121","2016-17"
"Portuguese","85","2016-17"
"Gujarati","51","2016-17"
"Somali","51","2016-17"
"French","47","2016-17"
"Korean","45","2016-17"
"Japanese","41","2016-17"
"Hebrew","40","2016-17"
"Tigrinya","30","2016-17"
"Nepali","28","2016-17"
"German","27","2016-17"
"English","5141","2017-18"
"Spanish","376","2017-18"
"Other Languages","317","2017-18"
"Haitian (Creole)","200","2017-18"
"Amharic","193","2017-18"
"Bengali","170","2017-18"
"Arabic","138","2017-18"
"Chinese Languages","116","2017-18"
"Portuguese","87","2017-18"
"Korean","58","2017-18"
"Somali","57","2017-18"
"French","51","2017-18"
"Gujarati","47","2017-18"
"Hebrew","45","2017-18"
"Japanese","40","2017-18"
"Tigrinya","36","2017-18"
"English","5127","2018-19"
"Spanish","392","2018-19"
"Other Languages","306","2018-19"
"Amharic","185","2018-19"
"Haitian (Creole)","165","2018-19"
"Bengali","164","2018-19"
"Arabic","136","2018-19"
"Chinese Languages","119","2018-19"
"Portuguese","85","2018-19"
"Korean","63","2018-19"
"Somali","63","2018-19"
"Gujarati","48","2018-19"
"French","46","2018-19"
"Japanese","46","2018-19"
"Hebrew","44","2018-19"
"Tigrinya","35","2018-19"
"German","28","2018-19"
"English","5221","2019-20"
"Spanish","408","2019-20"
"Other Languages","333","2019-20"
"Amharic","185","2019-20"
"Bengali","167","2019-20"
"Haitian (Creole)","156","2019-20"
"Arabic","137","2019-20"
"Chinese Languages","135","2019-20"
"Portuguese","86","2019-20"
"Korean","71","2019-20"
"Japanese","57","2019-20"
"Somali","56","2019-20"
"Gujarati","54","2019-20"
"Hebrew","49","2019-20"
"French","43","2019-20"
"German","42","2019-20"
"Tigrinya","36","2019-20"
"English","4952","2020-21"
"Spanish","372","2020-21"
"Amharic","206","2020-21"
"Bengali","161","2020-21"
"Arabic","143","2020-21"
"Creole (Haitian)","134","2020-21"
"Chinese","99","2020-21"
"Portuguese","66","2020-21"
"Korean","60","2020-21"
"Japanese","56","2020-21"
"Somali","56","2020-21"
"Gujarati","51","2020-21"
"Hebrew","49","2020-21"
"French","42","2020-21"
"Tigrinya","35","2020-21"
"Russian","26","2020-21"
"Other","310","2020-21"
"English","4700","2021-22"
"Spanish","391","2021-22"
"Amharic","246","2021-22"
"Bengali","160","2021-22"
"Arabic","147","2021-22"
"Creole (Haitian)","134","2021-22"
"Chinese","110","2021-22"
"Portuguese","71","2021-22"
"Hebrew","68","2021-22"
"Japanese","64","2021-22"
"Somali","61","2021-22"
"Gujarati","54","2021-22"
"French","46","2021-22"
"Korean","42","2021-22"
"Tigrinya","41","2021-22"
"Russian","35","2021-22"
"Hindi","34","2021-22"
"German","32","2021-22"
"Other Languages","301","2021-22"
