"fiscal_year","service","department_name","division_name","category","description","amount","fund"
"2023","Public Safety","Emergency Communications","Communications Center","Other Ordinary Maintenance","Food and Food Service Supplies","2000","General Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Parking Management","Salaries & Wages","Health Insurance","399050","Parking Fund"
"2023","General Government","Finance","General Services","Salaries & Wages","Medicare","1040","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Other Ordinary Maintenance","Educational Supplies","2110","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Other Ordinary Maintenance","Communication","21130","General Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Parking Management","Salaries & Wages","Health Insurance","346890","Parking Fund"
"2023","General Government","Executive","Domestic & Gender-Based Violence Prevention Initiative","Other Ordinary Maintenance","Professional and Technical Services","222450","General Fund"
"2023","General Government","Finance","General Services","Salaries & Wages","Health Insurance","36850","General Fund"
"2023","General Government","Mayor","Administration","Salaries & Wages","Misc. Additional Comp","13500","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Other Ordinary Maintenance","Communication","47000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Permanent Salaries/Wages","2125620","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Other Ordinary Maintenance","Administration & Gen Supplies","15220","General Fund"
"2023","Public Safety","Police","Patrol","Other Ordinary Maintenance","Other Supplies","12000","General Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Parking Management","Salaries & Wages","Dental Insurance","88480","Parking Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","4500","General Fund"
"2023","General Government","Executive","Domestic & Gender-Based Violence Prevention Initiative","Other Ordinary Maintenance","Other Supplies","750","General Fund"
"2023","General Government","Finance","Administration","Other Ordinary Maintenance","Communication","2000","General Fund"
"2023","General Government","Finance","General Services","Salaries & Wages","Dental Insurance","2290","General Fund"
"2023","General Government","Finance","Purchasing","Salaries & Wages","Pensions","171630","General Fund"
"2023","General Government","Mayor","Administration","Salaries & Wages","Medicare","6785","General Fund"
"2023","Public Safety","Animal Commission","Administration","Other Ordinary Maintenance","Communication","5365","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Other Ordinary Maintenance","Administration & Gen Supplies","9100","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Longevity/Salaries & Wages","285755","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Permanent Salaries/Wages","1623900","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Services)","1000","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Salaries & Wages","Temporary Salaries/Wages","50000","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Permanent Salaries/Wages","313055","General Fund"
"2023","Public Safety","Police","Patrol","Other Ordinary Maintenance","Food and Food Service Supplies","8000","General Fund"
"2023","Public Safety","Police","Training","Salaries & Wages","Longevity/Salaries & Wages","127035","General Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Parking Management","Salaries & Wages","Dental Insurance","38930","Parking Fund"
"2023","General Government","City Council","Administration","Salaries & Wages","Permanent Salaries/Wages","1415200","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","1500","General Fund"
"2023","General Government","Election Commission","Administration","Travel & Training","Travel/Training (in State) Sum.","600","General Fund"
"2023","General Government","Executive","Domestic & Gender-Based Violence Prevention Initiative","Other Ordinary Maintenance","Food and Food Service Supplies","6000","General Fund"
"2023","General Government","Executive","Office of Equity and Inclusion","Salaries & Wages","Misc. Additional Comp","5400","General Fund"
"2023","General Government","Finance","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","550","General Fund"
