"name","street_address","phone","email","website","category","description","identifying_as","year_opened","business_type","nonprofit_status"
"Abroad Modern","292 Concord Avenue","617-945-1237","heytraveller@abroadmodern.com","https://abroadmodern.com","Home Furnishings Retailer","Abroad Modern is a women-owned, impact driven lifestyle shop. Our modern global housewares and personal accessories are sourced while traveling, in collaboration with and creating jobs for people they meet along the way.","Woman","2020","Brick-and-mortar, Online","For profit"
"Albertine Press","1309 Cambridge Street","617-945-5519","info@albertinepress.com","https://www.albertinepress.com","Printing, Publishers & Stationery Services","Cards, gifts, and curiosities for the paper obsessed.","Woman","2005","Brick-and-mortar, Online, Sole proprietor","For profit"
"Amaral Group, LLC","125 Cambridgepark Drive, Suite 301","617-440-7900","sales@amaral.com","https://www.amaral.com","Electronics & Information Technology","Our expert consultants have decades of experience in delivering technology solutions tailored to meet the needs of organizations across a variety of industries.","Portuguese Descent (Azores, Brazil, Cape Verde, Madeira, Portugal)","1999","Brick-and-mortar, Online","For profit"
"ATD Advisory","210 Brookline Street","617-970-3231","atdadvisoryfirm@gmail.com",,"Coaching & Consulting","Professional services","Black/African/African-American, Woman","2019","Sole proprietor","For profit"
"Basil Tree Catering","10 Fawcett Street","617-776-9100","catering@basiltree.com","https://basiltree.com","Restaurants, Bars, Cafes & Caterers","Earth-friendly caterer offering drop-off, delivery, or pick-up of our menu including: breakfast, sandwiches, grain bowls, salads, desserts, meal kits, and pantry items. Complete menu available in individual packaging.","LGBTQ+, Woman","1988","Brick-and-mortar","For profit"
"BLOOM Digital Marketing","10 Ware Street","215-971-0378","ana@inbloomdigitalmarketing.com","https://inbloomdigitalmarketing.com/","Marketing Services","Digital marketing services like writing, blogging, search engine optimization, social media marketing, and video production for the hospitality and tourism industries.","Woman","2017","Brick-and-mortar","For profit"
"Bob Slate Stationer","30 Brattle Street","617-547-1230","","http://www.BobSlateStationer.com","Gift, Novelty & Specialty Goods","Offering stationery, writing instruments, gifts, and office and art supplies","Woman","1930","Brick-and-mortar","For profit"
"Bon Me","60 Binney Street","617-714-5439","info@bonmetruck.com","https://bonmetruck.com","Restaurants, Bars, Cafes & Caterers","Food truck and restaurant group serving up Asian-inspired eats in the Greater Boston area","Asian/Asian-American, Woman","2011","Brick-and-mortar","For profit"
"Bright Chirp Consulting","14 Harrison Avenue","617-444-9686","jen@brightchirp.com","https://www.brightchirp.com","Coaching & Consulting","Executive coaching, leadership and team development, leadership assessments, training, facilitation, consulting","Woman","2014","Sole proprietor","For profit"
"Broadway Bicycle","351 Broadway","617-868-3392","broadway@broadwaybicycleschool.com","http://broadwaybicycleschool.com","Bike Sales & Repairs","Repairing and selling bicycles, accessories, and components.","Woman","1972","Brick-and-mortar","For profit"
