"accession_number","artist_ful","last_name","first_name","title","series","actual_address","location","location_type_main","location_type","additional_location_info","latitude","longitude","the_geom","google_map","art_year","major_conservation","featured","display_term","detailed_m","website_category","object_type","dimensions","interior_exterior","permission_required","permission_type","neighborhood","tags_keywords_main","tag_keywords","tour_card","conservation_status","temporary_permanent","photo_website_url","short_desc"
"CAC.79.09b","David Judelson","Judelson","David",,"Untitled","45 Pearl Street","Central Square Branch Library","Library","Library; Public Building","Franklin Street entrance, outside doors in ground","42.36386106","-71.10360814","POINT (-71.10360813960213 42.363861060008624)","https://www.google.com/maps/search/?api=1&query=42.36386106,-71.10360814","1979","0","no",,"Ceramic tiles, glazed","Mosaic","Tile Floor Inlay","19""""(h) x 43.75""""(w)","Exterior","no",,"Cambridgeport",,,,"hide","Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_79_09b_Judelson.JPG",
"CAC.86.08","Carlos Dorrien","Dorrien","Carlos","Quiet Cornerstone",,,"Winthrop Park","Park","Park","At the intersection of JFK Street and Mount Auburn Street (Harvard Square)","42.37241715","-71.12049425","POINT (-71.12049425059207 42.37241714978951)","https://www.google.com/maps/search/?api=1&query=42.37241715,-71.12049425","1986","0","no",,"Granite","Sculpture","Stone Steps","24”(h) x 144.25”(w) x 73.75”(d)","Exterior","no",,"West Cambridge","history","history; stone",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Dorrien_CAC8608_QuietCornerstone.JPG",
"CAC.97.05b","Virginia Gunther","Gunther","Virginia",,"Flag Gate",,"Minuteman Commuter Bikeway","Pathway","Pathway","End of Steel Place (street) on the north side of the Alewife MBTA station","42.39667267","-71.14301425","POINT (-71.14301424997474 42.39667266966382)","https://www.google.com/maps/search/?api=1&query=42.39667267,-71.14301425","1997","0","no",,"Steel","Sculpture","Metal","60”(h) x 78.5”(w) x 6.5”(d)","Exterior","no",,"North Cambridge","entryway","flag; metal; entryway",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Gunther_CAC9705ab_FlagGate.JPG",
"CAC.01.01.1-22","Michael Beatty","Beatty","Michael","Spectrum",,,"Peabody School","School","School; Public Building","In stairway, between ground floor and 1st floor","42.39234574","-71.12800006","POINT (-71.12800006011588 42.39234574025466)","https://www.google.com/maps/search/?api=1&query=42.39234574,-71.12800006","2001","0","no",,"Wood and steel","Sculpture","Mobile","144”(h) x 144”(w) x 144”(d) (Overall)","Interior","yes","Call Public Art Administrator, 617-349-4388","North Cambridge","mobile","hanging; mobile; abstract; shape",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Beatty_CAC0101_Spectrum.jpg",
,"Randal Thurston","Thurston","Randal","The Reflecting Pool",,"135 Berkshire Street","Gold Star Mothers Pool","School","School; public building",,"42.37130705","-71.09080924","POINT (-71.09080923961758 42.3713070500117)","https://www.google.com/maps/search/?api=1&query=42.37180853,-71.0913509","2019","0","yes",,"090” 5005 Alloy Clear Anodized Aluminum","Sculpture",,"108' (w) x 5.5' (h)","Exterior","no",,,"nature","nature; water",,,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Thurston_CACGoldStarPool_PerspectivePhoto.JPG",
"CAC.04.04","Andreas Von Huene","Von Huene","Andreas","Salmones Salari (The Great Leaper)",,,"Lowell School Park","Playground","Park; Playground","Intersection at Mount Auburn Street and Lowell Street","42.37540313","-71.13384441","POINT (-71.13384440944085 42.37540312983088)","https://www.google.com/maps/search/?api=1&query=42.37540313,-71.13384441","2004","0","no",,"Granite","Sculpture","Fountain","15.5”(h) x 112”(w) x 98”(d)","Exterior","no",,"West Cambridge","water","water; fountain; fish; stone; ocean; water; sea; sea creature","Ode to the Ocean",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/VonHuene_CAC0404_SalmonSalari.JPG",
"CAC.97.04","Carlos Dorrien","Dorrien","Carlos",,"Alewife Portals",,"Minuteman Commuter Bikeway","Park","Park; Pathway","End of Steel Place (street) on the north side of the Alewife MBTA station","42.39679906","-71.14308431","POINT (-71.14308431046439 42.396799060121445)","https://www.google.com/maps/search/?api=1&query=42.39679906,-71.14308431","1997","0","no",,"Granite","Sculpture","Stone",,"Exterior","no",,"North Cambridge","entryway","stone; fish; entryway; biking; bike path","Push Those Pedals",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Dorrien_AlewifePortals.jpg",
"CAC.99.08i","William Reimann","Reimann","William","(Column with blue jay)","Untitled",,"Corporal Burns Park","Park","Park; Pathway","Intersection at Memorial Drive and Flagg Street","42.36763102","-71.1149192","POINT (-71.11491920027291 42.36763101998769)","https://www.google.com/maps/search/?api=1&query=42.36763102,-71.1149192","1999","2020","yes",,"Granite (sandblasted) and paint","Sculpture","Stone","38”(h) x 9”(w) x 9”(d)","Exterior","no",,"Riverside","animal","bird; nature; animal; critter; creature","Inspect a Cantabridgian Creature",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_08_h_Reimann.jpg",
"CAC.06.01d","Toshihiro Katayama","Katayama","Toshihiro","(Boulders)","Porter Square Landscape Design","1931 Massachusetts Avenue","Porter Square Shopping Center","Public Square","Public Square; Pathway","In front of the shops (directly across from the Porter Square T station)","42.38886891","-71.11930662","POINT (-71.11930661971802 42.388868909741106)","https://www.google.com/maps/search/?api=1&query=42.38886891,-71.11930662","2006","0","no",,"Natural granite boulders","Landscape","Boulders","258’(w) x 94’(d) overall","Exterior","no",,"North Cambridge","land design","abstract; land design; color; line; shape","Get a Blast of Local Color",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Katayama_CAC0601_PorterSquareLandscapeDesign.jpg",
"CAC.86.03","David Phillips","Phillips","David",,"Beach Fragments",,"Lechmere Canal Park","Park","Park","Inlaid in brick, under the park pavilion","42.36935174","-71.07557874","POINT (-71.07557874057473 42.3693517395672)","https://www.google.com/maps/search/?api=1&query=42.36935174,-71.07557874","1986","0","no",,"Silicon bronze in brick","Sculpture","Bronze Relief",,"Exterior","no",,"East Cambridge","nature","beach; water; stone; nature; music; symbol; feet; hands; ocean; sea;","Ode to the Ocean",,"Permanent","https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC8603a_BeachFragments.JPG",
