"year","company","industry","employment","rank"
"1995","HARVARD COOP. SOCIETY","RETAIL","350","25"
"1995","ABT ASSOCIATES","CONSULTING","394","24"
"1995","LESLEY UNIVERSITY","HIGHER EDUCATION","440","23"
"1995","SANOFI/GENZYME","BIOTECHNOLOGY/PHARMA","450","22"
"1995","BIOGEN IDEC","BIOTECHNOLOGY/PHARMA","463","21"
"1995","STRIDE RITE","MANUFACTURING","499","20"
"1995","PFIZER","BIOTECHNOLOGY/PHARMA","500","19"
"1995","COMMONWEALTH ENERGY SYSTEMS","PUBLIC UTILITY","504","18"
"1995","CAMBRIDGE TECHNOLOGY PARTNERS","CONSULTING","518","17"
"1995","QUEST DIAGNOSTICS","HEALTH CARE","525","16"
"1995","RAYTHEON ENGINEERING","CONSTRUCTION","590","15"
"1995","DEPT OF TRANSPORTATION","GOVERNMENT","600","14"
"1995","CDM SMITH","CONSULTING","645","13"
"1995","AMERICAN EXPRESS TRAVEL SERVICES","TRAVEL SERVICES","780","12"
"1995","SPAULDING HOSPITAL CAMBRIDGE/YOUVILLE","HEALTH CARE","810","11"
"1995","SHAWS SUPERMARKETS/STAR MARKET","SUPERMARKET","868","10"
"1995","DRAPER LABORATORY","RESEARCH & DEVELOPMENT","1091","9"
"1995","LOTUS DEVELOPMENT CORP./IBM","SOFTWARE DEVELOPMENT","1165","8"
"1995","RAYTHEON BBN TECHNOLOGIES","RESEARCH & DEVELOPMENT","1281","7"
"1995","ARTHUR D. LITTLE INC.","CONSULTING","1317","6"
"1995","POLAROID","MANUFACTURING","1829","5"
"1995","MT. AUBURN HOSPITAL","HEALTH CARE","2007","4"
"1995","CITY OF CAMBRIDGE","GOVERNMENT","5305","3"
"1995","MASSACHUSETTS INSTITUTE OF TECHNOLOGY","HIGHER EDUCATION","8188","2"
"1995","HARVARD UNIVERSITY","HIGHER EDUCATION","10300","1"
"1996","MONITOR GROUP","CONSULTING","375","25"
"1996","LESLEY UNIVERSITY","HIGHER EDUCATION","401","24"
"1996","AMERICAN EXPRESS TRAVEL SERVICES","TRAVEL SERVICES","436","23"
"1996","MIDDLESEX COUNTY GOVERNMENT","GOVERNMENT","450","22"
"1996","PFIZER","BIOTECHNOLOGY/PHARMA","450","21"
"1996","COMMONWEALTH ENERGY SYSTEMS","PUBLIC UTILITY","454","20"
"1996","BIOGEN IDEC","BIOTECHNOLOGY/PHARMA","511","19"
"1996","ABT ASSOCIATES","CONSULTING","525","18"
"1996","QUEST DIAGNOSTICS","HEALTH CARE","525","17"
"1996","CDM SMITH","CONSULTING","598","16"
"1996","RAYTHEON ENGINEERING","CONSTRUCTION","600","15"
"1996","SPAULDING HOSPITAL CAMBRIDGE/YOUVILLE","HEALTH CARE","604","14"
"1996","COMMONWEALTH OF MASSACHUSETTS","GOVERNMENT","610","13"
"1996","SHAWS SUPERMARKETS/STAR MARKET","SUPERMARKET","792","12"
"1996","SANOFI/GENZYME","BIOTECHNOLOGY/PHARMA","829","11"
"1996","ARTHUR D. LITTLE INC.","CONSULTING","1152","10"
"1996","DRAPER LABORATORY","RESEARCH & DEVELOPMENT","1161","9"
"1996","RAYTHEON BBN TECHNOLOGIES","RESEARCH & DEVELOPMENT","1200","8"
"1996","FEDERAL GOVERNMENT","GOVERNMENT","1466","7"
"1996","POLAROID","MANUFACTURING","1500","6"
"1996","LOTUS DEVELOPMENT CORP./IBM","SOFTWARE DEVELOPMENT","1685","5"
"1996","MT. AUBURN HOSPITAL","HEALTH CARE","1900","4"
"1996","CITY OF CAMBRIDGE","GOVERNMENT","4090","3"
"1996","HARVARD UNIVERSITY","HIGHER EDUCATION","7337","2"
