"trackingnumber","classification","location","toweddatetime","state","year","make","model","color","towedby","reason"
"15000011","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-01T01:16:00.000","MA","2004","KIA","SORENT","GRAY","-B&B TOW - PRIVATE","126 INMAN ST."
"15000014","MV ACCIDENT B4","LANDSDOWNE ST","2015-01-01T01:25:00.000","MA","2010","BMW","650I","BLACK","--PAT'S TOW - CITY","ACCIDENT - MASS & FRONT"
"15000031","MV ACC NO PI","BROADWAY","2015-01-01T03:31:00.000","MA",,,,,"--B&B TOW - CITY","ARREST - BROADWAY & GALILEO"
"15000051","MV ACCIDENT A1","2XX CAMBRIDGE ST","2015-01-01T04:43:00.000","MA","2013","NISS","ALTIMA","RED","--PHIL'S TOW - CITY","ARREST - CHARLES & FULKERSON"
"15000011","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-01T06:01:00.000","MA","2014","HOND","ACCORD","GRAY","ABC TOW - PRIVATE",
"15000011","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-01T06:28:00.000","MA","2015","HYUN","ELANTR","GRAY","ABC TOW - PRIVATE","66 HOMER AVE"
"15000083","CHECK PARKING","RICHDALE AVE","2015-01-01T10:44:00.000","MA",,,,,"--PAT'S TOW - CITY","REVO/INSC RICHDALE&WALDEN"
"15000083","CHECK PARKING","RICHDALE AVE","2015-01-01T10:44:00.000","MA","1996","HOND","CIVIC","GRAY","--PAT'S TOW - CITY","CAPR - RICHDALE& WALDEN- ATT PLATES"
"15000083","CHECK PARKING","RICHDALE AVE","2015-01-01T10:47:00.000","MA",,,,,"--PAT'S TOW - CITY","REVO/INSC RICHDALE&WALDEN"
"15000083","CHECK PARKING","RICHDALE AVE","2015-01-01T10:47:00.000","MA",,,,,"--PAT'S TOW - CITY","REVO/INSC RICHDALE&WALDEN"
"15000083","CHECK PARKING","RICHDALE AVE","2015-01-01T10:47:00.000","MA","1996","HOND","CIVIC","GRAY","--PAT'S TOW - CITY","CAPR - RICHDALE& WALDEN- ATT PLATES"
"15000083","CHECK PARKING","RICHDALE AVE","2015-01-01T10:47:00.000","MA","1996","HOND","CIVIC","GRAY","--PAT'S TOW - CITY","CAPR - RICHDALE& WALDEN- ATT PLATES"
"15000011","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-01T19:53:00.000","MA","2010","GMC","SIERRA","GRAY","-PAT'S TOW - PRIVATE","TRESPASS - 72 GORE ST"
"15000011","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-01T20:19:00.000","MA","2011","TOYT","SIENNA","BLACK","-PAT'S TOW - PRIVATE","243 BROADWAY"
"15000011","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-01T21:34:00.000","PA",,,,,"--PAT'S TOW - CITY","TRESPASS - ROOSEVELT TOWERS"
"15000003","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-01T22:39:00.000","MA","2013","VOLK","JETTA","WHITE","OTHER PRIVATE TOW-SEE REA","158 RIVER"
"15000259","MV OBSTRUCTING","EDUCATION ST","2015-01-02T07:18:00.000","ME","2000","BUIC","CENTUR","WHITE","--PHIL'S TOW - CITY","POSTED 543"
"15000274","MV OBSTRUCTING","0XX ANTRIM ST","2015-01-02T08:42:00.000","MA","2010","VOLV","50","BLUE","--PAT'S TOW - CITY","POSTED 611"
"15000275","MV OBSTRUCTING","BROADWAY","2015-01-02T08:43:00.000","MA","2002","TOYT","COROLL","BLUE","--B&B TOW - CITY","POSTED 570"
"15000218","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-02T09:55:00.000","NY","2015","MAZDA","MAZDA 3","BLUE","-PAT'S TOW - PRIVATE","WASHINGTON ELMS"
"15000286","MV IN TOW ZONE","0XX RICHDALE AVE","2015-01-02T10:18:00.000","MA","2009","FORD","FOCUS","GRAY","--PHIL'S TOW - CITY","11R POSTED"
"15000305","MV OBSTRUCTING","0XX ANTRIM ST","2015-01-02T11:06:00.000","MA","2005","SUBA","LEGACY","GRAY","--PAT'S TOW - CITY","POSTED 611"
"15000218","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-02T21:21:00.000","MA","1995","TOYT","COROLL","BROWN","-PAT'S TOW - PRIVATE","25 GLASSWORKS-TRESPASS"
"15000218","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-02T21:21:00.000","MA","2010","TOYT","VENZA","BLACK","-PAT'S TOW - PRIVATE","25 GLASSWORKS-PRIVATE"
"15000551","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-03T08:23:00.000","MA","2010","TOYT","4RUNNE","BLACK","-PAT'S TOW - PRIVATE","NORTHPOINT #P38285"
"15000551","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-03T12:06:00.000","MA","2005","NISS","ALTI","BLACK","-PHIL'S TOW - PRIVATE","PORTER SQ"
"15000551","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-03T12:08:00.000","MA","2008","CHEV","COBALT","BLACK","-PHIL'S TOW - PRIVATE","PORTER SQ"
"15000617","MV OBSTRUCTING","0XX CHURCH ST","2015-01-03T15:43:00.000","MA","2007","BMW","328XI","WHITE","--B&B TOW - CITY","52 CHURCH ST - VALET SPOT"
"15000623","BLOCKED DRIVE","0XX HIGHLAND AVE","2015-01-03T15:50:00.000","MA","2012","VOLK","CCSPOR","BLACK","--PHIL'S TOW - CITY","BLK DRV - 50 HIGHLAND AVE"
"15000753","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-04T10:58:00.000",,,,,,"-PHIL'S TOW - PRIVATE","85 BOLTON ST"
"15000757","BLOCKED DRIVE","1XX BRATTLE ST","2015-01-04T11:55:00.000","MA","2006","NISS","XTERRA","BLACK","--PAT'S TOW - CITY","BLK DRV"
"15000769","MV STOP","MASSACHUSETTS AVE","2015-01-04T11:59:00.000","MA","2007","FORD","ESCAPE","BLACK","--B&B TOW - CITY","BLK DRV"
"15000772","BLOCKED DRIVE","0XX HAMPSHIRE ST","2015-01-04T12:55:00.000","VA",,,,,"--PHIL'S TOW - CITY","BLK DRV"
"15000920","MV OBSTRUCTING","0XX PORTER RD","2015-01-05T07:57:00.000","MA","2007","BMW","3SERI","WHITE","--PAT'S TOW - CITY","BLK HP RAMP AND DRIVEWAY"
"15000932","MV IN TOW ZONE","0XX TROWBRIDGE ST","2015-01-05T09:26:00.000","MA","2008","NISS","ALTIMA","BLUE","--B&B TOW - CITY","TOW ZONE 4R"
"15000932","MV IN TOW ZONE","0XX TROWBRIDGE ST","2015-01-05T09:27:00.000","MA","1981","AUDI","4000","GREEN","--PHIL'S TOW - CITY","4R TOW ZONE"
"15000753","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-05T09:53:00.000","MA","2014","TOYT","CAMRYS","WHITE","-PAT'S TOW - PRIVATE","264 PUTNAM AVE CC 38576"
"15000972","MV OBSTRUCTING","ALLSTON ST","2015-01-05T10:56:00.000","MA","2008","MAZD","MAZDA3","GRAY","--PAT'S TOW - CITY","252 POSTED"
"15000973","MV STOP","ALLSTON ST","2015-01-05T11:26:00.000","MA",,,,,"--B&B TOW - CITY","EXP NON RENEW"
"15001003","T&P TOW REQUEST","HARVARD ST","2015-01-05T13:21:00.000","CA","2","TOYT",,,"--PHIL'S TOW - CITY","T&P REQ FOR EXPI REG"
"15001064","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-05T16:51:00.000","MA","1995","BMW","525I","RED","-PHIL'S TOW - PRIVATE","47 TROWBRIDGE ST"
"15001207","MV IN TOW ZONE","ATHENS ST","2015-01-06T08:26:00.000","MA","2005","HYUN","TUCSON","GRAY","--PAT'S TOW - CITY","POSTED 10R"
"15001217","MV STOP","BAY STATE RD","2015-01-06T09:02:00.000","MA","1992","JEEP","CHEROK","RED","--B&B TOW - CITY","10R SUSP REG"
"15001326","CHECK PARKING","BROOKLINE ST","2015-01-06T16:05:00.000","MA","1996","HOND","CIVIC","GREEN","--PHIL'S TOW - CITY","HP SPOT"
"15010950","MV ACCIDENT B4","RINDGE AVE","2015-02-11T13:32:00.000","MA","1997","TOYT","AVALON","BLUE","--PAT'S TOW - CITY","MVA"
"15001398","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-06T19:59:00.000","MA","2000","HOND","CIVIC","GRAY","-PAT'S TOW - PRIVATE","TRESPASS"
"15001397","PERSON WITH GUN","BROADWAY","2015-01-06T20:51:00.000","MA","2006","JEEP","GRAND","BROWN","--PAT'S TOW - CITY",
"15001623","DIRECT PATROL A","MASSACHUSETTS AVE","2015-01-07T15:30:00.000","MA","2014","BMW","X550I","GRAY","--PHIL'S TOW - CITY","EXP LIC"
"15001710","MV ACCIDENT B1","MASSACHUSETTS AVE","2015-01-07T20:31:00.000","MA","1996","FORD","EXPLOR","GRAY","--PAT'S TOW - CITY","MVA"
"15001710","MV ACCIDENT B1","MASSACHUSETTS AVE","2015-01-07T20:31:00.000","MA","2000","BUIC","CENTUR","BROWN","--B&B TOW - CITY","MVA"
"15001857","BLOCKED HYDRANT","FIFTH ST","2015-01-08T10:38:00.000","VT","2006","TOYT","TK","GREEN","--PHIL'S TOW - CITY","FIFTH & OTIS"
"15001897","DIRECT PATROL B","AMES ST","2015-01-08T13:13:00.000","MA","2004","MERZ","CLK500","BLACK","--PAT'S TOW - CITY","BIKE LANE- BROAD&AMES"
"15001894","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-08T13:39:00.000","MA","2010","HOND","ACCORD","GRAY","-PAT'S TOW - PRIVATE","CC 38759"
"15001912","MV ACC NO PI","2XX HAMPSHIRE ST","2015-01-08T15:50:00.000","MA","1998","TOYT","CAMRY","BROWN","--B&B TOW - CITY","MVA"
"15002140","MV OBSTRUCTING","1XX ELM ST","2015-01-09T09:16:00.000","MA","2000","HOND","ACCORD","BROWN","--B&B TOW - CITY","183 ELM"
"15002144","MV DISABLED","ALBANY ST","2015-01-09T09:56:00.000","MA","1990","MERZ","300","BLACK","-PHIL'S TOW - PRIVATE","MASS & ALBANY"
"15002177","BLOCKED DRIVE","1XX HURON AVE","2015-01-09T11:41:00.000","MA","2014","NISS","ROGUE","BLACK","--B&B TOW - CITY","BLOCK DRIVE"
"15002246","MV STOP","ALLEN ST","2015-01-09T15:09:00.000","MA","2002","FORD","EXPLOR","WHITE","--PAT'S TOW - CITY","REVO REG"
"15002304","DIRECT PATROL A","CAMBRIDGE ST","2015-01-09T18:10:00.000","MA","2013","MERZ","ML350","GRAY","--PHIL'S TOW - CITY","REVO REG"
"15002331","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-09T19:29:00.000","MA","2012","BMW","535XI","GREEN","-B&B TOW - PRIVATE","1 PORTER SQ"
"15002331","PRIVATE TOWS","GENERAL LOCATIONS IN CAMBRIDGE","2015-01-09T20:07:00.000","MA","2008","BMW","328XI","GRAY","-PAT'S TOW - PRIVATE","25 GLASSWORKS CC 38609"
"15002386","FIGHT","0XX ELIOT ST","2015-01-10T00:40:00.000","FL","2010","NISS","VERSA","SILVER","-PAT'S TOW - PRIVATE","PRIVATE - GLASSWORKS AVE"
"15002403","DISTURBANCE","MASSACHUSETTS AVE","2015-01-10T01:49:00.000","CT",,"JEEP","GRAND CH","BLACK","--PHIL'S TOW - CITY","ARREST/ 625 MASS"
