"organization","id","title","description","content","contact_name","contact_email","contact_phone","age","grade","location","neighborhoods","start_time","end_time","registration_link","_url","service","activity","eligibility","accessibility","image"
"Cambridge Public Library","10780-1663088400","High Beginner ESOL Class (Central Square)","Join us for an English for Speakers of Other Languages (ESOL) Class.","This class will be taught at an high beginner level. No testing is needed. For more information call Maria Balestrieri at 617-349-4013.</p>","Main Library Q&A Desk","","617-349-4041","18, Adult, Senior Adult, Young Adult","","Central Square Branch Library 45 Pearl Street, Cambridge, MA 02139","","2022-09-13T13:00:00.000","2022-09-13T14:30:00.000",,"https://www.finditcambridge.org/events/high-beginner-esol-class-central-square","Language Instruction, Adult Education","Young Children & Parent Activities, Academic Activities","","","https://www.finditcambridge.org/sites/default/files/1649271377.jpeg"
"Cambridge Public Library","10780-1663261200","High Beginner ESOL Class (Central Square)","Join us for an English for Speakers of Other Languages (ESOL) Class.","This class will be taught at an high beginner level. No testing is needed. For more information call Maria Balestrieri at 617-349-4013.</p>","Main Library Q&A Desk","","617-349-4041","18, Adult, Senior Adult, Young Adult","","Central Square Branch Library 45 Pearl Street, Cambridge, MA 02139","","2022-09-15T13:00:00.000","2022-09-15T14:30:00.000",,"https://www.finditcambridge.org/events/high-beginner-esol-class-central-square","Language Instruction, Adult Education","Young Children & Parent Activities, Academic Activities","","","https://www.finditcambridge.org/sites/default/files/1649271377.jpeg"
"Cambridge Public Library","10780-1663693200","High Beginner ESOL Class (Central Square)","Join us for an English for Speakers of Other Languages (ESOL) Class.","This class will be taught at an high beginner level. No testing is needed. For more information call Maria Balestrieri at 617-349-4013.</p>","Main Library Q&A Desk","","617-349-4041","18, Adult, Senior Adult, Young Adult","","Central Square Branch Library 45 Pearl Street, Cambridge, MA 02139","","2022-09-20T13:00:00.000","2022-09-20T14:30:00.000",,"https://www.finditcambridge.org/events/high-beginner-esol-class-central-square","Language Instruction, Adult Education","Young Children & Parent Activities, Academic Activities","","","https://www.finditcambridge.org/sites/default/files/1649271377.jpeg"
"Cambridge Public Library","10780-1663866000","High Beginner ESOL Class (Central Square)","Join us for an English for Speakers of Other Languages (ESOL) Class.","This class will be taught at an high beginner level. No testing is needed. For more information call Maria Balestrieri at 617-349-4013.</p>","Main Library Q&A Desk","","617-349-4041","18, Adult, Senior Adult, Young Adult","","Central Square Branch Library 45 Pearl Street, Cambridge, MA 02139","","2022-09-22T13:00:00.000","2022-09-22T14:30:00.000",,"https://www.finditcambridge.org/events/high-beginner-esol-class-central-square","Language Instruction, Adult Education","Young Children & Parent Activities, Academic Activities","","","https://www.finditcambridge.org/sites/default/files/1649271377.jpeg"
"Cambridge Public Library","10780-1664298000","High Beginner ESOL Class (Central Square)","Join us for an English for Speakers of Other Languages (ESOL) Class.","This class will be taught at an high beginner level. No testing is needed. For more information call Maria Balestrieri at 617-349-4013.</p>","Main Library Q&A Desk","","617-349-4041","18, Adult, Senior Adult, Young Adult","","Central Square Branch Library 45 Pearl Street, Cambridge, MA 02139","","2022-09-27T13:00:00.000","2022-09-27T14:30:00.000",,"https://www.finditcambridge.org/events/high-beginner-esol-class-central-square","Language Instruction, Adult Education","Young Children & Parent Activities, Academic Activities","","","https://www.finditcambridge.org/sites/default/files/1649271377.jpeg"
"Cambridge Public Library","10780-1664470800","High Beginner ESOL Class (Central Square)","Join us for an English for Speakers of Other Languages (ESOL) Class.","This class will be taught at an high beginner level. No testing is needed. For more information call Maria Balestrieri at 617-349-4013.</p>","Main Library Q&A Desk","","617-349-4041","18, Adult, Senior Adult, Young Adult","","Central Square Branch Library 45 Pearl Street, Cambridge, MA 02139","","2022-09-29T13:00:00.000","2022-09-29T14:30:00.000",,"https://www.finditcambridge.org/events/high-beginner-esol-class-central-square","Language Instruction, Adult Education","Young Children & Parent Activities, Academic Activities","","","https://www.finditcambridge.org/sites/default/files/1649271377.jpeg"
"Cambridge Public Library","10780-1664902800","High Beginner ESOL Class (Central Square)","Join us for an English for Speakers of Other Languages (ESOL) Class.","This class will be taught at an high beginner level. No testing is needed. For more information call Maria Balestrieri at 617-349-4013.</p>","Main Library Q&A Desk","","617-349-4041","18, Adult, Senior Adult, Young Adult","","Central Square Branch Library 45 Pearl Street, Cambridge, MA 02139","","2022-10-04T13:00:00.000","2022-10-04T14:30:00.000",,"https://www.finditcambridge.org/events/high-beginner-esol-class-central-square","Language Instruction, Adult Education","Young Children & Parent Activities, Academic Activities","","","https://www.finditcambridge.org/sites/default/files/1649271377.jpeg"
"Cambridge Public Library","10780-1665075600","High Beginner ESOL Class (Central Square)","Join us for an English for Speakers of Other Languages (ESOL) Class.","This class will be taught at an high beginner level. No testing is needed. For more information call Maria Balestrieri at 617-349-4013.</p>","Main Library Q&A Desk","","617-349-4041","18, Adult, Senior Adult, Young Adult","","Central Square Branch Library 45 Pearl Street, Cambridge, MA 02139","","2022-10-06T13:00:00.000","2022-10-06T14:30:00.000",,"https://www.finditcambridge.org/events/high-beginner-esol-class-central-square","Language Instruction, Adult Education","Young Children & Parent Activities, Academic Activities","","","https://www.finditcambridge.org/sites/default/files/1649271377.jpeg"
"Cambridge Public Library","10780-1665507600","High Beginner ESOL Class (Central Square)","Join us for an English for Speakers of Other Languages (ESOL) Class.","This class will be taught at an high beginner level. No testing is needed. For more information call Maria Balestrieri at 617-349-4013.</p>","Main Library Q&A Desk","","617-349-4041","18, Adult, Senior Adult, Young Adult","","Central Square Branch Library 45 Pearl Street, Cambridge, MA 02139","","2022-10-11T13:00:00.000","2022-10-11T14:30:00.000",,"https://www.finditcambridge.org/events/high-beginner-esol-class-central-square","Language Instruction, Adult Education","Young Children & Parent Activities, Academic Activities","","","https://www.finditcambridge.org/sites/default/files/1649271377.jpeg"
"Cambridge Public Library","10780-1665680400","High Beginner ESOL Class (Central Square)","Join us for an English for Speakers of Other Languages (ESOL) Class.","This class will be taught at an high beginner level. No testing is needed. For more information call Maria Balestrieri at 617-349-4013.</p>","Main Library Q&A Desk","","617-349-4041","18, Adult, Senior Adult, Young Adult","","Central Square Branch Library 45 Pearl Street, Cambridge, MA 02139","","2022-10-13T13:00:00.000","2022-10-13T14:30:00.000",,"https://www.finditcambridge.org/events/high-beginner-esol-class-central-square","Language Instruction, Adult Education","Young Children & Parent Activities, Academic Activities","","","https://www.finditcambridge.org/sites/default/files/1649271377.jpeg"
