"survey_year","district","primary_purpose","new_business_desires","customer_frequency","typical_visit_time","purchased_items","services_received","other_shopping_locations","transit_mode","relation_to_district","customer_attraction","district_changes","gender","race_ethnicity","age"
"2017","Central Square","Event/Meeting","Replacement for Radio Shack","Once a Week","No set time","Electronics/Gifts",,"Market Basket","Bike: Own","Resident","Market Basket","Better signage at 90 degrees to Mass Ave.","Male","Caucasian / White","60+"
"2017","Central Square","Dining, Transportation, School, Work","weed (medical)","Daily/Almost Daily","Weekdays, Weekday nights, Weekend Days, Weekend nights","Food/Groceries, Clothing, Accessories (shoes/jewelry), Electronics/Gifts","Medical, Pharmacy, Restaurant (sit-down), Restaurant (take-out), Music/Performing Arts Venue",,"Bike: Own, Drive: Uber/Lyft/Taxi, Walk","Worker, Student",,"Fun without ugly","Male","Other","20-29"
"2017","Central Square","Dining, Shopping/Services, Recreation (Gym/Hangout)","Nail Salon","3-5 Times/Week","Weekday nights","Food/Groceries, Wine/Beer/Spirits","Pharmacy, Restaurant (sit-down), Restaurant (take-out)","Jamaica Plain","Bike: Own, Bike: Hubway, Bus (MBTA), Subway, Walk","Worker","more hubway stations/bikes","Protected bike lanes","Female","Caucasian / White","30-39"
"2017","Central Square","Event/Meeting, Work","Retail; Affordable, healthy eating options; small mom& pop shops","Once a Week","Weekdays","Food/Groceries, Home Goods","Restaurant (sit-down), Restaurant (take-out)",,"Drive: Alone",,,"Businesses need to collaborate on cleaning up & maintaining. City needs to help and support homeless vets.","Male","Latino / Hispanic","30-39"
"2017","Central Square","Recreation (Gym/Hangout)","A lit one (medical marijuana?)","Once a Week","No set time","Food/Groceries","Music/Performing Arts Venue","Online","Bike: Own, Bike: Hubway, Bus (MBTA), Subway, Drive: Carpool, Drive: Uber/Lyft/Taxi, Drive: Alone, Walk",,"Shorties","Better Ingredients, better pizza, Papa Johns","Male","Other","20-29"
"2017","Central Square","Event/Meeting","food establishements","3-5 Times/Week","Weekend Days","Food/Groceries, Beauty/Personal Care Products, Home Goods","Restaurant (sit-down), Restaurant (take-out)",,"Bus (MBTA), Subway, Walk","Resident",,"safer place to walk at night (especially streets off Mass Ave)","Female","Caucasian / White","20-29"
"2017","Central Square","Event/Meeting, Work","Small Bussinesses","2-3 Times/Month","Weekend Days","Food/Groceries, Clothing","Hair Salon/Barber","Other Communities","Subway",,"Lower Price","safer, better policing, affordable housing","Male","African American / Black","60+"
"2017","Central Square","Work","more great food/ groceries","3-5 Times/Week","Weekend Days","Food/Groceries, Clothing","Restaurant (sit-down)",,"Walk","Worker",,,"Female","Caucasian / White","40-49"
"2017","Central Square","Dining",,"Once a Week","Weekdays","Food/Groceries","Restaurant (sit-down), Restaurant (take-out)","Sommerville","Bike: Own","Worker",,,,"Caucasian / White","40-49"
"2017","Central Square","Dining, Shopping/Services","more vegetarian and vegan restaurants",,"No set time",,"Restaurant (take-out), Music/Performing Arts Venue",,"Drive: Uber/Lyft/Taxi",,"more restaurants","cleaned up",,,"30-39"
