"city","company","type","rate","rate_measure","revenue_14_15"
"Coburg",,"Cable","5.00","FF","983.85"
"Coburg",,"Electric","7.50","FF","128297"
"Coburg",,"Solid Waste",,"FF","1000"
"Cove",,"Electric","3.00","FF",
"Estacada",,"Solid Waste","5.00","FF","668.56"
"Estacada",,"Solid Waste","5.00","FF","21365.41"
"Falls City",,"Cable","5.00","FF",
"Hillsboro",,"Solid Waste","3.00","FF","25946.61"
"Mt. Vernon",,"Cable","3.00","FF",
"Portland",,"Electric",,"FF",
"Rogue River",,"Cable","5.00","FF","23916"
"Salem",,"Cable","5.00","FF","1681070.26"
"Shaniko",,"Cable",,"FF",
"Shaniko",,"Electric",,,
"Springfield",,"Cable","5.00","FF","648240.76"
"Springfield",,"Electric",,"FF","1797682.74"
"Waldport",,"Solid Waste","3.00","FF","15751"
"Waldport",,"Cable","5.00","FF","8103"
"Waldport",,"Electric",,"FF","62120"
"Wood Village",,"Solid Waste","5.00","FF","25333.17"
"Yoncalla",,"Electric","4.00","FF","38352"
"Yoncalla",,"Cable","7.00","FF","2957"
"Bend","""Various Small Ones""","Cable","7.00","FF","7752.79"
"Mt. Vernon","?","Electric","3.00","FF",
"Portland","360networks","Cable","5.00","FF",
"Beaverton","6 companies","Solid Waste","5.00","FF","779293"
"Salem","8x8, Inc.","Cable","7.00","PT","2010.25"
"Springfield","8x8, Inc.","Cable","5.00","FF","541.70000000000005"
"Portland","Abovenet","Cable","5.00","FF",
"Salem","Access Point, Inc.","Cable","7.00","PT","4.47"
"Springfield","Access Point, Inc.","Cable","5.00","FF","13.42"
"Roseburg","Access Point, Inc.","Cable","5.00","FF","17.04"
"Salem","Access Point, Inc.","Cable","7.00","PT","96.19"
"Springfield","Access Point, Inc.","Cable","5.00","FF","5.99"
"Roseburg","AccessLine Communications","Cable","5.00","FF",
"Salem","AccessLine Communications","Cable","7.00","PT","2645.3"
"Springfield","AccessLine Communications","Cable","5.00","FF","136.46"
"Roseburg","ACN Communications","Cable","5.00","FF","1975.96"
"Springfield","ACN Communications","Cable","5.00","FF","275.27999999999997"
"Salem","ACN Communications Services, Inc ME","Cable","7.00","PT","2879.32"
"Salem","Advanced TelCom","Cable","7.00","FF","11320.92"
"Springfield","Advanced TelCom","Cable","7.00","FF","2247.2800000000002"
"Florence","Alaska Communications","Cable",,,
"Scio","Allied Waste","Solid Waste",,"Other","3342"
"Waterloo","Allied Waste","Solid Waste","4.00","FF","375.52"
"Salem","American Association of Motor Vehicles Administrators","Cable","7.00","PT","2599.1999999999998"
"Springfield","AmeriVision Communications","Cable",,,
"Salem","Amerivision Communications Inc","Cable","7.00","PT","16.97"
"Dayton","Astound Broadband","Cable",,,
"Jefferson","Astound Broadband","Cable",,,
"Springfield","Astound Broadband","Cable",,,
"Portland","Astound Broadband aka Wave Broadband","Cable","5.00","FF","13000"
"Salem","Astound Broadband aka Wave Broadband","Cable","7.00","FF","18333.330000000002"
"Milwaukie","Astound Broadband, LLC","Telecom","7.00","FF",
"Antelope","AT&T","Cable",,,
"Harrisburg","AT&T","Telecom","5.39","PFF","12022"
"Rogue River","AT&T","Cable",,,
"Tigard","AT&T","Cable","5.00","FF","22003"
"Roseburg","AT&T Communication of the Pacific","Cable","5.00","FF",
"Roseburg","AT&T CORP","Cable","5.00","FF","1391.1"
"Salem","AT&T CORP","Cable","7.00","PT","4.21"
"Portland","AT&T Long Distance","Cable",,"PFF","270827.40000000002"
"Roseburg","AT&T TCG, ME","Cable","5.00","FF",
"Portland","AT&T Wireless/Cingular Wireless","Cable",,"PFF","72644.960000000006"
"Bend","Avion Water Company","Water","3.00","FF","113099.45"
"Eagle Point","Avista","Natural Gas","5.00","FF","81743.83"
"Grants Pass","Avista","Natural Gas","5.00","PT","405850"
"Klamath Falls","Avista","Natural Gas","5.00","FF",
"Malin","Avista","Natural Gas","4.00","FF","2572.23"
"North Powder","Avista","Natural Gas","3.00","FF",
"Oakland","Avista","Natural Gas","5.00","FF","8064"
"Rogue River","Avista","Natural Gas","6.00","FF","26666"
"Roseburg","Avista","Natural Gas","6.00","FF","346374.7"
"Oregon City","B and B Leasing","Solid Waste","4.00","FF","212511.27"
"Baker City","Baker Sanitary","Solid Waste","5.00","FF","41000"
"Roseburg","BANDWIDTH.COM","Cable","5.00","FF",
"Salem","BANDWIDTH.COM","Cable","7.00","PT","6196.49"
"Oregon City","BCT","Cable","5.00","FF","6634"
"Madras","Bend Broadband","Other","2.00","FF","61.98"
"Redmond","Bend Broadband","Cable","5.00","FF","207813"
"Bend","Bend Garbage & Recycling","Solid Waste","4.00","FF","268032.74"
"Salem","BGL Suburban Garbage Service","Solid Waste","7.00","FF","102536.54"
"Sherwood","Birch","Cable",,,
"Seneca","Blue Mountain Cable Company","Cable","5.00","FF","89"
"John Day","Blue Mtn. TV Cable Co","Cable","3.00","FF","1836"
"Harrisburg","BNSF","Other","4.15","FF","9824"
"Independence","Brandts Sanitary","Solid Waste","7.00","FF",
"Roseburg","Broadband Dynamics, LLC.","Cable","5.00","FF","11077.87"
"Portland","Broadwing fka CIII, fka IXC","Telecom","3.24","PFF","15000"
"Salem","BT AMERICAS Inc","Cable","7.00","PT","373.44"
"Newberg","BullsEye","Cable",,"FF",
"Grants Pass","BullsEye Telecommunications","Telecom","7.00","PT","88"
"Newberg","BullsEye Telecommunications","Cable","7.00","PT","95.839999999999989"
"Roseburg","BullsEye Telecommunications","Cable","5.00","FF","332.95"
"Salem","BullsEye Telecommunications","Cable","7.00","PT","2321.5500000000002"
"Springfield","BullsEye Telecommunications","Cable","5.00","FF","660.71"
"Klamath Falls","Cal-Ore","Cable","7.00","FF","13353.21"
"Canby","Canby Disposal","Solid Waste","5.00","FF","121469"
"Canby","Canby Telcom","Cable","5.00","FF","91564"
"Canby","Canby Telcom","Telecom","7.00","FF","48002"
"Estacada","Cascade Cable","Cable","5.00","FF","21365.41"
"Athena","Cascade Natural Gas","Natural Gas","7.00","FF","8479.34"
"Baker City","Cascade Natural Gas","Natural Gas","5.00","FF","155000"
"Bend","Cascade Natural Gas","Natural Gas","5.00","FF","1239128.78"
"Irrigon","Cascade Natural Gas","Natural Gas","3.00","FF","2671.14"
"Madras","Cascade Natural Gas","Natural Gas","7.00","FF","125657.95"
"Redmond","Cascade Natural Gas","Natural Gas","5.00","FF","304559"
"Bend","Central Electric COOP","Electric","5.00","FF","175431.32"
"Redmond","Central Electric COOP","Electric","5.00","FF","139565"
"Depoe Bay ","Central Lincoln PUD","Electric","5.00","FF","52445"
"Yachats","Central Lincoln PUD","Electric","3.50","FF","35772"
"Klamath Falls","Centruylink","Cable","7.00","FF","53440.1"
"Adams","Centurylink","Cable","7.00","FF","957.55"
"Albany","Centurylink","Telecom","7.00","FF","98748"
"Beaverton","Centurylink","Telecom","5.00","FF","6494"
"Bend","Centurylink","Cable","7.00","FF","186535.38"
"Cascade Locks","Centurylink","Telecom","7.00","FF","3620"
"Coburg","Centurylink","Telecom","5.00","FF","4319.3"
"Corvallis","Centurylink","Telecom","7.00","PT","93000"
"Dallas","Centurylink","Telecom","7.00","FF","50000"
"Eagle Point","Centurylink","Telecom","7.00","FF","9516.48"
"Florence","Centurylink","Telecom","7.00","FF","36019.51"
"Grants Pass","Centurylink","Telecom","7.00","PT","89966"
"Hillsboro","Centurylink","Cable",,"FF",
"Irrigon","Centurylink","Telecom","7.00","FF","4743.46"
"Lake Oswego","Centurylink","Telecom","4.30","FF","41059"
"Lexington ","Centurylink","Telecom",,"FF","546"
"Malin","Centurylink","Telecom","3.00","FF","1320.06"
"Milwaukie","Centurylink","Telecom","7.00","FF","43603"
"Mitchell","Centurylink","Cable",,,
"Mosier","Centurylink","Telecom","7.00","PT","1342.78"
"Oakland","Centurylink","Telecom","5.00","FF","1786"
"Oregon City","Centurylink","Telecom","5.00","FF","54800"
"Portland","Centurylink","Cable","5.00","FF",
"Rogue River","Centurylink","Cable","5.00","FF","6734"
"Salem","Centurylink","Cable","7.00","FF","117903.92"
"Seneca","Centurylink","Telecom","4.00","FF","701.68"
"Sheridan","Centurylink","Cable","3.00","FF","10238"
"Spray","Centurylink","Cable",,,
"Springfield","Centurylink","Cable","5.00","FF","36281.879999999997"
"Springfield","Centurylink","Cable","5.00","FF","153401.60999999999"
"Sutherlin","Centurylink","Cable",,,
"The Dalles","Centurylink","Telecom","7.00","FF","45957.7"
"Waterloo","Centurylink","Cable","7.00","FF","355.17"
"Westfir","Centurylink","Telecom","7.00","FF","963.88"
"Yoncalla","Centurylink","Cable","7.00","FF","1850"
"Oregon City","Centurylink QCC","Telecom","2.75","PFF","25346.76"
"Hermiston","CenturyLink/Qwest","Telecom","5.00","FF","25885"
"Bonanza","CenturyTel","Telecom","6.00","FF","1393.92"
"Creswell","CenturyTel","Telecom","5.00","FF","12215"
"Depoe Bay ","CenturyTel","Cable","4.00","FF","4749"
"Fossil","CenturyTel","Telecom","4.00","FF","801"
"John Day","CenturyTel","Telecom","7.00","FF","11797"
"Maupin","Centurytel","Cable","5.00","FF","1800"
"Maupin","CenturyTel","Telecom","5.00","FF","1800"
"North Powder","CenturyTel","Telecom","7.00","FF",
"Sweet Home","CenturyTel","Telecom","7.00","FF","15863.04"
"Ukiah","CenturyTel","Telecom","3.00","FF","153.53"
"Astoria","Charter","Cable","5.00","FF","115618"
"Clatskanie","Charter","Cable","5.00","FF","12268"
"Coos Bay","Charter","Cable","5.00","FF","166199"
"Coquille","Charter","Cable","5.00","FF","28031"
"Creswell","Charter","Cable","5.00","FF","15133"
"Florence","Charter","Cable","5.00","FF","71322.62"
"Grants Pass","Charter","Cable","5.00","FF","338208"
"Hermiston","Charter","Cable","3.00","FF","63609"
"Hillsboro","Charter","Cable","5.00","FF","183227"
"Independence","CHARTER","Cable",,"FF",
"Manzanita","Charter","Cable",,"FF","25415"
"Nehalem","CHARTER","Cable","5.00","FF","3752"
"Oakland","Charter","Cable","5.00","FF","8743"
"Roseburg","Charter","Cable","5.00","FF","146188.89000000001"
"The Dalles","Charter","Cable","5.00","FF",
"Yachats","Charter","Cable","5.00","FF","15528"
"Roseburg","Charter Advanced","Cable","6.00","FF","38963.06"
"Baker City","Charter Communications","Cable","5.00","FF","31000"
"Dallas","Charter Communications","Cable","5.00","FF","55000"
"Eagle Point","Charter Communications","Cable","5.00","FF","77077.210000000006"
"Falls City","Charter Communications","Telecom","5.00","FF",
"Florence","Charter Communications","Cable",,,
"Grants Pass","Charter Communications","Telecom","7.00","PT","70041"
"Hermiston","Charter Communications","Telecom","3.00","FF","63609"
"Jefferson","Charter Communications","Cable","5.00","FF","2408.94"
"Klamath Falls","Charter Communications","Cable","5.00","FF","183088.14"
"Myrtle Point","Charter Communications","Telecom","5.00","FF","12240"
"Sutherlin","Charter Communications","Cable",,,
"Westfir","Charter Communications","Cable","5.00","FF","672.88"
"Yachats","Charter Communications","Telecom","5.00","FF","15528"
"Roseburg","Charter Fiberlink","Cable","6.00","FF","555.45000000000005"
"Portland","Chevron USA","Other","3.63","PFF","12505.21"
"Aumsville","City of Aumsville","Wastewater",,"FF","15435.33"
"Aumsville","City of Aumsville","Water",,"FF","14721.94"
"Cascade Locks","City of Cascade Locks","Cable","5.00","FF","3810"
"Cascade Locks","City of Cascade Locks","Electric","5.00","FF","75698"
"Cascade Locks","City of Cascade Locks","Wastewater","5.00","FF","3575"
"Cascade Locks","City of Cascade Locks","Water","5.00","FF","9944"
"Detroit","City of Detroit","Water",,"FF",
"Tangent","City of Tangent","Wastewater","7.50","FF","15021"
"Tangent","City of Tangent-Stormwater","Other","7.50","FF","3298"
"Milwaukie","Clackamas","Solid Waste","5.00","FF","166"
"Canby","Clackamas County","Telecom","7.00","FF","383"
"Oregon City","Clackamas County CBX fiber optic","Other",,"FF","15402"
"Mt. Vernon","Clark’s Disposal","Solid Waste","3.00","FF",
"John Day","Clark's Disposal","Solid Waste","3.00","FF","6902"
"Clatskanie","Clatskanie PUD","Electric","5.00","FF","64514"
"Clatskanie","Clatskanie Sanitary Service","Solid Waste","5.00","FF","15637"
"Roseburg","Clearfly Networks","Cable","5.00","FF","24.45"
"Portland","Clearwire","Cable",,"PFF",
"Depoe Bay ","CoastCom","Cable","7.00","FF","11510"
"Florence","CoastCom","Telecom","5.00","FF","8027.14"
"Newberg","VoiceCom Telecom","Cable",,,
"Hillsboro","CoastCom","Cable",,"FF","4000"
"Waldport","CoastCom","Telecom","5.00","FF","4060"
"Astoria","CoastCom, Inc.","Other","5.00","FF","3109"
