"polycode","county","region","color","val1","val2"
"MO-03","Atchison","North West","#FFBCBB","adsf","123"
"MO-4A","Nodaway","North West","#FFBCBB","adsf","56657"
"MO-71","Worth","North West","#FFBCBB","qer","7898"
"MO-29","Harrison","North West","#FFBCBB","tgjh","76546"
"MO-26","Gentry","North West","#FFBCBB","qewr","23"
"MO-2C","Holt","North West","#FFBCBB","fhjy","34"
"MO-02","Andrew","North West","#FFBCBB","rtyu","5645"
"MO-20","DeKalb","North West","#FFBCBB","tyu","4557"
"MO-1F","Daviess","North West","#FFBCBB","ghj","689"
"MO-0B","Buchanan","North West","#FFBCBB","fgh","56332"
"MO-19","Clinton","North West","#FFBCBB","vbnm","23"
"MO-0D","Caldwell","North West","#FFBCBB","tyu","6476"
"MO-53","Platte","North West","#FFBCBB","vmgh","6787"
"MO-18","Clay","North West","#FFBCBB","dfhj","89"
"MO-59","Ray","North West","#FFBCBB","ryt","89786"
"MO-30","Jackson","North West","#FFBCBB","yet","56453"
"MO-36","Lafayette","North West","#FFBCBB","ety","565767"
"MO-13","Cass","North West","#FFBCBB","fjh","678789"
"MO-33","Johnson","North West","#FFBCBB","rtyu","890078"
"MO-50","Pettis","North West","#FFBCBB","fhjy","78967867"
"MO-07","Bates","North West","#FFBCBB","gfjk","67"
"MO-2A","Henry","North West","#FFBCBB","fgjk","78"
"MO-08","Benton","North West","#FFBCBB","adsf","678"
"MO-41","Mercer","North East","#EBCFFF","adsf","7890"
"MO-56","Putnam","North East","#EBCFFF","qer","345456"
"MO-5D","Schuyler","North East","#EBCFFF","tgjh","345"
"MO-5E","Scotland","North East","#EBCFFF","qewr","456"
"MO-17","Clark","North East","#EBCFFF","fhjy","567"
"MO-28","Grundy","North East","#EBCFFF","rtyu","5634"
"MO-69","Sullivan","North East","#EBCFFF","tyu","345"
"MO-01","Adair","North East","#EBCFFF","ghj","644"
"MO-34","Knox","North East","#EBCFFF","fgh","456"
"MO-38","Lewis","North East","#EBCFFF","vbnm","456567"
"MO-3B","Livingston","North East","#EBCFFF","tyu","567"
"MO-3A","Linn","North East","#EBCFFF","vmgh","76867"
"MO-3D","Macon","North East","#EBCFFF","dfhj","6767"
"MO-61","Shelby","North East","#EBCFFF","ryt","123"
"MO-40","Marion","North East","#EBCFFF","yet","56657"
"MO-15","Chariton","North East","#EBCFFF","ety","7898"
"MO-58","Randolph","North East","#EBCFFF","fjh","76546"
"MO-45","Monroe","North East","#EBCFFF","rtyu","23"
"MO-57","Rails","North East","#EBCFFF","fhjy","34"
"MO-04","Audrain","North East","#EBCFFF","gfjk","5645"
