"department","subject","contents","url","timestamp"
"Premier's Office","Premier Hosts Meeting of Mi’kmaw Chiefs, Cabinet","PREMIER’S OFFICE--Premier Hosts Meeting of Mi’kmaw Chiefs, Cabinet
-------------------------------------------------------
Premier Tim Houston, cabinet ministers and Nova Scotia Mi’kmaw Chiefs held their first joint meeting today, June 30, discussing a wide range of issues and building relationships.

“This is an excellent opportunity for the government to strengthen our relationship with the Mi’kmaq and work closely together on issues our communities are facing,” said Premier Houston. “A brighter future starts with a shared belief in each other, in our communities and in all Nova Scotians.”

This discussion focused on mutual priorities in healthcare, the environment, the education system, economic development and building communities.

“It is crucial our governments work together on the goals and priorities we have in common, but also that we build a relationship so that we can work respectfully, understanding that, at times, we may have unique positions on important matters,” said Chief Annie Bernard-Daisley, Co-chair, Assembly of Nova Scotia Mi’kmaw Chiefs. “Today is a great first step to building that relationship, and we look forward to continuing these discussions with our government partners.”

“Meeting with Premier Houston and the Nova Scotia cabinet is an important demonstration of our nation-to-nation relationship and an opportunity to discuss matters that help strengthen and build our relationship as treaty partners,” said Chief Sidney Peters, Co-chair, Assembly of Nova Scotia Mi’kmaw Chiefs. “We are confident that these discussions will be the initial steps to a co-operative path forward.”

Quotes:
“Through my visits to Mi’kmaw communities and meeting M’ikmaw leaders and community members, I have deepened my learning about the opportunities and challenges we share. As Nova Scotians, we are all treaty people and have a role to play in advancing reconciliation.”
     - Karla MacFarlane, Minister of L’nu Affairs

Quick Facts:
-- the last joint meeting between the Mi’kmaw Chiefs and cabinet was held in December 2017
-- last September, Nova Scotia announced that September 30 will be recognized annually as Truth and Reconciliation Day
-- the Mi’kmaw Language Act recognizing Mi’kmaw as Nova Scotia’s first language was passed by the legislature in April

Additional Resources:
Treaty Education Nova Scotia: https://novascotia.ca/treaty-education/index.html 

News release - Truth and Reconciliation Day Recognized in Nova Scotia: https://novascotia.ca/news/release/?id=20210903008  

News release – Legislation Enshrines Mi’kmaw as Nova Scotia’s First Language: https://novascotia.ca/news/release/?id=20220407003 

-30-","https://novascotia.ca/news/release/?id=20220630007","2022-06-30T16:10:00.000"
"Public Works","Weekly Traffic Advisories","PUBLIC WORKS--Weekly Traffic Advisories
--------------------------------------------

NEW WORK

---

COLCHESTER COUNTY: Slade Road, Tatamagouche

Slade Road is closed between Lake Road and West Tatamagouche Road until further notice due to a bridge closure.

---

HALIFAX REGIONAL MUNICIPALITY: John Brackett Drive, Herring Cove

John Brackett Drive will be reduced to one lane from Tuesday, July 5, to Thursday, July 7.  Traffic control is on site. Work will take place from 9 a.m. to 4 p.m.

---

HALIFAX REGIONAL MUNICIPALITY: Ketch Harbour Road, Herring Cove

Ketch Harbour Road will be reduced to one lane from Tuesday, July 5, to Thursday, July 7.  Traffic control is on site. Work will take place from 8 a.m. to 5 p.m.

---

PICTOU COUNTY:  East River West Side Road, Eureka

The section between 6280 East River West Side Road and Churchville Road will be closed starting Monday, July 4, to October 31 for the replacement of the Eureka Mills Bridge. A detour is in place.

---

CONTINUING WORK

---

ANTIGONISH COUNTY: Highway 104, James River

Highway 104, westbound lane about one kilometre west of James River Interchange, Exit 30, is reduced to one lane for about one kilometre.

Twinning work continues until 2023.

Signs are in place and drivers are encouraged to use caution.

---

CAPE BRETON REGIONAL MUNICIPALITY: Mira Gut Bridge, Mira Gut

Due to construction on Mira Gut Bridge, Mira Bay Drive from Brickyard Road to Mira Gut Lane is limited to local traffic only.

Access to the beach parking area and washroom facilities will remain open during construction.

---

COLCHESTER COUNTY: Burnett Bridge

Burnett Bridge, over MacLean Brook on Route 224 in Pine Grove/Gays River, is closed until further notice. 

Detour signs and 30-tonne weight restriction are in place. All other trucks to follow posted truck route. Detour is via Saint Andrews River Road.

---

COLCHESTER COUNTY: Old Truro Road, Tatamagouche

Old Truro Road, from Kennedy Hill intersection to the Cross Road in North River, is closed until further notice due to a large culvert failure.

A detour is in place.

---

COLCHESTER COUNTY: Salmon River Bridge, Truro

Salmon River Bridge, on Highway 101 between exits 14 and 14A, will be reduced to one lane northbound, until October 31, due to planned work on the bridge decking.

---

GUYSBOROUGH COUNTY: Route 344 (Main Street), Mulgrave

Route 344/Main Street traffic is being re-routed onto the newly installed detour bridge.
The entrance to Mill Street from Main Street is closed, and drivers should use an alternate route. Signs are in place.

The detour will remain in place until August 31.

---

GUYSBOROUGH COUNTY: Trunk 16

Trunk 16, from 1.4 kilometres north of Lincolnville Loop, north to Mattie Road, will be reduced to one lane for brush clearing and road work until August 31.

Traffic control is on site. Work takes place weekdays from 6 a.m. to 8 p.m.

---

HANTS COUNTY: Highway 101, Windsor

The eastbound off-ramp at Exit 6, Highway 101, is closed for the construction of a new interchange to downtown Windsor. 

A detour is available via Exit 5A. The off-ramp will be closed until September 2023.

---

HANTS COUNTY: Hydes Bridge, Lantz

Hydes Bridge on Highway 277 is closed until further notice.

A detour is in place via Dutch Settlement Road, Elmsdale Road and Trunk 2. Signs are in place.

---

INVERNESS COUNTY: Orangedale

Orangedale-Iona Road, from Portage Road southbound for about 5.7 kilometres, will be reduced to one lane for gravelling and drainage work until July 31.

Traffic control is on site. Work takes place weekdays from 6 a.m. to 6:30 p.m.

---

LUNENBURG COUNTY: Indian Path Bridge, Bayport

Indian Path Bridge, Route 332, is closed for replacement until October.

A detour is in place.

---

PICTOU COUNTY: Route 289 (Little Harbour Road)

Route 289 (Little Harbour Road), from the New Glasgow town line northerly to Route 348, is reduced to one lane for paving and patching until August 31.

Work takes place weekdays from 6 a.m. to 8:30 p.m. Traffic control is on site. 

---

PICTOU COUNTY: Westville Road

Westville Road at the Westville Road Bridge over Highway 104 will be closed nightly, Sunday through Thursday, from 7 p.m. to 6 a.m.

Work continues until August 31. A detour will be in place and drivers should proceed with caution.

---

QUEENS COUNTY: Peterson Falls Bridge, Westfield

Peterson Falls Bridge, on Westfield Road, will be closed for deck replacement until August 5.

A detour is in place.

---

RICHMOND COUNTY: Port Royal Bridge, Isle Madame

Port Royal Bridge on Port Royal Road is closed until further notice. A detour is in place on MacEachern Road.

---

RICHMOND COUNTY: Trunk 4

Trunk 4, from Riverside Road eastbound for about 7.1 kilometres, will be reduced to one lane for repaving until September 30. 

Traffic control is on site. Work takes place weekdays from 6 a.m. to 6:30 p.m.

---

SHELBURNE COUNTY: Highway 103, Jordan Falls

Highway 103, about 100 metres west of Exit 24, will have alternating lane closures for rehabilitation work on Jordan Falls Bridge until August 31.

Traffic control lights are in place. Work takes place weekdays from sunrise to sunset.

---

YARMOUTH COUNTY: Lake George Road, Lake George

Lake George Road, from Richmond Road to Crosby Road, has alternating lane closures for roadwork until August 31. 
Signs are in place, and traffic control is on site. Work takes place from sunrise to sunset Monday to Friday.

-30-","https://novascotia.ca/news/release/?id=20220630006","2022-06-30T13:32:00.000"
"Health and Wellness / COVID - 19","Rapport hebdomadaire des données sur la COVID-19, le 30 juin 2022","COVID-19/SANTÉ ET MIEUX-ÊTRE--Rapport hebdomadaire des données sur la COVID-19, le 30 juin 2022
--------------------------------------------------------
La Nouvelle-Écosse signale 1 491 nouveaux cas de COVID-19 confirmés en laboratoire, 28 hospitalisations et 4 décès liés à la COVID-19 au cours de la période de sept jours se terminant le 27 juin. Le nombre de nouveaux cas confirmés par un test PCR a légèrement augmenté comparativement à la semaine dernière, mais le nombre d'éclosions dans les établissements de soins de longue durée, d'hospitalisations et de décès a diminué.

« L'épidémiologie démontre que les personnes non vaccinées sont à risque considérablement plus élevé d'hospitalisation et de décès comparativement aux personnes qui ont reçu trois doses ou plus, affirme la Dre Shelley Deeks, médecin-hygiéniste en chef adjointe de la Nouvelle-Écosse. Lorsque nous comparons les groupes d'âge des personnes qui ont reçu trois doses ou plus du vaccin, les personnes de 70 ou plus sont plus à risque de subir des complications graves que les personnes de 50 à 69 ans. »

Depuis le début des vagues Omicron le 8 décembre 2021, l'âge médian des personnes hospitalisées et décédées est de 71 et 81 ans respectivement. Trois des quatre décès causés par la COVID-19 signalés cette semaine sont des personnes de 70 ans ou plus.

Les données indiquent que l'âge est le principal facteur de risque de complications graves et que la vaccination est toujours efficace. Le risque d'hospitalisation est de 11,5 fois plus élevé et le risque de décès est d'environ 117 fois plus élevé chez les personnes de 70 ans ou plus comparativement aux personnes de moins de 50 ans. Dans tous les groupes d'âge admissibles au vaccin, les personnes non vaccinées sont à risque plus élevé de complications graves comparativement aux personnes vaccinées. L'immunité offerte par le vaccin décroît plus rapidement chez les personnes âgées de 70 ans ou plus, et c'est pourquoi une deuxième dose de rappel a été recommandée pour ces personnes au printemps. La plupart des gens de moins de 70 ans sont toujours bien protégés par une série primaire de deux doses plus une dose de rappel.

On encourage toujours les gens de la Nouvelle-Écosse qui n'ont pas reçu tous les vaccins recommandés à prendre rendez-vous pour recevoir les vaccins contre la COVID-19 auxquels ils sont admissibles.

Jusqu'à présent, 65,9 % des gens de 18 ans ou plus ont reçu au moins une dose de rappel, et 77 211 personnes ont reçu une deuxième dose de rappel.

Le sommaire épidémiologique hebdomadaire sur la COVID-19 est préparé pour le médecin-hygiéniste en chef et son équipe afin d'éclairer les mesures de la Santé publique pour lutter contre la pandémie. Le rapport suit les tendances hebdomadaires et surveille de près les complications graves chez certaines populations clés. Le rapport complet se trouve ici : https://novascotia.ca/coronavirus/alerts-notices/fr/#epidemiologic-summaries (rapport en anglais seulement).

Ressources supplémentaires 
Tableau de bord sur la COVID-19 : https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad (en anglais seulement)

Signalement d'un résultat positif au test de dépistage de la COVID-19 pour recevoir l'appui de la Santé publique, y compris des soins virtuels et un traitement pour les personnes admissibles : https://c19hc.nshealth.ca/self-report (en anglais seulement)

-30-","https://novascotia.ca/news/release/?id=20220630005","2022-06-30T13:03:00.000"
"Health and Wellness / COVID - 19","COVID-19 Weekly Data Report for June 30, 2022","COVID-19/HEALTH/WELLNESS--COVID-19 Weekly Data Report for June 30, 2022
--------------------------------------------------------
Nova Scotia is reporting 1,491 new lab-confirmed cases of COVID-19, 28 hospitalizations and four deaths during the seven-day period ending June 27. The number of new PCR-positive tests has increased slightly compared to the previous reporting period; however, long-term care outbreaks, hospital admissions and deaths have decreased.

“Our epidemiology shows that unvaccinated people have a substantially higher risk of hospitalization and death compared to people who have three or more doses,” said Dr. Shelley Deeks, Nova Scotia’s Deputy Chief Medical Officer of Health. “And when we compare across ages among those with three or more doses of vaccine, people 70 years and older are at a higher risk of severe outcomes than those aged 50 to 69.”

Since the start of the Omicron waves December 8, 2021, the median age of hospitalizations is 71, and the median age of people who have died is 81. Three of the four COVID-19 deaths reported this week were people 70 years of age or older.

The data show that age is the biggest risk factor for severe disease and that vaccines are continuing to work. The risk of hospitalization is 11.5 times higher for people 70 and older and the risk of death about 117 times higher when compared to those under 50. Within every age group for whom vaccine is available, unvaccinated people are at higher risk of severe illness than those who are vaccinated. Vaccine-related immunity wanes more quickly in people 70 and older, which is why a second booster dose was recommended this spring. Most adults under 70 are still well protected against severe illness by their primary series plus one booster.

Nova Scotians who are not up to date on COVID-19 vaccines are still encouraged to receive all doses for which they are recommended.

To date, 65.9 per cent of Nova Scotians 18 and older have received at least one booster dose, and 77,211 people have received a second.

The weekly COVID-19 epidemiologic summary is prepared for the Chief Medical Officer of Health and his team to inform public health’s management of the pandemic. It tracks weekly trends and is focused on monitoring for severe outcomes in key populations. The full report is available here: https://novascotia.ca/coronavirus/alerts-notices/#epidemiologic-summaries

Additional Resources:
COVID-19 public dashboard: https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad

Report a positive COVID-19 test to be linked to public health support, including virtual care and treatment for those who are eligible: https://c19hc.nshealth.ca/self-report/

-30-","https://novascotia.ca/news/release/?id=20220630004","2022-06-30T13:02:00.000"
"Education and Early Childhood Development","School Year Ends on High Note for Staff, Students","EDUCATION/EARLY CHILDHOOD DEVELOPMENT--School Year Ends on High Note for Staff, Students
----------------------------------------------------------------
Becky Druhan, Minister of Education and Early Childhood Development, congratulated students and staff on another successful school year today, June 30, the last day of classes.

“Students and staff have accomplished so much over the last two years and I want to thank everyone for their efforts to educate and care for our children,” said Minister Druhan. “As the school year comes to a close, we can reflect on our school successes and appreciate everyone’s efforts to ensure students are recognized for their efforts.”

Prom celebrations and moving-up ceremonies, many of which were postponed or cancelled for two years due to the pandemic, have returned, and families are once again able to join with community to celebrate. 

Nova Scotia’s school system was able to keep students in school in person longer than most provinces. It also continued ongoing assessment of student success, which supports educators and leaders to identify student learning needs and target resources and teaching enhancements.

Minister Druhan thanked staff for their ongoing commitment to outdoor learning and said students will benefit from an enhanced focus on getting outdoors to learn and connect with nature. 

The government promoted healthy living and lifestyles through efforts such as the Healthy Schools Grant, which funds programs and activities that support mental and physical health and cultural awareness.

-30-","https://novascotia.ca/news/release/?id=20220630002","2022-06-30T12:16:00.000"
"Education and Early Childhood Development","L'année scolaire se termine sur une note positive pour le personnel et les élèves","ÉDUCATION ET DÉVELOPPEMENT DE LA PETITE ENFANCE-- L'année scolaire se termine sur une note positive pour le personnel et les élèves
----------------------------------------------------------------
Becky Druhan, ministre de l'Éducation et du Développement de la petite enfance, félicite les élèves et le personnel pour une autre année scolaire réussie, aujourd'hui 30 juin, le dernier jour d'école.

« Les élèves et le personnel ont accompli tellement de choses au cours des deux dernières années, et je remercie tout le monde pour leurs efforts visant à prendre soin de nos enfants et à les éduquer, souligne la ministre Druhan. En cette fin d'année scolaire, nous pouvons célébrer nos réussites scolaires et reconnaître les efforts des élèves et du personnel. »

Les bals et les cérémonies de fin d'année, qui ont souvent été reportés ou annulés au cours des deux dernières années en raison de la pandémie, sont de retour, et les familles peuvent maintenant se joindre à la communauté pour les célébrations. 

Le système scolaire de la Nouvelle-Écosse a été en mesure de garder les élèves à l'école en présentiel plus longtemps que la plupart des autres provinces. Il a également maintenu les évaluations continues des réussites des élèves, ce qui aide les éducateurs et les leaders à cerner les besoins des élèves en matière d'apprentissage et à cibler les ressources et les améliorations pédagogiques.

La ministre Druhan remercie le personnel pour son engagement continu à l'apprentissage en plein air et souligne qu'il s'agira d'un avantage pour les élèves de profiter du plein air pour apprendre et établir un lien avec la nature. 

Le gouvernement a fait la promotion d'un style de vie sain grâce à des initiatives telles que la subvention pour des écoles saines, qui permet de financer les programmes et les activités à l'appui de la santé mentale et physique et de la sensibilisation culturelle.

-30-","https://novascotia.ca/news/release/?id=20220630003","2022-06-30T12:16:00.000"
"Municipal Affairs and Housing","Housing Developments Approved in Halifax Regional Municipality","MUNICIPAL AFFAIRS/HOUSING--Housing Developments Approved in Halifax Regional Municipality
----------------------------------------------------
The Province is taking action to increase housing supply in Halifax Regional Municipality (HRM) faster.

Municipal Affairs and Housing Minister John Lohr has approved development agreements for two sites designated as special planning areas under the Housing in the Halifax Regional Municipality Act. These approvals will allow the development of more than 1,000 future homes for people of all income levels.

“Overcoming this housing crisis is going to take a unified approach, creative solutions and a willingness to do things differently,” said Minister Lohr. “Our population is growing, and these special planning areas are an example of how the elimination of red tape and working in partnership with HRM and the development community will help thousands of people access housing faster.”

One of the development agreements approved by the Minister is for a mixed-use community of up to 905 units on the former Penhorn Mall lands in Dartmouth. The proposed development by Clayton Developments Ltd. and Crombie REIT will include 860 apartments and 45 townhouses, as well as new parks, trails and an active transportation network.

HRM will receive 12 per cent of the appraised value of the site from the developer and will invest the majority of those funds in new or existing affordable housing and the rest in community art or cultural spaces. The appraisal process is not yet complete; however, it is expected to generate millions to be invested in affordable housing options at the Penhorn location or another site in HRM.

The other approval is for Armco Capital’s proposal to develop up to 150 lots at the Indigo Shores special planning area in Middle Sackville. To support the development, the Minister also approved an amendment to a by-law that limited development within the subdivision to 25 lots a year.

The projects are still subject to required permitting, fees and regulatory requirements as specified in the Housing in the Halifax Regional Municipality Act.

Descriptions and updates on the nine special planning areas can be found on the HRM website: https://www.halifax.ca/about-halifax/regional-community-planning/regional-plan/special-planning-areas

Quotes:
“We’re continuing to work closely with HRM planning and the development community, and we’re making great strides to get these homes built for Nova Scotians.”
     - Geoff MacLellan, Chair, Halifax Regional Municipality Housing Task Force

“Designated for growth through the Centre Plan, the Penhorn site increases vital supply of mixed housing and directs new funds to affordable housing options within the municipality. We will continue to work with all partners, from government, the development industry and the community sector, to build more affordable homes.”
     - Mike Savage, Mayor, Halifax Regional Municipality

“We are very pleased this project is moving forward. This approval allows us to begin construction this year versus next. We would like to thank the Province and HRM for accelerating the necessary work to bring quality housing to market sooner.”
     - Jason Brunt, President, Clayton Developments Limited

Quick Facts:
-- designating special planning areas where the Minister has authority for development approvals was a recommendation of the HRM Housing Task Force, and these projects support HRM’s growth strategy
-- the former Penhorn Mall lands and Indigo Shores are two of nine locations that were designated as special planning areas by the Province on March 25; the nine areas could see as many as 22,600 new residential units developed in HRM
-- the Province is investing more than $22 million to create more than 370 affordable housing units in the Southdale-Mount Hope special planning area in Dartmouth
-- the Province has invested $3 million in Coady’s Place in New Glasgow, which has 36 safe and affordable units for people on the cusp of homelessness
-- the Province has identified 37 sites from the provincial land inventory that are potentially suitable for thousands of units of housing

Additional Resources:
Housing in the Halifax Regional Municipality Act:
https://nslegislature.ca/sites/default/files/legc/statutes/housing%20in%20the%20hrm.pdf

A Healthy Nova Scotia: Solutions for Housing and Homelessness: https://beta.novascotia.ca/documents/solutions-housing-and-homelessness/

Mandate letter of the Minister of Municipal Affairs and Housing: https://novascotia.ca/exec_council/letters-2021/ministerial-mandate-letter-2021-MAH-EMO-MR.pdf

-30-","https://novascotia.ca/news/release/?id=20220630001","2022-06-30T11:51:00.000"
"Premier's Office","Premier Houston Hosts Council of Atlantic Premiers Meeting","PREMIER’S OFFICE--Premier Houston Hosts Council of Atlantic Premiers Meeting
----------------------------------------------------------
The Council of Atlantic Premiers (CAP) met today, June 29, in Pictou to discuss regional approaches to healthcare, economic growth, inflation and affordability, immigration and renewable energy.

Nova Scotia Premier Tim Houston chaired the meeting with Premier Blaine Higgs of New Brunswick, Premier Dennis King of Prince Edward Island, and Premier Andrew Furey of Newfoundland and Labrador.

The meeting communique is available at: https://cap-cpma.ca/newsroom/

Premiers also announced that Premier King will host the Atlantic Vision Conference in Charlottetown on October 13 and 14. The conference, a partnership with the Public Policy Forum, will see leaders from various sectors come together to discuss ways to make the Atlantic economy, society and environment more sustainable, inclusive, equitable and diverse over the next 25 years.

-30-","https://novascotia.ca/news/release/?id=20220629002","2022-06-29T14:40:00.000"
"Community Services","Increase to Nova Scotia Child Benefit","COMMUNITY SERVICES--Increase to Nova Scotia Child Benefit
----------------------------------------------------------------
The Province is helping Nova Scotian families with lower incomes by increasing their Nova Scotia Child Benefit effective Friday, July 1.

The benefit is a tax-free payment to eligible families to help with the cost of raising children under 18. Depending on household income and the number of children, families will now receive as much as $1,275 per child annually, at least $350 more than the previous year.

“Safe and healthy children, youth and families are vital to building a stronger Nova Scotia,” said Karla MacFarlane, Minister of Community Services. “This is one more way we are helping families who need it most.”

The Nova Scotia Child Benefit is combined with the federally funded Canada Child Benefit and received by mail or direct deposit as one monthly payment. The increase will take effect on the next payment received, in July.

People are not required to take any action, as both the federal and provincial benefits are based on personal income tax returns. However, people are encouraged to file their income tax returns for 2021 if they haven’t already filed.

The Department continues to work with partners and experts to develop a comprehensive approach to addressing child poverty.

Quick Facts:
-- the Nova Scotia Child Benefit year runs from July 1 to June 30 and is based on income information from the previous taxation year
-- to be eligible for the Nova Scotia Child Benefit, families with children must have an annual adjusted family net income under $34,000
-- as of February 2021, there were 26,477 families in receipt of the benefit, representing 47,068 children

Additional Resources:
More information about the Nova Scotia Child Benefit and the new rates: https://www.novascotia.ca/coms/families/ChildBenefit.html

Mandate letter of the Minister of Community Services: https://novascotia.ca/exec_council/letters-2021/ministerial-mandate-letter-2021-DCS-OLA-SOW.pdf 

-30-","https://novascotia.ca/news/release/?id=20220629001","2022-06-29T08:59:00.000"
"Justice","Halifax Homicide Case Added to Rewards Program","JUSTICE--Halifax Homicide Case Added to Rewards Program
----------------------------------------------------------------
The government is offering a reward of up to $150,000 for information leading to the arrest and conviction of the person or people responsible for the homicide of 26-year-old Brandon Reginald Polegato last year.

Mr. Polegato was found dead in the hallway of an apartment building on Washmill Lake Drive in Halifax on Sunday, February 7, 2021. That evening, residents had called 911 after hearing shots, and Halifax Regional Police arrived to find Mr. Polegato had suffered multiple gunshot wounds. The medical examiner ruled the death a homicide.

Investigators believe there are people who may have information that could result in arrests and possible charges in relation to the death.

“I urge anyone with information to come forward,” said Brad Johns, Attorney General and Minister of Justice. “I hope the addition of this case to the rewards program will assist investigators to identify those responsible.”

Anyone with information on this crime is asked to call the Rewards for Major Unsolved Crimes Program at 1-888-710-9090. People who come forward with information must provide their name and contact information and may be called to testify in court. All calls will be recorded.

Quick Facts:
-- the Rewards for Major Unsolved Crimes Program is an additional tool to help police gather information on unsolved crimes
-- the reward is payable in Canadian funds and will be allocated as deemed just by the provincial Minister of Justice
-- employees of law enforcement and correctional agencies are not eligible to collect this reward
-- anyone with information on this crime who prefers to remain anonymous can call Crime Stoppers of Nova Scotia at: 1-800-222-TIPS (8477)

Additional Resources:
A photo of Brandon Polegato and details about the case are available at: https://novascotia.ca/just/Public_Safety/Rewards/

-30-","https://novascotia.ca/news/release/?id=20220628004","2022-06-28T12:01:00.000"
