"implementation_year","school_board","school_number","school_name","address_1","community","province","postal_code","telephone","fax","email","georeference"
"2018-19","Cape Breton Victoria Regional Centre for Education","96","Baddeck Academy","320 Shore Rd","Baddeck","Nova Scotia","B0E 1B0","902-295-2359","902-295-1263","rmuller@gnspes.ca","POINT (-60.758811 46.095723)"
"2019-20","Cape Breton Victoria Regional Centre for Education","93","Boularderie School","12065 Kempt Head Rd","Boularderie","Nova Scotia","B1X 1J9","902-674-2716","902-674-0117","laveryb1@gnspes.ca","POINT (-60.487336 46.22376)"
"2018-19","Cape Breton Victoria Regional Centre for Education","101","Bras d'Or Elementary School","10 Alder Pt Rd","Bras d`Or","Nova Scotia","B1Y 2K1","902-736-4000","902-736-1091","kubleks@gnspes.ca","POINT (-60.289052 46.251634)"
"2019-20","Cape Breton Victoria Regional Centre for Education","995","Brookland Elementary School","153 Cottage Rd","Sydney","Nova Scotia","B1P 2E5","902-562-0768","902-563-4560","boutj@gnspes.ca","POINT (-60.181923 46.129999)"
"2019-20","Cape Breton Victoria Regional Centre for Education","962","Cape Smokey Elementary School","39 Brandon Lane","Ingonish","Nova Scotia","B0C 1K0","902-285-2638","902-285-2892","fitzfm@gnspes.ca","POINT (-60.377535 46.693052)"
"2018-19","Cape Breton Victoria Regional Centre for Education","186","Coxheath Elementary School","30 Mt Florence St","Coxheath","Nova Scotia","B1R 1T8","902-562-4961","902-562-6192","tleblan1@gnspes.ca","POINT (-60.236048 46.112912)"
"2017-18","Cape Breton Victoria Regional Centre for Education","1101","Cusack School","500 Birch Hill Dr","Sydney","Nova Scotia","B1P 3V9","902-564-0431","902-562-6871","orychoa1@gnspes.ca","POINT (-60.165657 46.13702)"
"2019-20","Cape Breton Victoria Regional Centre for Education","996","Donkin School","81 Centre Ave","Donkin","Nova Scotia","B1A 6N4","902-737-2120","902-737-1018","jacksonbm@gnspes.ca","POINT (-59.870084 46.185104)"
"2019-20","Cape Breton Victoria Regional Centre for Education","98","Dr. T. L. Sullivan School","256 Park Rd","Florence","Nova Scotia","B1Y 1N2","902-736-6273","902-736-8844","tpodetz@gnspes.ca","POINT (-60.271135 46.24937)"
"2018-19","Cape Breton Victoria Regional Centre for Education","1153","Ferrisview Elementary School","83 Archibald Ave","North Sydney","Nova Scotia","B2A 2W9","902-794-7137","902-794-6237","briggsj1@gnspes.ca","POINT (-60.254967 46.212536)"
"2017-18","Cape Breton Victoria Regional Centre for Education","416","Glace Bay Elementary School","135 Brookside St","Glace Bay","Nova Scotia","B1A 1K8","902-849-3256","902-849-3261","shepardr@gnspes.ca","POINT (-59.957477 46.188709)"
"2018-19","Cape Breton Victoria Regional Centre for Education","963","Greenfield Elementary School","25 James St","River Ryan","Nova Scotia","B1H 1B8","902-862-4000","902-862-4005","mdolan@gnspes.ca","POINT (-60.093769 46.235622)"
"2018-19","Cape Breton Victoria Regional Centre for Education","964","Harbourside Elementary School","15 Church St","Sydney","Nova Scotia","B1N 2R3","902-563-4520","902-563-4523","dbeaton@gnspes.ca","POINT (-60.189038 46.161899)"
"2018-19","Cape Breton Victoria Regional Centre for Education","549","John Bernard Croak V.C. Memorial  School","10 Second St","Glace Bay","Nova Scotia","B1A 5Z4","902-849-2003","902-842-2212","swhite@gnspes.ca","POINT (-59.963242 46.211235)"
"2017-18","Cape Breton Victoria Regional Centre for Education","960","Jubilee Elementary School","755 Main St","Sydney Mines","Nova Scotia","B1V 2L4","902-736-3310","902-736-7510","lmackaycarroll@gnspes.ca","POINT (-60.228903 46.242176)"
"2020-21","Cape Breton Victoria Regional Centre for Education","183","Marion Bridge School","3845 Gabarus Hwy","Marion Bridge","Nova Scotia","B1K 1A6","902-727-2980","902-727-2765","ruthclarke@gnspes.ca","POINT (-60.21217 45.987981)"
"2018-19","Cape Breton Victoria Regional Centre for Education","83","Middle River Consolidated  School","2248 Cabot Trail","Middle River","Nova Scotia","B0E 1B0","902-295-2842","902-295-2842","rcordy@gnspes.ca","POINT (-60.927925 46.169209)"
"2018-19","Cape Breton Victoria Regional Centre for Education","997","Mountainview Elementary School","21 Delta Dr","Howie Centre","Nova Scotia","B1L 1G9","902-562-8880","902-562-7271","paul3@gnspes.ca","POINT (-60.265349 46.062087)"
"2019-20","Cape Breton Victoria Regional Centre for Education","961","North Highlands Elementary School","1363 Bay St Lawrence Rd","Aspy Bay","Nova Scotia","B0C 1G0","902-383-2186","902-383-2381","angelacurrie@gnspes.ca","POINT (-60.486082 46.924724)"
"2019-20","Cape Breton Victoria Regional Centre for Education","1142","Rankin School of the Narrows","4144 Hwy 223","Iona","Nova Scotia","B2C 1A4","902-725-2210","902-725-1255","macneilt@gnspes.ca","POINT (-60.816869 45.947655)"
"2018-19","Cape Breton Victoria Regional Centre for Education","973","Riverside School","7430 Hornes Rd","Albert Bridge","Nova Scotia","B0A 1P0","902-563-4535","902-563-4539","browns5@gnspes.ca","POINT (-60.067266 46.036649)"
"2018-19","Cape Breton Victoria Regional Centre for Education","182","Robin Foote Elementary School","125 Sunnydale Dr","Westmount","Nova Scotia","B1R 1J4","902-539-3031","902-562-6816","lastephen@gnspes.ca","POINT (-60.215522 46.139273)"
"2019-20","Cape Breton Victoria Regional Centre for Education","972","Shipyard Elementary School","30 Mt Kemmel St","Sydney","Nova Scotia","B1S 3V6","902-562-8878","902-562-8674","oliverg@gnspes.ca","POINT (-60.193626 46.126132)"
"2018-19","Cape Breton Victoria Regional Centre for Education","561","St. Anne's Elementary School","30 Official Row","Glace Bay","Nova Scotia","B1A 2W9","902-849-5661","902-849-1645","tettinger@gnspes.ca","POINT (-59.961838 46.194761)"
"2019-20","Cape Breton Victoria Regional Centre for Education","185","Sydney River Elementary School","35 Phillips St","Sydney River","Nova Scotia","B1S 1M8","902-567-2144","902-567-0079","kmcnenly@gnspes.ca","POINT (-60.219926 46.103285)"
"2019-20","Cape Breton Victoria Regional Centre for Education","175","Tompkins Memorial Elementary School","60 Main St","Reserve Mines","Nova Scotia","B1E 1E5","902-849-3803","902-849-1586","mcleodm2@gnspes.ca","POINT (-60.019929 46.182222)"
"2018-19","Strait Regional Centre for Education","934","Antigonish Education Centre","30 Appleseed Dr","Antigonish","Nova Scotia","B2G 3B6","902-867-8800","902-867-8804","April.Weaver@srce.ca","POINT (-62.010332 45.61492)"
"2017-18","Strait Regional Centre for Education","932","Bayview Education Centre","133 Company Rd","Port Hood","Nova Scotia","B0E 2W0","902-787-5220","902-787-5224","Lisa.MacEachern@srce.ca","POINT (-61.523589 46.00787)"
"2017-18","Strait Regional Centre for Education","974","Cape Breton Highlands Education Centre/Academy","11070 Cabot Trail","Terre Noire","Nova Scotia","B0E 1C0","902-235-7500","902-235-7504","Angela.MacKinnon@srce.ca","POINT (-61.08991 46.461887)"
"2017-18","Strait Regional Centre for Education","986","Chedabucto Ed Centre/Guysborough Academy","27 Green St","Guysborough","Nova Scotia","B0H 1N0","902-533-4006","902-533-3554","barbara.avery@srce.ca","POINT (-61.50263 45.386493)"
"2017-18","Strait Regional Centre for Education","975","East Antigonish Education Centre/Academy","10128 Route #4","Monastery","Nova Scotia","B0H 1W0","902-232-2810","902-232-3829","paul.brown@srce.ca","POINT (-61.620577 45.609224)"
"2018-19","Strait Regional Centre for Education","484","East Richmond Education Centre","9359 Pepperell St","St. Peter`s","Nova Scotia","B0E 3B0","902-535-2066","902-535-3166","sonya.sauve@srce.ca","POINT (-60.876333 45.658212)"
"2017-18","Strait Regional Centre for Education","266","Fanning Education Centre/Canso Academy","129 Tickle Rd","Hazel Hill","Nova Scotia","B0H 1H0","902-366-2225","902-366-3502","cory.austen@srce.ca","POINT (-61.028191 45.332289)"
"2017-18","Strait Regional Centre for Education","471","Felix Marchand Education Centre","380 Main St","Louisdale","Nova Scotia","B0E 1V0","902-345-2560","902-345-2868","richard.britten@srce.ca","POINT (-61.53561 46.022375)"
"2018-19","Strait Regional Centre for Education","143","H. M. MacDonald Elementary School","2811 Hwy 245","Maryvale","Nova Scotia","B2G 2J1","902-863-2096","902-863-0616","Trevor.MacIsaac@srce.ca","POINT (-62.043352 45.734483)"
"2017-18","Strait Regional Centre for Education","1106","Inverness Education Centre/Academy","59 Veterans Memorial Crt","Inverness","Nova Scotia","B0E 1N0","902-258-3700","902-258-3899","Peter.Goosens@srce.ca","POINT (-61.298781 46.232116)"
"2018-19","Strait Regional Centre for Education","390","Pleasant Bay School","456 Pleasant Bay Rd","Pleasant Bay","Nova Scotia","B0E 2P0","902-224-2365","902-224-2080","Angela.MacKinnon@srce.ca","POINT (-60.787501 46.836848)"
"2018-19","Strait Regional Centre for Education","149","St. Andrews Consolidated School","3892 Hwy 316","St. Andrews","Nova Scotia","B0H 1X0","902-863-2512","902-863-6840","kirk.johnstone@srce.ca","POINT (-61.890072 45.558426)"
