"region","location","address","phone","fax"
"CSAP Region ","CPRPS - Claire Location ","Ecole Joseph-Dugas 450 chemin Patrice Pointe-de-l'Eglise, N.-E B0W 1M0","902-769-5853","902-769-3059"
"Tri-County Region","Digby Location ","PO Box 2266, 1 Birch Street, Digby, NS, B0V 1A0","902-245-1900","902-245-2583"
"Central Office","Halifax","276 Bedford Hwy, Unit 104, Halifax, NS, B3M 2K6","902-423-8010 / 1-844-292-6730","902-423-4468"
"Strait Region ","Antigonish Location","25 Bay Street Ste 2R, Martha Centre Antigonish, NS, B2G 2G7","902-863-2298","902-867-1037"
"CSAP Region ","CPRPS - Halifax","Ecole du Carrefour, 201 Portage Avenue, Dartmouth, NS, B2X 3T4","902-430-6136","902-648-2755"
"South Shore Region","Liverpool Location","PO Box 630, 6 Bridge Street, Milton , NS, B0T 1P0","902-354-5890","902-354-5004"
"CSAP Region ","CPRPS - Port Hawkesbury","609 Church Street, Suite 107 Port Hawkesbury, NS, B9A 2X4 ","902-625-0396","902-625-0468"
"Halifax Region ","Eastern Shore Musquodoboit Valley Location","PO Box 245, 17 Behie Rd. Sheet harbour, NS, B0J 3B0 ","902-885-2946","902-885-2629"
"Tri-County Region","Yarmouth Location- Southwest ","Yartmouth Teacher's Professional Centre, 24 Seminary St. Yartmouth, NS, B5A 4T2","902-742-3366","902-742-1984"
"Cape Breton Victoria Region ","Eskasoni Location - All Kids ","PO Box 7970, Eskasoni Middle School Rm 135, 4895 Shore Road. Eskasoni, NS, B1W 1B8","902-379-2259","902-379-2259"
"Annapolis Valley Region","Kentville location - VCDA ","PO Box 63, 11 Calkin Drive, Unit 2, Kentville, NS, B4N 3V9","902-678-6111","902-678-6112"
"South Shore Region","Mahone Bay - First Steps Location ","PO Box 640 Mahone Bay, NS, B0J 2E0","902-531-3500","902-531-3501"
"Chignecto Central Region ","Indian Brook","185 Sesame St., Indian Brook, NS, B0N 1W0","902-236-2322","902-236-2325"
"Cape Breton Victoria Region ","Baddeck Location - All Kids ","65 High Street, Beddeck, NS, BOE 1BQ","902-295-2504","902-295-1269"
"Halifax Region ","Halifax Location- Progress Centre ","3530 Novalea Drive Halifax, NS, B3K 3E8","902-423-2686","902-425-3360"
"Tri-County Region","Shelburne Location ","PO Box 9, 35 King Street, Shelburne, NS, B0T 1W0","902-875-4067","902-875-4094"
"Strait Region ","Guysbourough Location ","Chedabucto Mall, Unit 6, 9996 Route 16 Guysborough, NS, B0H 1N0","902-533-2694","902-533-2694"
"Strait Region ","CPRPS - Port Hawkesbury","609 Church Street, Suite 107, Port Hawkesbury, NS, B9A 2X4 ","902-625-0396","902-625-0468"
"Halifax Region ","Lower Sackville Location- Sackville Bedford ","45 Connelly Rd. Lower Sackville, NS, B4C 3J1","902-864-5251","902-864‐2943"
"Cape Breton Victoria Region ","Glace Bay Location - All Kids","Town Daycare Centre, 15 Second Street, Glace Bay, NS, B1A 4E9 ","902-849-3429","902-842-0655"
"Chignecto Central Region ","Amherst Location - Cumberland","PO Box 997, 141 E Victoria Street East, Amherst, NS, B4E 1X4","902-667-8244","902-667‐0661"
"Chignecto Central Region ","New Glasgow Location - Pictou County ","138 Campbell Street Unit 5, New Glasgow, NS, B2H 5X9 ","902-752-1016","902-752-7412"
"CSAP Region ","CPRPS - Tusket Location ","Ecole Secondaire De Par En Bas, 4258, NS 308, Tusket, NS, B0W 3M0","902-648-2522","902-769-3059"
"Cape Breton Victoria Region ","Sydney Location - All Kids","37 Nepean Street, Suite 206, Sydney, NS, B1P 6A7 ","902-567-0991","902-567-0055"
"Chignecto Central Region ","Truro Location","339 Willow Street, Suite A-2, Truro, NS, B2N 5A6","902-843-6060","902-843-6062"
"Annapolis Valley Region","Lawrencetown Location- Bright Beginnings ","10  Middle Road, RR#1 Lawrencetown, NS, B0S 1M0","902-584-2000","902-584-3099"
