"uid","name","address","community","province","postal_code","phone","fax","email","catchment_area","website","facebook","x_coordina","y_coordina","location"
"11","Kids First Association - New Glasgow","110 Provost St","New Glasgow","Nova Scotia","B2H 2P4","902-755-5437","n/a","pictoucpnp@kids1st.ca","Pictou County","https://kids1st.ca/","https://www.facebook.com/pictoukids1st.ca","-62.64440311","45.58827647","
,  
(45.588276471, -62.644403106)"
"1","Bayers/Westwood Family Resource Centre","3499 McAlpine Ave","Halifax","Nova Scotia","B3L 3X9","902-454-9444","902-454-0008","info@bayerswestwoodfrc.com","Priority is the Bayers Westwood community and surrounding area, however our programs and services are open to everyone.",,"https://www.facebook.com/bwfrc","-63.62141593","44.65788633","
,  
(44.6578863250001, -63.6214159319999)"
"6","Eastern Shore Family Resource Association","203-5228 Highway 7","Porters Lake","Nova Scotia","B3E 1M1","902-827 1461 / 902-476-0642","902-827-1462","esfamilyresource@ns.aliantzinc.ca","Lawrencetown/Lake Echo - Ship harbour/Sheet Harbour","http://www.esfamily.org/","https://www.facebook.com/esfamily/","-63.28343641","44.74427913","
,  
(44.7442791340001, -63.283436405)"
"25","South Shore Family Resource Association - Bridgewater","821 King St","Bridgewater","Nova Scotia","B4V 1B7","902-543-3119","902-543-1828","gail@southshorefamilyresource.org","Lunenberg County","https://www.southshorefamilyresource.org/include/lunenburg.htm","https://www.facebook.com/South-Shore-Family-Resource-Association-Lunenburg-County-194709510553444/","-64.5231372","44.38110643","
,  
(44.3811064330001, -64.523137204)"
"26","South Shore Family Resource Association - Queens","40 Water St","Liverpool","Nova Scotia","B0T 1K0","902-354-7176","902-354-2382","traci@southshorefamilyresource.org","Queens County","https://www.southshorefamilyresource.org/include/queens.htm","https://www.facebook.com/Queens-Family-Resource-Centre-Queens-County-108518417382994/","-64.71584659","44.03942571","
,  
(44.03942571271273, -64.71584659173921)"
"15","Maggie's Place - A Resource Centre for Families - Amherst","11 Elmwood Dr","Amherst","Nova Scotia","B4H 4L2","902-667-7250",,"cumberland@maggiesplace.ca","Cumberland county","http://maggiesplace.ca/","https://www.facebook.com/maggies.place.3","-64.20091071","45.83675576","
,  
(45.8367557610001, -64.2009107119999)"
"21","Native Council of Nova Scotia - Truro","166 Truro Heights Rd","Truro Heights","Nova Scotia","B6L 1X1","902-895-1738 / 902-824-0869 (Cell)","902-895-0024","ncnspj@eastlink.ca","Off reserve aborignal focused in Digby and surrounding areas; Annapolis Valley and surrounding areas; Hants County to Windsor","http://ncns.ca/the-parenting-journey/","https://www.facebook.com/groups/167327773429766/","-63.32096804","45.36063063","
,  
(45.3606306300001, -63.320968044)"
"30","YWCA/SHYM","358 Herring Cove Rd","Halifax","Nova Scotia","B3R 1V8","902-465-2212","902-423-6162","s.wheler@ywcahalifax.com","Herring Cove to Spryfiled and surrounding area. Buildings in Woodside, Fairview but clients come from all over NS","https://ywcahalifax.com/","https://www.facebook.com/ywcahalifax/","-63.61731897","44.61222174","
,  
(44.6122217440001, -63.617318965)"
"2","Cape Breton Family Resource Centre (Family Place) - Port Hawkesbury","57 Tamarac Dr","Port Hawkesbury","Nova Scotia","B9A 3G2","902-625-1496","n/a","jlatulippe-rochon@familyplace.ca","Richmond and Inverness counties","http://familyplace.ca/",,"-61.34122834","45.62236373","
,  
(45.622363733, -61.341228343)"
"7","Fairview Resource Centre","6 Titus St","Halifax","Nova Scotia","B3N 2Y7","902-443-9569","902-431-2000","info@frcns.com","Fairview, Clayton Park, Bedford, Terrance Bay, Halifax","http://www.frcns.com/","https://www.facebook.com/fairviewrc/","-63.6333898","44.65889583","
,  
(44.6588958250001, -63.6333897979999)"
"29","The North Grove Society","115-6 Primrose St","Dartmouth","Nova Scotia","B3A 4C5","902-464-8234","902-464-8232","wfraser@thenorthgrove.ca","Dartmouth","https://www.thenorthgrove.ca/","https://www.facebook.com/TheNorthGroveDartmouth/","-63.58579272","44.68156702","
,  
(44.6815670170001, -63.585792716)"
"22","Native Council of Nova Scotia - Coldbrook","11 Opportunity Lane","Coldbrook","Nova Scotia","B4R 0A5","902-599-0883","902-679-7453","n/a","Off reserve aborignal focused in Digby and surrounding areas; Annapolis Valley and surrounding areas; Hants County to Windsor","http://ncns.ca/the-parenting-journey/","https://www.facebook.com/groups/167327773429766/","-64.56047145","45.07127172","
,  
(45.07127171991399, -64.56047144515378)"
"10","Kids First Association - Antigonish","83 Kirk St","Antigonish","Nova Scotia","B2G 2G9","902-863-3848","n/a","antigonish@kids1st.ca","Antigonish County","https://kids1st.ca/","https://www.facebook.com/antigonish.kidsfirst","-61.99019654","45.61986384","
,  
(45.619863837, -61.990196542)"
