"company_name","registration_date","total_potential_tax_credits","actual_tax_credits_issued","number_of_eligible_investors"
"PhotoDynamic Inc.","2019-02-01T00:00:00.000","607500","92250","14"
"Geonavo Positioning Systems Inc.","2019-02-26T00:00:00.000","322650","305479","14"
"Rimot.io Inc.","2019-02-28T00:00:00.000","1687500","371250","5"
"Eadie Technologies Inc.","2019-03-06T00:00:00.000","675000","174330","17"
"Eli Technology Inc.","2019-03-06T00:00:00.000","525000","140124","9"
"Kangaroo Solutions Inc.","2019-04-10T00:00:00.000","87500","57750","5"
"Outcast Foods Inc.","2019-05-07T00:00:00.000","525000","297612","10"
"NovaResp Technologies Inc.","2019-05-17T00:00:00.000","180000","96750","17"
"Jazz Cabbage Gardens Inc.","2019-05-24T00:00:00.000","525000","144774","29"
"IR Scientific Inc.","2019-06-17T00:00:00.000","1125000","514467","12"
"Coloursmith Labs Inc.","2019-06-26T00:00:00.000","112500","61876","4"
"Blue Charm Adherence Inc.","2019-07-26T00:00:00.000","525000","273700","25"
"DMF Medical Incorporated","2019-07-30T00:00:00.000","225000","110700","12"
"Densitas Incorporated","2019-07-31T00:00:00.000","350000","113748","9"
"Oberland Agriscience Inc.","2019-08-28T00:00:00.000","280000","279090","14"
"Bend Beauty Inc.","2019-09-13T00:00:00.000","900000","787500","8"
"Ashored Inc.","2019-09-27T00:00:00.000","126000","112500","10"
"Tranquility Online Inc.","2019-10-18T00:00:00.000","175000","140350","5"
"Nexus Robotics Inc.","2019-11-13T00:00:00.000","70000","23100","4"
"Aycoutay Technologies Inc.","2019-11-28T00:00:00.000","1350000","223650","5"
"NovaEel Inc.","2019-12-18T00:00:00.000","1125000","515788","9"
"Adaptiiv Medical Technologies Inc.","2019-12-30T00:00:00.000","88415","88414","3"
"Eadie Technologies Inc.","2020-02-11T00:00:00.000","540000","90000","8"
"Encyt Technologies Incorporated","2020-02-22T00:00:00.000","225000","129600","19"
"Aurea Technologies Inc.","2020-03-18T00:00:00.000","36750","36750","4"
"FIVAMed Inc.","2020-03-31T00:00:00.000","225000","114300","4"
"Emagix Inc.","2020-06-08T00:00:00.000","70000","42750","5"
"Blackwatch Digital Inc.","2020-01-17T00:00:00.000","350000","17500","3"
"Kangaroo Solutions Inc.","2020-02-23T00:00:00.000","350000","112000","5"
"Eli Technology Inc.","2020-03-05T00:00:00.000","350000","92373","15"
"Decell Technologies Incorporated","2020-03-12T00:00:00.000","112500","4500","3"
"Boondoc Technologies Incorporated","2020-05-06T00:00:00.000","245000","70350","7"
"Alentic Microscience Inc.","2020-05-19T00:00:00.000","900000","34222","3"
"SeaChange Biochemistry Inc.","2020-05-20T00:00:00.000","105000","105000","4"
"Made With Local Snack Foods Inc.","2020-06-23T00:00:00.000","280000","122697","11"
"Audioptics Medical Incorporated","2020-07-15T00:00:00.000","225000","72983","6"
"DMF Medical Incorporated","2020-07-28T00:00:00.000","180000","150075","12"
"Geonavo Positioning Systems Inc.","2020-08-25T00:00:00.000","1050000","584598","27"
"Takaya Technology Inc.","2020-08-30T00:00:00.000","450000","348975","14"
"3DBioFibr Inc.","2020-09-17T00:00:00.000","225000","65550","9"
"3341367 Nova Scotia Limited","2020-10-20T00:00:00.000","350000","52633","4"
"Blue Charm Adherence Inc.","2020-10-20T00:00:00.000","245000","214725","20"
"PhotoDynamic Inc.","2020-10-21T00:00:00.000","337500","51750","4"
"Mint Road Ltd.","2020-11-17T00:00:00.000","525000","235200","15"
"Novagevity Incorporated","2020-12-15T00:00:00.000","227500","131950","10"
"Fundy Drinks Ltd.","2020-12-18T00:00:00.000","175000","75250","3"
"Eli Technology Inc.","2021-02-11T00:00:00.000","350000","216567","26"
"Immersive Cinema Inc.","2021-04-21T00:00:00.000","350000","18200","3"
"Coloursmith Labs Inc.","2021-05-19T00:00:00.000","112500","47997","3"
"Neotol Natural Sciences Inc.","2020-08-25T00:00:00.000","263999","264000","13"
"Kangaroo Solutions Inc.","2020-10-19T00:00:00.000","875000","351556","14"
"Aycoutay Technologies Inc.","2020-11-13T00:00:00.000","876050","79800","3"
"Covina Biomedical Inc.","2020-06-30T00:00:00.000","157500","78075","11"
"Parrsboro Light and Power Limited","2020-12-08T00:00:00.000","105000","47250","13"
"NovaResp Technologies Inc.","2021-02-25T00:00:00.000","270000","266679","13"
"Oberland Agriscience Inc.","2021-04-07T00:00:00.000","1050000","701913","16"
"Eadie Technologies Inc.","2021-02-19T00:00:00.000","350000","77000","5"
"Virtual Hallway Consults Inc.","2021-04-28T00:00:00.000","262500","180021","16"
"Cotex Technologies Inc.","2021-05-25T00:00:00.000","350000","280000","12"
"DMF Medical Incorporated","2021-06-01T00:00:00.000","225000","172722","10"
"Takaya Technology Inc.","2021-10-20T00:00:00.000","450000","270450","10"
"Verfa Agrifood Innovations Inc","2021-12-16T00:00:00.000","63000","21350","3"
"Mars VR Lab Inc.","2020-07-29T00:00:00.000","350000","197750","10"
"The Program Technologies Inc.","2020-12-07T00:00:00.000","175000","126500","10"
