"uid","name","address","phone","fax","email","facebook","website","hours","x","y","location"
"1","Autism Nova Scotia","5945 spring Garden Rd, Halifax, NS, B3H1Y4","(902) 446-4995",,"info@autismns.ca","https://www.facebook.com/AutismNovaScotia/","http://www.autismnovascotia.ca/","8:30 am - 4:30 pm (M-F)","-63.58554248","44.64099061","(44.64099061, -63.58554248)"
"2","Beehive Adult Service Centre","1119 Station Street Aylesford, Nova Scotia B0P 1C0","(902) 847-9696","(902) 847-9189","beehiveasc@eastlink.ca","https://www.facebook.com/beehiveASC/","http://www.beehiveasc.ca/","8:00 am - 4:00 pm (M-F) (8-2 Sat)","-64.83838879","45.03021732","(45.03021732, -64.83838879)"
"3","Bonny Lea (SSCSA)","5 Collicutt Rd, Windsor Road","(902) 275-5622","(902) 275-2567","davidouthouse@sswap.ca","https://www.facebook.com/bonnylea.farm/","http://bonnyleafarm.ca/","8:00 am - 4:00 pm (M-F)","-64.27060796","44.59250295","(44.59250295, -64.27060796)"
"4","Breton Ability Centre","25 Inclusion Drive Sydney River, NS B1S 0H3","(902) 539-7640","(902) 539-5524","info@cb-bac.ca","https://www.facebook.com/Breton-Ability-Centre-1198546103508106/?ref=page_internal","https://bretonability.ca/",,"-60.22998265","46.10775081","(46.10775081, -60.22998265)"
"5","Bridge Adult Service Society","16 Station Street, Amherst NS B4H 3G5","(902) 667-8433",,"b.workshop@ns.sympatico.ca","https://www.facebook.com/Bridge-Auction-811639725609130/","http://www.bridgeadultservicecentre.com/","8:00 am - 3:00 pm (M-F)","-64.21296736","45.83140423","(45.83140423, -64.21296736)"
"6","Building Futures Employment Society","61 Glendale Avenue Lower Sackville, Nova Scotia B4C 3J4","(902) 865-1797","(902) 865-1580","contact@buildfutures.ca","https://www.facebook.com/BuildingFuturesBFES/","http://buildfutures.ca/","8:00 am - 3:30 pm (M-F)","-63.65665316","44.75852012","(44.75852012, -63.65665316)"
"7","CACL Antigonish Workshop","75 St. Ninian Street Antigonish, Nova Scotia B2G 2R8","(902) 863-5024","(902) 863-0090","info@caclantigonish.ca","https://www.facebook.com/CACLworkshop/","http://caclantigonish.ca/","8:30 am - 3:30 pm (M-F)","-61.98942443","45.62004584","(45.62004584, -61.98942443)"
"8","Carleton Road Industries Association","455 Main St Lawrencetown, Nova Scotia B0S 1M0","(902) 584-3332","(902) 584-3067","admin@carleton515.ns.ca","https://www.facebook.com/CarletonRoadIndustries/","http://carletonroadindustries.com/","8:30 am - 4:00 pm","-65.15588048","44.88329082","(44.88329082, -65.15588048)"
"9","Centre for Adults in Progressive Employment (CAPE)","40 Lower McLean Street Glace Bay, Nova Scotia B1A 2K7","(902) 849-8187","(902) 849-3798","cape@ns.sympatico.ca","https://www.facebook.com/CAPE-Society-491451184319414/","http://capesociety.ca/","8:00 am - 3:00 pm (M-F)","-59.95751972","46.19290194","(46.19290194, -59.95751972)"
"10","Colchester Community Workshops","168 Arthur Street, Truro NS, B2N 1Y4","(902) 893-7228 (ext 103)","(902)-895-9120","ccw@ns.sympatico.ca","https://www.facebook.com/Colchester-Community-Workshops-480676452307317/","http://colchestercommunityworkshops.com/","9:00 am - 3:00 pm (M-F)","-63.28057716","45.3614604","(45.3614604, -63.28057716)"
"11","Community Association of People for Real Enterprise (CAPRE)","8736 Commercial St, New Minas, NS B4N 3C5","(902) 681-5005",,"ed@capre.org","https://www.facebook.com/REALEnterprise/","https://capre.org/","9:00 am - 3:00 pm (M-F)","-64.47490202","45.0715584","(45.0715584, -64.47490202)"
"12","Conway Workshop Association","63 Shreve Street Digby Nova Scotia B0V 1A0","(902) 245-5391","(902) 245-5539","executivedirector@conwayworkshop.com","https://www.facebook.com/Conway-Workshop-Association-1671457409600986/","http://conwayworkshop.com/","8:30 am - 4:30 pm (M-F)","-65.76952749","44.61732316","(44.61732316, -65.76952749)"
"13","Corridor Community Options for Adults","21 Convent Road, Enfield, NS, B2T 1C9","(902) 883-9404","(902) 883-1251","ccoa.manager@gmail.com","https://www.facebook.com/Corridor-Community-Options-for-Adults-1762679540710064/","http://www.corridorability.ca/","8:30 am - 4:00 pm (M-F)","-63.53761878","44.94033937","(44.94033937, -63.53761878)"
"14","DASC Industries","59 Dorey Ave Dartmouth, Nova Scotia B3B 0B2","(902) 468-6606","(902) 468-5359","info@dasc-ns.ca","https://www.facebook.com/DASCIndustries/","http://www.dasc-ns.ca/","8:00 am - 4:00 pm (M-F)","-63.58220345","44.71063271","(44.71063271, -63.58220345)"
"15","G.O.V.R.C. Workshop Association","32 Miners Memorial Drive Springhill, NS B0M 1X0","(902) 597-3158","(902)597-2950","govrcworkshop@gmail.com","https://www.facebook.com/GOVRC-Workshop-Stellar-Stuff-Auctions-109598719121779/","https://govrc-workshop.ueniweb.com/","8:30 am - 3:00 pm (M-F)","-64.0646097","45.64434952","(45.64434952, -64.0646097)"
"16","Gerald Hardy Memorial Society","22657 Highway 7 Sheet Harbour, N.S. B0J 3B0","(902) 885-2300","(902) 885-2054","gmhs@live.ca","https://www.facebook.com/geraldhardymemorial",,"10:00am-4:00pm (M-Sat)","-62.53237611","44.91957991","(44.91957991, -62.53237611)"
"17","Green Door Society, The","15108 Cabot Trail Road Cheticamp NS B0E 1H0","(902) 224-2195","(902) 224-1673","info@carescheticamp.ca","https://www.facebook.com/groups/239797720467534","http://www.carescheticamp.ca/",,"-61.01478603","46.6243137","(46.6243137, -61.01478603)"
"18","Guysborough Options for Adaptive Living Society","60 Green St , Guysborough, NS B0H 1N0","(902) 533-3140",,"goptions@live.ca","https://www.facebook.com/GuysboroughOptions/",,"7:00 am - 3:00 pm","-61.50224935","45.38610258","(45.38610258, -61.50224935)"
"19","Haley Street Adult Services Centre Society","26 Haley Street North Sydney, NS B2A 3L3","(902) 794-9467","(902) 794-9650","haleystreet@ns.sympatico.ca","https://www.facebook.com/Haley-Street-Adult-Services-Centre-Society-335958386426247/","http://www.haleystreet.org/","7:30 am - 3:30 pm (M-F)","-60.25146655","46.23307219","(46.23307219, -60.25146655)"
"20","Heatherton Activity Centre","377 Heatherton Village Road Antigonish, Nova Scotia B0H 1R0","(902) 386-2808",,"hac@ns.sympatico.ca","https://www.facebook.com/HeathertonActivityCentre/",,"7:00 am - 3:00 pm (M-F)","-61.79398357","45.5881332","(45.5881332, -61.79398357)"
"21","Horizon Achievement Centre","780 Upper Prince Street Sydney, NS B1P 5N6","(902) 539-8553","(902) 567-0415","horizon@ns.sympatico.ca","https://www.facebook.com/HorizonAchievement/","http://www.horizon-ns.ca/","8:30 am - 4:30 pm (M-F)","-60.16590802","46.1385477","(46.1385477, -60.16590802)"
"22","Inclusion Clare - L'Atelier de Clare","1711 Highway 1 Church Point NS B0W 1M0","(902) 769-3202",,"bonjour@inclusionclare.ca","https://www.facebook.com/InclusionClare/","https://www.caclclare.ca/","8:30 am - 4:00 pm (M-F)","-66.11533758","44.33367341","(44.33367341, -66.11533758)"
"23","Kaye Nickerson Adult Service Centre","64 Waverly Street Yarmouth, NS B5A 4B1","(902) 742-2238","(902) 742-1641","kayenick@ns.aliantzinc.ca","https://www.facebook.com/groups/1493725124173984",,"9:00 am - 3:00 pm (M-F)","-66.10776538","43.83539138","(43.83539138, -66.10776538)"
