"account_name","nsbi_sector","deal_type","nsbi_financial_contribution","place_name","nsbi_county","postalcode","fiscal_year","longitude","latitude","geocoded_column"
"Northern Business Intelligence","ICT (includes Digital Media)","Business Development Program","10850","Dartmouth","Halifax Regional Municipality","B3B1T4","2018 - 2019","-63.59236","44.70609","POINT (-63.59235999999999 44.70609)"
"Fourth State Energy Incorporated","Energy","Business Development Program","3750","Halifax","Halifax Regional Municipality","B3J2L4","2018 - 2019","-63.632286","44.654755","POINT (-63.63228600000001 44.654755)"
"Skinfix Inc","Advanced Manufacturing","Business Development Program","8100","Halifax","Halifax Regional Municipality","B3J1R9","2018 - 2019","-63.570552","44.645084","POINT (-63.570552 44.645084)"
"Singolar Inc","ICT (includes Digital Media)","Business Development Program","15000","Bridgewater","Lunenburg","B4V6Y1","2018 - 2019","-64.6186263","44.4261574","POINT (-64.6186263 44.4261574)"
"Truro Herbal Co.","Life Sciences","Business Development Program","15000","Truro","Colchester","B2N1M8","2018 - 2019","-63.298648","45.371086","POINT (-63.29864800000001 45.371086)"
"SimplyCast Interactive Marketing LTD.","ICT (includes Digital Media)","Business Development Program","12500","Dartmouth","Halifax Regional Municipality","B2W6E2","2018 - 2019","-63.535262","44.681461","POINT (-63.53526200000001 44.681461)"
"En Point Inc","ICT (includes Digital Media)","Business Development Program","2520","Halifax","Halifax Regional Municipality","B3J3M8","2018 - 2019","-63.5727","44.647395","POINT (-63.572700000000005 44.647395)"
"BlueLight Analytics Inc","Life Sciences","Business Development Program","25000","Halifax","Halifax Regional Municipality","B3L4G4","2018 - 2019","-63.620539","44.642071","POINT (-63.62053900000001 44.64207100000001)"
"Ednaturals Bar","Agri-food","Business Development Program","2450","Halifax","Halifax Regional Municipality","B3P1H5","2018 - 2019","-63.610642","44.617409","POINT (-63.61064199999999 44.617409)"
"Victoria Co-Operative Fisheries Ltd","Fish & Seafood Processing","Business Development Program","15000","Neils Harbour","Victoria","B0C1N0","2018 - 2019","-60.343878","46.762745","POINT (-60.343878000000004 46.762745)"
"Focal Technologies Corporation","Oceans Technology","Business Development Program","4775","Dartmouth","Halifax Regional Municipality","B3B1Z4","2018 - 2019","-63.587502","44.711855","POINT (-63.58750199999999 44.711855)"
"Cove Kombucha","Agri-food","Business Development Program","8400","Halifax","Halifax Regional Municipality","B3J2J9","2018 - 2019","-63.576924","44.640981","POINT (-63.576924 44.640981)"
"Dormie Golf Workshop Inc.","Advanced Manufacturing","Business Development Program","14950","Halifax","Halifax Regional Municipality","B3K2Y3","2018 - 2019","-63.590301","44.660963","POINT (-63.590301 44.660963)"
"B4Checkin Limited","ICT (includes Digital Media)","Business Development Program","19000","Halifax","Halifax Regional Municipality","B3J3S9","2018 - 2019","-63.586911","44.640361","POINT (-63.586911 44.640361)"
"Barrelling Tide Distillery","Agri-food","Business Development Program","6875","Port Williams","Kings","B0P1T0","2018 - 2019","-64.362715","45.159695","POINT (-64.36271500000001 45.159695)"
"Fundmetric Incorporated","ICT (includes Digital Media)","Business Development Program","7500","Halifax","Halifax Regional Municipality","B3J3K3","2018 - 2019","-63.57813098","44.64335495","POINT (-63.578130980000005 44.64335495)"
"Ven-Rez Products Ltd","Advanced Manufacturing","Business Development Program","16832","Shelburne","Shelburne","B0T1W0","2018 - 2019","-65.41816","43.66134","POINT (-65.41816 43.66134000000001)"
"Riverside Lobster International Inc","Fish & Seafood Processing","Business Development Program","15000","Meteghan","Digby","B0W2J0","2018 - 2019","-66.258852","44.158134","POINT (-66.258852 44.158134)"
"Precision BioLogic Incorporated","Life Sciences","Business Development Program","4750","Dartmouth","Halifax Regional Municipality","B3B0A9","2018 - 2019","-63.573165","44.695212","POINT (-63.573164999999996 44.695212)"
"Duckish Natural Skin Care Limited","Advanced Manufacturing","Business Development Program","9375","Halifax","Halifax Regional Municipality","B3L1K1","2018 - 2019","-63.595101","44.649822","POINT (-63.59510100000001 44.649822)"
"GeoNavo Positioning Systems Inc","ICT (includes Digital Media)","Business Development Program","15000","Hammonds Plains","Halifax Regional Municipality","B4B2B8","2018 - 2019","-63.800164","44.734087","POINT (-63.800164 44.734087)"
"Eyeread Inc.","ICT (includes Digital Media)","Business Development Program","15000","Dartmouth","Halifax Regional Municipality","B3B1E8","2018 - 2019","-63.613528","44.694128","POINT (-63.61352800000001 44.694128)"
"WarrierTech Inc","ICT (includes Digital Media)","Business Development Program","13336","Halifax","Halifax Regional Municipality","B3H1Y1","2018 - 2019","-63.5849","44.640901","POINT (-63.5849 44.64090100000001)"
