"program","fiscal_year","services_rendered","amount_paid","beneficiaries","paid_per_service","services_per_beneficiary","paid_per_beneficiary"
"Breast Prostheses","2008/09","1112","189418","997","170.30","1.1","190.00"
"Breast Prostheses","2009/10","1165","204286","992","175.40","1.2","205.90"
"Breast Prostheses","2010/11","1111","185081","945","166.60","1.2","195.90"
"Breast Prostheses","2011/12","1203","206003","1043","171.20","1.2","197.50"
"Breast Prostheses","2012/13","1050","181588","900","172.90","1.2","201.80"
"Breast Prostheses","2013/14","1086","182591","949","168.10","1.1","192.40"
"Breast Prostheses","2014/15","991","167671","857","169.20","1.2","195.60"
"Breast Prostheses","2015/16","1056","176862","913","167.50","1.2","193.70"
"Breast Prostheses","2016/17","970","162239","865","167.30","1.1","187.60"
"Breast Prostheses","2017/18","943","155343","832","164.70","1.1","186.70"
"Breast Prostheses","2018/19","932","153189","814","164.40","1.1","188.20"
"Breast Prostheses","2019/20","870","149415","761","171.70","1.1","196.30"
"Breast Prostheses","2020/21","729","125654","641","172.40","1.1","196.00"
"Limb Prostheses","2008/09","845","701117","363","829.72","2.3","1931.45"
"Limb Prostheses","2009/10","1214","607816","332","500.67","3.7","1830.77"
"Limb Prostheses","2010/11","1763","598983","349","339.75","5.1","1716.28"
"Limb Prostheses","2011/12","1915","676112","368","353.06","5.2","1837.26"
"Limb Prostheses","2012/13","2252","811131","374","360.18","6","2168.80"
"Limb Prostheses","2013/14","2267","791219","414","349.02","5.5","1911.16"
"Limb Prostheses","2014/15","2278","873513","398","383.46","5.7","2194.76"
"Limb Prostheses","2015/16","2078","898353","376","432.32","5.5","2389.24"
"Limb Prostheses","2016/17","1831","789949","381","431.43","4.8","2073.36"
"Limb Prostheses","2017/18","2158","991401","407","459.41","5.3","2435.87"
"Limb Prostheses","2018/19","2247","1075826","420","478.80","5.4","2561.50"
"Limb Prostheses","2019/20","2278","1129746","423","495.90","5.4","2670.80"
"Limb Prostheses","2020/21","1995","996503","388",,"5.1","2568.30"
"Ocular Prostheses","2008/09","662","116348","403","175.75","1.6","288.70"
"Ocular Prostheses","2009/10","625","122308","404","195.69","1.5","302.74"
"Ocular Prostheses","2010/11","602","120647","392","200.41","1.5","307.77"
"Ocular Prostheses","2011/12","620","132388","383","213.53","1.6","345.66"
"Ocular Prostheses","2012/13","635","178136","402","280.53","1.6","443.12"
"Ocular Prostheses","2013/14","659","148022","412","224.62","1.6","359.28"
"Ocular Prostheses","2014/15","675","169768","421","251.51","1.6","403.25"
"Ocular Prostheses","2015/16","678","174597","410","257.52","1.7","425.85"
"Ocular Prostheses","2016/17","641","175364","409","273.58","1.6","428.76"
"Ocular Prostheses","2017/18","673","164000","406","243.68","1.7","403.94"
"Ocular Prostheses","2018/19","586","173148","383","295.50","1.5","452.10"
"Ocular Prostheses","2019/20","589","152846","382","259.50","1.5","400.10"
"Ocular Prostheses","2020/21","240","125379","221","522.40","1.1","567.30"
