"company_name","application_type_part_a_or","amount_of_credit_provided","approval_date"
"Apple Valley Foods Incorporated","A","2977747","2016-11-29T00:00:00.000"
"Riverside Lobster International Inc","A","2304048","2016-12-20T00:00:00.000"
"Sustainable Fish Farming (Canada) Limited","A","2110056","2017-03-29T00:00:00.000"
"CKF Inc.","A","3511617","2017-06-05T00:00:00.000"
"Apple Valley Foods Incorporated","B","1679364","2017-07-18T00:00:00.000"
"M.V. Osprey Ltd.","A","9552842","2017-09-20T00:00:00.000"
"Sustane Chester Inc.","A","2449288","2017-10-17T00:00:00.000"
"Riverside Lobster International Inc","B","1198073","2017-10-18T00:00:00.000"
"CKF Inc.","B","917373","2017-11-30T00:00:00.000"
"CKF Inc.","B","203080","2018-01-30T00:00:00.000"
"Comeau's Sea Foods Limited","A","5250000","2018-02-08T00:00:00.000"
"Sustainable Fish Farming (Canada) Limited","B","318245","2018-02-22T00:00:00.000"
"Northeast Nutrition Inc.","A","3052500","2018-04-03T00:00:00.000"
"CKF Inc.","B","780948","2018-06-13T00:00:00.000"
"Northeast Nutrition Inc.","B","56137","2018-06-15T00:00:00.000"
"M.V. Osprey Ltd","B","9201514","2018-07-04T00:00:00.000"
"Sustane Chester Inc.","B","399619","2018-11-22T00:00:00.000"
"Sustainable Fish Farming (Canada) Limited","B","653816","2019-02-19T00:00:00.000"
"Northeast Nutrition Inc.","B","810481","2019-02-22T00:00:00.000"
"Aqualitas Inc.","A","3195546","2019-05-15T00:00:00.000"
"CKF INC.","B","1225089","2019-05-28T00:00:00.000"
"Riverside Lobster International Inc.","B","60302","2019-06-05T00:00:00.000"
"Riverside Lobster International Inc.","B","47667","2019-06-05T00:00:00.000"
"Sustainable Fish Farming (Canada) Limited","A","4586850","2019-06-07T00:00:00.000"
"Sustane Chester Inc.","B","2435351","2019-06-28T00:00:00.000"
"Propel BioEnergy Ltd.","A","19230275","2019-07-02T00:00:00.000"
"Aqualitas Inc.","B","684","2019-11-05T00:00:00.000"
"M.V Osprey","B","213012","2019-12-10T00:00:00.000"
"Aqualitas Inc.","B","2093825","2019-12-19T00:00:00.000"
"EPC Industries Limited","A","4278750","2020-01-20T00:00:00.000"
"Sustainable Fish Farming (Canada) Limited","B","1446180","2020-02-03T00:00:00.000"
"Be Energy Holdings Inc.","A","17400000","2020-03-24T00:00:00.000"
"Sustane Chester Inc.","B","981850","2020-04-24T00:00:00.000"
"Pratt & Whitney Canada Corp.","A","3810591","2020-06-02T00:00:00.000"
"Pratt & Whitney Canada Corp.","A","4002893","2020-06-02T00:00:00.000"
"Apple Valley Foods Incorporated","B","175599","2020-06-03T00:00:00.000"
"CKF Inc.","B","1443744","2020-06-24T00:00:00.000"
"Pratt & Whitney Canada Corp.","B","3399890","2020-08-25T00:00:00.000"
"Pratt & Whitney Canada Corp.","B","270540","2020-08-25T00:00:00.000"
"Pratt & Whitney Canada Corp.","B","210265","2020-08-25T00:00:00.000"
"Pratt & Whitney Canada Corp.","B","92560","2020-08-25T00:00:00.000"
"Origin Materials Canada Pioneer Ltd","A","8479426","2020-10-28T00:00:00.000"
"M. V. Osprey Ltd.","B","13356","2020-11-09T00:00:00.000"
"Aqualitas Inc.","B","721367","2020-12-24T00:00:00.000"
"Northeast Nutrition Inc.","B","1158934","2021-01-25T00:00:00.000"
"Be Energy Fuels Inc","A","19650000","2021-03-18T00:00:00.000"
"12150484 Canada Inc.","A","3874124","2021-06-02T00:00:00.000"
"Pratt & Whitney Canada Corp.","B","13050","2021-06-23T00:00:00.000"
"Pratt & Whitney Canada Corp.","B","25065","2021-06-23T00:00:00.000"
"Sustainable Fish Farming (Canada) Limited","B","730749","2021-08-12T00:00:00.000"
"EPC Industries Limited","B","1718010","2021-08-25T00:00:00.000"
"Comeau's Sea Foods Limited","B","4812565","2021-10-18T00:00:00.000"
"4338275 Nova Scotia Limited","A","15736743","2021-10-19T00:00:00.000"
"Agropur Cooperative","A","6166021","2022-01-25T00:00:00.000"
"Ocean Choice International NS Inc.","A","7500000","2022-02-09T00:00:00.000"
"Aqualitas Inc.","B","451691","2022-03-07T00:00:00.000"
"Michelin North America (Canada) Inc.","A","3200735","2022-04-01T00:00:00.000"
"Pratt & Whitney Canada Corp.","B","1296275","2022-05-25T00:00:00.000"
