"producer","contact_name","street_address","city","province","postal_code","phone","fax","email","website","hours","brands"
"Abundant Acres","Jen Greenberg","182 Red Bank Rd.","Centre Burlington","Nova Scotia","B0N 1E0","(902) 757-1640",,"jenredfox@gmail.com","http://www.abundant-acres.com",,
"Acadiana Soy Products","Anna Anderson","11460 Hwy 1PO Box 34","Grand Pre","Nova Scotia","B0P 1M0","(902) 542-0675","(902) 542-1297","anna@acadianasoy.ca","http://www.acadianasoy.ca","By Chance - at Wolfville and Halifax Farmers' Markets","Acadiana Soy Products"
"Acadian Maple Products Limited.","Brian Allaway","13578 Peggy's Cove Road","Upper Tantallon","Nova Scotia","B3Z 2J2","1 (902) 826-2312","1 (902) 820-3000","info@acadianmaple.com","http://www.acadianmaple.com",,"Acadian Maple Products Limited"
"Acadian Seaplants",,"30 Brown Ave","Dartmouth","Nova Scotia","B3B 1X8","1 (902) 468-2840","1 (902) 468-3474","info@acadian.ca","http://www.acadianseaplants.com","9:00am - 8:00pm (Saturdays) 9:00am - 5:00pm (Sunday-Friday)","Hana-Tsunomata"
"Agri-Growers Ltd.","Jim Daigle, Norma Langdale, Mike Redden","42 Hwy 358","Port Williams","Nova Scotia","B0P 1T0","(902) 542-2263","(902) 542-7149","agri-growers@ns.sympatico.ca","http://www.agrigrowers.com",,"Agri-Growers Ltd., Sawler Gardens"
"Alderney Landing Farmers' Market","Lisa Josey","Alderney Landing, 2 Ochterloney Street","Dartmouth","Nova Scotia","B2Y 4W1","1 (902) 461-4698",,"lisa@alderneylanding.com","http://www.alderneylanding.com/market/","Saturdays, 8 am - 1 pm, Year round",
"Alma Mater","Giuseppe + Silke Platania","247, Porter Corning Rd","Richmond, NS","Nova Scotia","B5A5S4","1 (902) 800-8704",,"silke.platania@gmail.com","http://www.eliopoli.org","please call or email for appointment",
"Ambleside Farm","Gillian Mullins","5856, Highway 331","Petite Riviere","Nova Scotia","B4V 5Y3","1 (902) 688-1021",,"gillie.mullins@gmail.com",,"Contact ahead.",
"Ames Apiaries & Honey","Vincent","384 McGrath Ave","Upper Rawdon","Nova Scotia","B0N 2N0","(902) 442-9923 x2",,"sales@ameshoney.com",,"By appointment only.","Ames Honey"
"Amherst Farmers' Market","Kristie Speck","9 Electric Street","Amherst","Nova Scotia","B4H 1W9","1 (413) 768-0781",,"AmherstFarmMarket@gmail.com","http://www.amherstfarmersmarket.com","Friday 10-2 April - Jan",
"Amos Pewter",,"589 Main Street","Mahone Bay","Nova Scotia","B0J 2E0","1 (800) 565-3369",,"info@amospewter.com","http://www.amospewter.com","Monday to Saturday: 9am - 5:30pm Sunday: 10am - 5:30pm",
"Amos Pewter Halifax",,"1751 Lower Water Street","Halifax","Nova Scotia","B3J 1S5","1 (800) 565-3369",,"info@amospewter.com","http://www.amospewter.com","Daily 10am - 5pm",
"Amos Pewter Peggy's Cove",,"162 Peggy's Point Road","Peggy's Cove","Nova Scotia","B3Z 2S2","(800) 565-3369",,"info@amospewter.com","http://www.amospewter.com","Visit www.amospewter.com for store hours.",
"Angelhoeve Farm","Angela Patterson","1467 Gospel Woods Rd","Canning","Nova Scotia","B0P 1H0","(902) 582-1363",,"jangela@angelhoeve.ca",,,
"Angry Goose Crafts & Candles","Jamie wark","PO BOX 892","Springhill","Nova Scotia","B0M 1X0",,,"angrygoosecandles@gmail.com","http://www.angrygoosecraftsandcandles.ca","Available from 9am - 9pm most days.",
"Annapolis Royal Farmers & Traders Market","Corinne Warner","178 Saint George Street","Annapolis Royal",,"B0S 1A0","(902) 245-4824",,"manager@annapolisroyalfarmersmarket.com","http://www.annapolisroyalfarmersmarket.com/","Saturdays 8 am - 1 pm May to October   Also Wednesdays in July and August from 10am - 2pm",
"Antigonish Farmers Market Association","Veronica DeYoung","30 James Street","Antigonish","Nova Scotia",,"1 (902) 867-7479",,"manager@antigonishfarmersmarket.org","http://www.antigonishfarmersmarket.ca","Saturdays, May through December 8:30 am - 1:00 pm",
"AquaPrime Mussel Ranch Ltd",,"14108 Hwy #7","Ship Harbour","Nova Scotia","B0J 1Y0","1 (902) 845-2993","1 (902) 845-2659","info@aquaprimemusselranch.ca","http://www.aquaprimemusselranch.ca",,
"Argyle Farmers & Artisanal Market","Kim D'eon","8168 Hwy 308","Tusket","Nova Scotia","B0W 3M0","1 (902) 648-0140",,"argylefarmersmarket@gmail.com","http://www.facebook.com/pages/Argyle-Farmers-and-Artisanal-Market/150616095010559","Thursdays, 4 pm to 8 pm 2011 Season - June 9 to Oct 6",
"Aroma Maya Coffee Roasters","Sergio Garrido","922 West North River Road","Truro","Nova Scotia","B6L 6X9","1 (902) 385-3016",,"sergio@aromamaya.ca","http://aromamaya.ca",,
"Art with MoJo",,"275 Main Street","Middleton","Nova Scotia","B0S 1A0",,,,"http://www.ArtwithMoJo.com",,
"A & T Savory Producers","Anne Lewis, Owner","Parker Mountain Road","Annapolis Royal",,"B0S 1K0","(902) 532-2500","(902) 532-7929",,,,"A & T Savory (bulk), Parkerdale Herb Farm (package)"
