"license_number","licensee_name","contact_name","mailingaddr","expiry_date","annual_service","recharge","hydro_test"
"2","Safety Source Fire Inc. (Formerly MicMac Fire and Safey)","Judith Ann Ripley","121 Ilsley Ave. Unit 4, Dartmouth, NS  B3B 1S4","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"3","D.R. Brenton Limited","Dave Driscoll","2 Lakeside Park Dr., Unit 5, Lakeside, NS  B3T 1L7","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"20","Foster's Fire & Safety Ltd.","Donald R. Foster","5943 Hwy.#1, Cambridge, NS  B0P 1G0","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"22","Maritime Safety Equip. & Eastern Fire Extinguishers","Frank Simmons/Neil Walsh","PO Box 65,  Glace Bay, NS  B1A 5V1","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"25","Deveau's Fire Extinguishers","Robert Deveau","2131 Highway 1, Church Point, NS  B0W 1M0","2022-12-31T00:00:00.000","Yes","Yes","No"
"26","Cumings' Fire and Safety Equipment Ltd.","Ian Kimball","15442 Highway #3, Hebbville, NS  B4V 6X6","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"43","K. Phillips Fire & Safety Equipment","Kenneth Phillips","PO Box 786 Station A, Sydney, NS  B1P 6J1","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"52","Rapid Fire Extinguisher Service (2001) Ltd.","Greg Huskins","459 Pitman Road, South Ohio, NS  B5A 5N2","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"110","Maurice R. Bidart General Contracting (1986) Co. LTD.","Geoffrey Bidart","69 Johnstone Street, Sydney, NS  B1P 1T2","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"114","Strait Fire Extinguishers Sales and Service","Lloyd Francis Campbell","86 Meadow Road, Mabou, B0E 1X0","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"121","Simplex/Grinnell (A Division of Tyco Canada LTD.)","H. Clyde Keats","600 Windmill Road, Dartmouth, NS  B3B 1B5","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"124","Brunswick Fyr Systems Division (1991) Ltd.","Darren Duncan","231 Edinburgh Drive, Moncton, NB  E1E 2K9","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"130","M & R Fire Protection Inc.","Terry Meisner","524 Truro Road, North River, NS  B6L 6V9","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"139","Superclean Services Ltd.","Sheldon Benedict","PO Box 2650, Windsor, NS  B0N 2T0","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"145","Brunswick Fyr & Safety Accessories Ltd.","Darren Duncan","231 Edinburgh Drive, Moncton, NB  E1E 2K9","2022-12-31T00:00:00.000","Yes","Yes","Yes"
