"year","grade_level","assessment","program","board","sex","adaptation","exemption","eligible","reading_score","reading_level","writing_ideas","writing_organization","writing_language_use","writing_conventions"
"2018-19","10","Eng10","English","CSAP","F",,,"Yes","557.02","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","446.82","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","384","Level 2","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","F",,,"Yes","645.69","Level 4","Level 4","Level 4","Level 4","Level 4"
"2018-19","10","Eng10","English","CSAP","M","Yes",,"Yes","517.54","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","F",,,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","HRCE","F",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","477.16","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CBVRCE","F",,,"Yes","513.45","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CSAP","M",,,"Yes","479.31","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CBVRCE","M",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","CSAP","F",,,"Yes","539.58","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","AVRCE","F",,,"Yes","496.99","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","SSRCE","F",,,"Yes","264.32","Level 1","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","F",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","CCRCE","M","Yes",,"Yes","431.09","Level 2","Not enough evidence","Not enough evidence","Not enough evidence","Not enough evidence"
"2018-19","10","Eng10","English","TCRCE","F",,,"Yes","484.99","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","TCRCE","M",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","AVRCE","M",,,"Yes","374.54","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CBVRCE","F",,,"Yes","401.17","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","F","Yes",,"Yes","563.55","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","675.78","Level 4","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","599","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","TCRCE","F","Yes",,"Yes","336.14","Level 1","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","SRCE","F",,,"Yes","513.88","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","M",,,"Yes","485.94","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","AVRCE","F",,,"Yes","523.39","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","AVRCE","M",,,"Yes","479.73","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","400.32","Level 2","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","SSRCE","F",,,"Yes","547.64","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","524.9","Level 3","Level 2","Level 2","Level 2","Level 2"
