"fiscal_year","inquiry_category","number_of_inquiries_received"
"2017-2018","Funding","15"
"2017-2018","Business Planning","9"
"2017-2018","Production","12"
"2017-2018","Training/Education","5"
"2017-2018","Registrations","4"
"2017-2018","Regulations/Licenses","9"
"2017-2018","Other","14"
"2016-2017","Funding","22"
"2016-2017","Business Planning","13"
"2016-2017","Production","32"
"2016-2017","Training/Education","12"
"2016-2017","Registrations","11"
"2016-2017","Regulations/Liscences","9"
"2016-2017","Other","5"
"2015-2016","Funding","8"
"2015-2016","Business Planning","1"
"2015-2016","Production","5"
"2015-2016","Training/Education","2"
"2015-2016","Registrations","3"
"2015-2016","Regulations/Licences","1"
"2015-2016","Other","7"
"2014-2015","Funding","7"
"2014-2015","Business Planning","7"
"2014-2015","Production","2"
"2014-2015","Training/Education","3"
"2014-2015","Registrations","3"
"2014-2015","Regulations/Liscences","6"
"2014-2015","Other","20"
