"name","employer","client_name","status"
"Adams, William A.","Insurance Bureau of Canada",,"Active"
"Alexander, Michelle S","Investment Industry Association of Canada",,"Active"
"Allen, Kate ","Canadian Federation of Independent Business",,"Active"
"Alonso, Natali ","Canadian Bankers Association",,"Active"
"Alvarez, Pierre R.","Canadian Association of Petroleum Producers",,"Active"
"Amsden, Barbara ","Investment Industry Association of Canada",,"Active"
"Anderson, Craig ","Canadian Life and Health Insurance Association Inc",,"Active"
"Annesley, Janet ","Canadian Association of Petroleum Producers",,"Active"
"Atkinson, Valerie ","Canadian Bankers Association",,"Active"
"Awalt, Sean ","Merck Canada Inc.",,"Active"
"Balfour, Scott ","Emera Incorporated",,"Active"
"Barnes, Alana ","Canadian Bankers Association",,"Active"
"Barnes, Paul ","Canadian Association of Petroleum Producers",,"Active"
"Beattie, Suzanne ","Canadian Consumer Specialty Products Association",,"Active"
"Belfontaine, Joseph WP","Canadian Tire Corporation, Limited",,"Active"
"Bell, Rob ","GS1 Canada",,"Active"
"Bennett, Rob ","Emera Incorporated",,"Active"
"Benson, Pamela ","Canadian Association of Petroleum Producers",,"Active"
"Bertram, Doug ","Innovative Fishery Products Inc.",,"Active"
"Bishop, Norman J.","Canadian Payday Loan Association",,"Active"
"Bishop, Norman JK","Bishop & McKenzie LLP","Canadian Payday Loan Association","Active"
"Bleaney, Bob ","Canadian Association of Petroleum Producers",,"Active"
"Blunden, Greg ","Nova Scotia Power Inc.",,"Active"
"Boudreau, Michelle L","Rx&D",,"Active"
"Bowman, Scott ","Futurpreneur Canada",,"Active"
"Bragg, Ian ","The Investment Funds Institute of Canada",,"Active"
"Brisebois, Diane ","Retail Council of Canada",,"Active"
"Bundus, Randall J.","Insurance Bureau of Canada",,"Active"
"Bushell, Alex ","Environics Communications","The CWB Group ","Active"
"Buttars, Jennifer ","Rx&D",,"Active"
"Byrnes, Leslie ","Canadian Life and Health Insurance Association Inc",,"Active"
"Campbell, Terry ","Canadian Bankers Association",,"Active"
"Carman, James ","The Investment Funds Institute of Canada",,"Active"
"Cashman, Patrick ","Lundbeck Canada Inc.",,"Active"
"Chan, Jennifer ","Merck Canada Inc.",,"Active"
"Chapman, Kevin A","Doctors Nova Scotia",,"Active"
"Chenard, Marcel ","Lundbeck Canada Inc.",,"Active"
"Cherry, Gordon ","Canadian Bankers Association",,"Active"
"Chivers, Malcolm ","Canadian Bankers Association",,"Active"
"Ciappara, Alex ","Canadian Bankers Association",,"Active"
"Cockerline, Jon ","The Investment Funds Institute of Canada",,"Active"
"Collyer, Dave R","Canadian Association of Petroleum Producers",,"Active"
"Coombs, Shannon V","Canadian Consumer Specialty Products Association",,"Active"
"Copeland, Kerry ","Doctors Nova Scotia",,"Active"
"Copland, Susan ","Investment Industry Association of Canada",,"Active"
"Cornhill, David ","AltaGas Ltd. ",,"Active"
"Cotroneo, Andrea ","Canadian Bankers Association",,"Active"
"Cox, Kirk B","Granite Strategies ","Craft Brewers Association of Nova Scotia","Active"
"Crate, William ","Canadian Bankers Association",,"Active"
"Crossman, Deborah ","Canadian Bankers Association",,"Active"
"Crowe, Rob A","Nova Scotia Harness Racing Industry Council","Nova Scotia Harness Racing Industry Association","Active"
"Cull, Kelly ","Canadian Cancer Society",,"Active"
"Cunningham, Rob ","Canadian Cancer Society",,"Active"
"Cutcliffe, Tracey ","m5 Public Affairs","Abbvie Corporation","Active"
"Dan, Demers ","Canadian Cancer Society",,"Active"
"David, MacDougall S.",,"PORT HAWKESBURY PAPER LP","Active"
"Dean, Amanda E","Insurance Bureau of Canada",,"Active"
"Deans, Julia ","Futurpreneur Canada",,"Active"
"DeLenardo, Lisa ","Canadian Bankers Association",,"Active"
"Devon, Jacobs ","Canadian Wireless Telecommunication Association",,"Active"
"Docherty, Charles ","Canadian Bankers Association",,"Active"
"Doig, Peter ","Emera Incorporated",,"Active"
"Donoahue-Walker, Tama ","Merck Canada Inc.",,"Active"
"Downing, Tim ","Canadian Bankers Association",,"Active"
"Drew-Lytle, Maura ","Canadian Bankers Association",,"Active"
"Dubin, Richard ","Insurance Bureau of Canada",,"Active"
"Duggan, Mark ","BCE",,"Active"
"Dunlop, Jenna ","Canadian Association of Petroleum Producers",,"Active"
"Duval, Alicia ","GS1 Canada",,"Active"
"Dymond, Jan ","The Investment Funds Institute of Canada",,"Active"
"Easson, Steve ","Canadian Life and Health Insurance Association Inc",,"Active"
"Eby, Kurt D","Canadian Wireless Telecommunication Association",,"Active"
"Eickmeier, Ryan ","GS1 Canada",,"Active"
"Erjavec, Luc M","Canadian Restaurant and Foodservices Association",,"Active"
"Ewart, David ","Canadian Bankers Association",,"Active"
"Farnes, David ","Canadian Wireless Telecommunication Association",,"Active"
"Farnes, J. David ","Canadian Wireless Telecommunication Association",,"Active"
"Fenn, Larissa ","Canadian Bankers Association",,"Active"
"Ferguson, Alex ","Canadian Association of Petroleum Producers",,"Active"
"Foote, Robert ","Canadian Bankers Association",,"Active"
"Forgeron, Don W.","Insurance Bureau of Canada",,"Active"
"Foster, Carole ","Investment Industry Association of Canada",,"Active"
"Fougère, Cheryl M","Canadian Consumer Specialty Products Association",,"Active"
"Fournier, Luc ","Motorcycle and Moped Industry Council",,"Active"
"Fralick, Pamela ","Canadian Cancer Society",,"Active"
"Frank, Stephen ","Canadian Life and Health Insurance Association Inc",,"Active"
"Fung, Nancy ","Canadian Bankers Association",,"Active"
"Gallant, Rene ","Nova Scotia Power Inc.",,"Active"
"Gauthier, Genevieve ","Merck Canada Inc.",,"Active"
"Gervais, Philippe ","Capital Hill Group","Nicoventures Limited","Active"
"Girard, Jennifer A","Doctors Nova Scotia",,"Active"
"Goldthorpe, Peter ","Canadian Life and Health Insurance Association Inc",,"Active"
"Goodhand, Peter ","Canadian Cancer Society",,"Active"
"Gorsky, Diane ","Rx&D",,"Active"
"Gourley, Nicole ","GS1 Canada",,"Active"
"Grant, Ursula ","Canadian Wireless Telecommunication Association",,"Active"
"Greco, Alex ","GS1 Canada",,"Active"
"Hanf, Bob ","Nova Scotia Power Inc.",,"Active"
"Hannah, Darren ","Canadian Bankers Association",,"Active"
"Harris, Megan ","Futurpreneur Canada",,"Active"
"Hazelton, Janet A","Nova Scotia Nurses' Union",,"Active"
"Hensel, Ralf ","The Investment Funds Institute of Canada",,"Active"
"Holmes, Gerard ","Investment Industry Association of Canada",,"Active"
"Holmes, Samantha J","Doctors Nova Scotia",,"Active"
"Hopkins, Randy ","Canadian Bankers Association",,"Active"
"Hughes Anthony, Nancy ","Canadian Bankers Association",,"Active"
"Huskilson, Christopher ","Emera Incorporated",,"Active"
"Irving, Sasha ","Nova Scotia Power Incorporated",,"Active"
"Janega, Richard ","Emera Incorporated",,"Active"
"Jennex, Steve J","Nova Scotia Dental Association",,"Active"
"Jim, Pimblett F",,"Canadian Plasma Resources","Active"
"Josephs, Marsha ","Futurpreneur Canada",,"Active"
"Josey, Betty ","Insurance Bureau of Canada",,"Active"
"Kelly, Grant ","Insurance Bureau of Canada",,"Active"
"Kennedy, Patrick ","Canadian Bankers Association",,"Active"
"Kerr, Jason R","Automotive Industries Association (AIA) of Canada",,"Active"
"Keyes, Stan J","Canadian Payday Loan Association",,"Active"
"King, John ","GS1 Canada",,"Active"
"kirby, sean ","Mining Association of Nova Scotia",,"Active"
"kirby, sean ","Prospectus Associates","nestle waters canada","Active"
"Klander, Michael ","ROTHMANS, BENSON & HEDGES",,"Active"
"Klatt, Irene B.","Canadian Life and Health Insurance Association Inc",,"Active"
"Kohn, Ethan ","Canadian Life and Health Insurance Association Inc",,"Active"
"Korble, Richard ","Investment Industry Association of Canada",,"Active"
"Kothawala, Anne ","Retail Council of Canada",,"Active"
"Kovacs, Paul ","Insurance Bureau of Canada",,"Active"
"Laberge, Paul ","Emera",,"Active"
"Labrie, Richard - ","Alain Lemieux ","Genesee & Wyoming Canada inc.","Active"
