"facility_type","fiscal_year","quarter","referrals","investigations","founded_cases"
"Adult Residential Centre (ARC)","2017-18","Q1 Apr-June","6","2","0"
"Developmental Residence","2017-18","Q1 Apr-June","2","1","1"
"Group Home","2017-18","Q1 Apr-June","8","3","0"
"Residential Care Facility (RCF)","2017-18","Q1 Apr-June","2","1","1"
"Residential Rehabilitation Centre (RRC)","2017-18","Q1 Apr-June","1","0","3"
"Small Options Home","2017-18","Q1 Apr-June","8","0","1"
"Adult Residential Centre (ARC)","2017-18","Q2 Jul-Sep","9","2","2"
"Developmental Residence","2017-18","Q2 Jul-Sep","8","4","0"
"Group Home","2017-18","Q2 Jul-Sep","1","0","1"
"Residential Care Facility (RCF)","2017-18","Q2 Jul-Sep","5","1","0"
"Residential Rehabilitation Centre (RRC)","2017-18","Q2 Jul-Sep","0","0","0"
"Small Options Home","2017-18","Q2 Jul-Sep","7","4","0"
"Adult Residential Centre (ARC)","2017-18","Q3 Oct-Dec","6","2","0"
"Developmental Residence","2017-18","Q3 Oct-Dec","3","2","1"
"Group Home","2017-18","Q3 Oct-Dec","6","2","0"
"Residential Care Facility (RCF)","2017-18","Q3 Oct-Dec","2","1","1"
"Residential Rehabilitation Centre (RRC)","2017-18","Q3 Oct-Dec","7","4","0"
"Small Options Home","2017-18","Q3 Oct-Dec","10","4","1"
"Adult Residential Centre (ARC)","2017-18","Q4 Jan-Mar","5","1","1"
"Developmental Residence","2017-18","Q4 Jan-Mar","3","1","1"
"Group Home","2017-18","Q4 Jan-Mar","1","0","0"
"Residential Care Facility (RCF)","2017-18","Q4 Jan-Mar","5","2","2"
"Residential Rehabilitation Centre (RRC)","2017-18","Q4 Jan-Mar","6","2","1"
"Small Options Home","2017-18","Q4 Jan-Mar","6","2","3"
"Adult Residential Centre (ARC)","2018-19","Q1 Apr-June","16","8","2"
"Developmental Residence","2018-19","Q1 Apr-June","5","1","1"
"Group Home","2018-19","Q1 Apr-June","1","0","1"
"Residential Care Facility (RCF)","2018-19","Q1 Apr-June","3","0","1"
"Residential Rehabilitation Centre (RRC)","2018-19","Q1 Apr-June","5","2","1"
"Small Options Home","2018-19","Q1 Apr-June","6","1","1"
"Adult Residential Centre (ARC)","2018-19","Q2 Jul-Sep","5","0","1"
"Developmental Residence","2018-19","Q2 Jul-Sep","5","1","0"
"Group Home","2018-19","Q2 Jul-Sep","2","0","0"
"Residential Care Facility (RCF)","2018-19","Q2 Jul-Sep","5","1","1"
"Residential Rehabilitation Centre (RRC)","2018-19","Q2 Jul-Sep","17","9","0"
"Small Options Home","2018-19","Q2 Jul-Sep","16","7","2"
"Adult Residential Centre (ARC)","2018-19","Q3 Oct-Dec","4","3","3"
"Developmental Residence","2018-19","Q3 Oct-Dec","4","1","0"
"Group Home","2018-19","Q3 Oct-Dec","3","0","0"
"Residential Care Facility (RCF)","2018-19","Q3 Oct-Dec","4","2","0"
"Residential Rehabilitation Centre (RRC)","2018-19","Q3 Oct-Dec","2","1","2"
"Small Options Home","2018-19","Q3 Oct-Dec","8","1","1"
"Adult Residential Centre (ARC)","2018-19","Q4 Jan-Mar","6","2","2"
"Developmental Residence","2018-19","Q4 Jan-Mar","5","1","2"
"Group Home","2018-19","Q4 Jan-Mar","3","1","0"
"Residential Care Facility (RCF)","2018-19","Q4 Jan-Mar","4","0","2"
"Residential Rehabilitation Centre (RRC)","2018-19","Q4 Jan-Mar","2","0","8"
"Small Options Home","2018-19","Q4 Jan-Mar","15","3","5"
"Adult Residential Centre (ARC)","2019-20","Q1 Apr-June","4","1","0"
"Developmental Residence","2019-20","Q1 Apr-June","12","4","0"
"Group Home","2019-20","Q1 Apr-June","7","0","1"
