"program","name","services_and_programs","civic_address","community","postal_code","phone","fax","email","website","geocoded_column"
"Men's Programs; Men's Violence Programs","New Directions","New Directions is a program of the Cumberland County Transition House Association that offers assistance to men who engage in abusive behaviour.  We are a closed group program that covers 20 or more topics. We meet once a week for 2 hours. There are 10-12 men in the group. Confidentiality is respected which creates a safe environment for you to come and share your experiences, explore your options, and work on changing your abusive behaviour.","Secret address","Amherst","B4H 2S5","902-667-4500",,"info@autumnhouse.ca","http://www.autumnhouse.ca/",
"Youth Services; Domestic Violence Support","YWCA of Halifax","YWCA promotes the leadership, health and wellness of women and girls; advances women’s economic and housing security; delivers quality, accessible developmental early learning and childcare; and works to end violence against women and girls; Girlspace program: ""A violence prevention program delivered to over 250 young women annually at ten community locations throughout Halifax. The program increases & empowers young women to take a stand against violence & its root causes, while exploring identity and building self-esteem.""; YWCA","358 Herring Cove Road","Halifax","B3R 1S2","(902) 423-6162",,"contact@ywcahalifax.com","http://ywcahalifax.com/","358 Herring Cove Road
Halifax, NS B3R 1S2
(44.611962, -63.617716)"
"Restorative Justice; Legal Support","Community Justice Society","""The purpose of this project is threefold: to canvass theories of community in relation to restorative justice to assess the extent of their resonance with francophone and Acadian communities in Nova Scotia; to scout out actual and potential links with restorative justice in the province through an analysis of the geography, demographics and cultural institutions of Nova Scotia's Acadian and francophone communities; and to assess the usefulness and/or feasibility of the production of French language restorative justice literature for the NSRJP and the training of facilitators in French.""  (retrieved from: http://www.nsrj-cura.ca/projects/francophone-acadian-communities-and-nova-scotia-restorative-justice).","1256 Barrington St., Suite 201","Halifax","B3J 1Y6","(902) 424-5473","(902) 424-3950","k.nash@cjshfx.ca","http://communityjusticesociety.org/","1256 Barrington St., Suite 201
Halifax, NS B3J 1Y6
(44.640959, -63.570876)"
"Transition Houses; Domestic Violence Support; Support Services; Counselling; Sexual Violence Navigators; Sexual Assault Centre; SANE Program","Leeside Transtion House (Inverness County)","•	two crisis lines 24-hours-a-day;
•	support and shelter to women and children who are emotionally, physically, or sexually abused;
•	information on the cycle of violence, a protection plan, the stages a woman faces in a battering relationship, etc.;
•	counselling to develop a renewed sense of self worth and understanding that no one deserves to be battered;
•	Therapeutic Childcare Program for children who accompany their mothers to Transition House;
•	adolescent program for teenagers who accompany their mothers to Transition House;
•	outreach program for women in the community who need assistance;
•	support groups for women in the Industrial Area, who live in or have left abusive relationships;
•	public education program for schools, service agencies, and the community at large;
•	support to women in court;
•	two second stage housing units (safe affordable housing). MacAdam House is located in Glace Bay and Callwood House is in Sydney.","Inverness County","Inverness County","B9A 2W2","24 Hour Help Line: 625-2444 Toll Free: 1-800-565-3390; text: (902) 902-623-2145",,"leesidecrisis@eastlink.ca","https://thans.ca/shelters/leeside-transition-house-port-hawkesbury/",
"Transition Houses; Domestic Violence Support; Support Services; Counselling; Sexual Violence Navigators; Sexual Assault Centre; SANE Program","Leeside Transtion House (Richmond County)","•	two crisis lines 24-hours-a-day;
•	support and shelter to women and children who are emotionally, physically, or sexually abused;
•	information on the cycle of violence, a protection plan, the stages a woman faces in a battering relationship, etc.;
•	counselling to develop a renewed sense of self worth and understanding that no one deserves to be battered;
•	Therapeutic Childcare Program for children who accompany their mothers to Transition House;
•	adolescent program for teenagers who accompany their mothers to Transition House;
•	outreach program for women in the community who need assistance;
•	support groups for women in the Industrial Area, who live in or have left abusive relationships;
•	public education program for schools, service agencies, and the community at large;
•	support to women in court;
•	two second stage housing units (safe affordable housing). MacAdam House is located in Glace Bay and Callwood House is in Sydney.","Richmond County","Richmond County","B9A 2W2","24 Hour Help Line: 625-2444 Toll Free: 1-800-565-3390; text: (902) 902-623-2145",,"leesidecrisis@eastlink.ca","https://thans.ca/shelters/leeside-transition-house-port-hawkesbury/",
"Transition Houses; Domestic Violence Support; Support Services; Counselling; Sexual Violence Navigators; Sexual Assault Centre; SANE Program","Leeside Transtion House (Port Hawksbury)","•	two crisis lines 24-hours-a-day;
•	support and shelter to women and children who are emotionally, physically, or sexually abused;
•	information on the cycle of violence, a protection plan, the stages a woman faces in a battering relationship, etc.;
•	counselling to develop a renewed sense of self worth and understanding that no one deserves to be battered;
•	Therapeutic Childcare Program for children who accompany their mothers to Transition House;
•	adolescent program for teenagers who accompany their mothers to Transition House;
•	outreach program for women in the community who need assistance;
•	support groups for women in the Industrial Area, who live in or have left abusive relationships;
•	public education program for schools, service agencies, and the community at large;
•	support to women in court;
•	two second stage housing units (safe affordable housing). MacAdam House is located in Glace Bay and Callwood House is in Sydney.","Port Hawksbury","Port Hawksbury","B9A 2W2","24 Hour Help Line: 625-2444 Toll Free: 1-800-565-3390; text: (902) 902-623-2145",,"leesidecrisis@eastlink.ca","https://thans.ca/shelters/leeside-transition-house-port-hawkesbury/",
"Transition Houses; Domestic Violence Support; Support Services","Juniper House Outreach (Digby)","24 hour crisis line","Digby","Digby",,"Crisis line: (902) 742-8689; 1 (800) 266-4087; Outreach:  (902) 245-4789",,"suzanne@juniperhouse.ca; rhonda@juniperhouse.ca; juniperhouse@juniperhouse.ca","http://www.juniperhouse.ca/",
"Transition Houses; Domestic Violence Support; Support Services","Juniper House Outreach (Sheburne)","24 hour crisis line","Sheburne","Shelburne",,"Crisis line: (902) 742-8689; 1 (800) 266-4087; Outreach:  (902) 749-7170",,"federica@juniperhouse.ca; juniperhouse@juniperhouse.ca","http://www.juniperhouse.ca/",
"Transition Houses; Domestic Violence Support; Support Services","Juniper House Outreach (Yarmouth)","24 hour crisis line","Yarmouth","Yarmouth",,"Crisis line: (902) 742-8689; 1 (800) 266-4087; Outreach:  (902) 742-0231",,"katie@juniperhouse.ca; juniperhouse@juniperhouse.ca","http://www.juniperhouse.ca/",
"Transition Houses; Domestic Violence Support; Support Services","Juniper House","24 hour crisis line; supportive counselling; help in understanding the legal and social service systems; a space for women to learn to trust each other and to become productive and confident in their own abilities.  Juniper House provides safe shelter, Outreach Services and 24 crisis line to women and their children who have experienced violence or abuse.","Yarmouth","Yarmouth","B5A 4K5","Crisis line: (902) 742-8689; 1 (800) 266-4087; Outreach: (902) 742-0231; Administration: (902) 742-4473",,"juniperhouse@juniperhouse.ca","http://www.juniperhouse.ca/",
