"age_group","year","disease","number_of_cases","rate_per_100_000_population"
"0-4","2014","Acquired Immune Deficiency Syndrome","0","0"
"5 to 14","2014","Acquired Immune Deficiency Syndrome","0","0"
"15-24","2014","Acquired Immune Deficiency Syndrome","0","0"
"25-39","2014","Acquired Immune Deficiency Syndrome","0","0"
"40-59","2014","Acquired Immune Deficiency Syndrome","1","0.3"
"60+","2014","Acquired Immune Deficiency Syndrome","1","0.4"
"All","2014","Acquired Immune Deficiency Syndrome","2","0.2"
"0-4","2014","Hepatitis B - Acute","0","0"
"5 to 14","2014","Hepatitis B - Acute","0","0"
"15-24","2014","Hepatitis B - Acute","0","0"
"25-39","2014","Hepatitis B - Acute","1","0.6"
"40-59","2014","Hepatitis B - Acute","2","0.7"
"60+","2014","Hepatitis B - Acute","1","0.4"
"All","2014","Hepatitis B - Acute","4","0.4"
"0-4","2014","Hepatitis B - Chronic","0","0"
"5 to 14","2014","Hepatitis B - Chronic","1","1.1"
"15-24","2014","Hepatitis B - Chronic","3","2.6"
"25-39","2014","Hepatitis B - Chronic","10","5.8"
"40-59","2014","Hepatitis B - Chronic","3","1.1"
"60+","2014","Hepatitis B - Chronic","3","1.3"
"All","2014","Hepatitis B - Chronic","20","2.1"
"0-4","2014","Hepatitis C","2","5.1"
"5 to 14","2014","Hepatitis C","0","0"
"15-24","2014","Hepatitis C","78","66.7"
"25-39","2014","Hepatitis C","132","76.9"
"40-59","2014","Hepatitis C","91","32.3"
"60+","2014","Hepatitis C","20","8.4"
"All","2014","Hepatitis C","323","34.4"
"0-4","2014","Human Immunodeficiency Virus","0","0"
"5 to 14","2014","Human Immunodeficiency Virus","0","0"
"15-24","2014","Human Immunodeficiency Virus","3","2.6"
"25-39","2014","Human Immunodeficiency Virus","2","1.2"
"40-59","2014","Human Immunodeficiency Virus","5","1.8"
"60+","2014","Human Immunodeficiency Virus","0","0"
"All","2014","Human Immunodeficiency Virus","10","1.1"
"0-4","2014","Clostridium difficile","14","35.6"
"5 to 14","2014","Clostridium difficile","15","16.7"
"15-24","2014","Clostridium difficile","23","19.7"
"25-39","2014","Clostridium difficile","51","29.7"
"40-59","2014","Clostridium difficile","127","45.1"
"60+","2014","Clostridium difficile","378","157.8"
"All","2014","Clostridium difficile","609","64.9"
"0-4","2014","Creutzfeldt-Jakob Disease - Classic","0","0"
"5 to 14","2014","Creutzfeldt-Jakob Disease - Classic","0","0"
"15-24","2014","Creutzfeldt-Jakob Disease - Classic","0","0"
"25-39","2014","Creutzfeldt-Jakob Disease - Classic","0","0"
"40-59","2014","Creutzfeldt-Jakob Disease - Classic","0","0"
"60+","2014","Creutzfeldt-Jakob Disease - Classic","2","0.8"
"All","2014","Creutzfeldt-Jakob Disease - Classic","2","0.2"
"0-4","2014","Encephalitis - Viral","0","0"
"5 to 14","2014","Encephalitis - Viral","0","0"
"15-24","2014","Encephalitis - Viral","0","0"
"25-39","2014","Encephalitis - Viral","0","0"
"40-59","2014","Encephalitis - Viral","1","0.4"
"60+","2014","Encephalitis - Viral","0","0"
"All","2014","Encephalitis - Viral","1","0.1"
"0-4","2014","Group A Streptococcal Disease Invasive -> Severe","1","2.5"
