"parkname","state","country","adult","child","partysize","ratetype","bookingtype","equipment","bookingstartdate","bookingenddate","night","permits"
"Dollar Lake","NS ","CANADA ","2",,"2","Senior","CampsitePermit","Less than 20ft","2016-09-21T00:00:00.000","2016-09-25T00:00:00.000","4","1"
"Thomas Raddall","QC ","CANADA ","1",,"1","Senior","CampsitePermit","Less than 30ft","2016-08-01T00:00:00.000","2016-08-06T00:00:00.000","5","1"
"Mira River","SWAZILAND ","OTHER","2","1","3","Full","CampsitePermit","Less than 20ft","2016-07-05T00:00:00.000","2016-07-07T00:00:00.000","2","1"
"Amherst Shore","NS ","CANADA ","2",,"2","Full","CampsitePermit","Tents","2016-09-16T00:00:00.000","2016-09-18T00:00:00.000","2","1"
"Caribou Munroes","NS ","CANADA ","2","2","4","Full","CampsitePermit","Less than 20ft","2016-08-26T00:00:00.000","2016-08-28T00:00:00.000","2","1"
"Salsman","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 40ft","2016-07-29T00:00:00.000","2016-07-31T00:00:00.000","2","1"
"Mira River","VT ","USA ","2",,"2","Senior","CampsitePermit","Single Tent","2016-07-24T00:00:00.000","2016-07-26T00:00:00.000","2","1"
"Five Islands","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 20ft","2016-07-29T00:00:00.000","2016-08-01T00:00:00.000","3","1"
"Graves Island","NS ","CANADA ","5",,"5","Full","CampsitePermit","Single Tent","2016-08-11T00:00:00.000","2016-08-12T00:00:00.000","1","1"
"Whycocomagh","ME ","USA ","2",,"2","Full","CampsitePermit","Single Tent","2016-10-07T00:00:00.000","2016-10-10T00:00:00.000","3","1"
"Five Islands","MD ","USA ","2",,"2","Full","CampsitePermit","Single Tent","2016-07-15T00:00:00.000","2016-07-17T00:00:00.000","2","1"
"Rissers Beach","NS ","CANADA ","2","1","3","Full","CampsitePermit","Less than 30ft","2016-08-07T00:00:00.000","2016-08-13T00:00:00.000","6","1"
"Laurie","NS ","CANADA ","1","2","3","Full","CampsitePermit","Single Tent","2016-07-12T00:00:00.000","2016-07-14T00:00:00.000","2","1"
"Smileys","NS ","CANADA ","2","1","3","Full","CampsitePermit","Single Tent","2016-08-19T00:00:00.000","2016-08-20T00:00:00.000","1","1"
"Caribou Munroes","CA ","USA ","2",,"2","Senior","CampsitePermit","Less than 20ft","2016-07-13T00:00:00.000","2016-07-14T00:00:00.000","1","1"
"Caribou Munroes","NS ","CANADA ","2","2","4","Full","CampsitePermit","Single Tent","2016-07-18T00:00:00.000","2016-07-20T00:00:00.000","2","1"
"Laurie","NS ","CANADA ","1",,"1","Full","CampsitePermit","Single Tent","2016-07-22T00:00:00.000","2016-07-24T00:00:00.000","2","1"
"Smileys","NS ","CANADA ","4",,"4","Full","CampsitePermit","Tents","2016-07-30T00:00:00.000","2016-07-31T00:00:00.000","1","1"
"Rissers Beach","NS ","CANADA ","2","4","6","Full","CampsitePermit","Tents","2016-08-19T00:00:00.000","2016-08-20T00:00:00.000","1","1"
"Amherst Shore","SK ","CANADA ","1",,"1","Full","CampsitePermit","Single Tent","2016-09-20T00:00:00.000","2016-09-21T00:00:00.000","1","1"
"Salsman","NS ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-07-24T00:00:00.000","2016-07-26T00:00:00.000","2","1"
"Blomidon","NS ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-05-20T00:00:00.000","2016-05-23T00:00:00.000","3","1"
"Ellenwood Lake","NS ","CANADA ","2","2","4","Full","CampsitePermit","Single Tent","2016-07-12T00:00:00.000","2016-07-17T00:00:00.000","5","1"
"Thomas Raddall","NS ","CANADA ","2","2","4","Full","CampsitePermit","Single Tent","2016-09-02T00:00:00.000","2016-09-05T00:00:00.000","3","1"
"Rissers Beach","NS ","CANADA ","1",,"1","Full","CampsitePermit","Single Tent","2016-06-04T00:00:00.000","2016-06-05T00:00:00.000","1","1"
"Thomas Raddall","NS ","CANADA ","2","1","3","Full","CampsitePermit","Single Tent","2016-09-09T00:00:00.000","2016-09-11T00:00:00.000","2","1"
"Amherst Shore","QC ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-07-21T00:00:00.000","2016-07-22T00:00:00.000","1","1"
"Dollar Lake","NS ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-08-06T00:00:00.000","2016-08-07T00:00:00.000","1","1"
"Smileys","NS ","CANADA ","2","1","3","Full","CampsitePermit","Single Tent","2016-06-17T00:00:00.000","2016-06-19T00:00:00.000","2","1"
"Battery","ON ","CANADA ","2",,"2","Full","CampsitePermit","Less than 30ft","2016-08-10T00:00:00.000","2016-08-11T00:00:00.000","1","1"
"Graves Island","NS ","CANADA ","2","2","4","Full","CampsitePermit","Single Tent","2016-06-24T00:00:00.000","2016-06-26T00:00:00.000","2","1"
"Caribou Munroes","ON ","CANADA ","1",,"1","Senior","CampsitePermit","Less than 20ft","2016-06-27T00:00:00.000","2016-06-28T00:00:00.000","1","1"
"Mira River","NS ","CANADA ","2","2","4","Full","CampsitePermit","Single Tent","2016-07-29T00:00:00.000","2016-07-31T00:00:00.000","2","1"
"Mira River","NS ","CANADA ","2","2","4","Full","CampsitePermit","Less than 20ft","2016-06-30T00:00:00.000","2016-07-02T00:00:00.000","2","1"
"Graves Island","ON ","CANADA ","1",,"1","Senior","CampsitePermit","Single Tent","2016-07-19T00:00:00.000","2016-07-20T00:00:00.000","1","1"
"Rissers Beach","NS ","CANADA ","2","3","5","Full","CampsitePermit","Less than 30ft","2016-06-10T00:00:00.000","2016-06-12T00:00:00.000","2","1"
"Dollar Lake","NS ","CANADA ","4","2","6","Full","CampsitePermit","Less than 20ft","2016-07-13T00:00:00.000","2016-07-16T00:00:00.000","3","1"
"Rissers Beach","NS ","CANADA ","2","3","5","Full","CampsitePermit","Single Tent","2016-06-27T00:00:00.000","2016-06-28T00:00:00.000","1","1"
"Graves Island","ON ","CANADA ","2","1","3","Full","CampsitePermit","Less than 30ft","2016-07-17T00:00:00.000","2016-07-21T00:00:00.000","4","1"
"Blomidon","NS ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-09-04T00:00:00.000","2016-09-05T00:00:00.000","1","1"
"Five Islands","NY ","USA ","2",,"2","Full","CampsitePermit","Single Tent","2016-06-28T00:00:00.000","2016-06-29T00:00:00.000","1","1"
"Whycocomagh","NS ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-08-20T00:00:00.000","2016-08-21T00:00:00.000","1","1"
"Caribou Munroes","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 20ft","2016-09-08T00:00:00.000","2016-09-09T00:00:00.000","1","1"
"Five Islands","PE ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-07-14T00:00:00.000","2016-07-16T00:00:00.000","2","1"
"Mira River","NS ","CANADA ","2","2","4","Full","CampsitePermit","Less than 30ft","2016-06-24T00:00:00.000","2016-06-26T00:00:00.000","2","1"
"Five Islands","ON ","CANADA ","2","2","4","Full","CampsitePermit","Single Tent","2016-07-04T00:00:00.000","2016-07-05T00:00:00.000","1","1"
"Smileys","PE ","CANADA ","4",,"4","Full","CampsitePermit","Less than 30ft","2016-08-08T00:00:00.000","2016-08-10T00:00:00.000","2","1"
"Porters Lake","NS ","CANADA ","1","2","3","Full","CampsitePermit","Single Tent","2016-08-23T00:00:00.000","2016-08-24T00:00:00.000","1","1"
"Graves Island","NS ","CANADA ","3",,"3","Full","CampsitePermit","Less than 30ft","2016-08-19T00:00:00.000","2016-08-21T00:00:00.000","2","1"
"Caribou Munroes","NS ","CANADA ","3",,"3","Full","CampsitePermit","Tents","2016-09-02T00:00:00.000","2016-09-05T00:00:00.000","3","1"
"Dollar Lake","NS ","CANADA ","4",,"4","Full","CampsitePermit","Single Tent","2016-09-10T00:00:00.000","2016-09-11T00:00:00.000","1","1"
