"the_geom","well_id","well_name","company","spud_date","rig_releas","total_dept","total_de_1","total_de_2","northing_1","easting__1","latitude","longitude","geographic","nts","status_des","objectid"
"POINT (-61.182589310039255 46.10618474145868)","P-1","Unknown","Lake Ainslie Pioneer Oil & Salt Co.","Summer 1869","Unknown","244.5 m (802 ft.)","802","244.5","5107451","640456","46 06'22""N±1'","61 11'00""W±1'","Western side of Lake Ainslie; Inverness County","11K/03A","Plugged and Abandoned","1"
"POINT (-61.182589310039255 46.10618474145868)","P-2","Unknown","Lake Ainslie Pioneer Oil & Salt Co.","In 1869","1876 (final TD)","487.5 m (1,600 ft.)","1600","487.5","5107451","640456","46 06'22""N±1'","61 11'00""W±1'","Western side of Lake Ainslie; Inverness County","11K/03A","Plugged and Abandoned","2"
"POINT (-61.182589310039255 46.10618474145868)","P-3","NSDM Record No. 11","Lake Ainslie Pioneer Oil & Salt Co.","In 1874","Unknown","198.1 m (650 ft.)","650","198.1","5107451","640456","46 06'22""N±1'","61 11'00""W±1'","Western side of Lake Ainslie; Inverness County","11K/03A","Plugged and Abandoned","3"
"POINT (-61.182589310039255 46.10618474145868)","P-4","NSDM Record No. 12","Lake Ainslie Pioneer Oil & Salt Co.","In 1874","Unknown","274.3 m (900+ ft.)","900","274.3","5107451","640456","46 06'22""N±1'","61 11'00""W±1'","Western side of Lake Ainslie; Inverness County","11K/03A","Plugged and Abandoned","4"
"POINT (-61.182589310039255 46.10618474145868)","P-5","Unknown","Lake Ainslie Pioneer Oil & Salt Co.","In 1875","Unknown","335.3 m (1,100 ft.)","1100","335.3","5107451","640456","46 06'22""N± 1'","61 11'00""W±1'","Western side of Lake Ainslie; Inverness County","11K/03A","Plugged and Abandoned","5"
"POINT (-61.182589310039255 46.10618474145868)","P-6","Unknown","Lake Ainslie Pioneer Oil & Salt Co.","May 1877","Unknown","Unknown","0","0","5107451","640456","46 06'22""N±1'","61 11'00""W±1'","Western side of Lake Ainslie; Inverness County","11K/03A","Plugged and Abandoned","6"
"POINT (-61.182589310039255 46.10618474145868)","P-7","Unknown","Unknown","Autumn 1877","Unknown","Unknown","0","0","5107451","640456","46 06'22""N±1'","61 11'00""W±1'","Western side of Lake Ainslie; Inverness County","11K/03A","Plugged and Abandoned","7"
"POINT (-62.665981910977685 45.56006645380479)","P-8","Unknown","Unknown","In 1878","Unknown","85.3 m (280 ft.)","280","85.3","5045224","526068","45 33'36""N±0""","62 40'00""W±15""","Stellarton, Pictou County","11E/10A","Plugged and Abandoned","8"
"POINT (-60.78452054908994 46.17673389450485)","P-9","Unknown","Victoria Oil Co.","In 1880","Unknown","152.4 m (500 ft.)","500","152.4","5116070","671001","46 10'36""N±3""","62 47'07""W±45""","McRaes Bridge; Baddeck River; Victoria County","11K/02C","Plugged and Abandoned","9"
"POINT (-61.12953969684196 46.10840679692117)","P-10","Unknown","Unknown","pre-1897","Unknown","Unknown","0","0","5107793","644550","46 06'30""N±1'","61 07'49""W±1'","East Lake Ainslie; Inverness County","11K/03A","Plugged and Abandoned","10"
