"fiscal_year","file","id","location_from","location_address","recipient","recipient_address","quantity","description"
"2014-2015","NP14","1","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","Bedford Baptist Church","PO Box 44073, 158 Rocky Lake Drive, Bedford, NS, B4A 3X5","1","Table"
"2014-2015","NP14","2","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","Bedford Baptist Church","PO Box 44073, 158 Rocky Lake Drive, Bedford, NS, B4A 3X5","2","Chair"
"2014-2015","NP14","2","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","Bedford Baptist Church","PO Box 44073, 158 Rocky Lake Drive, Bedford, NS, B4A 3X5","2","Table"
"2014-2015","NP14","2","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","Bedford Baptist Church","PO Box 44073, 158 Rocky Lake Drive, Bedford, NS, B4A 3X5","2","Bookcase"
"2014-2015","NP14","2","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","Bedford Baptist Church","PO Box 44073, 158 Rocky Lake Drive, Bedford, NS, B4A 3X6","1","Desk"
"2014-2015","NP14","3","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","YMCA of Cape Breton","606 Reeves Street, Port Hawkesbury, NS, B9A 2R7","2","File Cabinet"
"2014-2015","NP14","4","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","Special Olympics Cape Breton","PO Box 335, Sydney, NS, B1P 6H2","2","File Cabinet"
"2014-2015","NP14","4","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","Special Olympics Cape Breton","PO Box 335, Sydney, NS, B1P 6H2","2","Bookcase"
"2014-2015","NP14","4","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","Special Olympics Cape Breton","PO Box 335, Sydney, NS, B1P 6H2","1","Refeigerator"
"2014-2015","NP14","4","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","Special Olympics Cape Breton","PO Box 335, Sydney, NS, B1P 6H2","1","Microwave"
"2014-2015","NP14","4","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","Special Olympics Cape Breton","PO Box 335, Sydney, NS, B1P 6H2","2","Chair"
