"facility_identifier","facility_name","facility_type","county","phone","email","annual_inspection","annual_unannounced_inspection","probationary_expiry_date","age_range","prog_full_day","prog_part_day","prog_school_age","family_home","age_infant","age_toddler","age_preschool","age_school_age","address","city","postal","total_licence_capacity","location1"
"3039377","Children's Garden (The)","Day Care Facility","Halifax County","902-457-3313 ext: 5","childrensgarden@hfx.eastlink.ca","August 18, 2021","January 7, 2022",,"18 months - 12 years","Yes","No","Yes","No","No","Yes","Yes","Yes","3461 DUTCH VILLAGE RD.","HALIFAX","B3N 2S7","80","POINT (-63.632057 44.654788)"
"3556019","Wedgewood's Little School Ltd. Location #2","Day Care Facility","Halifax County","902-443-2273","shagecameron@gmail.com; sonia@play-learn-grow.com","March 31, 2021","February 17, 2022",,"18 Months - 12 Years","Yes","No","Yes","No","No","Yes","Yes","Yes","55 KEARNEY LAKE RD.","HALIFAX","B3M 2S6","38","POINT (-63.667473 44.68142)"
"3556066","Wedgewood's Little School Ltd.","Day Care Facility","Halifax County","902-443-2273","shagecameron@gmail.com; sonia@play-learn-grow.com","April 9, 2021","March 15, 2022",,"5 Years - 12 Years","No","No","Yes","No","No","No","No","Yes","56 KEARNEY LAKE RD.","HALIFAX","B3M 2S8","14","POINT (-63.667467 44.681416)"
"3563275","Portland Day Care Centre Ltd","Day Care Facility","Halifax County","902-463-2323","director@portlanddaycare.com","October 28, 2021","August 26, 2021",,"3 months - 12 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","530 PORTLAND ST. UNIT 204","DARTMOUTH","B2Y 4V6","91","POINT (-63.538147 44.670167)"
"3580564","My Pride & Joy Child Learning Centre Inc","Day Care Facility","Colchester County","902-843-1569","myprideandjoy@eastlink.ca","November 15, 2021","August 17, 2021",,"Birth - 12 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","264 PICTOU RD.","BIBLE HILL","B2N 2T3","66","POINT (-63.242729 45.380606)"
"3586160","Cumberland YMCA Early Learning Centre (Church Street)","Day Care Facility","Cumberland County","902-667-4724","renee.lusby@cumberland.ymca.ca","January 17, 2022","August 25, 2021",,"6 months - 12 years","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","92 CHURCH ST.","AMHERST","B4H 3B2","164","POINT (-64.2089 45.831579)"
"3586167","Silver Crescent Academy Children Center","Day Care Facility","Halifax County","902-407-4027","cc@scahalifax.com","December 2, 2021","July 13, 2021",,"18 months - 12 years","Yes","No","Yes","No","No","Yes","Yes","Yes","3845 JOSEPH HOWE DR.","HALIFAX","B3L 4H9","30","POINT (-63.627823 44.660963)"
"3588352","Care and Fun Childcare Limited","Day Care Facility","Halifax County","902-445-0881","hoda@careNfun.ca","July 15, 2021","January 6, 2021",,"3 months - 12 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","290 MAIN AVE.","HALIFAX","B3M 3V3","73","POINT (-63.650597 44.652336)"
"3590173","Health Park Early Learning Centre","Day Care Facility","Cape Breton County","902-564-0607","hpelc@live.ca","February 23, 2022","October 6, 2020",,"2 months - 5 years","Yes","No","No","No","Yes","Yes","Yes","No","62 TERRY WAY","MIRA ROAD","B1P 0E1","66","POINT (-60.175483 46.115663)"
"3626951","Montessori House of Learning","Day Care Facility","Halifax County","902-865-5151","leahshouseoflearning@gmail.com","August 20, 2021","April 23, 2021",,"8 months - 10 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","1385 SACKVILLE DR.","MIDDLE SACKVILLE","B4E 3A7","47","POINT (-63.714697 44.789389)"
"3628013","Future Stars' Learning Centre - Site 3","Day Care Facility","Halifax County","902-818-9618","lindaliaoca@gmail.com","December 2, 2021","July 20, 2021",,"3 years - 12 years","No","Yes","Yes","No","No","No","Yes","Yes","58 SCOTCH PINE TERR.","HALIFAX","B3S 1E2","8","POINT (-63.671787 44.672109)"
"3642273","Maple Tree Montessori Quinpool Campus","Day Care Facility","Halifax County","902-453-5023","mapletreemontessori@me.com","November 24, 2021","July 22, 2021",,"3 years - 12 years","Yes","No","Yes","No","No","No","Yes","Yes","6583 QUINPOOL RD.","HALIFAX","B3L 1B6","20","POINT (-63.604361 44.643329)"
"3642286","Big Birds Nest Daycare","Day Care Facility","Colchester County","902-895-6608","rosejoudrey@msn.com","September 7, 2021","June 11, 2021",,"6 months - 5 years","Yes","Yes","No","No","Yes","Yes","Yes","No","17 LYMAN ST.","TRURO","B2N 4R9","32","POINT (-63.26794 45.363442)"
"3642922","Coldbrook After School Program","Day Care Facility","Kings County","902-670-4353","coldbrookasp@hotmail.com","September 23, 2021","March 25, 2021",,"Pre-primary - 12 years","No","No","Yes","No","No","No","No","Yes","2305 ENGLISH MOUNTAIN RD.","COLDBROOK","B4R 1B4","30","POINT (-64.586306 45.056966)"
"3643081","Bible Hill Play To Learn Child Care Centre Ltd.","Day Care Facility","Colchester County","902-843-2529","gilroy_unit@hotmail.com","August 26, 2021","February 23, 2022",,"18 months - 12 years","Yes","No","Yes","No","No","Yes","Yes","Yes","334 PICTOU RD.","BIBLE HILL","B2N 2T7","58","POINT (-63.235084 45.383295)"
"3644314","Cumberland YMCA Cumberland North After School","Day Care Facility","Cumberland County","902-667-4724",,"November 8, 2021","June 21, 2021",,"5 years - 12 years","No","No","Yes","No","No","No","No","Yes","92 Church St","Amherst","B4H 3B2","45","POINT (-64.157401 45.801407)"
"3646255","Sunny Valley Preschool","Day Care Facility","Colchester County","902-890-2458","svchildcare.sh@gmail.com","November 3, 2021","August 7, 2020",,"5 years - 12 years","No","No","Yes","No","No","No","No","Yes","96 SALMON RIVER RD.","VALLEY","B6L 2S5","60","POINT (-63.204264 45.393131)"
"3649244","JR After School Program (2014) Ltd. - Ferrisview","Day Care Facility","Cape Breton County","902-371-8164","judyshallo@yahoo.ca","October 5, 2020","March 2, 2020",,"Pre-primary - 12 years","No","No","Yes","No","No","No","No","Yes","83 ARCHIBALD AVE.","NORTH SYDNEY","B2A 2W9","47","POINT (-60.254966 46.212536)"
"3649259","JR After School Program (2014) Ltd. - Cusack","Day Care Facility","Cape Breton County","902-371-8164","judyshallo@yahoo.ca","October 19, 2021","March 11, 2021",,"Pre-primary - 12 years","No","No","Yes","No","No","No","No","Yes","500 BIRCH HILL DR.","SYDNEY","B1P 3V9","52","POINT (-60.165657 46.13702)"
"3649289","JR After School Program (2014) Ltd. - Robin Foote Elementary","Day Care Facility","Cape Breton County","902-371-8164","judyshallo@yahoo.ca","October 18, 2021","April 6, 2021",,"Pre-primary - 12 years","No","No","Yes","No","No","No","No","Yes","125 SUNNYDALE DR.","WESTMOUNT","B1R 1J4","22","POINT (-60.215522 46.139273)"
"3650790","Halifax West Children's Centre","Day Care Facility","Halifax County","902-453-5065","halifaxwestcc@eastlink.ca","September 23, 2021","July 22, 2021",,"3 months - 12 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","15 SUPREME CRT.","HALIFAX",,"84","POINT (-63.632926 44.65815)"
"3651971","Growing Place Early Education Centre (The) (Belle Vista)","Day Care Facility","Halifax County","902-434-3886","thegrowingplace@outlook.com","March 11, 2022","November 25, 2021",,"3 years - 12 years","No","Yes","Yes","No","No","No","Yes","Yes","34 BELLE VISTA DR.","DARTMOUTH","B2W 2X3","40","POINT (-63.515358 44.68043)"
"3651983","Growing Place Early Education Centre (The) (Woodlawn)","Day Care Facility","Halifax County","902-433-0727","thegrowingplace@outlook.com","March 11, 2022","December 9, 2020",,"3 months - 5 years","Yes","No","No","No","Yes","Yes","Yes","No","114 WOODLAWN RD.","DARTMOUTH","B2W 2S7","98","POINT (-63.532165 44.672112)"
"3652831","Little Pumpkins Inc","Day Care Facility","Kings County","902-365-5137","littlepumpkinskentville@gmail.com","April 1, 2021","December 13, 2021",,"18 months - 12 years","Yes","No","Yes","No","No","Yes","Yes","Yes","58 SCHOOL ST.","KENTVILLE","B4N 2P9","50","POINT (-64.501445 45.075494)"
"3711619","Beaver Bank Children's Learning Centre-Community Centre","Day Care Facility","Halifax County","902-864-5118","bbclc@eastlink.ca","February 25, 2021","October 20, 2021",,"3 years - 12 years","No","Yes","Yes","No","No","No","Yes","Yes","1583 BEAVER BANK RD.","BEAVER BANK","B4G 1C5","54","POINT (-63.685231 44.849646)"
"3711631","Play, Learn, Grow in Bedford","Day Care Facility","Halifax County","902-444-7544","sonia@play-learn-grow.com","December 2, 2021","August 30, 2021",,"18 months - 12 years","Yes","Yes","Yes","No","No","Yes","Yes","Yes","1040 BEDFORD HWY.","BEDFORD","B4A 1B4","85","POINT (-63.675582 44.717735)"
"3711639","YWCA Early Learning Centre","Day Care Facility","Halifax County","902-423-6162 ext: 5211","m.suokonautio@ywcahalifax.com","December 20, 2021","August 5, 2021",,"6 months - 5 years","Yes","No","No","No","Yes","Yes","Yes","No","358 HERRING COVE RD.","HALIFAX","B3R 1S2","70","POINT (-63.617716 44.611962)"
"3714361","YMCA of Pictou County Child Care Centre","Day Care Facility","Pictou County","902-752-0202 ext: 227",,"December 20, 2021","August 20, 2021",,"3 months - 5 years","Yes","No","No","No","Yes","Yes","Yes","No","2756 WESTVILLE RD.","WESTVILLE ROAD","B2H 5C6","57","POINT (-62.676059 45.577786)"
"3714363","Atlantic Montessori School Ltd.","Day Care Facility","Halifax County","902-405-3966","info@atlanticmontessori.com","January 27, 2022","August 7, 2020",,"18 months - 6 years","Yes","No","No","No","No","Yes","Yes","No","182 BEDFORD HWY.","HALIFAX","B3M 0A4","66","POINT (-63.646633 44.674391)"
"3714368","Willowbrae Childcare Academy Hammonds Plains","Day Care Facility","Halifax County","902-830-9514, 902-423-2273","mosborne@willowbraechildcare.com","January 19, 2022","November 25, 2021",,"6 months  - 12 years","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","21 GLEN ARBOUR WAY","HAMMONDS PLAINS",,"162","POINT (-63.783135 44.736271)"
"3718883","Little Picasso Daycare & Art Centre","Day Care Facility","Halifax County","902-405-2874","info@littlepicasso.ca","January 28, 2022","July 19, 2021",,"18 months - 12 years","Yes","No","Yes","No","No","Yes","Yes","Yes","7 LANGBRAE DR.","HALIFAX","B3M 4N7","37","POINT (-63.663648 44.66996)"
"3720704","Boys & Girls Club of Yarmouth Day Care Centre (Bond St)","Day Care Facility","Yarmouth County","902-742 9103","bgcydirector@hotmail.com","July 16, 2021","February 15, 2022",,"3 months - 12 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","11 BOND ST.","YARMOUTH","B5A 1P6","100","POINT (-66.120586 43.827056)"
