"company_name","of_students","total_funds","year"
"Scotsburn Dairy Group","1","<$5,000","2012"
"Maxxam Analytics","1","<$5,000","2012"
"Strum Environmental Services","1","$5,100.00","2012"
"Equilibrium Engineering Consultant","1","<$5,000","2012"
"Seaforth Energy Inc.","1","<$5,000","2012"
"Heritage Gas","1","<$5,000","2012"
"SF Rendering Ltd.","1","$5,100.00","2012"
"CHESS Complete Home Energy","1","<$5,000","2012"
"Rotor Mechanical Services","1","$5,100.00","2012"
"Acadia Management Group","1","<$5,000","2012"
"Maritimes & Northeast Pipeline","1","$5,100.00","2012"
"Via Peak Inc.","1","<$5,000","2012"
"Clean Nova Scotia","1","<$5,000","2012"
"Minas Basin Pulp and Power Company","1","<$5,000","2012"
"EP HVAC","1","<$5,000","2012"
"Scotian Windfields","1","$5,100.00","2012"
"Canadian Manufacturers & Exporters","1","<$5,000","2012"
"The Maritimes Energy Association","1","<$5,000","2012"
"Maxxam Analytics","2","$8,082.01","2013"
"Corridor Resources Inc","1","<$5,000","2013"
"Maritimes and Northeast Pipeline","1","$5,100.00","2013"
"ThermalWise Green Building Co-operative Ltd","1","<$5,000","2013"
"Equilibrium Engineering Inc","1","<$5,000","2013"
"Black & McDonald Ltd","2","$9,600.00","2013"
"MMM Group Ltd","1","<$5,000","2013"
"Summerhill Group Inc","1","$5,100.00","2013"
"MJM Energy Limited","1","<$5,000","2013"
"Maritimes Energy Association","1","$5,100.00","2013"
"PoleCo Ltd","1","<$5,000","2013"
"LED Roadway Lighting Ltd","2","$9,760.83","2013"
"Entiuum Energy Systems","2","$5,100.00","2013"
"Summer Hill Group","1","<$5,000","2014"
"Rotor Mechanical Services Ltd","1","<$5,000","2014"
"Maritime Pressure Works","1","$5,100.00","2014"
"I. H. Mathers & Son Ltd","1","<$5,000","2014"
"SGS Canada Inc","1","<$5,000","2014"
"Equilibrium Engineering","1","<$5,000","2014"
"MJM Energy","2","$7,540.00","2014"
"Scotian Renewable Inc","1","$5,100.00","2014"
"Maxxam Analytics","2","$7,708.87","2014"
"Canadian Manufacturers and Exporters","1","<$5,000","2014"
"ThermalWise","1","<$5,000","2014"
"Maritimes Energy Association","1","<$5,000","2014"
"SWEB Development Ltd Partnership","1","<$5,000","2014"
"Martec Limited","1","$5,100.00","2014"
