"board_code","school_board","school_code","school_name","mail_address_line_1","mail_address_line_2","mail_postal_code","civic_address_line_1","civic_address_line_2","civic_postal_code","telephone","fax","email","grade_level","early_immersion","middle_immersion","late_immersion","intensive_french","integrated_french","location"
"52","STRAIT REGIONAL               ","931","RICHMOND EDUCATION CENTRE/ ACADEMY                          ","PO BOX 599                    ","LOUISDALE NS                  ","B0E 1V0","3238 WHITESIDE RD             ","LOUISDALE NS          ","B0E 1V0","9023454949  ","9023454948  ","LOIS.LANDRY@SRSB.CA                               ","ELEMENTARY/JUNIOR/SENIOR      ","Early Immersion",,,,,"3238 WHITESIDE RD
LOUISDALE NS, NS B0E 1V0
(45.606406, -61.095836)"
"54","HALIFAX REGIONAL              ","939","MADELINE SYMONDS MIDDLE SCHOOL                              ","                              ","                              ","       ","290 WHITE HILLS RUN           ","HAMMONDS PLAINS NS    ","B4B 1W6","9028322300  ","9028322302  ","MSMS@HRSB.CA                                   ","ELEMENTARY/JUNIOR             ","Early Immersion",,"Late Immersion",,,"290 WHITE HILLS RUN
HAMMONDS PLAINS NS, NS B4B 1W6
(44.748521, -63.804156)"
"54","HALIFAX REGIONAL              ","303","SACKVILLE HEIGHTS JUNIOR HIGH SCHOOL                        ","                              ","                              ","       ","956 SACKVILLE DR              ","LOWER SACKVILLE NS    ","B4E 1S4","9028693800  ","9028693801  ","SHJH@HRSB.CA                                   ","ELEMENTARY/JUNIOR             ",,,"Late Immersion",,,"956 SACKVILLE DR
LOWER SACKVILLE NS, NS B4E 1S4
(44.780204, -63.699285)"
"55","ANNAPOLIS VALLEY REGIONAL     ","1158","KINGS COUNTY ACADEMY                                        ","                              ","                              ","       ","35 GARY PEARL DR              ","KENTVILLE NS          ","B4N 0H4","9026903850  ","9026903864  ","KCA@AVRSB.CA                                      ","ELEMENTARY/JUNIOR             ","Early Immersion",,,,,"35 GARY PEARL DR
KENTVILLE NS, NS B4N 0H4
(45.077246, -64.519657)"
"58","SOUTH SHORE REGIONAL          ","1156","BLUENOSE ACADEMY                                            ","PO BOX 1210                   ","LUNENBURG NS                  ","B0J 2C0","18 TANNERY RD                 ","LUNENBURG NS          ","B0J 2C0","9026342200  ","9026342210  ","BA@SSRSB.CA                                       ","ELEMENTARY/JUNIOR             ","Early Immersion",,,"Intensive French","Integrated French","18 TANNERY RD
LUNENBURG NS, NS B0J 2C0
(44.375618, -64.319379)"
"52","STRAIT REGIONAL               ","655","STRAIT AREA EDUCATION/ RECREATION CENTRE                    ",,"                              ","       ","304 PITT ST UNIT 1            ","PORT HAWKESBURY NS    ","B9A 2T9","9026251929  ","9026251868  ","ROB.ALLEN@SRSB.CA","JUNIOR/SENIOR                 ","Early Immersion",,,,,"304 PITT ST UNIT 1
PORT HAWKESBURY NS, NS B9A 2T9
(45.617771, -61.354965)"
"59","TRI-COUNTY REGIONAL           ","498","PORT MAITLAND CONSOLIDATED SCHOOL                           ","PO BOX 70                     ","PORT MAITLAND NS              ","B5A 5T3","3072 HWY 1                    ","PORT MAITLAND NS      ","B0W 2V0","9026494400  ","9026494404  ","PMCES@TCRSB.CA                                    ","ELEMENTARY                    ",,,,"Intensive French",,"3072 HWY 1
PORT MAITLAND NS, NS B0W 2V0
(44.38161, -66.067283)"
"54","HALIFAX REGIONAL              ","293","HERRING COVE JUNIOR HIGH SCHOOL                             ","                              ","                              ","       ","7 LANCASTER DR                ","HERRING COVE NS       ","B3V 1H9","9024794214  ","9024793379  ","HCJH@HRSB.CA                                   ","JUNIOR HIGH                   ",,,"Late Immersion",,,"7 LANCASTER DR
HERRING COVE NS, NS B3V 1H9
(44.568091, -63.562698)"
"54","HALIFAX REGIONAL              ","577","ST. CATHERINE'S ELEMENTARY SCHOOL                           ","                              ","                              ","       ","3299 CONNOLLY ST              ","HALIFAX NS            ","B3L 3P7","9024935143  ","9024935163  ","STCATH@HRSB.CA                                 ","ELEMENTARY                    ","Early Immersion",,,,,"3299 CONNOLLY ST
HALIFAX NS, NS B3L 3P7
(44.655794, -63.614515)"
"58","SOUTH SHORE REGIONAL          ","216","CHESTER AREA MIDDLE SCHOOL                                  ","PO BOX 440                    ","CHESTER NS                    ","B0J 1J0","204 DUKE ST                   ","CHESTER NS            ","B0J 1J0","9022752720  ","9022752730  ","CAMS@SSRSB.CA                                     ","ELEMENTARY/JUNIOR             ",,,,"Intensive French","Integrated French","204 DUKE ST
CHESTER NS, NS B0J 1J0
(44.545711, -64.237448)"
