"year","board_code","board_name","school_code","school_name","mail_address_line_1","mail_address_line_2","mailing_postal_code","civic_address_line_1","civic_address_line_2","civic_postal_code","telephone","fax","email","georeference"
"2021-2022","59","Tri-County Regional Centre for Education","1199","Yarmouth Elementary School","5 Brunswick St","Yarmouth","B5A 3A9","5 Brunswick St","Yarmouth","B5A 3A9","902-749-2860","902-749-2866","yes@tcrce.ca","POINT (-66.115472 43.83769)"
"2021-2022","59","Tri-County Regional Centre for Education","1178","Yarmouth Consolidated Memorial High School","146 Forest St","Yarmouth","B5A 0B3","146 Forest St","Yarmouth","B5A 0B3","902-749-2810","902-749-2811","ycmhs@tcrce.ca","POINT (-66.102774 43.832303)"
"2021-2022","59","Tri-County Regional Centre for Education","256","Weymouth Consolidated School","PO Box 400","Weymouth","B0W 3T0","4695 Highway 1","Weymouth","B0W 3T0","902-837-2310","902-837-2320","wcs@tcrce.ca","POINT (-65.995883 44.415504)"
"2021-2022","59","Tri-County Regional Centre for Education","977","St. Mary's Bay Academy","RR 1","Weymouth","B0W 3T0","4079 Highway 1","St. Bernard","B0W 3T0","902-837-2340","902-837-2345","smba@tcrce.ca","POINT (-66.025765 44.405679)"
"2021-2022","59","Tri-County Regional Centre for Education","716","Shelburne Regional High School","Box 10","Shelburne","B0T 1W0","415 Woodlawn Dr","Shelburne","B0T 1W0","902-875-4900","902-875-4909","srhs@tcrce.ca","POINT (-65.300855 43.7703)"
"2021-2022","59","Tri-County Regional Centre for Education","498","Port Maitland Consolidated Elementary School","3072 Highway 1","Port Maitland","B5A 5T3","3072 Highway 1","Port Maitland","B5A 5T3","902-649-4400","902-649-4404","pmces@tcrce.ca","POINT (-66.145765 43.976215)"
"2021-2022","59","Tri-County Regional Centre for Education","199","Plymouth School","RR #1, Arcadia","Yarmouth","B0W 1B0","849 Highway 334","Yarmouth","B0W 1B0","902-663-2000","902-663-2005","ps@tcrce.ca","POINT (-66.017994 43.812988)"
"2021-2022","59","Tri-County Regional Centre for Education","928","Meadowfields Community School","106 Prospect St","Yarmouth","B5A 4J2","106 Prospect St","Yarmouth","B5A 4J2","902-749-2880","902-749-2888","mcs@tcrce.ca","POINT (-66.103042 43.857109)"
"2021-2022","59","Tri-County Regional Centre for Education","410","Maple Grove Education Centre","52 Grove Memorial Dr","Hebron","B0W 1X0","52 Grove Memorial Dr","Hebron","B0W 1X0","902-749-5160","902-749-5170","mgec@tcrce.ca","POINT (-66.089978 43.89221)"
"2021-2022","59","Tri-County Regional Centre for Education","711","Lockeport Regional High School","Box 129","Lockeport","B0T 1L0","10 Locke St","Lockeport","B0T 1L0","902-656-7110","902-656-7120","lhs@tcrce.ca","POINT (-65.114857 43.697232)"
