"year","grade_level","assessment","program","board","sex","adaptation","ipp","exemption","eligible","reading_score","reading_level","writing_ideas","writing_organization","writing_language_use","writing_conventions"
"2019-20","6","RW","English","SSRCE","F",,,,"Yes","529.94","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","531.84","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","572.36","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M","Yes",,,"Yes","315.11","Level 1","Level 1","Level 1","Level 1","Level 1"
"2019-20","6","RW","English","CBVRCE","F",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","496.94","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CCRCE","M",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","CSAP","CSAP","M",,,,"Yes","489.84","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","612.55","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","432.32","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","CBVRCE","M","Yes",,,"Yes","417.08","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","516.92","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","462.12","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","530.82","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","HRCE","M",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","CSAP","CSAP","M",,,,"Yes","431.11","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","CSAP","CSAP","M",,,,"Yes","321.1","Level 1","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","344.08","Level 1","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CBVRCE","M","Yes",,,"Yes","367.79","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CCRCE","M",,,,"Yes","653.31","Level 4","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","CBVRCE","M","Yes",,,"Yes","365.62","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F","Yes",,,"Yes","238.84","Level 1","Level 1","Level 1","Level 1","Level 1"
"2019-20","6","RW","English","CBVRCE","F","Yes",,,"Yes","587.88","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","SRCE","M",,,,"Yes","510.91","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","528.99","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","637.33","Level 4","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","599.09","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","AVRCE","M","Yes",,,"Yes","556.44","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","584.47","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CCRCE","F",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","HRCE","M","Yes",,,"Yes","635.43","Level 4","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","411.32","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","TCRCE","M",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","CSAP","CSAP","F",,,,"Yes","326.49","Level 1","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","M","Yes",,,"Yes","309.45","Level 1","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","CSAP","CSAP","M",,,,"Yes","311.98","Level 1","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","CSAP","CSAP","M",,,,"Yes","382.41","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","F",,,,"Yes","610.34","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","263.61","Level 1","Level 3","Level 3","Level 3","Level 3"
