"region","region_type","year","dwelling_count","funds_allotted"
"KINGS","Rural Municipality","2017","22517","15278.86"
"LUNENBURG","Rural Municipality","2017","14653","9942.76"
"PICTOU","Rural Municipality","2017","11860","8047.58"
"RICHMOND","Rural Municipality","2017","5422","3679.09"
"SHELBURNE","Rural Municipality","2017","3064","2079.07"
"ST. MARY'S","Rural Municipality","2017","1926","1306.88"
"VICTORIA","Rural Municipality","2017","4889","3317.42"
"YARMOUTH","Rural Municipality","2017","5454","3700.80"
"CAPE BRETON REGIONAL","Regional Municipality","2018","47493","32067.72"
"HALIFAX REGIONAL","Regional Municipality","2018","195216","131811.70"
"Queens","Regional Municipality","2018","6891","4652.87"
"AMHERST","Town","2018","4797","3283.98"
"ANNAPOLIS ROYAL","Town","2018","369","1000.00"
"ANTIGONISH","Town","2018","2748","1855.48"
"BERWICK","Town","2018","1092","1000.00"
"BRIDGEWATER","Town","2018","4408","2976.32"
"CLARK'S HARBOUR","Town","2018","414","1000.00"
"DIGBY","Town","2018","1157","1000.00"
"KENTVILLE","Town","2018","3041","2053.31"
"LOCKEPORT","Town","2018","334","1000.00"
"LUNENBURG","Town","2018","1296","1000.00"
"MAHONE BAY","Town","2018","609","1000.00"
"MIDDLETON","Town","2018","1027","1000.00"
"MULGRAVE","Town","2018","364","1000.00"
"NEW GLASGOW","Town","2018","4792","3235.60"
"OXFORD","Town","2018","618","1000.00"
"PICTOU","Town","2018","1661","1121.52"
"PORT HAWKESBURY","Town","2018","1560","1053.33"
"SHELBURNE","Town","2018","955","1000.00"
"STELLARTON","Town","2018","2118","1430.09"
"STEWIACKE","Town","2018","688","1000.00"
"TRENTON","Town","2018","1183","1000.00"
"TRURO","Town","2018","6723","4539.43"
"WESTVILLE","Town","2018","1733","1170.14"
"WINDSOR","Town","2018","1756","1185.67"
"WOLFVILLE","Town","2018","2806","1894.64"
"YARMOUTH","Town","2018","3494","2359.18"
"ANNAPOLIS","Rural Municipality","2018","10677","7209.21"
"ANTIGONISH","Rural Municipality","2018","7531","5085.00"
"ARGYLE","Rural Municipality","2018","4261","2877.07"
"BARRINGTON","Rural Municipality","2018","3679","2484.10"
"CHESTER","Rural Municipality","2018","7053","4762.25"
"CLARE","Rural Municipality","2018","4947","3340.26"
"COLCHESTER","Rural Municipality","2018","17897","12084.22"
"CUMBERLAND","Rural Municipality","2018","13386","9038.35"
"DIGBY","Rural Municipality","2018","4515","3048.57"
"GUYSBOROUGH","Rural Municipality","2018","3707","2503.00"
"EAST HANTS","Rural Municipality","2018","10121","6833.80"
"WEST HANTS","Rural Municipality","2018","7582","5119.44"
"INVERNESS","Rural Municipality","2018","8542","5767.64"
"KINGS","Rural Municipality","2018","22613","15268.51"
"LUNENBURG","Rural Municipality","2018","14787","9984.32"
"PICTOU","Rural Municipality","2018","11888","8026.89"
"RICHMOND","Rural Municipality","2018","5470","3693.40"
"SHELBURNE","Rural Municipality","2018","3083","2081.67"
"ST. MARY'S","Rural Municipality","2018","1920","1296.40"
"VICTORIA","Rural Municipality","2018","4924","3324.73"
"YARMOUTH","Rural Municipality","2018","5482","3701.50"
"CAPE BRETON REGIONAL","Regional Municipality","2019","47485","31835.98"
"HALIFAX REGIONAL","Regional Municipality","2019","197747","132578.07"
"Queens","Regional Municipality","2019","6929","4645.50"
"AMHERST","Town","2019","4785","3208.07"
"ANNAPOLIS ROYAL","Town","2019","412","1000.00"
"ANTIGONISH","Town","2019","2740","1837.01"
"BERWICK","Town","2019","1102","1000.00"
"BRIDGEWATER","Town","2019","4524","3033.08"
"CLARK'S HARBOUR","Town","2019","415","1000.00"
"DIGBY","Town","2019","1159","1000.00"
"KENTVILLE","Town","2019","3051","2045.31"
"LOCKEPORT","Town","2019","331","1000.00"
"LUNENBURG","Town","2019","1308","1000.00"
"MAHONE BAY","Town","2019","646","1000.00"
"MIDDLETON","Town","2019","1024","1000.00"
"MULGRAVE","Town","2019","361","1000.00"
"NEW GLASGOW","Town","2019","4786","3208.74"
"OXFORD","Town","2019","617","1000.00"
"PICTOU","Town","2019","1666","1116.96"
"PORT HAWKESBURY","Town","2019","1563","1047.90"
"SHELBURNE","Town","2019","955","1000.00"
"STELLARTON","Town","2019","2122","1422.68"
"STEWIACKE","Town","2019","693","1000.00"
"TRENTON","Town","2019","1184","1000.00"
"TRURO","Town","2019","6724","4508.06"
"WESTVILLE","Town","2019","1730","1159.97"
"WINDSOR","Town","2019","1771","1187.35"
"WOLFVILLE","Town","2019","2869","1923.50"
"YARMOUTH","Town","2019","3523","2361.97"
"ANNAPOLIS","Rural Municipality","2019","10693","7169.05"
"ANTIGONISH","Rural Municipality","2019","7596","5092.68"
"ARGYLE","Rural Municipality","2019","4265","2859.44"
"BARRINGTON","Rural Municipality","2019","3681","2467.90"
"CHESTER","Rural Municipality","2019","7063","4735.34"
"CLARE","Rural Municipality","2019","4956","3322.71"
"COLCHESTER","Rural Municipality","2019","17977","12052.55"
"CUMBERLAND","Rural Municipality","2019","13362","8958.46"
"DIGBY","Rural Municipality","2019","4523","3032.41"
"GUYSBOROUGH","Rural Municipality","2019","3695","2477.29"
"EAST HANTS","Rural Municipality","2019","10187","6829.80"
"WEST HANTS","Rural Municipality","2019","7656","5132.91"
"INVERNESS","Rural Municipality","2019","8479","5684.69"
"KINGS","Rural Municipality","2019","22785","15276.04"
"LUNENBURG","Rural Municipality","2019","14808","9927.92"
"PICTOU","Rural Municipality","2019","11926","7995.70"
"RICHMOND","Rural Municipality","2019","5488","3679.39"
"SHELBURNE","Rural Municipality","2019","3091","2072.34"
"ST. MARY'S","Rural Municipality","2019","1917","1285.24"
"VICTORIA","Rural Municipality","2019","4943","3314.00"
"YARMOUTH","Rural Municipality","2019","5475","3670.67"
"CAPE BRETON REGIONAL","Regional Municipality","2020","47535","31602.84"
"HALIFAX REGIONAL","Regional Municipality","2020","200591","133359.52"
"Queens","Regional Municipality","2020","6952","4621.92"
"WEST HANTS REGIONAL","Regional Municipality","2020","9560","6355.80"
"AMHERST","Town","2020","4777","3175.91"
"ANNAPOLIS ROYAL","Town","2020","411","1000.00"
"ANTIGONISH","Town","2020","2745","1824.97"
"BERWICK","Town","2020","1115","1000.00"
"BRIDGEWATER","Town","2020","4551","3025.66"
"CLARK'S HARBOUR","Town","2020","411","1000.00"
"DIGBY","Town","2020","1169","1000.00"
"KENTVILLE","Town","2020","3046","2025.08"
"LOCKEPORT","Town","2020","330","1000.00"
"LUNENBURG","Town","2020","1330","1000.00"
"MAHONE BAY","Town","2020","652","1000.00"
"MIDDLETON","Town","2020","1027","1000.00"
"MULGRAVE","Town","2020","358","1000.00"
"NEW GLASGOW","Town","2020","4808","3196.52"
"OXFORD","Town","2020","619","1000.00"
"PICTOU","Town","2020","1672","1111.60"
"PORT HAWKESBURY","Town","2020","1554","1033.15"
"SHELBURNE","Town","2020","948","1000.00"
"STELLARTON","Town","2020","2102","1397.48"
"STEWIACKE","Town","2020","696","1000.00"
"TRENTON","Town","2020","1177","1000.00"
"TRURO","Town","2020","6812","4528.84"
"WESTVILLE","Town","2020","1723","1145.51"
"WOLFVILLE","Town","2020","2881","1915.38"
"YARMOUTH","Town","2020","3532","2348.19"
"ANNAPOLIS","Rural Municipality","2020","10719","7126.35"
"ANTIGONISH","Rural Municipality","2020","7630","5072.68"
"ARGYLE","Rural Municipality","2020","4264","2834.85"
"BARRINGTON","Rural Municipality","2020","3699","2459.22"
"CHESTER","Rural Municipality","2020","7096","4717.66"
"CLARE","Rural Municipality","2020","4969","3303.56"
"COLCHESTER","Rural Municipality","2020","18040","11993.59"
"CUMBERLAND","Rural Municipality","2020","13340","8868.87"
"DIGBY","Rural Municipality","2020","4543","3020.34"
"EAST HANTS","Rural Municipality","2020","10356","6885.01"
"GUYSBOROUGH","Rural Municipality","2020","3710","2466.53"
"INVERNESS","Rural Municipality","2020","8654","5753.47"
"KINGS","Rural Municipality","2020","22937","15249.28"
"LUNENBURG","Rural Municipality","2020","14851","9873.44"
"PICTOU","Rural Municipality","2020","11979","7964.03"
"RICHMOND","Rural Municipality","2020","5520","3669.88"
"SHELBURNE","Rural Municipality","2020","3103","2062.98"
"ST. MARY'S","Rural Municipality","2020","1918","1275.15"
"VICTORIA","Rural Municipality","2020","4944","3286.93"
"YARMOUTH","Rural Municipality","2020","5472","3637.97"
"CAPE BRETON REGIONAL","Regional Municipality","2021","47750","31469.62"
"HALIFAX REGIONAL","Regional Municipality","2021","203037","133811.46"
"REGION of QUEENS","Regional Municipality","2021","7008","4618.62"
"WEST HANTS REGIONAL","Regional Municipality","2021","9685","6382.90"
"AMHERST","Town","2021","4805","3166.73"
"ANNAPOLIS ROYAL","Town","2021","408","1000.00"
"ANTIGONISH","Town","2021","2746","1809.75"
"BERWICK","Town","2021","1128","1000.00"
"BRIDGEWATER","Town","2021","4571","3012.52"
"CLARK'S HARBOUR","Town","2021","414","1000.00"
"DIGBY","Town","2021","1169","1000.00"
"KENTVILLE","Town","2021","3153","2077.98"
"LOCKEPORT","Town","2021","330","1000.00"
"LUNENBURG","Town","2021","1348","1000.00"
"MAHONE BAY","Town","2021","660","1000.00"
"MIDDLETON","Town","2021","1034","1000.00"
"MULGRAVE","Town","2021","358","1000.00"
"NEW GLASGOW","Town","2021","4830","3183.21"
"OXFORD","Town","2021","620","1000.00"
"PICTOU","Town","2021","1674","1103.25"
"PORT HAWKESBURY","Town","2021","1549","1020.87"
"SHELBURNE","Town","2021","944","1000.00"
"STELLARTON","Town","2021","2084","1373.46"
"STEWIACKE","Town","2021","706","1000.00"
"TRENTON","Town","2021","1173","1000.00"
"TRURO","Town","2021","6807","4486.15"
"WESTVILLE","Town","2021","1720","1133.57"
"WOLFVILLE","Town","2021","2990","1970.56"
"YARMOUTH","Town","2021","3568","2351.49"
"ANNAPOLIS","Rural Municipality","2021","10749","7084.12"
"ANTIGONISH","Rural Municipality","2021","7874","5189.36"
"ARGYLE","Rural Municipality","2021","4275","2817.44"
"BARRINGTON","Rural Municipality","2021","3701","2439.14"
"CHESTER","Rural Municipality","2021","7165","4722.09"
"CLARE","Rural Municipality","2021","4983","3284.04"
"COLCHESTER","Rural Municipality","2021","18181","11982.18"
"CUMBERLAND","Rural Municipality","2021","13360","8804.90"
"DIGBY","Rural Municipality","2021","4571","3012.52"
"EAST HANTS","Rural Municipality","2021","10444","6883.11"
"GUYSBOROUGH","Rural Municipality","2021","3719","2451.01"
"INVERNESS","Rural Municipality","2021","8688","5725.82"
"KINGS","Rural Municipality","2021","23088","15216.14"
"LUNENBURG","Rural Municipality","2021","14962","9860.70"
"PICTOU","Rural Municipality","2021","12008","7913.87"
"RICHMOND","Rural Municipality","2021","5547","3655.75"
"SHELBURNE","Rural Municipality","2021","3103","2045.03"
"ST. MARY'S","Rural Municipality","2021","1924","1268.01"
"VICTORIA","Rural Municipality","2021","4970","3275.48"
"YARMOUTH","Rural Municipality","2021","5484","3614.23"
