"fiscal_year","program_area","services_rendered","amount_paid","beneficiaries","services_per_beneficiary","paid_per_beneficiary"
"2020-21","Maxillofacial Prosthodontics","1030","448313","490","2.1","914.92"
"2020-21","Individuals with Special Needs","3932","260446","737","5.3","353.39"
"2020-21","Special Considerations (Adult)","83","60495","8","10.4","7561.90"
"2020-21","Cleft Palate","808","280951","183","4.4","1535.25"
"2019-20","Cleft Palate","1074","269275","209","5.1","1288.40"
"2019-20","Special Considerations (Adult)","101","36283","15","6.7","2418.86"
"2019-20","Individuals with Special Needs","5387","347653","901","6.0","385.85"
"2019-20","Maxillofacial Prosthodontics","1975","731045","910","2.2","803.35"
"2018-19","Maxillofacial Prosthodontics","2070","891370","856","2.4","1041.32"
"2018-19","Special Considerations (Adult)","77","95521","15","5.1","6368.07"
"2018-19","Individuals with Special Needs","5468","319484","911","6.0","350.70"
"2018-19","Cleft Palate","1048","228593","230","4.6","993.88"
"2017-18","Maxillofacial Prosthodontics","2245","875036","854","2.6","1024.63"
"2017-18","Special Considerations (Adult)","36","31593","14","2.6","2256.64"
"2017-18","Individuals with Special Needs","5737","332452","935","6.1","355.56"
"2017-18","Cleft Palate","1206","314186","246","4.9","1277.18"
"2016-17","Cleft Palate","1196","233735","225","5.3","1038.82"
"2016-17","Special Considerations (Adult)","86","71513","18","4.8","3972.94"
"2016-17","Individuals with Special Needs","6195","359795","985","6.3","365.27"
"2016-17","Maxillofacial Prosthodontics","2311","780938","857","2.7","911.25"
"2015-16","Cleft Palate","977","194734","187","5.2","1041.36"
"2015-16","Special Considerations (Adult)","354","159881","71","5.0","2251.85"
"2015-16","Individuals with Special Needs","4833","319783","913","5.3","350.26"
"2015-16","Maxillofacial Prosthodontics","2365","861481","835","2.8","1031.71"
"2014-15","Individuals with Special Needs","4580","320735","872","5.3","367.82"
"2014-15","Maxillofacial Prosthodontics","2222","744685","787","2.8","946.23"
"2014-15","Cleft Palate","699","142891","150","4.7","952.61"
"2014-15","Special Considerations (Adult)","340","161232","68","5.0","2371.06"
"2013-14","Maxillofacial Prosthodontics","2218","821340","743","3.0","1105.44"
"2013-14","Special Considerations (Adult)","228","101130","64","3.6","1580.16"
"2013-14","Individuals with Special Needs","4202","307524","795","5.3","386.82"
"2013-14","Cleft Palate","741","122321","173","4.3","707.06"
"2012-13","Cleft Palate","734","138836","163","4.5","851.75"
"2012-13","Special Considerations (Adult)","239","107621","43","5.6","2502.81"
"2012-13","Individuals with Special Needs","4168","293175","792","5.3","370.17"
"2012-13","Maxillofacial Prosthodontics","2231","839600","741","3.0","1133.06"
"2011-12","Cleft Palate","765","148937","143","5.3","1041.52"
"2011-12","Special Considerations (Adult)","293","79207","46","6.4","1721.89"
"2011-12","Individuals with Special Needs","3635","242320","699","5.2","346.67"
"2011-12","Maxillofacial Prosthodontics","2081","718880","699","3.0","1028.44"
"2010-11","Cleft Palate","759","134642","141","5.4","954.91"
"2010-11","Special Considerations (Adult)","266","81598","38","7.0","2147.32"
"2010-11","Individuals with Special Needs","3371","229825","662","5.1","347.17"
"2010-11","Maxillofacial Prosthodontics","2073","763891","667","3.1","1145.26"
"2009-10","Cleft Palate","847","134825","146","5.8","923.46"
"2009-10","Special Considerations (Adult)","278","151927","39","7.1","3895.56"
"2009-10","Individuals with Special Needs","2961","200679","578","5.1","347.20"
"2009-10","Maxillofacial Prosthodontics","1966","750314","628","3.1","1194.77"
"2008-09","Cleft Palate","719","86294","153","4.7","564.01"
"2008-09","Special Considerations (Adult)","287","92608","40","7.2","2315.20"
"2008-09","Individuals with Special Needs","2468","177291","501","4.9","353.87"
"2008-09","Maxillofacial Prosthodontics","1897","722798","566","3.4","1277.03"
